Season,TeamName,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,F3GRate,RankF3GRate,OppF3GRate,RankOppF3GRate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,DefensiveFingerprint
2015,"Abilene Christian",42.0106,338,37.8026,43,72.7924,55,3.4519,348,55.2301,349,36.9658,292,68.7107,132,12.5926,331,36.2348,121,32.8652,132,55.3333,126,51.6405,139,0.0914,182,0.0903,137,10
2015,"Air Force",53.8983,12,35.4344,114,65.859,289,6.9597,286,51.5263,301,36.5891,279,68.9788,153,11.8644,318,39.8777,49,44.0574,349,63.0657,11,63.6778,344,0.1031,88,0.0946,191,-9.6
2015,Akron,46.7,219,34.9345,141,66,286,12.1212,61,43.7799,37,33.0325,101,67.8812,96,9.6,173,47.8079,6,30.6416,75,53.6213,158,48.4973,56,0.0966,143,0.1075,303,11.5
2015,Alabama,52.275,33,32.2009,258,71.8407,89,10.8756,106,46.5438,125,32.6121,83,71.345,285,7.8868,42,40.6363,39,37.3557,275,46.3946,308,54.6089,225,0.0985,123,0.0793,39,2.1
2015,"Alabama A&M",45.4348,276,29.0614,338,64.7635,315,6.1281,317,50.6964,276,33.1828,113,62.2611,2,9.0217,123,37.5848,85,29.1447,29,58.2038,64,48.4848,54,0.0873,225,0.1078,305,9.1
2015,"Alabama St.",46.4041,233,35.4023,116,65.4054,301,10.541,121,45.3358,82,33.6152,137,65.2727,15,6.7637,10,27.1366,323,30.6149,74,52.0115,192,50.3876,98,0.0874,224,0.105,290,10.3
2015,Albany,47.8976,159,35.8392,96,75.8462,13,5.4809,332,46.2254,107,36.2319,269,69.9801,216,10.6033,258,34.3337,168,41.6415,337,47.8738,281,54.5194,223,0.0923,177,0.078,34,0.4
2015,"Alcorn St.",43.2612,323,28.4047,342,65.6832,296,6.8354,294,50.8861,280,38.1818,327,67.3621,72,8.3195,71,29.9534,280,29.4643,38,39.1892,350,50.7576,110,0.0866,233,0.0768,27,7.6
2015,American,51.7621,41,37.303,55,70.5305,130,8.0229,243,50.9074,282,34.2574,175,67.8363,94,10.022,210,38.6072,65,32.5387,126,59.7365,40,51.1331,118,0.1026,95,0.0874,105,9.6
2015,"Appalachian St.",44.4773,298,31.6327,281,70.8178,115,5.3935,335,51.5473,303,32.2718,71,68.2724,112,9.1716,135,36.7041,105,29.4007,36,49.9215,240,49.5238,73,0.0633,342,0.0934,175,11.1
2015,Arizona,53.2637,19,36.0075,89,71.8686,87,9.8054,156,42.7395,18,33.4959,134,69.7802,196,6.3316,5,25.9188,335,31.5223,93,52.329,181,47.619,38,0.1084,55,0.071,8,17.2
2015,"Arizona St.",49.9136,83,35,134,66.7102,259,6.0676,320,48.6175,206,36.2235,268,69.7262,192,12.4352,329,36.3036,119,28.5008,20,53.2756,168,51.4007,129,0.0871,226,0.091,147,13.6
2015,Arkansas,48.8449,118,34.9486,138,72.4054,70,12.0258,63,46.2419,108,35.1735,218,71.4829,291,6.8647,12,31.0109,254,31.2161,84,59.2025,49,51.4384,131,0.109,50,0.081,44,8
2015,"Arkansas Little Rock",45.7766,258,33.9869,183,70.9416,110,7.567,261,49.1379,226,36.2862,272,67.7177,87,7.4478,31,35.7268,136,35.9902,235,50.9831,218,52.2039,159,0.0848,253,0.0694,5,6.4
2015,"Arkansas Pine Bluff",44.1091,312,33.2242,214,67.9795,229,10.6509,116,48.8166,209,36.9069,288,67.2704,68,8.4713,83,37.3016,92,35.9444,233,49.2378,259,59.0071,312,0.1362,5,0.1155,337,1
2015,"Arkansas St.",44.093,313,32.0329,268,69.5146,167,7.9439,247,47.5701,159,33.0935,108,67.3759,74,6.9767,15,31.178,251,34.1943,168,47.7778,284,47.619,38,0.0769,304,0.0986,234,6.2
2015,Army,51.0597,55,32.2239,257,68.3824,216,8.8564,203,49.871,254,35.7895,249,66.8666,54,10.1156,214,38.9052,58,28.9988,26,55.0471,132,54.4,219,0.0877,221,0.1,250,9.2
2015,Auburn,43.3843,321,35.0355,133,66.7043,260,6.8938,290,53.7713,339,33.2776,118,70.2738,233,13.5014,346,38.8216,60,32.6597,128,48.834,263,50.6961,107,0.098,129,0.0976,225,9.1
2015,"Austin Peay",44.186,308,30.1075,319,66.0938,280,11.0995,91,53.1937,336,38.6029,337,72.5217,323,8.3721,75,30.1948,276,36.2909,246,53.9837,152,53.8997,201,0.0928,174,0.1159,338,5.3
2015,"Ball St.",47.7193,168,33.635,197,69.7026,156,6.7797,298,51.8445,314,35.6998,242,69.5238,183,11.5789,304,43.6759,16,32.9545,134,56.5769,96,51.1494,120,0.0795,287,0.1145,331,10.4
2015,Baylor,46.1282,243,38.1818,34,67.0014,250,10.8963,105,46.3972,117,29.794,8,64.6127,11,10.8243,274,33.4994,193,35.6699,223,60.2548,33,69.5531,351,0.1247,13,0.104,283,-8.1
2015,Belmont,56.3256,3,37.6951,47,69.1622,179,5.4124,334,51.2027,292,34.3239,178,71.2355,272,12.3212,328,47.8186,5,36.6358,257,58.4746,62,51.1487,119,0.0933,169,0.097,219,2.8
