G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,Vassar,W,66,49,25,65,.385,7,29,.241,9,17,.529,18,39,15,11,6,16,22,15,46,.326,5,18,.278,14,19,.737,10,27,5,7,2,22,17,95.7,71.0,69.1,.262,.446,.452,59.1,60.0,15.9,21.4,.438,18.0,51.4,.138,.380,28.6,67.7,.304
2,2010-11-15,,Central Connecticut,L,87,101,31,61,.508,12,20,.600,13,23,.565,13,29,13,5,5,15,24,33,64,.516,13,28,.464,22,27,.815,13,35,16,8,2,9,22,119.2,138.4,73.4,.377,.328,.605,45.3,41.9,6.8,13.9,.607,17.3,37.1,.213,.617,10.5,55.2,.344
3,2010-11-18,@,NJIT,W,63,60,21,52,.404,10,22,.455,11,16,.688,9,35,10,3,2,12,14,23,60,.383,5,23,.217,9,12,.750,10,33,13,8,1,9,17,98.4,93.8,63.7,.308,.423,.529,51.5,47.6,4.7,5.4,.500,16.8,28.1,.212,.425,12.0,72.2,.150
4,2010-11-20,@,Bryant,W,76,66,28,57,.491,9,25,.360,11,15,.733,10,37,16,4,3,15,17,24,68,.353,9,26,.346,9,15,.600,12,29,15,12,4,9,19,107.0,93.0,70.6,.263,.439,.593,56.1,57.1,5.6,7.1,.570,19.0,37.0,.193,.419,10.7,69.2,.132
5,2010-11-23,,Binghamton,W,72,58,27,52,.519,12,26,.462,6,10,.600,4,21,18,4,3,7,11,20,47,.426,10,20,.500,8,14,.571,9,29,13,3,4,13,15,122.0,98.3,58.7,.192,.500,.634,42.0,66.7,6.8,11.1,.635,11.0,16.7,.115,.532,19.5,65.4,.170
6,2010-11-27,@,Yale,L,79,87,24,56,.429,14,25,.560,17,23,.739,8,25,17,8,0,10,27,25,46,.543,5,14,.357,32,40,.800,9,37,17,2,2,14,22,114.5,126.1,69.5,.411,.446,.590,40.3,70.8,11.6,0.0,.554,13.0,22.2,.304,.598,17.7,65.4,.696
7,2010-12-01,,Buffalo,L,54,56,13,55,.236,6,17,.353,22,30,.733,20,40,7,8,2,17,16,20,47,.426,6,15,.400,10,18,.556,13,36,9,6,10,23,24,81.8,84.8,65.9,.545,.309,.390,52.6,53.8,12.1,6.3,.291,19.7,46.5,.400,.489,29.3,60.6,.213
8,2010-12-04,N,Penn,L,52,68,19,52,.365,9,25,.360,5,8,.625,7,24,11,4,0,15,20,24,47,.511,7,18,.389,13,18,.722,8,34,17,6,4,20,20,78.8,103.0,65.7,.154,.481,.466,41.4,57.9,6.1,0.0,.452,21.2,21.2,.096,.585,26.5,68.0,.277
9,2010-12-09,@,New Hampshire,W,71,63,24,45,.533,7,15,.467,16,23,.696,7,27,9,6,1,18,27,22,59,.373,7,23,.304,12,24,.500,13,28,13,1,1,14,23,102.9,91.3,69.2,.511,.333,.635,49.1,37.5,8.7,2.8,.611,24.3,31.8,.356,.432,16.6,60.6,.203
10,2010-12-11,@,Dartmouth,L,68,71,25,60,.417,9,26,.346,9,14,.643,10,34,15,5,2,12,18,23,55,.418,10,18,.556,15,19,.789,8,34,17,3,1,12,13,100.0,104.4,68.3,.233,.433,.510,50.0,60.0,7.4,5.4,.492,15.3,27.8,.150,.509,15.8,75.0,.273
11,2010-12-19,@,LIU-Brooklyn,L,85,91,34,72,.472,11,35,.314,6,8,.750,9,23,21,11,1,14,22,30,55,.545,10,17,.588,21,32,.656,13,38,22,9,3,22,14,106.3,113.8,80.0,.111,.486,.561,37.7,61.8,13.8,2.6,.549,15.6,26.5,.083,.636,23.9,51.9,.382
12,2010-12-21,@,Brown,W,88,86,35,63,.556,12,20,.600,6,11,.545,8,34,18,1,3,12,20,27,57,.474,8,21,.381,24,27,.889,5,25,16,6,5,7,16,122.2,119.4,72.0,.175,.317,.645,57.6,51.4,1.4,8.3,.651,15.0,28.6,.095,.544,9.1,83.9,.421
13,2010-12-29,@,Texas-Rio Grande Valley,W,66,58,20,48,.417,11,27,.407,15,20,.750,6,29,14,10,2,17,17,20,56,.357,8,24,.333,10,15,.667,12,34,12,7,3,20,17,94.3,82.9,69.8,.417,.563,.574,46.0,70.0,14.3,6.3,.531,22.8,21.4,.313,.429,24.1,65.7,.179
14,2010-12-31,@,Fairfield,L,61,68,20,51,.392,10,26,.385,11,15,.733,11,35,10,7,0,19,29,21,51,.412,1,9,.111,25,37,.676,11,32,11,6,4,12,19,89.7,100.0,67.9,.294,.510,.525,52.2,50.0,10.3,0.0,.490,24.6,34.4,.216,.422,14.9,68.6,.490
15,2011-01-03,,Dartmouth,W,67,47,24,54,.444,13,33,.394,6,10,.600,11,37,18,8,2,16,20,20,52,.385,3,15,.200,4,9,.444,3,22,9,6,0,14,14,101.5,71.2,65.5,.185,.611,.570,62.7,75.0,12.1,5.4,.565,21.4,36.7,.111,.413,19.9,89.7,.077
16,2011-01-08,@,Colgate,W,73,66,24,50,.480,5,19,.263,20,26,.769,3,26,11,4,1,18,20,23,58,.397,5,18,.278,15,26,.577,9,29,11,10,1,16,21,94.8,85.7,77.4,.520,.380,.585,47.3,45.8,5.2,2.5,.530,22.4,13.0,.400,.440,18.5,71.9,.259
17,2011-01-12,,Holy Cross,L,54,68,18,60,.300,7,28,.250,11,14,.786,5,26,11,5,4,8,15,28,53,.528,4,13,.308,8,16,.500,6,41,17,1,7,13,14,78.3,98.6,68.6,.233,.467,.405,38.8,61.1,7.2,10.0,.358,10.7,12.5,.183,.566,17.7,77.8,.151
18,2011-01-15,@,Lehigh,W,75,72,25,58,.431,10,25,.400,15,20,.750,7,28,13,3,2,17,18,25,56,.446,1,13,.077,21,25,.840,7,30,11,6,6,12,15,100.0,96.0,75.2,.345,.431,.556,48.3,52.0,4.0,4.7,.517,20.1,23.3,.259,.455,15.0,75.0,.375
19,2011-01-19,@,American,L,62,65,19,52,.365,6,17,.353,18,22,.818,4,26,9,3,1,10,22,22,46,.478,6,15,.400,15,29,.517,5,36,14,5,5,10,18,92.5,97.0,66.6,.423,.327,.496,41.9,47.4,4.5,3.2,.423,13.8,11.4,.346,.543,14.3,81.5,.326
20,2011-01-22,,Navy,L,81,85,27,59,.458,14,30,.467,13,17,.765,9,28,17,4,1,17,25,28,53,.528,11,26,.423,18,28,.643,7,27,15,7,8,14,20,109.5,114.9,74.2,.288,.508,.604,50.9,63.0,5.4,3.7,.576,20.2,31.0,.220,.632,17.4,73.1,.340
