G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,@,Loyola (MD),W,75,72,24,52,.462,3,9,.333,24,41,.585,14,42,10,4,2,13,20,24,70,.343,6,23,.261,18,26,.692,13,35,9,6,7,5,29,104.2,100.0,72.4,.788,.173,.525,54.5,41.7,5.6,4.3,.490,15.4,38.9,.462,.386,5.7,68.3,.257
2,2010-11-20,@,Penn,W,77,56,29,52,.558,7,12,.583,12,18,.667,14,39,15,4,4,19,20,20,49,.408,5,17,.294,11,20,.550,6,17,12,8,5,13,15,116.7,84.8,65.5,.346,.231,.636,69.6,51.7,6.1,12.5,.625,23.9,56.0,.231,.459,18.2,80.6,.224
3,2010-11-24,@,Rhode Island,L,68,74,28,67,.418,1,11,.091,11,24,.458,17,38,6,8,0,13,24,27,54,.500,4,15,.267,16,25,.640,10,33,9,5,4,14,21,94.4,102.8,72.1,.358,.164,.434,53.5,21.4,11.1,0.0,.425,14.2,42.5,.164,.537,17.5,67.7,.296
4,2010-11-28,,Binghamton,W,79,39,29,56,.518,11,22,.500,10,13,.769,11,36,21,6,3,6,14,15,45,.333,4,17,.235,5,6,.833,4,18,7,1,2,12,12,138.6,68.4,56.5,.232,.393,.635,66.7,72.4,10.5,10.7,.616,8.8,44.0,.179,.378,20.1,86.2,.111
5,2010-12-01,,St. Joseph's,W,62,50,23,55,.418,2,11,.182,14,25,.560,14,41,16,5,4,14,14,21,52,.404,1,6,.167,7,11,.636,2,19,8,4,8,12,18,92.5,74.6,67.1,.455,.200,.464,68.3,69.6,7.5,8.7,.436,17.3,45.2,.255,.413,17.3,93.1,.135
6,2010-12-04,N,Northeastern,W,63,58,24,61,.393,6,12,.500,9,13,.692,12,29,10,4,6,9,15,22,56,.393,2,13,.154,12,16,.750,12,34,9,6,6,10,15,100.0,92.1,62.9,.213,.197,.469,46.0,41.7,6.3,14.0,.443,11.8,35.3,.148,.411,13.6,58.6,.214
7,2010-12-11,,Rider,W (1 OT),71,67,24,61,.393,4,12,.333,19,29,.655,14,48,15,2,3,13,21,28,63,.444,2,12,.167,9,20,.450,5,29,7,6,8,7,24,95.9,90.5,65.9,.475,.197,.475,62.3,62.5,2.7,5.9,.426,14.8,36.8,.311,.460,8.8,87.2,.143
8,2010-12-14,@,Louisville,W,52,46,17,44,.386,6,16,.375,12,25,.480,13,45,11,4,3,22,26,15,47,.319,4,16,.250,12,25,.480,7,25,8,11,7,12,20,81.3,71.9,64.4,.568,.364,.465,64.3,64.7,6.3,9.7,.455,28.3,41.9,.273,.362,16.9,82.1,.255
9,2010-12-18,@,Saint Francis (PA),W,61,57,19,41,.463,3,13,.231,20,34,.588,10,33,9,2,0,10,16,22,47,.468,5,10,.500,8,12,.667,2,20,16,5,3,5,26,108.9,101.8,56.4,.829,.317,.534,62.3,47.4,3.6,0.0,.500,14.9,35.7,.488,.521,8.7,92.0,.170
10,2010-12-22,@,Syracuse,L,65,93,26,60,.433,8,20,.400,5,15,.333,10,24,12,6,0,11,20,35,55,.636,5,12,.417,18,24,.750,8,35,17,9,8,9,9,95.6,136.8,67.8,.250,.333,.484,40.7,46.2,8.8,0.0,.500,14.1,27.0,.083,.682,11.9,63.6,.327
