G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,North Florida,W,75,55,27,63,.429,6,22,.273,15,23,.652,12,38,11,10,7,15,19,18,53,.340,5,18,.278,14,17,.824,7,34,8,6,2,21,22,98.7,72.4,76.0,.365,.349,.507,52.8,40.7,13.2,20.0,.476,16.9,30.8,.238,.387,25.6,78.8,.264
2,2010-11-14,@,UNC Greensboro,W,97,73,35,68,.515,7,18,.389,20,25,.800,15,36,12,20,11,20,22,27,70,.386,4,15,.267,15,23,.652,17,34,12,7,3,26,21,111.5,83.9,87.4,.368,.265,.607,51.4,34.3,23.0,20.0,.566,20.0,46.9,.294,.414,24.3,55.3,.214
3,2010-11-16,,Gardner-Webb,W,78,53,26,53,.491,7,15,.467,19,27,.704,11,38,15,10,6,16,19,19,54,.352,7,24,.292,8,17,.471,8,25,9,4,3,18,26,109.9,74.6,71.5,.509,.283,.592,60.3,57.7,14.1,20.0,.557,19.6,39.3,.358,.417,22.5,77.1,.148
4,2010-11-18,@,Florida International,W,89,66,32,65,.492,10,24,.417,15,21,.714,13,46,18,5,10,17,23,22,68,.324,6,22,.273,16,24,.667,13,32,8,12,6,12,22,112.7,83.5,78.7,.323,.369,.594,59.0,56.3,6.3,21.7,.569,18.5,40.6,.231,.368,13.1,71.7,.235
5,2010-11-23,,Mercer,W,79,55,28,51,.549,4,16,.250,19,28,.679,7,42,14,5,13,22,18,19,76,.250,3,28,.107,14,19,.737,17,32,6,10,3,11,22,100.0,69.6,79.2,.549,.314,.614,56.8,50.0,6.3,27.1,.588,25.5,31.8,.373,.270,11.5,67.3,.184
6,2010-11-28,,Florida,L,51,55,19,55,.345,7,17,.412,6,11,.545,13,29,12,9,3,14,20,16,42,.381,6,16,.375,17,25,.680,10,34,8,7,4,17,14,83.6,90.2,61.1,.200,.309,.423,46.0,63.2,14.8,11.5,.409,18.9,35.1,.109,.452,24.0,61.5,.405
7,2010-11-30,,Ohio State,L,44,58,17,48,.354,3,17,.176,7,10,.700,5,29,6,8,10,22,17,19,59,.322,4,20,.200,16,21,.762,14,39,6,11,4,15,15,62.9,82.9,69.9,.208,.354,.417,42.6,35.3,11.4,25.6,.385,29.4,16.7,.146,.356,17.9,63.2,.271
8,2010-12-05,,Hartford,W,60,38,21,56,.375,5,23,.217,13,22,.591,17,54,15,10,6,26,13,14,65,.215,8,40,.200,2,4,.500,9,27,9,15,0,15,20,81.1,51.4,74.2,.393,.411,.451,66.7,71.4,13.5,24.0,.420,28.1,48.6,.232,.277,18.3,80.4,.031
9,2010-12-12,,Clemson,W,75,69,27,62,.435,8,19,.421,13,17,.765,13,32,15,8,7,14,16,22,54,.407,8,22,.364,17,20,.850,9,30,11,8,5,16,18,105.6,97.2,70.8,.274,.306,.535,51.6,55.6,11.3,21.9,.500,16.7,38.2,.210,.481,20.1,67.9,.315
10,2010-12-15,,Stetson,W,97,63,28,56,.500,9,23,.391,32,49,.653,8,39,18,9,7,13,24,19,59,.322,5,26,.192,20,27,.741,11,35,7,8,0,20,30,116.9,75.9,82.6,.875,.411,.612,52.7,64.3,10.8,21.2,.580,14.1,25.0,.571,.364,21.8,73.8,.339
