G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,Florida Gulf Coast,W,88,60,30,57,.526,14,28,.500,14,20,.700,15,36,22,9,5,23,27,17,50,.340,4,17,.235,22,34,.647,13,26,7,9,3,22,22,117.3,80.0,74.8,.351,.491,.662,58.1,73.3,12.0,15.2,.649,25.7,53.6,.246,.380,25.0,61.8,.440
2,2010-11-14,,Wright State,W,67,44,24,40,.600,4,9,.444,15,21,.714,4,38,14,6,5,20,24,15,46,.326,4,14,.286,10,23,.435,2,17,9,9,1,12,20,101.5,66.7,66.5,.525,.225,.670,69.1,58.3,9.1,15.6,.650,28.6,21.1,.375,.370,17.4,94.4,.217
3,2010-11-16,,Mississippi Valley State,W,71,54,23,60,.383,5,17,.294,20,29,.690,15,39,16,10,1,15,19,17,50,.340,7,21,.333,13,21,.619,10,35,11,8,3,23,25,97.3,74.0,73.4,.483,.283,.481,52.7,69.6,13.7,3.4,.425,16.9,37.5,.333,.410,27.7,70.6,.260
4,2010-11-21,,Evansville,W,67,54,24,45,.533,4,10,.400,15,28,.536,9,28,10,10,7,15,20,17,45,.378,5,12,.417,15,23,.652,9,26,10,7,4,18,24,103.1,83.1,64.6,.622,.222,.575,51.9,41.7,15.4,21.2,.578,20.5,34.6,.333,.433,24.3,67.9,.333
5,2010-11-23,,North Carolina Central,W,72,56,24,58,.414,5,18,.278,19,25,.760,12,33,13,8,6,13,14,22,46,.478,4,10,.400,8,14,.571,3,26,10,6,2,21,25,101.4,78.9,70.8,.431,.310,.515,55.9,54.2,11.3,16.7,.457,15.7,34.3,.328,.522,28.5,87.5,.174
6,2010-11-26,,Northwestern State,W,100,66,36,64,.563,8,19,.421,20,28,.714,14,44,23,11,4,15,25,20,58,.345,5,18,.278,21,31,.677,11,26,8,8,5,16,27,128.2,84.6,78.0,.438,.297,.647,62.9,63.9,14.1,10.0,.625,16.3,48.3,.313,.388,18.0,73.2,.362
7,2010-12-01,@,Boston College,L,76,88,28,55,.509,7,22,.318,13,20,.650,11,24,15,4,2,10,20,28,55,.509,10,24,.417,22,28,.786,14,30,17,5,1,6,16,122.6,141.9,61.9,.364,.400,.589,44.4,53.6,6.5,6.5,.573,13.4,40.7,.236,.600,8.1,48.1,.400
8,2010-12-04,,Savannah State,W,79,57,26,47,.553,6,14,.429,21,30,.700,8,35,13,7,5,19,16,18,55,.327,5,18,.278,16,17,.941,8,25,8,14,3,18,27,108.2,78.1,72.7,.638,.298,.645,58.3,50.0,9.6,13.5,.617,23.7,32.0,.447,.373,22.2,77.1,.291
9,2010-12-11,@,Kentucky,L,62,81,23,54,.426,4,16,.250,12,16,.750,5,32,12,3,5,14,31,22,61,.361,6,17,.353,31,44,.705,17,43,9,8,5,6,17,87.3,114.1,70.8,.296,.296,.503,42.7,52.2,4.2,11.4,.463,18.5,16.1,.222,.410,6.8,61.4,.508
10,2010-12-17,,SIU-Edwardsville,W,88,54,32,52,.615,9,16,.563,15,20,.750,4,34,18,10,2,17,18,17,51,.333,4,18,.222,16,23,.696,3,22,8,9,3,18,18,115.8,71.1,75.7,.385,.308,.715,60.7,56.3,13.2,6.1,.702,21.7,17.4,.288,.373,22.5,90.9,.314
11,2010-12-19,,South Carolina State,W,102,60,35,63,.556,10,22,.455,22,30,.733,12,35,24,10,2,8,13,24,58,.414,4,22,.182,8,13,.615,6,25,9,3,3,18,24,136.0,80.0,74.7,.476,.349,.660,58.3,68.6,13.3,5.6,.635,9.4,38.7,.349,.448,21.9,79.3,.138
12,2010-12-22,N,Northern Iowa,L,61,67,20,47,.426,2,13,.154,19,29,.655,7,28,9,7,2,14,20,21,49,.429,9,23,.391,16,20,.800,9,31,10,6,2,14,21,92.4,101.5,65.6,.617,.277,.502,47.5,45.0,10.6,7.7,.447,18.7,24.1,.404,.520,19.3,70.0,.327
13,2010-12-23,N,Colorado,L,69,78,24,59,.407,5,14,.357,16,25,.640,16,30,9,8,2,12,22,24,44,.545,3,10,.300,27,31,.871,7,27,10,10,0,14,23,104.5,118.2,66.3,.424,.237,.487,52.6,37.5,12.1,5.9,.449,14.5,44.4,.271,.580,19.3,66.7,.614
14,2010-12-27,,Penn State,L,60,69,23,54,.426,9,20,.450,5,8,.625,9,25,13,5,1,9,21,21,39,.538,8,17,.471,19,26,.731,6,27,9,5,4,12,15,103.4,119.0,57.6,.148,.370,.519,48.1,56.5,8.6,4.5,.509,13.5,30.0,.093,.641,18.9,72.7,.487
