G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,@,Missouri State,L,61,78,21,52,.404,2,10,.200,17,26,.654,13,26,6,6,5,14,25,23,47,.489,7,16,.438,25,34,.735,13,33,14,7,7,15,22,93.8,120.0,65.3,.500,.192,.474,44.1,28.6,9.2,16.1,.423,17.9,39.4,.327,.564,19.2,50.0,.532
2,2010-11-16,@,Tulsa,L,68,83,25,66,.379,7,16,.438,11,16,.688,12,28,15,6,2,11,22,25,48,.521,9,19,.474,24,31,.774,8,35,13,2,8,14,21,95.8,116.9,70.7,.242,.242,.462,44.4,60.0,8.5,6.9,.432,13.0,30.8,.167,.615,18.2,66.7,.500
3,2010-11-20,,Indiana State,L,69,74,23,56,.411,3,12,.250,20,36,.556,13,34,9,5,1,9,22,25,54,.463,5,13,.385,19,26,.731,12,38,10,4,6,14,24,100.0,107.2,68.7,.643,.214,.472,47.2,39.1,7.2,2.4,.438,11.0,33.3,.357,.509,17.4,63.6,.352
4,2010-11-24,,Little Rock,W,86,60,28,49,.571,10,16,.625,20,30,.667,11,35,16,7,5,11,19,19,54,.352,6,14,.429,16,25,.640,11,25,8,6,1,14,24,130.3,90.9,66.1,.612,.327,.680,58.3,57.1,10.6,12.5,.673,14.8,44.0,.408,.407,17.5,68.6,.296
5,2010-11-27,@,Utah,W,78,70,29,56,.518,8,19,.421,12,19,.632,8,28,15,6,3,11,23,23,53,.434,5,17,.294,19,25,.760,9,27,12,6,3,16,22,111.4,100.0,70.0,.339,.339,.600,50.9,51.7,8.6,8.3,.589,14.5,30.8,.214,.481,19.8,69.0,.358
6,2010-11-30,@,Texas Tech,L,82,86,32,63,.508,6,16,.375,12,22,.545,9,30,11,6,2,13,29,27,63,.429,4,11,.364,28,34,.824,13,38,14,5,4,12,22,105.1,110.3,77.8,.349,.254,.558,44.1,34.4,7.7,3.8,.556,15.0,26.5,.190,.460,13.2,61.8,.444
7,2010-12-02,@,Western Illinois,W,71,58,29,53,.547,7,13,.538,6,17,.353,10,36,17,4,5,12,21,21,50,.420,3,12,.250,13,19,.684,7,26,11,5,3,10,19,112.7,92.1,62.6,.321,.245,.581,58.1,58.6,6.3,13.2,.613,16.4,34.5,.113,.450,14.5,78.8,.260
8,2010-12-04,@,IUPUI,W,63,61,24,45,.533,3,15,.200,12,19,.632,7,27,12,1,5,17,20,21,51,.412,2,11,.182,17,23,.739,7,20,7,9,0,9,18,98.4,95.3,64.0,.422,.333,.583,57.4,50.0,1.6,12.5,.567,23.9,35.0,.267,.431,12.7,74.1,.333
9,2010-12-11,@,Oklahoma,L,60,73,18,50,.360,9,21,.429,15,20,.750,7,22,12,7,4,17,17,27,53,.509,7,14,.500,12,17,.706,8,32,16,9,4,18,18,85.7,104.3,70.3,.400,.420,.504,40.7,66.7,10.0,10.3,.450,22.2,22.6,.300,.575,22.8,65.2,.226
10,2010-12-16,@,Missouri,L,62,81,13,49,.265,4,16,.250,32,38,.842,18,37,9,3,3,19,22,30,64,.469,5,14,.357,16,19,.842,12,29,12,7,5,9,25,89.9,117.4,69.0,.776,.327,.462,56.1,69.2,4.3,6.0,.306,22.1,51.4,.653,.508,11.0,61.3,.250
