G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,Rutgers,W (1 OT),78,73,26,53,.491,9,22,.409,17,23,.739,9,31,17,4,1,15,19,29,59,.492,5,15,.333,10,18,.556,8,25,10,13,3,11,24,111.4,104.3,62.4,.434,.415,.610,55.4,65.4,5.7,2.3,.575,19.0,34.6,.321,.534,14.0,73.3,.169
2,2010-11-14,@,Duke,L,60,97,23,50,.460,6,16,.375,8,19,.421,7,26,14,7,3,27,15,36,65,.554,14,26,.538,11,12,.917,7,27,26,10,5,14,17,76.9,124.4,78.4,.380,.320,.508,49.1,60.9,9.0,7.7,.520,31.4,25.9,.160,.662,16.5,73.1,.169
3,2010-11-22,@,James Madison,L,64,65,21,48,.438,7,17,.412,15,23,.652,7,35,13,6,2,13,18,23,56,.411,6,16,.375,13,16,.813,6,28,17,2,7,8,19,98.5,100.0,65.3,.479,.354,.543,55.6,61.9,9.2,5.0,.510,18.1,24.1,.313,.464,11.2,82.4,.232
4,2010-11-23,N,Bucknell,W,66,55,21,49,.429,8,18,.444,16,21,.762,7,38,11,4,2,14,17,22,57,.386,2,14,.143,9,11,.818,3,22,12,3,3,11,20,97.1,80.9,68.1,.429,.367,.560,63.3,52.4,5.9,4.7,.510,19.2,26.9,.327,.404,15.0,91.2,.158
5,2010-11-24,N,Presbyterian,L,67,69,25,59,.424,7,26,.269,10,15,.667,15,35,18,4,6,5,16,26,53,.491,8,15,.533,9,14,.643,9,30,10,4,1,7,16,117.5,121.1,56.9,.254,.441,.507,53.8,72.0,7.0,15.8,.483,7.0,41.7,.169,.566,10.5,69.0,.170
6,2010-11-28,,Siena,W (1 OT),86,77,27,58,.466,7,17,.412,25,31,.806,5,36,14,5,6,11,21,27,70,.386,5,20,.250,18,29,.621,15,44,11,4,5,13,21,107.5,96.3,71.3,.534,.293,.591,45.0,51.9,6.3,12.0,.526,13.1,14.7,.431,.421,13.4,67.4,.257
7,2010-11-30,@,Lafayette,W,82,64,30,49,.612,9,17,.529,13,17,.765,5,25,21,10,4,14,23,22,55,.400,6,22,.273,14,19,.737,16,29,13,7,3,19,19,122.4,95.5,66.6,.347,.347,.718,46.3,70.0,14.9,12.1,.704,19.7,27.8,.265,.455,22.9,55.6,.255
8,2010-12-05,,St. Joseph's,W,74,65,25,50,.500,10,22,.455,14,18,.778,8,27,15,5,1,14,17,26,56,.464,5,15,.333,8,12,.667,12,29,13,7,3,16,20,113.8,100.0,65.1,.360,.440,.632,48.2,60.0,7.7,2.4,.600,19.3,32.0,.280,.509,20.6,61.3,.143
9,2010-12-08,@,Monmouth,W,64,61,23,53,.434,10,25,.400,8,16,.500,8,27,14,7,11,13,19,23,52,.442,6,15,.400,9,15,.600,7,31,13,8,2,16,17,95.5,91.0,66.9,.302,.472,.528,46.6,60.9,10.4,29.7,.528,17.7,25.0,.151,.500,21.3,73.1,.173
10,2010-12-12,@,Tulsa,W (2 OT),82,78,27,63,.429,4,16,.250,24,30,.800,5,31,7,4,2,7,22,26,67,.388,7,15,.467,19,30,.633,13,39,12,1,7,12,23,102.5,97.5,63.8,.476,.254,.531,44.3,25.9,5.0,3.8,.460,8.3,16.1,.381,.440,12.9,66.7,.284
11,2010-12-17,@,Wagner,W,69,57,25,46,.543,3,5,.600,16,21,.762,5,28,15,5,4,18,23,17,44,.386,2,7,.286,21,25,.840,3,18,8,4,7,15,21,101.5,83.8,68.4,.457,.109,.616,60.9,60.0,7.4,10.8,.576,24.3,25.0,.348,.409,21.2,88.5,.477
12,2010-12-22,@,Towson,W,75,65,29,61,.475,5,16,.313,12,17,.706,16,39,10,4,1,8,23,18,41,.439,4,10,.400,25,31,.806,4,23,6,5,5,10,19,123.0,106.6,61.4,.279,.262,.543,62.9,34.5,6.6,3.2,.516,10.4,45.7,.197,.488,15.2,85.2,.610
13,2010-12-29,N,Northeastern,W,65,63,25,51,.490,6,15,.400,9,19,.474,6,30,12,5,5,15,15,25,59,.424,4,14,.286,9,12,.750,8,29,11,10,5,12,20,94.2,91.3,68.9,.373,.294,.541,50.8,48.0,7.2,11.1,.549,20.0,22.2,.176,.458,15.6,75.0,.153
14,2010-12-30,@,UCF,L,62,68,21,49,.429,6,16,.375,14,15,.933,2,22,9,10,4,9,21,22,51,.431,6,12,.500,18,24,.750,10,37,12,2,3,15,13,95.4,104.6,65.3,.306,.327,.552,37.3,42.9,15.4,10.3,.490,13.8,6.9,.286,.490,19.4,66.7,.353
15,2011-01-05,,Marist,W,68,57,22,51,.431,3,18,.167,21,24,.875,7,37,14,6,6,10,12,21,62,.339,2,16,.125,13,15,.867,10,30,6,4,2,9,18,101.5,85.1,66.8,.471,.353,.545,55.2,63.6,9.0,13.0,.461,13.8,25.9,.412,.355,11.5,75.0,.210
16,2011-01-23,,TCNJ,W,73,40,31,60,.517,6,24,.250,5,9,.556,13,41,20,8,6,14,13,17,49,.347,0,5,.000,6,13,.462,6,24,5,9,2,18,10,110.6,60.6,66.2,.150,.400,.568,63.1,64.5,12.1,13.6,.567,17.9,41.9,.083,.347,24.6,82.4,.122
17,2011-01-28,,Brown,W,78,60,27,57,.474,7,20,.350,17,26,.654,12,40,12,5,3,10,19,20,50,.400,3,16,.188,17,28,.607,5,25,6,2,3,7,20,118.2,90.9,66.3,.456,.351,.562,61.5,44.4,7.6,8.8,.535,12.6,37.5,.298,.430,10.0,84.8,.340
