G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,Elon,W,94,79,35,66,.530,9,16,.563,15,27,.556,14,40,23,10,6,13,22,23,60,.383,13,31,.419,20,28,.714,10,34,16,6,1,15,21,120.5,101.3,78.1,.409,.242,.596,54.1,65.7,12.8,20.7,.598,14.2,36.8,.227,.492,17.0,72.2,.333
2,2010-11-16,@,Michigan State,L,73,82,25,70,.357,11,31,.355,12,21,.571,13,33,11,10,1,20,25,29,53,.547,7,17,.412,17,34,.500,11,38,23,11,5,19,21,89.0,100.0,82.1,.300,.443,.456,46.5,44.0,12.2,2.8,.436,20.0,32.5,.171,.613,21.6,64.5,.321
3,2010-11-19,,Radford,W,85,56,29,69,.420,11,31,.355,16,23,.696,19,48,15,9,8,14,19,19,56,.339,5,15,.333,13,22,.591,10,30,13,6,2,20,22,111.8,73.7,75.7,.333,.449,.532,61.5,51.7,11.8,19.5,.500,14.9,48.7,.232,.384,23.1,74.4,.232
4,2010-11-23,,USC Upstate,W,57,41,23,63,.365,4,18,.222,7,11,.636,18,49,11,4,3,17,13,15,58,.259,3,22,.136,8,16,.500,12,30,10,10,11,12,16,86.4,62.1,66.4,.175,.286,.418,62.0,47.8,6.1,8.3,.397,19.9,50.0,.111,.284,15.5,72.1,.138
5,2010-11-27,@,Western Kentucky,W (2 OT),87,85,33,83,.398,9,22,.409,12,18,.667,15,50,12,11,6,16,23,32,79,.405,8,23,.348,13,21,.619,15,51,15,3,6,18,13,94.6,92.4,73.8,.217,.265,.475,49.5,36.4,12.0,10.7,.452,14.9,29.4,.145,.456,16.8,70.0,.165
6,2010-12-01,,Delaware State,W,74,61,29,56,.518,4,12,.333,12,20,.600,13,30,14,9,8,14,13,22,55,.400,4,19,.211,13,14,.929,10,25,9,7,2,16,19,110.4,91.0,67.1,.357,.214,.565,54.5,48.3,13.4,22.2,.554,17.6,46.4,.214,.436,20.6,63.0,.236
7,2010-12-05,,Clemson,W,64,60,25,54,.463,6,13,.462,8,15,.533,6,27,10,10,6,12,17,22,57,.386,3,16,.188,13,18,.722,12,30,7,6,1,16,19,94.1,88.2,68.3,.278,.241,.524,47.4,40.0,14.7,14.6,.519,16.4,25.0,.148,.412,19.6,63.6,.228
8,2010-12-11,,Wofford,W,64,53,24,49,.490,5,15,.333,11,17,.647,7,35,11,7,5,19,21,17,52,.327,5,15,.333,14,20,.700,10,28,13,8,1,17,17,92.8,76.8,68.8,.347,.306,.561,55.6,45.8,10.1,13.5,.541,25.0,28.0,.224,.375,21.7,73.7,.269
9,2010-12-18,@,Ohio State,L,57,79,23,60,.383,8,21,.381,3,7,.429,9,31,10,3,5,15,21,27,63,.429,4,16,.250,21,28,.750,13,43,14,6,7,8,11,81.4,112.9,70.3,.117,.350,.450,41.9,43.5,4.3,10.6,.450,19.2,23.1,.050,.460,9.5,62.9,.333
10,2010-12-22,@,Furman,L,75,91,26,60,.433,12,30,.400,11,20,.550,9,23,9,3,6,14,25,30,57,.526,7,15,.467,24,29,.828,12,39,18,7,1,15,14,101.4,123.0,74.1,.333,.500,.540,37.1,34.6,4.1,14.3,.533,16.8,25.0,.183,.588,17.5,53.8,.421
