G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,,Huston-Tillotson,W,82,65,31,60,.517,5,18,.278,15,25,.600,12,40,13,12,2,21,24,20,66,.303,7,26,.269,18,27,.667,14,33,6,8,1,21,23,98.8,78.3,83.4,.417,.300,.570,54.8,41.9,14.5,5.0,.558,22.6,38.7,.250,.356,21.0,66.7,.273
2,2010-11-17,@,Evansville,L,73,77,28,62,.452,7,19,.368,10,15,.667,14,33,9,8,1,17,28,24,51,.471,5,15,.333,24,33,.727,11,32,15,6,1,16,20,101.4,106.9,71.9,.242,.306,.528,50.8,32.1,11.1,2.8,.508,19.7,40.0,.161,.520,19.4,63.3,.471
3,2010-11-19,,Cameron,W,71,61,24,55,.436,6,20,.300,17,22,.773,11,33,16,8,3,15,17,24,53,.453,7,24,.292,6,10,.600,8,29,11,5,1,20,21,101.4,87.1,69.6,.400,.364,.542,53.2,66.7,11.4,10.3,.491,18.6,34.4,.309,.519,25.7,73.3,.113
4,2010-11-22,,Troy,W,81,70,25,62,.403,10,31,.323,21,27,.778,11,45,11,8,1,19,23,25,64,.391,8,32,.250,12,19,.632,7,33,8,7,2,16,23,98.8,85.4,82.4,.435,.500,.541,57.7,44.0,9.8,3.1,.484,20.3,29.7,.339,.453,18.0,82.9,.188
5,2010-11-30,,San Jose State,W,72,63,25,60,.417,5,21,.238,17,26,.654,9,32,11,8,1,11,15,24,63,.381,7,19,.368,8,14,.571,14,44,11,7,1,17,22,97.3,85.1,73.5,.433,.350,.498,42.1,44.0,10.8,2.3,.458,13.2,23.1,.283,.437,19.6,62.2,.127
6,2010-12-02,@,UC-Riverside,L,75,82,26,70,.371,8,25,.320,15,19,.789,15,33,9,9,3,9,20,25,57,.439,10,21,.476,22,28,.786,13,40,16,7,7,15,17,102.7,112.3,72.7,.271,.357,.475,45.2,34.6,12.3,8.3,.429,10.2,35.7,.214,.526,17.6,58.1,.386
7,2010-12-04,@,Pepperdine,W,86,81,28,58,.483,11,25,.440,19,29,.655,8,27,19,4,3,8,24,22,58,.379,8,28,.286,29,39,.744,17,41,10,4,1,12,25,119.4,112.5,71.7,.500,.431,.599,39.7,67.9,5.6,10.0,.578,10.0,25.0,.328,.448,13.6,52.8,.500
8,2010-12-11,@,Houston,W,68,63,25,54,.463,8,17,.471,10,16,.625,8,39,18,5,5,11,21,23,66,.348,3,14,.214,14,20,.700,13,36,14,5,5,7,21,101.5,94.0,67.1,.296,.315,.552,52.0,72.0,7.5,9.6,.537,15.2,25.8,.185,.371,8.5,70.5,.212
9,2010-12-20,,Samford,L,73,74,24,57,.421,9,22,.409,16,21,.762,8,36,14,9,2,15,16,22,55,.400,18,39,.462,12,19,.632,5,28,19,7,4,14,17,98.6,100.0,73.5,.368,.386,.545,56.3,58.3,12.2,12.5,.500,18.3,25.8,.281,.564,17.9,84.8,.218
10,2010-12-23,@,Tulsa,L,67,92,20,55,.364,6,19,.316,21,27,.778,4,22,11,11,2,13,20,31,60,.517,13,25,.520,17,20,.850,9,39,17,6,6,17,20,87.0,119.5,77.2,.491,.345,.494,36.1,55.0,14.3,5.7,.418,16.1,11.8,.382,.625,19.7,66.7,.283
11,2010-12-30,@,Bowling Green State,L,59,70,19,47,.404,6,20,.300,15,22,.682,6,29,13,7,1,20,20,27,53,.509,4,14,.286,12,24,.500,7,32,11,12,6,13,19,83.1,98.6,70.9,.468,.426,.513,47.5,68.4,9.9,2.6,.468,25.8,19.4,.319,.547,16.8,76.7,.226
12,2011-01-03,@,Oklahoma State,L,63,79,22,54,.407,11,20,.550,8,12,.667,5,20,15,10,4,11,19,28,46,.609,3,11,.273,20,22,.909,4,33,14,8,0,16,18,94.0,117.9,67.1,.222,.370,.528,37.7,68.2,14.9,11.4,.509,15.6,14.7,.148,.641,22.1,78.9,.435
13,2011-01-08,,Sam Houston State,L,59,62,24,59,.407,6,21,.286,5,9,.556,10,34,11,2,4,12,17,23,55,.418,5,19,.263,11,15,.733,9,32,11,5,2,8,17,93.7,98.4,63.2,.153,.356,.466,51.5,45.8,3.2,11.1,.458,15.9,30.3,.085,.464,11.4,72.7,.200
14,2011-01-12,@,Texas A&M-Corpus Christi,W,55,47,21,50,.420,4,15,.267,9,10,.900,7,31,12,8,1,12,15,19,52,.365,2,15,.133,7,13,.538,10,28,12,6,2,12,17,91.7,78.3,60.0,.200,.300,.502,52.5,57.1,13.3,2.7,.460,18.0,28.0,.180,.385,17.1,70.6,.135
15,2011-01-15,,Stephen F. Austin,L,59,68,21,46,.457,4,10,.400,13,19,.684,8,23,10,4,3,17,25,23,49,.469,2,11,.182,20,26,.769,10,28,10,6,1,12,23,92.2,106.3,63.7,.413,.217,.536,45.1,47.6,6.3,7.9,.500,23.6,30.8,.283,.490,16.4,60.0,.408
16,2011-01-19,@,Northwestern State,W,63,58,20,46,.435,6,17,.353,17,25,.680,5,31,12,11,3,21,29,18,56,.321,3,20,.150,19,30,.633,12,34,7,7,4,19,24,82.9,76.3,75.6,.543,.370,.544,47.7,60.0,14.5,8.3,.500,26.6,18.5,.370,.348,21.3,68.4,.339
17,2011-01-22,,Texas State,W,88,84,28,60,.467,7,19,.368,25,34,.735,12,41,13,5,3,17,25,27,67,.403,10,25,.400,20,32,.625,17,42,14,8,4,14,24,110.0,105.0,80.2,.567,.317,.578,49.4,46.4,6.3,7.1,.525,18.3,32.4,.417,.478,14.6,63.0,.299
18,2011-01-24,,Panhandle State,W,71,50,25,62,.403,8,26,.308,13,30,.433,12,40,16,12,2,8,16,20,58,.345,5,23,.217,5,14,.357,11,38,10,5,5,17,24,100.0,70.4,71.5,.484,.419,.466,51.3,64.0,16.9,5.7,.468,9.5,30.8,.210,.388,20.8,71.8,.086
19,2011-01-29,@,Sam Houston State,L,67,88,20,54,.370,5,19,.263,22,33,.667,12,34,17,6,2,16,25,28,49,.571,10,21,.476,22,29,.759,4,30,25,10,3,14,27,91.8,120.5,73.2,.611,.352,.481,53.1,85.0,8.2,7.1,.417,18.7,31.6,.407,.673,18.2,84.6,.449
20,2011-02-02,,Texas-Arlington,W,70,62,23,57,.404,7,25,.280,17,25,.680,11,30,10,10,4,13,10,23,50,.460,11,26,.423,5,7,.714,6,28,11,6,3,21,17,100.0,88.6,69.6,.439,.439,.508,51.7,43.5,14.3,16.7,.465,15.9,33.3,.298,.570,28.3,76.0,.100
