G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2010-11-12,@,Clemson,L,64,87,23,57,.404,8,23,.348,10,19,.526,7,24,13,6,1,14,32,28,47,.596,6,17,.353,25,46,.543,10,31,16,7,4,11,24,90.1,122.5,71.4,.333,.404,.485,43.6,56.5,8.5,3.3,.474,17.5,25.0,.175,.660,13.8,63.0,.532
2,2010-11-16,@,DePaul,W,69,64,25,65,.385,5,20,.250,14,21,.667,12,42,12,7,6,16,22,21,53,.396,2,13,.154,20,32,.625,5,30,9,10,2,12,22,89.6,83.1,77.1,.323,.308,.460,58.3,48.0,9.1,15.0,.423,17.6,32.4,.215,.415,15.0,85.7,.377
3,2010-11-20,@,UTEP,L,65,77,22,62,.355,8,24,.333,13,17,.765,16,31,11,10,1,12,25,24,45,.533,4,6,.667,25,34,.735,5,29,18,9,8,22,20,90.3,106.9,72.1,.274,.387,.464,51.7,50.0,13.9,2.6,.419,14.6,40.0,.210,.578,26.5,75.0,.556
4,2010-11-22,,Warren Wilson,W,97,47,40,74,.541,4,18,.222,13,27,.481,20,51,19,18,6,7,15,19,57,.333,4,18,.222,5,9,.556,10,29,11,3,1,22,20,131.1,63.5,73.6,.365,.243,.559,63.8,47.5,24.3,15.4,.568,7.5,51.3,.176,.368,26.4,75.6,.088
5,2010-11-26,N,Mercer,L,66,71,24,62,.387,3,24,.125,15,21,.714,16,36,10,9,2,14,27,23,50,.460,3,10,.300,22,34,.647,12,34,13,8,3,14,20,95.7,102.9,69.1,.339,.387,.458,51.4,41.7,13.0,5.0,.411,16.3,42.1,.242,.490,17.5,62.5,.440
6,2010-11-27,N,Gardner-Webb,L,65,71,20,51,.392,9,17,.529,16,23,.696,11,27,11,6,6,15,26,21,51,.412,5,10,.500,24,31,.774,10,31,9,5,1,16,19,94.2,102.9,68.8,.451,.333,.525,46.6,55.0,8.7,14.6,.480,19.5,34.4,.314,.461,19.6,61.5,.471
7,2010-11-28,@,William & Mary,W,64,39,25,57,.439,7,15,.467,7,10,.700,12,32,13,13,3,9,15,14,38,.368,3,16,.188,8,11,.727,2,22,9,3,4,19,13,108.5,66.1,59.5,.175,.263,.518,59.3,52.0,22.0,13.6,.500,12.7,37.5,.123,.408,30.5,90.9,.211
8,2010-11-30,,Bradley,W,66,65,20,54,.370,7,21,.333,19,23,.826,16,42,15,4,5,16,19,23,53,.434,5,14,.357,14,20,.700,5,25,12,8,1,10,21,100.0,98.5,66.2,.426,.389,.508,62.7,75.0,6.1,12.8,.435,19.8,44.4,.352,.481,13.8,83.9,.264
9,2010-12-02,@,Samford,L,58,63,19,54,.352,8,22,.364,12,17,.706,11,32,11,10,4,17,22,19,42,.452,7,21,.333,18,24,.750,4,29,13,6,1,18,13,85.3,92.6,67.7,.315,.407,.467,52.5,57.9,14.7,19.0,.426,21.5,30.6,.222,.536,25.2,84.0,.429
10,2010-12-04,@,Chattanooga,L,65,67,21,65,.323,9,32,.281,14,26,.538,12,34,15,8,2,10,26,18,50,.360,5,17,.294,26,37,.703,10,44,12,6,3,16,21,87.8,90.5,74.5,.400,.492,.420,43.6,71.4,10.8,6.1,.392,11.4,26.1,.215,.410,19.1,68.8,.520
