G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,North Florida,W,64,44,22,54,.407,5,16,.313,15,17,.882,13,40,13,4,7,14,23,13,56,.232,3,21,.143,15,26,.577,17,35,8,4,1,12,15,101.6,69.8,63.2,.315,.296,.516,53.3,59.1,6.3,20.0,.454,18.4,41.9,.278,.259,14.9,61.4,.268
2,2011-11-14,,Oakland,W,74,57,28,55,.509,3,8,.375,15,20,.750,10,36,13,4,4,14,17,20,50,.400,4,18,.222,13,24,.542,5,24,5,8,1,12,18,108.8,83.8,68.5,.364,.145,.574,60.0,46.4,5.9,12.5,.536,17.8,34.5,.273,.440,16.3,83.9,.260
3,2011-11-17,N,Maryland,W,62,42,24,56,.429,7,16,.438,7,14,.500,13,44,12,3,4,14,20,13,49,.265,2,12,.167,14,25,.560,9,28,8,3,5,9,19,100.0,67.7,62.3,.250,.286,.495,61.1,50.0,4.8,10.8,.491,18.3,40.6,.125,.286,12.9,77.5,.286
4,2011-11-18,N,Wichita State,W,70,60,23,53,.434,1,8,.125,23,28,.821,9,36,11,8,14,13,20,22,65,.338,7,20,.350,9,15,.600,17,40,9,7,5,17,21,98.6,84.5,71.2,.528,.151,.528,47.4,47.8,11.3,31.1,.443,16.4,28.1,.434,.392,19.1,61.4,.138
5,2011-11-20,N,Purdue,W,65,56,23,53,.434,5,19,.263,14,18,.778,9,38,15,4,1,9,21,20,57,.351,5,22,.227,11,19,.579,13,35,11,5,3,8,17,106.6,91.8,61.3,.340,.358,.528,52.1,65.2,6.6,2.9,.481,12.8,29.0,.264,.395,10.8,69.0,.193
6,2011-11-23,,Alabama A&M,W,82,45,27,69,.391,6,21,.286,22,32,.688,22,47,12,14,6,6,20,11,46,.239,1,12,.083,22,30,.733,7,27,4,2,4,16,24,118.8,65.2,68.7,.464,.304,.487,63.5,44.4,20.3,17.6,.435,6.7,52.4,.319,.250,21.0,78.1,.478
7,2011-11-27,,VCU,W,72,64,26,50,.520,1,11,.091,19,26,.731,11,32,11,7,6,13,17,22,55,.400,6,21,.286,14,19,.737,12,27,12,5,2,14,21,110.8,98.5,65.2,.520,.220,.577,54.2,42.3,10.8,17.6,.530,17.3,42.3,.380,.455,17.9,63.6,.255
8,2011-12-01,,Georgetown,L,55,57,19,43,.442,3,16,.188,14,19,.737,6,26,10,5,3,9,13,21,48,.438,7,17,.412,8,10,.800,7,26,13,5,2,10,16,100.0,103.6,55.4,.442,.372,.529,50.0,52.6,9.1,9.7,.477,14.7,24.0,.326,.510,15.9,74.1,.167
9,2011-12-07,@,Dayton,L,62,74,27,54,.500,4,16,.250,4,8,.500,8,20,18,7,3,11,15,28,46,.609,10,19,.526,8,11,.727,5,26,18,4,1,14,14,101.6,121.3,60.5,.148,.296,.536,43.5,66.7,11.5,11.1,.537,16.0,27.6,.074,.717,21.5,70.6,.174
10,2011-12-11,,Detroit,W,62,54,24,50,.480,2,15,.133,12,17,.706,5,26,16,7,3,13,23,17,53,.321,0,12,.000,20,26,.769,18,38,7,4,4,13,15,98.4,85.7,63.2,.340,.300,.534,40.6,66.7,11.1,7.3,.500,18.3,20.0,.240,.321,16.6,53.8,.377
11,2011-12-17,N,Kansas State,L,58,71,24,54,.444,2,14,.143,8,12,.667,7,28,14,5,3,18,27,23,52,.442,3,12,.250,22,33,.667,9,32,16,8,4,13,14,81.7,100.0,71.2,.222,.259,.486,46.7,58.3,7.0,7.5,.463,23.2,23.3,.148,.471,16.1,70.0,.423
