G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,@,Middle Tennessee,L,71,80,23,59,.390,6,18,.333,19,36,.528,18,37,9,8,4,19,27,27,49,.551,5,13,.385,21,31,.677,10,33,17,9,5,20,26,94.7,106.7,75.4,.610,.305,.466,52.9,39.1,10.7,11.1,.441,20.0,43.9,.322,.602,23.9,65.5,.429
2,2011-11-15,@,California,L,55,72,23,62,.371,2,17,.118,7,8,.875,7,27,13,5,2,16,19,28,53,.528,1,12,.083,15,21,.714,7,35,14,6,3,13,12,76.4,100.0,71.9,.129,.274,.418,43.5,56.5,6.9,4.9,.387,19.6,20.0,.113,.538,17.1,74.1,.283
3,2011-11-19,@,Oral Roberts,L,59,71,22,60,.367,4,18,.222,11,16,.688,10,29,12,5,1,12,19,24,58,.414,6,20,.300,17,22,.773,13,36,11,5,2,9,14,88.1,106.0,67.0,.267,.300,.436,44.6,54.5,7.5,2.6,.400,15.1,30.3,.183,.466,11.6,59.4,.293
4,2011-11-21,@,Bowling Green State,L,72,82,27,53,.509,4,12,.333,14,27,.519,9,34,14,5,5,19,19,32,69,.464,8,13,.615,10,14,.714,15,36,15,8,2,13,20,96.0,109.3,74.7,.509,.226,.547,48.6,51.9,6.7,8.9,.547,22.4,30.0,.264,.522,14.7,62.5,.145
5,2011-11-22,N,George Washington,L,52,54,20,58,.345,4,14,.286,8,13,.615,10,30,9,9,2,10,16,21,53,.396,5,12,.417,7,12,.583,10,36,8,4,3,16,14,81.3,84.4,64.4,.224,.241,.405,45.5,45.0,14.1,4.9,.379,13.5,27.8,.138,.443,21.4,66.7,.132
6,2011-11-23,N,Detroit,L (1 OT),93,94,36,73,.493,4,13,.308,17,28,.607,14,31,20,13,4,12,22,35,61,.574,7,16,.438,17,23,.739,11,35,17,4,2,20,21,112.0,113.3,73.4,.384,.178,.539,47.0,55.6,15.7,8.9,.521,12.2,36.8,.233,.631,21.8,60.7,.279
7,2011-11-26,,Middle Tennessee,L,70,90,21,58,.362,4,17,.235,24,33,.727,7,22,10,13,2,12,22,33,51,.647,7,14,.500,17,27,.630,8,38,18,8,6,20,24,90.9,116.9,77.3,.569,.293,.475,36.7,47.6,16.9,5.4,.397,14.0,18.9,.414,.716,23.9,65.2,.333
8,2011-11-28,@,Lipscomb,L,59,67,23,59,.390,2,17,.118,11,15,.733,7,40,9,8,8,23,17,25,73,.342,5,24,.208,12,16,.750,14,43,12,14,4,12,16,73.8,83.8,80.4,.254,.288,.446,48.2,39.1,10.0,16.3,.407,25.8,19.4,.186,.377,13.0,70.2,.164
9,2011-12-03,@,Memphis,L,60,91,24,72,.333,2,10,.200,10,13,.769,16,28,11,9,2,15,17,32,56,.571,15,25,.600,12,24,.500,9,37,23,8,5,19,14,77.9,118.2,77.3,.181,.139,.384,43.1,45.8,11.7,6.5,.347,16.1,36.4,.139,.705,22.0,57.1,.214
10,2011-12-05,,Arkansas State,W (1 OT),86,82,29,57,.509,5,14,.357,23,33,.697,6,30,18,4,4,11,16,30,62,.484,11,22,.500,11,20,.550,10,31,15,4,5,13,24,113.2,107.9,67.6,.579,.246,.592,49.2,62.1,5.3,10.0,.553,13.1,22.2,.404,.573,15.4,70.6,.177
11,2011-12-10,@,Tennessee,W,74,70,26,44,.591,5,8,.625,17,22,.773,5,23,15,10,6,16,15,28,60,.467,5,19,.263,9,16,.563,18,33,16,8,2,17,19,112.1,106.1,66.0,.500,.182,.680,41.1,57.7,15.2,14.6,.648,22.7,25.0,.386,.508,20.1,50.0,.150
12,2011-12-17,,Rochester (MI),W,72,50,24,51,.471,8,15,.533,16,21,.762,11,34,14,8,5,13,14,17,53,.321,9,29,.310,7,9,.778,12,32,11,3,3,16,18,116.1,80.6,62.1,.412,.294,.590,51.5,58.3,12.9,20.8,.549,17.6,35.5,.314,.406,21.8,65.7,.132
13,2011-12-21,,Belmont,L,67,77,26,57,.456,5,13,.385,10,22,.455,11,33,12,6,3,17,21,23,49,.469,6,17,.353,25,32,.781,9,32,11,11,3,18,22,91.8,105.5,73.3,.386,.228,.497,50.8,46.2,8.2,9.4,.500,20.1,32.4,.175,.531,21.9,71.0,.510
14,2011-12-29,@,Eastern Kentucky,L,65,67,25,60,.417,3,11,.273,12,17,.706,15,41,15,3,4,17,21,24,56,.429,5,24,.208,14,23,.609,9,27,9,10,2,8,17,95.6,98.5,68.0,.283,.183,.477,60.3,60.0,4.4,12.5,.442,20.0,45.5,.200,.473,10.7,74.3,.250
15,2011-12-31,@,Morehead State,L,64,68,21,52,.404,2,12,.167,20,26,.769,10,28,13,7,4,12,19,21,50,.420,8,22,.364,18,22,.818,10,33,15,8,4,13,22,98.5,104.6,64.9,.500,.231,.497,45.9,61.9,10.8,14.3,.423,15.7,30.3,.385,.500,17.7,64.3,.360
16,2012-01-07,,Murray State,L,75,87,29,66,.439,6,15,.400,11,15,.733,10,29,13,8,4,10,19,30,55,.545,10,18,.556,17,23,.739,5,30,12,7,6,11,16,102.7,119.2,72.5,.227,.227,.513,49.2,44.8,11.0,10.8,.485,12.0,28.6,.167,.636,14.3,79.2,.309
17,2012-01-12,,Eastern Kentucky,W,80,65,29,48,.604,2,7,.286,20,31,.645,10,30,16,8,4,13,12,28,57,.491,9,26,.346,0,5,.000,9,26,17,6,2,13,27,123.1,100.0,64.6,.646,.146,.638,53.6,55.2,12.3,12.9,.625,17.2,37.0,.417,.570,18.0,69.0,.000
18,2012-01-14,,Jacksonville State,W,60,57,21,48,.438,3,8,.375,15,19,.789,10,29,8,5,5,10,17,19,48,.396,4,8,.500,15,20,.750,9,26,12,2,7,12,16,101.7,96.6,58.8,.396,.167,.526,52.7,38.1,8.5,12.5,.469,14.9,37.0,.313,.438,17.3,67.9,.313
19,2012-01-16,,Tennessee State,W,69,63,24,48,.500,4,14,.286,17,26,.654,7,28,14,7,7,20,18,24,57,.421,5,16,.313,10,15,.667,13,35,11,7,2,21,23,94.5,86.3,72.7,.542,.292,.572,44.4,58.3,9.6,17.1,.542,24.9,24.1,.354,.465,24.7,61.8,.175
20,2012-01-19,@,SIU-Edwardsville,W,80,67,35,64,.547,5,9,.556,5,10,.500,12,35,18,11,3,15,14,26,51,.510,7,17,.412,8,15,.533,5,25,14,5,2,18,19,112.7,94.4,71.4,.156,.141,.582,58.3,51.4,15.5,8.8,.586,17.9,37.5,.078,.578,23.6,82.1,.157
21,2012-01-21,@,Eastern Illinois,W,76,64,25,54,.463,5,13,.385,21,29,.724,9,29,10,10,2,11,13,26,61,.426,4,13,.308,8,12,.667,13,36,11,7,0,16,23,108.6,91.4,69.7,.537,.241,.561,44.6,40.0,14.3,4.2,.509,14.0,28.1,.389,.459,19.3,60.6,.131
22,2012-01-26,@,Southeast Missouri State,L,60,65,18,52,.346,4,13,.308,20,27,.741,8,23,7,9,2,12,20,23,55,.418,5,12,.417,14,26,.538,17,45,10,2,5,23,23,84.5,91.5,71.1,.519,.250,.463,33.8,38.9,12.7,4.7,.385,15.6,22.2,.385,.464,25.5,46.9,.255
23,2012-01-28,,UT-Martin,W,92,73,30,55,.545,4,10,.400,28,39,.718,14,38,12,6,6,12,14,31,68,.456,6,16,.375,5,11,.455,12,28,12,6,0,13,29,126.0,100.0,72.9,.709,.182,.626,57.6,40.0,8.2,11.5,.582,14.0,46.7,.509,.500,15.1,66.7,.074
24,2012-01-30,@,Tennessee State,L,57,77,19,49,.388,2,14,.143,17,27,.630,7,27,3,5,1,12,16,30,57,.526,7,17,.412,10,14,.714,6,34,16,7,2,9,25,85.1,114.9,66.7,.551,.286,.461,44.3,15.8,7.5,2.5,.408,16.3,20.0,.347,.588,12.4,76.9,.175
25,2012-02-02,,Tennessee Tech,L,88,94,30,64,.469,4,15,.267,24,30,.800,12,32,11,10,6,18,23,29,63,.460,6,16,.375,30,37,.811,14,36,15,11,4,16,23,106.0,113.3,83.4,.469,.234,.562,47.1,36.7,12.0,12.8,.500,18.7,35.3,.375,.508,16.6,58.8,.476
26,2012-02-06,@,Belmont,L,55,94,21,50,.420,2,12,.167,11,19,.579,7,25,14,6,0,19,15,35,66,.530,10,25,.400,14,18,.778,9,34,26,11,2,9,18,75.3,128.8,72.8,.380,.240,.466,42.4,66.7,8.2,0.0,.440,24.4,21.9,.220,.606,10.8,66.7,.212
27,2012-02-11,@,Murray State,L,63,82,22,48,.458,7,12,.583,12,20,.600,11,22,8,6,4,17,26,27,52,.519,8,19,.421,20,28,.714,14,33,14,9,4,17,19,95.5,124.2,65.9,.417,.250,.548,40.0,36.4,9.1,12.1,.531,22.8,36.7,.250,.596,20.7,44.0,.385
28,2012-02-15,,Morehead State,L,48,52,18,43,.419,4,17,.235,8,17,.471,10,29,13,6,3,13,12,16,43,.372,4,16,.250,16,17,.941,7,27,7,9,0,12,19,87.3,94.5,55.1,.395,.395,.470,51.8,72.2,10.9,11.1,.465,20.3,33.3,.186,.419,19.0,73.1,.372
29,2012-02-18,,Youngstown State,W,71,68,22,66,.333,6,22,.273,21,27,.778,24,47,10,5,1,13,16,24,56,.429,13,29,.448,7,10,.700,9,28,13,6,7,14,18,106.0,101.5,66.8,.409,.333,.450,62.7,45.5,7.5,3.7,.379,14.2,55.8,.318,.545,18.7,71.9,.125
30,2012-02-23,@,UT-Martin,W,85,67,30,54,.556,8,15,.533,17,27,.630,10,33,15,6,5,11,22,23,52,.442,5,12,.417,16,25,.640,10,28,13,4,1,15,22,125.0,98.5,68.4,.500,.278,.636,54.1,50.0,8.8,12.5,.630,14.1,35.7,.315,.490,19.0,69.7,.308
31,2012-02-25,,Southeast Missouri State,W,68,59,22,46,.478,8,16,.500,16,22,.727,6,28,11,4,3,12,19,21,52,.404,2,10,.200,15,22,.682,10,32,9,8,1,12,22,107.9,93.7,63.5,.478,.348,.602,46.7,50.0,6.3,7.1,.565,17.5,21.4,.348,.423,16.1,68.8,.288
32,2012-02-29,N,Jacksonville State,L,70,75,27,51,.529,5,12,.417,11,20,.550,12,31,11,5,3,17,14,27,58,.466,6,20,.300,15,19,.789,14,29,14,7,5,13,20,106.1,113.6,65.8,.392,.235,.579,51.7,40.7,7.6,7.9,.578,21.9,44.4,.216,.517,16.2,57.6,.259
