G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,Texas Southern,W,77,57,26,53,.491,6,18,.333,19,29,.655,14,43,16,11,7,17,20,20,53,.377,7,20,.350,10,20,.500,8,26,8,10,1,18,30,108.5,80.3,71.1,.547,.340,.577,62.3,61.5,15.5,21.2,.547,20.3,43.8,.358,.443,22.4,78.4,.189
2,2011-11-13,,Jackson State,W,92,59,26,57,.456,10,23,.435,30,37,.811,13,39,17,11,11,13,16,19,63,.302,6,17,.353,15,23,.652,19,36,13,5,2,19,27,124.3,79.7,74.3,.649,.404,.617,52.0,65.4,14.9,23.9,.544,14.8,43.3,.526,.349,20.4,57.8,.238
3,2011-11-15,,San Diego State,W,77,67,24,52,.462,9,17,.529,20,24,.833,10,36,18,10,5,21,21,21,59,.356,8,24,.333,17,20,.850,9,27,8,10,2,21,22,100.0,87.0,77.5,.462,.327,.607,57.1,75.0,13.0,14.3,.548,24.9,35.7,.385,.424,23.5,74.3,.288
4,2011-11-22,,South Carolina State,W,70,50,26,57,.456,8,19,.421,10,18,.556,8,30,12,13,6,12,14,19,56,.339,6,15,.400,6,11,.545,13,35,3,4,5,22,16,100.0,71.4,69.9,.316,.333,.534,46.2,46.2,18.6,14.6,.526,15.5,26.7,.175,.393,26.4,62.9,.107
5,2011-11-23,,Texas-Arlington,W,75,65,23,57,.404,6,16,.375,23,28,.821,16,46,16,5,13,23,21,23,65,.354,7,23,.304,12,21,.571,14,30,12,12,5,17,26,96.2,83.3,77.6,.491,.281,.533,60.5,69.6,6.4,31.0,.456,24.7,50.0,.404,.408,18.5,68.2,.185
6,2011-11-29,,Prairie View,W,90,54,28,54,.519,4,13,.308,30,37,.811,9,37,17,9,5,8,16,20,60,.333,9,19,.474,5,12,.417,14,35,10,4,3,19,28,126.8,76.1,70.6,.685,.241,.629,51.4,60.7,12.7,12.2,.556,10.1,30.0,.556,.408,22.4,66.7,.083
7,2011-12-04,@,Northwestern,W,69,41,29,48,.604,4,18,.222,7,12,.583,5,35,18,8,9,14,18,14,58,.241,4,26,.154,9,14,.643,12,26,13,3,2,11,17,109.5,65.1,63.2,.250,.375,.642,57.4,62.1,12.7,28.1,.646,20.7,26.3,.146,.276,14.5,71.4,.155
8,2011-12-14,,Bethune-Cookman,W,69,42,28,50,.560,6,11,.545,7,15,.467,11,35,15,6,9,16,14,16,46,.348,2,7,.286,8,15,.533,8,21,11,7,1,18,16,109.5,66.7,62.6,.300,.220,.604,62.5,53.6,9.5,23.1,.620,21.9,45.8,.140,.370,25.3,75.0,.174
9,2011-12-17,@,BYU,W,86,83,32,63,.508,13,25,.520,9,15,.600,5,26,17,10,4,13,19,32,68,.471,7,21,.333,12,20,.600,16,41,14,6,6,16,19,110.3,106.4,77.8,.238,.397,.613,38.8,53.1,12.8,8.5,.611,15.6,16.7,.143,.522,17.1,56.8,.176
10,2011-12-19,,Paul Quinn,W,95,54,38,63,.603,9,18,.500,10,14,.714,12,46,24,7,11,15,15,19,59,.322,3,13,.231,13,19,.684,7,17,11,10,3,12,10,130.1,74.0,72.8,.222,.286,.682,73.0,63.2,9.6,23.9,.675,17.7,54.5,.159,.347,15.0,82.9,.220
11,2011-12-22,N,Saint Mary's,W,72,59,26,52,.500,5,14,.357,15,20,.750,11,33,7,6,5,15,15,22,51,.431,5,20,.250,10,15,.667,6,20,9,9,0,13,18,110.8,90.8,65.3,.385,.269,.585,62.3,26.9,9.2,16.1,.548,19.6,44.0,.288,.480,18.3,78.6,.196
12,2011-12-23,N,West Virginia,W (1 OT),83,81,30,63,.476,12,25,.480,11,14,.786,9,31,12,9,0,12,16,32,67,.478,9,20,.450,8,15,.533,14,36,16,5,4,14,14,113.7,111.0,65.2,.222,.397,.596,46.3,40.0,12.3,0.0,.571,14.7,29.0,.175,.545,15.9,61.1,.119
13,2011-12-28,N,Mississippi State,W,54,52,19,55,.345,5,17,.294,11,17,.647,14,38,8,10,4,15,10,22,54,.407,5,17,.294,3,7,.429,8,31,12,9,4,14,15,84.4,81.3,63.7,.309,.309,.428,55.1,42.1,15.6,10.8,.391,19.2,37.8,.200,.454,19.6,75.0,.056
14,2012-01-02,,Texas A&M,W,61,52,20,51,.392,2,12,.167,19,24,.792,9,37,13,7,8,16,14,18,63,.286,7,25,.280,9,13,.692,12,32,9,5,3,13,20,87.1,74.3,69.8,.471,.235,.489,53.6,65.0,10.0,21.1,.412,20.4,31.0,.373,.341,15.8,70.0,.143
15,2012-01-07,@,Texas Tech,W,73,60,23,47,.489,7,15,.467,20,30,.667,10,31,13,7,5,14,18,19,48,.396,6,16,.375,16,22,.727,5,20,12,6,2,13,25,110.6,90.9,65.9,.638,.319,.596,60.8,56.5,10.6,15.6,.564,18.6,40.0,.426,.458,18.2,80.8,.333
16,2012-01-10,@,Kansas State,W,75,73,29,54,.537,6,16,.375,11,15,.733,12,25,20,13,2,18,27,25,50,.500,5,14,.357,18,23,.783,8,21,18,5,1,20,17,107.1,104.3,70.0,.278,.296,.613,54.3,69.0,18.6,5.6,.593,22.7,48.0,.204,.550,24.7,61.9,.360
17,2012-01-14,,Oklahoma State,W,106,65,36,68,.529,15,28,.536,19,23,.826,15,44,25,10,5,14,21,21,54,.389,5,19,.263,18,24,.750,6,22,9,7,4,19,21,135.9,83.3,78.2,.338,.412,.672,66.7,69.4,12.8,14.3,.640,15.1,48.4,.279,.435,22.5,82.9,.333
18,2012-01-16,@,Kansas,L,74,92,29,63,.460,7,23,.304,9,11,.818,6,21,20,12,5,11,19,35,61,.574,6,11,.545,16,21,.762,14,36,21,8,4,15,12,101.4,126.0,72.6,.175,.365,.542,36.8,69.0,16.4,10.0,.516,13.9,21.4,.143,.623,17.4,51.7,.262
19,2012-01-21,,Missouri,L,88,89,36,63,.571,7,16,.438,9,11,.818,10,24,23,7,5,19,25,30,55,.545,7,21,.333,22,31,.710,12,27,18,11,5,18,14,115.8,117.1,76.5,.175,.254,.645,47.1,63.9,9.2,14.7,.627,21.8,40.0,.143,.609,20.5,53.8,.400
20,2012-01-24,@,Oklahoma,W,77,65,27,50,.540,9,18,.500,14,17,.824,8,28,14,4,4,12,11,27,58,.466,3,12,.250,8,11,.727,11,24,14,5,2,8,14,126.2,106.6,61.2,.340,.360,.663,53.8,51.9,6.6,8.7,.630,17.1,38.1,.280,.491,11.2,64.5,.138
21,2012-01-28,,Texas,W,76,71,22,47,.468,5,15,.333,27,34,.794,11,37,14,2,4,18,22,24,60,.400,7,24,.292,16,26,.615,11,24,14,9,2,9,25,108.6,101.4,70.3,.723,.319,.602,60.7,63.6,2.9,11.1,.521,22.2,45.8,.574,.458,11.1,70.3,.267
22,2012-02-01,@,Texas A&M,W,63,60,23,58,.397,7,21,.333,10,14,.714,10,35,13,7,3,7,11,24,61,.393,7,22,.318,5,7,.714,8,33,16,5,2,7,14,101.6,96.8,62.5,.241,.362,.487,51.5,56.5,11.3,7.7,.457,9.8,28.6,.172,.451,9.8,75.8,.082
23,2012-02-04,@,Oklahoma State,W,64,60,24,59,.407,4,19,.211,12,16,.750,14,37,6,6,2,15,17,20,50,.400,6,19,.316,14,15,.933,7,28,7,7,5,14,18,97.0,90.9,65.9,.271,.322,.480,56.9,25.0,9.1,6.5,.441,18.4,40.0,.203,.460,19.7,76.7,.280
24,2012-02-08,,Kansas,L,54,68,20,54,.370,2,8,.250,12,21,.571,13,29,7,11,4,12,18,23,45,.511,6,14,.429,16,21,.762,7,30,17,6,4,19,22,83.1,104.6,65.0,.389,.148,.422,49.2,35.0,16.9,12.9,.389,15.8,36.1,.222,.578,25.7,69.6,.356
25,2012-02-11,@,Missouri,L,57,72,21,58,.362,4,17,.235,11,15,.733,15,35,10,7,0,12,16,24,50,.480,14,28,.500,10,13,.769,6,22,18,2,2,8,11,95.0,120.0,60.2,.259,.293,.438,61.4,47.6,11.7,0.0,.397,15.6,48.4,.190,.620,12.5,76.9,.200
26,2012-02-13,,Iowa State,W,79,64,33,55,.600,6,14,.429,7,8,.875,5,25,24,3,4,8,12,26,59,.441,8,26,.308,4,8,.500,12,26,18,3,2,11,12,127.4,103.2,61.8,.145,.255,.672,49.0,72.7,4.8,12.1,.655,12.0,26.3,.127,.508,14.9,62.5,.068
27,2012-02-18,,Kansas State,L,56,57,20,52,.385,4,13,.308,12,14,.857,11,31,13,9,1,18,12,24,55,.436,7,20,.350,2,6,.333,8,27,16,10,7,15,18,86.2,87.7,65.3,.269,.250,.477,53.4,65.0,13.8,2.9,.423,23.5,36.7,.231,.500,20.6,71.4,.036
28,2012-02-20,@,Texas,W,77,72,22,55,.400,9,18,.500,24,29,.828,14,32,17,3,2,11,23,25,52,.481,8,17,.471,14,20,.700,8,24,14,6,2,10,24,118.5,110.8,64.6,.527,.327,.560,57.1,77.3,4.6,5.7,.482,13.8,46.7,.436,.558,14.0,69.2,.269
29,2012-02-25,,Oklahoma,W,70,60,21,54,.389,8,23,.348,20,25,.800,8,35,10,8,2,11,14,23,59,.390,0,12,.000,14,17,.824,11,36,12,6,2,13,20,101.4,87.0,69.0,.463,.426,.531,49.3,47.6,11.6,4.3,.463,14.3,24.2,.370,.390,16.2,71.1,.237
30,2012-02-27,,Texas Tech,W,77,48,29,53,.547,7,17,.412,12,16,.750,11,34,17,6,7,15,18,17,48,.354,5,11,.455,9,15,.600,7,21,10,10,1,18,15,118.5,73.8,65.4,.302,.321,.635,61.8,58.6,9.2,18.9,.613,19.8,44.0,.226,.406,24.6,76.7,.188
