G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,Portland State,W,69,61,24,50,.480,8,20,.400,13,15,.867,5,24,16,5,6,13,19,22,60,.367,1,8,.125,16,22,.727,13,35,9,4,5,14,18,101.5,89.7,68.3,.300,.400,.604,40.7,66.7,7.4,11.5,.560,18.5,18.5,.260,.375,16.6,59.4,.267
2,2011-11-14,@,Texas A&M-Corpus Christi,W,65,58,23,49,.469,7,19,.368,12,14,.857,5,23,12,4,6,15,19,20,45,.444,3,8,.375,15,23,.652,10,27,9,7,6,15,15,103.2,92.1,63.3,.286,.388,.584,46.0,52.2,6.3,16.2,.541,21.2,22.7,.245,.478,21.1,64.3,.333
3,2011-11-17,,Southern Miss,W,59,52,19,38,.500,4,10,.400,17,22,.773,0,23,11,6,6,15,21,18,57,.316,3,13,.231,13,19,.684,11,31,2,6,1,10,21,92.2,81.3,64.2,.579,.263,.609,42.6,57.9,9.4,13.6,.553,23.6,0.0,.447,.342,13.2,67.6,.228
4,2011-11-23,,Saint Mary's,W,70,58,22,50,.440,10,20,.500,16,19,.842,4,23,17,9,3,6,17,22,48,.458,5,19,.263,9,10,.900,7,32,8,1,3,13,17,116.7,96.7,59.9,.380,.400,.593,41.8,77.3,15.0,10.3,.540,9.2,13.8,.320,.510,19.8,73.1,.188
5,2011-11-26,@,California,L,59,80,22,49,.449,7,25,.280,8,9,.889,3,18,15,5,2,14,21,26,50,.520,9,14,.643,19,22,.864,10,33,16,4,5,13,8,92.2,125.0,63.9,.184,.510,.554,35.3,68.2,7.8,5.6,.520,20.8,11.5,.163,.610,17.7,60.0,.380
6,2011-11-30,@,Utah State,W,67,54,25,48,.521,8,20,.400,9,11,.818,5,21,16,3,3,6,17,19,41,.463,2,4,.500,14,19,.737,7,27,6,0,2,11,12,124.1,100.0,54.1,.229,.417,.629,43.8,64.0,5.6,8.1,.604,10.1,20.0,.188,.488,18.0,69.6,.341
7,2011-12-03,,Texas Southern,W,62,46,24,47,.511,10,20,.500,4,5,.800,5,23,22,8,9,16,13,20,46,.435,3,14,.214,3,6,.500,4,21,9,10,6,15,9,103.3,76.7,60.1,.106,.426,.628,52.3,91.7,13.3,28.1,.617,24.5,22.7,.085,.467,23.5,81.8,.065
8,2011-12-07,,Iona,L (1 OT),78,80,29,49,.592,9,20,.450,11,15,.733,5,20,19,7,5,18,16,30,58,.517,8,20,.400,12,13,.923,5,21,11,8,2,19,17,105.4,108.1,65.5,.306,.408,.695,48.8,65.5,9.5,13.2,.684,24.3,23.8,.224,.586,22.8,75.0,.207
9,2011-12-14,@,Northern Colorado,W,71,65,21,50,.420,11,32,.344,18,20,.900,5,22,16,7,5,11,12,24,53,.453,9,21,.429,8,13,.615,8,30,11,6,3,18,18,106.0,97.0,67.3,.400,.640,.597,42.3,76.2,10.4,15.6,.530,15.6,18.5,.360,.538,23.3,68.0,.151
10,2011-12-17,,Boise State,W,79,62,28,49,.571,8,15,.533,15,20,.750,6,25,17,6,5,14,23,20,47,.426,2,10,.200,20,29,.690,9,27,6,9,3,16,21,117.9,92.5,67.1,.408,.306,.675,48.1,60.7,9.0,13.5,.653,19.3,25.0,.306,.447,20.8,67.9,.426
11,2011-12-19,,Wyoming,W,57,46,17,39,.436,9,20,.450,14,18,.778,6,28,14,4,2,13,20,16,43,.372,1,13,.077,13,16,.813,5,23,5,5,4,11,19,101.8,82.1,55.6,.462,.513,.599,54.9,82.4,7.1,6.7,.551,21.5,25.0,.359,.384,17.9,81.5,.302
12,2011-12-22,,Citadel,W,70,58,21,45,.467,12,26,.462,16,20,.800,6,22,18,12,5,9,9,23,46,.500,9,18,.500,3,3,1.000,4,21,15,4,0,14,14,122.8,101.8,57.5,.444,.578,.642,51.2,85.7,21.1,17.9,.600,14.2,26.1,.356,.598,22.8,80.0,.065
13,2011-12-29,,Troy,W,79,62,27,54,.500,11,32,.344,14,18,.778,9,34,22,8,7,12,14,23,59,.390,7,21,.333,9,14,.643,11,30,10,7,2,13,19,117.9,92.5,66.6,.333,.593,.631,53.1,81.5,11.9,18.4,.602,16.1,32.1,.259,.449,16.5,69.4,.153
