G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-14,N,George Mason,W (1 OT),79,76,28,65,.431,8,18,.444,15,18,.833,10,30,15,8,5,16,21,26,54,.481,7,16,.438,17,26,.654,9,34,13,6,7,21,22,100.0,96.2,70.2,.277,.277,.537,46.9,53.6,10.1,13.2,.492,17.9,28.6,.231,.546,24.0,69.0,.315
2,2011-11-15,@,Virginia Tech,L,63,78,20,57,.351,4,16,.250,19,23,.826,8,23,9,7,3,11,21,28,54,.519,7,19,.368,15,19,.789,7,33,20,3,5,16,22,88.7,109.9,71.5,.404,.281,.464,41.1,45.0,9.9,8.6,.386,13.9,23.5,.333,.583,20.2,68.2,.278
3,2011-11-21,N,Arkansas-Pine Bluff,L,56,58,17,44,.386,5,17,.294,17,23,.739,11,25,11,13,0,18,17,19,39,.487,6,13,.462,14,22,.636,10,27,9,14,3,25,23,88.9,92.1,63.2,.523,.386,.510,48.1,64.7,20.6,0.0,.443,24.7,39.3,.386,.564,33.6,58.3,.359
4,2011-11-22,@,Oral Roberts,L,65,73,23,52,.442,8,16,.500,11,16,.688,10,26,7,8,1,12,19,27,49,.551,8,20,.400,11,18,.611,7,27,19,4,3,13,16,103.2,115.9,62.6,.308,.308,.545,49.1,30.4,12.7,3.4,.519,16.8,33.3,.212,.633,18.4,69.6,.224
5,2011-11-26,,Coastal Carolina,W,64,62,25,52,.481,7,16,.438,7,15,.467,10,28,9,9,3,13,17,23,46,.500,2,10,.200,14,22,.636,8,22,9,11,4,12,16,104.9,101.6,61.3,.288,.308,.541,56.0,36.0,14.8,8.3,.548,18.0,41.7,.135,.522,17.5,69.2,.304
6,2011-12-01,@,Georgia State,L,47,73,14,58,.241,4,24,.167,15,23,.652,14,33,8,7,2,16,25,23,53,.434,6,23,.261,21,32,.656,10,35,12,8,14,14,19,65.3,101.4,71.6,.397,.414,.341,48.5,57.1,9.7,6.7,.276,18.8,35.9,.259,.491,17.0,65.5,.396
7,2011-12-03,,Alabama State,L,57,60,21,46,.457,1,9,.111,14,21,.667,10,31,7,7,1,19,20,21,51,.412,8,20,.400,10,17,.588,10,24,11,6,3,12,21,90.5,95.2,63.0,.457,.196,.509,56.4,33.3,11.1,3.2,.467,25.3,41.7,.304,.490,16.9,67.7,.196
8,2011-12-10,N,Texas Wesleyan,L,68,72,24,52,.462,6,16,.375,14,18,.778,12,27,9,14,1,16,18,24,51,.471,7,19,.368,17,20,.850,14,30,10,4,2,21,15,103.0,109.1,66.0,.346,.308,.562,47.4,37.5,21.2,3.1,.519,20.9,42.9,.269,.539,25.8,51.7,.333
9,2011-12-11,@,Stephen F. Austin,W,58,56,21,36,.583,4,7,.571,12,15,.800,6,18,11,7,2,17,22,21,47,.447,4,12,.333,10,16,.625,12,23,14,7,3,12,15,107.4,103.7,54.4,.417,.194,.672,43.9,52.4,13.0,5.7,.639,28.3,35.3,.333,.489,18.0,50.0,.213
10,2011-12-14,@,Maryland,L,61,65,23,57,.404,6,15,.400,9,12,.750,11,26,8,6,6,11,22,21,50,.420,1,10,.100,22,32,.688,13,31,9,7,6,12,13,96.8,103.2,63.5,.211,.263,.486,45.6,34.8,9.5,15.0,.456,14.9,37.9,.158,.430,15.5,53.6,.440
