G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,@,Clemson,L,44,65,14,45,.311,5,16,.313,11,12,.917,4,20,8,9,0,18,15,25,46,.543,7,15,.467,8,12,.667,5,30,17,9,7,17,14,68.8,101.6,64.2,.267,.356,.434,40.0,57.1,14.1,0.0,.367,26.2,13.8,.244,.620,24.7,76.2,.174
2,2011-11-13,@,Lipscomb,W,74,71,24,60,.400,4,20,.200,22,26,.846,14,35,6,8,3,20,22,24,51,.471,6,17,.353,17,28,.607,10,25,16,14,5,25,22,93.7,89.9,78.8,.433,.333,.511,58.3,25.0,10.1,8.8,.433,21.7,48.3,.367,.529,28.0,67.7,.333
3,2011-11-16,,Lees-McRae,W,91,61,36,68,.529,11,24,.458,8,12,.667,14,37,27,14,4,10,20,22,51,.431,7,20,.350,10,17,.588,6,24,13,4,0,20,12,128.2,85.9,71.4,.176,.353,.617,60.7,75.0,19.7,12.9,.610,11.9,43.8,.118,.500,25.3,79.3,.196
4,2011-11-19,@,South Carolina State,L,68,73,25,63,.397,10,26,.385,8,16,.500,13,37,11,4,2,14,31,20,51,.392,5,17,.294,28,42,.667,10,37,9,3,3,11,16,94.4,101.4,71.8,.254,.413,.482,50.0,44.0,5.6,5.9,.476,16.5,32.5,.127,.441,13.4,70.6,.549
5,2011-11-21,@,Indiana,L,49,73,18,49,.367,6,22,.273,7,16,.438,5,27,6,5,2,18,25,29,59,.492,3,18,.167,12,23,.522,14,41,19,5,1,13,19,71.0,105.8,69.3,.327,.449,.433,39.7,33.3,7.2,4.9,.429,24.1,15.6,.143,.517,15.7,61.1,.203
6,2011-11-23,@,Butler,L,66,68,26,48,.542,8,16,.500,6,14,.429,3,24,14,2,1,12,23,21,53,.396,7,23,.304,19,27,.704,10,23,12,4,0,4,14,106.5,109.7,61.7,.292,.333,.604,51.1,53.8,3.2,3.3,.625,18.0,18.8,.125,.462,5.7,67.7,.358
7,2011-11-26,N,Savannah State,L,66,72,22,53,.415,7,19,.368,15,19,.789,8,26,7,8,0,11,23,26,42,.619,1,10,.100,19,31,.613,6,29,16,6,2,13,19,103.1,112.5,64.4,.358,.358,.532,47.3,31.8,12.5,0.0,.481,15.1,25.8,.283,.631,18.6,75.0,.452
8,2011-11-27,@,Chattanooga,W (1 OT),76,74,27,72,.375,5,26,.192,17,26,.654,17,46,12,8,3,9,18,24,65,.369,8,32,.250,18,22,.818,10,38,14,2,2,14,25,97.4,94.9,69.2,.361,.361,.451,54.8,44.4,10.3,9.1,.410,9.6,37.8,.236,.431,15.7,74.4,.277
9,2011-12-01,,UNC Asheville,L,60,66,23,64,.359,6,33,.182,8,15,.533,12,37,14,7,0,13,30,19,43,.442,3,10,.300,25,37,.676,5,35,10,7,3,14,17,84.5,93.0,70.9,.234,.516,.422,51.4,60.9,9.9,0.0,.406,15.5,28.6,.125,.477,18.8,83.3,.581
10,2011-12-03,,Winthrop,W,62,60,22,51,.431,6,17,.353,12,20,.600,11,32,10,5,3,11,9,25,58,.431,7,17,.412,3,9,.333,11,28,11,5,4,10,13,101.6,98.4,60.9,.392,.333,.512,53.3,45.5,8.2,7.3,.490,15.4,39.3,.235,.491,13.8,65.6,.052
