G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,Wofford,W,62,49,20,59,.339,7,23,.304,15,22,.682,11,38,12,3,4,7,15,18,52,.346,3,15,.200,10,16,.625,5,32,11,1,3,12,20,93.9,74.2,66.0,.373,.390,.446,54.3,60.0,4.5,10.8,.398,9.2,28.9,.254,.375,16.8,84.4,.192
2,2011-11-13,,Bowling Green State,W,63,54,22,45,.489,3,15,.200,16,24,.667,4,26,16,8,4,14,20,23,62,.371,2,11,.182,6,13,.462,15,38,10,6,0,17,22,92.6,79.4,68.3,.533,.333,.559,40.6,72.7,11.8,7.8,.522,19.9,14.8,.356,.387,20.0,59.5,.097
3,2011-11-16,,South Dakota State,W,72,61,27,67,.403,6,29,.207,12,15,.800,17,37,12,6,6,7,15,22,56,.393,5,20,.250,12,23,.522,16,39,11,4,0,13,15,112.5,95.3,64.0,.224,.433,.486,48.7,44.4,9.4,16.7,.448,8.6,42.5,.179,.438,16.3,55.6,.214
4,2011-11-21,N,California,L,46,70,19,58,.328,4,19,.211,4,7,.571,10,27,8,6,4,14,16,25,50,.500,6,11,.545,14,18,.778,8,34,14,7,4,14,13,70.8,107.7,64.9,.121,.328,.375,44.3,42.1,9.2,10.3,.362,18.6,27.8,.069,.560,19.3,68.0,.280
5,2011-11-22,N,Notre Dame,W,61,57,22,53,.415,12,26,.462,5,11,.455,8,31,14,5,3,14,22,16,46,.348,4,20,.200,21,28,.750,4,22,7,7,3,8,16,95.3,89.1,63.8,.208,.491,.524,58.5,63.6,7.8,11.5,.528,19.4,30.8,.094,.391,11.9,85.2,.457
6,2011-11-25,@,Xavier,L,56,70,18,56,.321,7,26,.269,13,16,.813,10,28,9,6,2,14,20,24,49,.490,3,8,.375,19,30,.633,10,39,16,5,3,14,17,83.6,104.5,67.4,.286,.464,.440,41.8,50.0,9.0,4.9,.384,18.0,25.6,.232,.520,18.1,64.3,.388
7,2011-11-28,@,Colorado,L,68,70,26,63,.413,10,25,.400,6,11,.545,12,36,12,5,5,9,26,22,50,.440,4,14,.286,22,37,.595,11,36,11,2,1,7,14,106.3,109.4,64.4,.175,.397,.498,50.0,46.2,7.8,13.9,.492,11.7,32.4,.095,.480,9.4,68.6,.440
8,2011-12-02,,Cincinnati,L,51,57,17,47,.362,3,14,.214,14,20,.700,7,32,8,9,0,13,13,19,49,.388,9,20,.450,10,19,.526,9,32,10,8,3,12,21,82.3,91.9,61.8,.426,.298,.451,50.0,47.1,14.5,0.0,.394,18.7,23.3,.298,.480,17.1,73.5,.204
9,2011-12-07,,Georgia Tech,L,56,68,17,49,.347,6,23,.261,16,21,.762,8,25,7,7,3,11,23,25,48,.521,3,12,.250,15,23,.652,6,25,11,5,5,11,15,88.9,107.9,63.0,.429,.469,.475,50.0,41.2,11.1,8.3,.408,15.7,29.6,.327,.552,15.7,73.9,.313
10,2011-12-17,@,USC,W,63,59,22,43,.512,9,13,.692,10,18,.556,2,18,9,4,4,7,15,20,55,.364,4,14,.286,15,20,.750,14,32,12,3,0,10,12,106.8,100.0,58.5,.419,.302,.611,36.0,40.9,6.8,9.8,.616,12.0,10.0,.233,.400,13.4,53.3,.273
