G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,@,Florida,L,59,99,16,47,.340,9,13,.692,18,21,.857,9,25,6,6,4,23,13,39,76,.513,13,30,.433,8,15,.533,19,40,20,12,6,10,14,80.8,135.6,72.6,.447,.277,.518,38.5,37.5,8.2,8.7,.436,28.8,30.0,.383,.599,10.7,45.7,.105
2,2011-11-13,@,Baylor,L,59,92,19,63,.302,6,17,.353,15,23,.652,19,36,13,5,2,19,27,26,57,.456,10,23,.435,30,37,.811,13,39,17,11,11,13,16,79.7,124.3,74.3,.365,.270,.399,48.0,68.4,6.8,5.9,.349,20.4,42.2,.238,.544,14.8,56.7,.526
3,2011-11-16,@,Wright State,L,39,56,11,42,.262,2,14,.143,15,21,.714,7,34,4,7,5,21,24,16,51,.314,6,19,.316,18,26,.692,9,32,11,7,3,13,19,58.2,83.6,66.7,.500,.333,.375,51.5,36.4,10.4,15.6,.286,28.8,23.3,.357,.373,17.0,75.0,.353
4,2011-11-18,@,Ohio State,L,41,85,17,49,.347,2,9,.222,5,5,1.000,10,25,6,9,6,24,21,34,71,.479,3,15,.200,14,22,.636,22,41,22,15,3,12,8,60.3,125.0,68.4,.102,.184,.399,37.9,35.3,13.2,10.7,.367,31.8,34.5,.102,.500,12.8,40.5,.197
5,2011-11-20,,Concordia (AL),W,73,63,26,53,.491,7,16,.438,14,25,.560,9,26,14,17,9,17,17,24,52,.462,3,11,.273,12,14,.857,8,26,7,9,1,25,21,98.6,85.1,74.3,.472,.302,.563,50.0,53.8,23.0,22.0,.557,20.8,33.3,.264,.490,29.9,68.0,.231
6,2011-11-22,,Tulsa,L,51,57,18,44,.409,3,12,.250,12,17,.706,6,24,2,8,3,9,15,20,43,.465,3,14,.214,14,20,.700,9,29,7,4,5,12,14,92.7,103.6,55.3,.386,.273,.490,45.3,11.1,14.5,10.3,.443,14.7,23.1,.273,.500,18.6,66.7,.326
7,2011-11-25,@,North Florida,L,60,69,22,52,.423,2,10,.200,14,18,.778,6,27,6,7,2,13,23,23,50,.460,6,13,.462,17,26,.654,11,34,15,7,3,13,16,90.9,104.5,66.0,.346,.192,.495,44.3,27.3,10.6,5.4,.442,17.7,20.7,.269,.520,17.3,65.6,.340
8,2011-11-28,@,Memphis,L,45,70,16,52,.308,3,13,.231,10,11,.909,12,29,8,5,6,23,19,26,49,.531,3,10,.300,15,25,.600,10,28,13,15,9,11,14,69.2,107.7,65.1,.212,.250,.393,50.9,50.0,7.7,15.4,.337,28.7,40.0,.192,.561,15.3,63.0,.306
9,2011-12-11,@,California,L,46,73,16,47,.340,4,9,.444,10,13,.769,6,22,8,2,1,16,15,27,51,.529,7,18,.389,12,16,.750,8,31,24,4,3,11,10,74.2,117.7,62.4,.277,.191,.433,41.5,50.0,3.2,3.0,.383,23.1,20.7,.213,.598,15.8,66.7,.235
10,2011-12-13,@,Saint Mary's,L,53,77,16,49,.327,3,8,.375,18,29,.621,5,24,8,10,3,11,19,26,60,.433,10,28,.357,15,22,.682,14,44,23,6,4,15,20,75.7,110.0,70.1,.592,.163,.422,35.3,50.0,14.3,9.4,.357,14.9,14.3,.367,.517,17.6,57.6,.250
