G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,Penn,L,45,59,16,48,.333,0,11,.000,13,21,.619,10,37,6,7,2,19,16,21,51,.412,6,18,.333,11,18,.611,5,29,13,9,3,12,22,67.2,88.1,66.8,.438,.229,.388,56.1,37.5,10.4,6.1,.333,24.7,29.4,.271,.471,16.8,84.4,.216
2,2011-11-13,@,St. John's (NY),L,59,82,22,67,.328,6,19,.316,9,13,.692,15,41,14,5,3,20,20,27,58,.466,4,18,.222,24,30,.800,8,39,17,10,4,14,16,75.6,105.1,78.2,.194,.284,.403,51.3,63.6,6.4,7.5,.373,21.5,32.6,.134,.500,16.2,76.5,.414
3,2011-11-17,,Loyola (MD),L,63,73,23,53,.434,7,13,.538,10,21,.476,10,30,12,5,2,21,30,20,48,.417,2,14,.143,31,46,.674,11,32,12,13,4,14,24,86.3,100.0,73.4,.396,.245,.500,48.4,52.2,6.8,5.9,.500,25.0,32.3,.189,.438,16.7,64.5,.646
4,2011-11-19,@,VMI,L,79,84,28,52,.538,3,11,.273,20,32,.625,11,31,14,3,1,14,23,29,65,.446,9,36,.250,17,25,.680,13,31,17,5,3,9,21,109.7,116.7,71.5,.615,.212,.588,50.0,50.0,4.2,3.4,.567,17.2,37.9,.385,.515,10.5,60.6,.262
5,2011-11-22,@,Central Connecticut,L,69,77,29,64,.453,7,15,.467,4,10,.400,11,37,12,2,2,16,22,24,56,.429,6,17,.353,23,30,.767,7,27,9,7,7,8,19,94.5,105.5,72.5,.156,.234,.502,57.8,41.4,2.7,5.1,.508,18.9,35.5,.063,.482,10.2,78.8,.411
6,2011-11-28,@,Rutgers,L,56,94,18,50,.360,7,21,.333,13,23,.565,8,20,12,3,5,20,19,34,61,.557,10,17,.588,16,20,.800,12,36,27,13,4,15,20,76.7,128.8,73.2,.460,.420,.460,35.7,66.7,4.1,11.4,.430,24.7,25.0,.260,.639,17.5,50.0,.262
7,2011-12-01,@,American,L,58,69,22,60,.367,2,16,.125,12,17,.706,9,36,8,3,0,10,25,21,49,.429,7,26,.269,20,32,.625,7,34,13,3,4,9,17,85.3,101.5,67.6,.283,.267,.426,51.4,36.4,4.4,0.0,.383,12.8,25.0,.200,.500,12.3,79.4,.408
8,2011-12-10,@,Towson,W,62,58,18,50,.360,6,15,.400,20,26,.769,17,37,7,7,2,19,19,23,63,.365,4,20,.200,8,25,.320,23,38,6,6,6,16,23,93.9,87.9,66.1,.520,.300,.497,49.3,38.9,10.6,4.7,.420,23.4,53.1,.400,.397,17.6,46.5,.127
9,2011-12-14,,Morgan State,L,60,73,23,73,.315,4,21,.190,10,14,.714,19,42,8,11,2,7,22,25,46,.543,8,17,.471,15,24,.625,6,36,16,5,8,16,14,88.2,107.4,67.5,.192,.288,.377,53.8,34.8,16.2,6.9,.342,8.1,38.8,.137,.630,21.8,79.3,.326
10,2011-12-17,,Rider,L (1 OT),66,73,23,76,.303,6,31,.194,14,23,.609,26,47,8,4,0,12,22,26,52,.500,7,16,.438,14,25,.560,6,27,12,5,6,10,19,94.3,104.3,62.6,.303,.408,.380,63.5,34.8,5.7,0.0,.342,12.1,55.3,.184,.567,13.5,77.8,.269
11,2011-12-22,@,Indiana,L,47,89,16,50,.320,3,15,.200,12,17,.706,8,23,7,10,4,19,25,26,55,.473,11,27,.407,26,37,.703,12,39,19,12,3,15,15,65.3,123.6,72.3,.340,.300,.405,37.1,43.8,13.9,14.3,.350,24.7,22.9,.240,.573,17.1,55.6,.473
12,2011-12-28,@,Niagara,L,75,92,24,50,.480,8,19,.421,19,23,.826,5,29,12,5,1,16,23,29,64,.453,13,27,.481,21,27,.778,10,29,20,12,5,7,18,102.7,126.0,72.9,.460,.380,.616,50.0,50.0,6.8,2.7,.560,20.8,20.8,.380,.555,8.4,70.6,.328
13,2012-01-02,@,New Hampshire,W,82,76,27,61,.443,8,12,.667,20,32,.625,12,39,7,7,1,12,29,26,55,.473,3,15,.200,21,32,.656,8,31,11,6,2,14,23,107.9,100.0,76.2,.525,.197,.538,55.7,25.9,9.2,2.5,.508,13.6,34.3,.328,.500,16.6,77.1,.382
14,2012-01-05,,Albany (NY),L,72,89,28,54,.519,7,17,.412,9,17,.529,8,25,14,5,1,18,31,26,54,.481,7,20,.350,30,40,.750,13,37,10,9,2,13,19,98.6,121.9,72.5,.315,.315,.580,40.3,50.0,6.8,2.9,.583,22.5,25.0,.167,.546,15.1,56.7,.556
15,2012-01-07,@,Maine,L,70,89,24,57,.421,6,16,.375,16,22,.727,11,29,11,2,0,17,20,27,53,.509,8,18,.444,27,29,.931,8,28,18,6,4,11,19,97.2,123.6,71.3,.386,.281,.519,50.9,45.8,2.8,0.0,.474,20.1,35.5,.281,.585,14.1,69.2,.509
16,2012-01-11,,Stony Brook,L,49,89,19,58,.328,5,16,.313,6,15,.400,7,22,9,5,0,11,20,33,56,.589,7,12,.583,16,20,.800,9,37,17,4,3,11,11,72.1,130.9,68.3,.259,.276,.376,37.3,47.4,7.4,0.0,.371,14.4,20.0,.103,.652,14.4,62.5,.286
17,2012-01-17,@,Hartford,L,57,74,21,51,.412,1,11,.091,14,20,.700,6,28,12,6,2,18,22,25,49,.510,11,24,.458,13,18,.722,4,30,16,6,2,14,18,81.4,105.7,70.0,.392,.216,.471,48.3,57.1,8.6,8.0,.422,22.9,18.8,.275,.622,19.6,84.6,.265
18,2012-01-19,,Binghamton,W,64,58,25,52,.481,6,15,.400,8,11,.727,6,26,14,9,5,17,13,25,52,.481,1,5,.200,7,13,.538,6,26,13,6,3,14,16,95.5,86.6,67.2,.212,.288,.559,50.0,56.0,13.4,10.6,.538,22.9,23.1,.154,.490,19.4,76.9,.135
19,2012-01-22,,Vermont,L,62,90,23,59,.390,6,17,.353,10,11,.909,7,19,11,6,3,16,16,33,58,.569,8,17,.471,16,19,.842,13,38,25,9,4,19,14,84.9,123.3,73.1,.186,.288,.483,33.3,47.8,8.2,7.3,.441,19.9,21.9,.169,.638,22.1,48.0,.276
20,2012-01-24,@,Boston University,L,48,83,17,55,.309,3,14,.214,11,19,.579,11,27,8,6,0,12,15,29,58,.500,9,26,.346,16,20,.800,13,44,14,6,9,12,17,72.7,125.8,65.8,.345,.255,.375,38.0,47.1,9.1,0.0,.336,15.8,26.2,.200,.578,15.1,55.2,.276
21,2012-02-01,@,Albany (NY),L,76,87,32,66,.485,3,15,.200,9,11,.818,7,22,11,9,2,11,24,28,54,.519,8,20,.400,23,30,.767,13,34,15,4,2,15,12,104.1,119.2,72.7,.167,.227,.534,39.3,34.4,12.3,5.9,.508,13.4,25.0,.136,.593,18.0,53.6,.426
22,2012-02-04,,Maine,L (1 OT),76,77,23,66,.348,3,14,.214,27,35,.771,14,41,8,6,1,16,16,32,70,.457,3,15,.200,10,15,.667,11,41,16,8,5,16,26,91.6,92.8,74.1,.530,.212,.460,50.0,34.8,7.2,1.8,.371,16.2,31.8,.409,.479,17.2,71.1,.143
23,2012-02-07,,Hartford,L,70,76,28,54,.519,6,16,.375,8,13,.615,1,21,18,11,2,12,22,25,48,.521,9,24,.375,17,26,.654,6,27,18,5,1,15,16,100.0,108.6,70.3,.241,.296,.582,43.8,64.3,15.7,8.3,.574,16.6,4.5,.148,.615,19.9,76.9,.354
24,2012-02-09,@,Stony Brook,L,68,80,27,58,.466,5,23,.217,9,12,.750,8,31,11,5,1,14,26,26,60,.433,8,22,.364,20,31,.645,15,34,14,5,2,12,13,95.8,112.7,70.7,.207,.397,.534,47.7,40.7,7.0,2.6,.509,18.0,29.6,.155,.500,13.8,60.5,.333
25,2012-02-12,,New Hampshire,L,60,66,20,55,.364,5,18,.278,15,17,.882,9,28,6,2,3,10,19,22,55,.400,7,21,.333,15,23,.652,13,37,7,5,6,9,13,95.2,104.8,63.0,.309,.327,.476,43.1,30.0,3.2,8.8,.409,13.7,27.3,.273,.464,12.0,59.4,.273
26,2012-02-15,@,Binghamton,W,70,56,25,63,.397,4,12,.333,16,27,.593,9,36,6,7,1,9,17,18,53,.340,5,12,.417,15,22,.682,8,33,8,2,5,16,19,94.6,75.7,73.6,.429,.190,.462,52.2,24.0,9.5,2.4,.429,10.6,26.5,.254,.387,20.1,77.1,.283
27,2012-02-18,@,Canisius,L,66,73,21,56,.375,6,17,.353,18,23,.783,10,29,13,4,1,11,17,27,54,.500,7,19,.368,12,19,.632,11,33,16,3,4,12,18,100.0,110.6,66.0,.411,.304,.493,46.8,61.9,6.1,2.9,.429,14.1,31.3,.321,.565,16.0,63.3,.222
28,2012-02-22,,Boston University,L,52,73,18,61,.295,7,25,.280,9,17,.529,6,30,11,6,0,9,14,26,56,.464,7,23,.304,14,18,.778,7,43,15,4,4,16,13,71.2,100.0,72.8,.279,.410,.376,41.1,61.1,8.2,0.0,.352,11.5,14.3,.148,.527,19.9,77.4,.250
29,2012-02-25,@,Vermont,L,49,80,20,59,.339,6,21,.286,3,6,.500,6,21,8,6,4,14,20,26,59,.441,6,18,.333,22,30,.733,15,46,18,7,4,11,13,70.0,114.3,69.6,.102,.356,.396,31.3,40.0,8.6,9.8,.390,18.5,16.2,.051,.492,13.1,50.0,.373
30,2012-03-01,N,Binghamton,L (1 OT),67,73,26,75,.347,6,26,.231,9,16,.563,13,35,11,8,3,11,21,26,61,.426,4,13,.308,17,25,.680,12,36,14,3,6,15,12,85.9,93.6,69.5,.213,.347,.406,49.3,42.3,10.3,6.3,.387,11.8,35.1,.120,.459,17.1,64.7,.279
