G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,@,Western Kentucky,W,72,61,24,49,.490,6,14,.429,18,25,.720,3,33,12,7,9,15,20,18,68,.265,4,19,.211,21,27,.778,18,44,8,6,3,12,20,97.3,82.4,73.9,.510,.286,.591,42.9,50.0,9.5,18.4,.551,19.8,10.3,.367,.294,12.9,62.5,.309
2,2011-11-17,N,Georgia Tech,W,66,53,20,51,.392,9,17,.529,17,17,1.000,10,34,13,4,7,10,13,21,57,.368,1,12,.083,10,12,.833,10,27,4,2,5,10,11,108.2,86.9,60.9,.333,.333,.559,55.7,65.0,6.6,15.6,.480,14.5,37.0,.333,.377,13.8,70.6,.175
3,2011-11-18,N,Seton Hall,L,70,78,25,51,.490,6,18,.333,14,18,.778,4,27,16,6,6,15,19,26,54,.481,8,21,.381,18,25,.720,5,28,16,6,3,12,18,97.2,108.3,71.7,.353,.353,.588,49.1,64.0,8.3,18.2,.549,20.1,14.8,.275,.556,15.4,82.1,.333
4,2011-11-20,N,Tulsa,W,79,75,29,49,.592,7,8,.875,14,18,.778,5,25,6,5,5,13,13,29,63,.460,9,18,.500,8,10,.800,13,27,6,6,4,10,18,121.5,115.4,65.2,.367,.163,.686,48.1,20.7,7.7,11.1,.663,18.4,26.3,.286,.532,12.9,60.6,.127
5,2011-11-23,@,Iona,L (2 OT),99,104,38,72,.528,8,22,.364,15,21,.714,10,40,19,3,6,18,19,38,84,.452,9,24,.375,19,24,.792,15,40,19,10,1,11,21,108.8,114.3,72.6,.292,.306,.604,50.0,50.0,3.3,10.0,.583,18.0,28.6,.208,.506,10.3,66.7,.226
6,2011-11-26,,Penn State,W,65,47,20,49,.408,6,16,.375,19,25,.760,6,40,17,2,12,16,14,19,71,.268,7,28,.250,2,7,.286,13,36,11,6,3,11,20,90.3,65.3,71.6,.510,.327,.534,52.6,85.0,2.8,27.9,.469,20.8,20.7,.388,.317,12.9,72.3,.028
7,2011-11-30,,Drexel,W,62,49,22,50,.440,3,10,.300,15,23,.652,6,32,12,11,16,11,12,20,64,.313,8,19,.421,1,5,.200,14,35,12,6,2,15,18,92.5,73.1,66.7,.460,.200,.509,47.8,54.5,16.4,35.6,.470,15.3,22.2,.300,.375,18.4,65.0,.016
8,2011-12-04,@,American,L,60,66,25,59,.424,3,17,.176,7,15,.467,13,32,12,6,8,9,18,22,51,.431,8,18,.444,14,16,.875,8,29,9,5,2,10,15,98.4,108.2,61.4,.254,.288,.454,52.5,48.0,9.8,24.2,.449,12.0,38.2,.119,.510,14.6,70.4,.275
9,2011-12-07,,Boston University,W,75,68,25,50,.500,9,21,.429,16,26,.615,5,23,12,5,6,8,14,22,59,.373,7,19,.368,17,22,.773,15,39,8,4,2,14,18,111.9,101.5,66.9,.520,.420,.601,37.1,48.0,7.5,15.0,.590,11.4,17.2,.320,.432,16.8,54.5,.288
10,2011-12-10,,Creighton,W,80,71,29,59,.492,3,10,.300,19,29,.655,12,37,14,7,7,13,13,27,61,.443,11,21,.524,6,9,.667,4,24,15,7,1,14,26,106.7,94.7,74.5,.492,.169,.550,60.7,48.3,9.3,17.5,.517,15.2,37.5,.322,.533,17.7,86.2,.098
11,2011-12-17,,Villanova,W,74,58,31,61,.508,7,16,.438,5,10,.500,10,36,21,5,7,11,15,21,63,.333,5,27,.185,11,13,.846,10,28,10,7,4,8,19,110.4,86.6,67.0,.164,.262,.563,56.3,67.7,7.5,19.4,.566,14.3,35.7,.082,.373,10.4,72.2,.175
12,2011-12-21,,Coppin State,W,81,72,28,55,.509,12,29,.414,13,16,.813,7,34,21,5,8,18,11,28,69,.406,14,30,.467,2,3,.667,8,26,18,5,2,11,14,109.5,97.3,73.5,.291,.527,.647,56.7,75.0,6.8,20.5,.618,22.3,28.0,.236,.507,13.5,77.1,.029
13,2011-12-28,,Morgan State,W,81,50,33,64,.516,6,19,.316,9,18,.500,13,42,18,9,17,10,17,18,71,.254,3,18,.167,11,19,.579,21,44,9,7,2,13,16,114.1,70.4,70.8,.281,.297,.558,48.8,54.5,12.7,32.1,.563,12.1,36.1,.141,.275,14.0,58.0,.155
14,2011-12-31,@,Harvard,L,69,74,27,51,.529,6,17,.353,9,16,.563,5,25,12,7,4,14,15,29,57,.509,6,15,.400,10,13,.769,7,27,15,4,5,14,15,100.0,107.2,68.9,.314,.333,.589,48.1,44.4,10.1,9.5,.588,19.3,20.0,.176,.561,18.1,74.1,.175
15,2012-01-04,@,Duquesne,W (1 OT),84,82,29,61,.475,9,18,.500,17,28,.607,11,37,15,3,10,15,18,28,63,.444,11,18,.611,15,20,.750,9,29,16,5,6,12,21,109.1,106.5,68.4,.459,.295,.565,56.1,51.7,3.9,22.2,.549,16.8,35.5,.279,.532,14.2,74.3,.238
16,2012-01-07,,Charlotte,L,52,57,23,57,.404,2,21,.095,4,7,.571,3,30,13,4,8,15,14,20,59,.339,4,14,.286,13,22,.591,11,38,10,13,4,9,13,74.3,81.4,69.9,.123,.368,.431,44.1,56.5,5.7,17.8,.421,19.9,10.0,.070,.373,11.5,71.1,.220
17,2012-01-11,,Fordham,W,80,62,25,51,.490,12,24,.500,18,32,.563,6,33,24,4,10,5,17,22,65,.338,5,14,.357,13,26,.500,14,38,14,3,4,4,22,121.2,93.9,66.3,.627,.471,.604,46.5,96.0,6.1,19.6,.608,7.0,20.0,.353,.377,4.9,65.9,.200
18,2012-01-14,@,UMass,L,62,71,25,59,.424,6,23,.261,6,8,.750,10,33,15,7,6,15,14,23,61,.377,11,27,.407,14,16,.875,15,38,16,10,4,10,14,93.9,107.6,65.7,.136,.390,.494,46.5,60.0,10.6,17.6,.475,19.3,30.3,.102,.467,12.7,60.5,.230
19,2012-01-18,@,Xavier,L,55,68,21,56,.375,4,18,.222,9,10,.900,12,32,9,5,4,19,14,27,55,.491,4,16,.250,10,15,.667,7,26,18,7,7,8,13,84.6,104.6,65.4,.179,.321,.453,55.2,42.9,7.7,10.3,.411,23.8,38.7,.161,.527,11.4,74.1,.182
20,2012-01-21,@,Penn,L,80,84,27,52,.519,12,25,.480,14,17,.824,6,27,14,5,8,15,20,28,53,.528,8,20,.400,20,27,.741,7,28,15,9,2,11,17,115.9,121.7,69.5,.327,.481,.666,49.1,51.9,7.2,24.2,.635,20.0,22.2,.269,.604,14.3,75.0,.377
21,2012-01-25,,Dayton,W,77,63,29,55,.527,5,16,.313,14,21,.667,4,26,24,7,7,4,13,22,63,.349,7,27,.259,12,15,.800,15,38,10,2,3,13,19,114.9,94.0,66.6,.382,.291,.593,40.6,82.8,10.4,19.4,.573,5.8,14.8,.255,.405,15.6,59.5,.190
22,2012-01-28,@,Temple,L,60,78,23,56,.411,3,14,.214,11,18,.611,14,30,10,3,2,12,15,30,50,.600,8,15,.533,10,16,.625,2,26,18,7,2,10,21,93.8,121.9,64.1,.321,.250,.465,53.6,43.5,4.7,5.7,.438,15.7,36.8,.196,.680,14.8,88.9,.200
23,2012-02-01,@,Richmond,W,70,60,27,59,.458,4,15,.267,12,15,.800,15,46,11,2,5,15,12,21,60,.350,6,22,.273,12,12,1.000,6,25,12,9,4,10,16,102.9,88.2,67.9,.254,.254,.529,64.8,40.7,2.9,13.2,.492,18.5,44.1,.203,.400,13.2,83.8,.200
24,2012-02-04,,La Salle,W,70,66,24,54,.444,1,10,.100,21,29,.724,12,42,14,7,4,15,15,22,66,.333,11,25,.440,11,14,.786,14,33,12,10,1,12,21,98.6,93.0,70.7,.537,.185,.516,56.0,58.3,9.9,9.8,.454,18.1,38.7,.389,.417,14.2,68.2,.167
25,2012-02-08,,Saint Louis,L,60,72,20,51,.392,4,16,.250,16,21,.762,12,34,9,4,7,17,15,24,53,.453,10,20,.500,14,20,.700,7,22,12,9,1,10,21,90.9,109.1,65.7,.412,.314,.492,60.7,45.0,6.1,21.2,.431,21.8,44.4,.314,.547,13.8,75.9,.264
26,2012-02-11,,UMass,W,73,62,25,57,.439,7,20,.350,16,24,.667,12,42,14,5,7,14,12,24,71,.338,7,27,.259,7,10,.700,10,31,14,4,2,9,20,100.0,84.9,72.6,.421,.351,.534,57.5,56.0,6.8,15.9,.500,17.0,36.4,.281,.387,10.6,75.0,.099
27,2012-02-15,@,Rhode Island,W,80,69,29,52,.558,8,20,.400,14,14,1.000,9,28,17,6,6,10,15,26,64,.406,6,17,.353,11,17,.647,16,29,12,4,2,10,14,127.0,109.5,62.9,.269,.385,.682,49.1,58.6,9.5,12.8,.635,14.6,40.9,.269,.453,12.2,54.3,.172
28,2012-02-18,@,George Washington,W,73,66,26,58,.448,7,14,.500,14,21,.667,15,40,12,2,5,14,15,24,58,.414,4,12,.333,14,18,.778,8,28,10,8,3,6,20,110.6,100.0,65.8,.362,.241,.537,58.8,46.2,3.0,10.9,.509,17.1,42.9,.241,.448,8.3,75.8,.241
29,2012-02-22,,Richmond,L,49,52,16,42,.381,5,16,.313,12,20,.600,6,28,9,1,5,10,12,18,44,.409,7,19,.368,9,18,.500,5,24,12,5,3,10,18,86.0,91.2,56.5,.476,.381,.476,53.8,56.3,1.8,20.0,.440,16.3,24.0,.286,.489,16.0,81.5,.205
30,2012-02-25,,Temple,W,82,72,24,51,.471,9,24,.375,25,34,.735,7,32,13,3,5,10,18,26,57,.456,4,15,.267,16,23,.696,9,31,13,8,1,8,26,118.8,104.3,68.5,.667,.471,.611,50.8,54.2,4.3,11.9,.559,13.0,24.1,.490,.491,10.5,73.5,.281
