G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-12,,Ohio Dominican,L,63,64,25,63,.397,1,10,.100,12,21,.571,18,37,9,14,7,21,23,23,48,.479,5,12,.417,13,24,.542,8,30,8,8,5,26,20,81.8,83.1,76.7,.333,.159,.432,55.2,36.0,18.2,19.4,.405,22.3,45.0,.190,.531,30.4,70.4,.271
2,2011-11-15,,Saint Louis,L,42,61,8,39,.205,1,9,.111,25,37,.676,8,34,1,1,6,14,21,22,52,.423,5,14,.357,12,18,.667,5,33,12,7,4,7,24,66.7,96.8,62.6,.949,.231,.371,50.7,12.5,1.6,15.8,.218,19.8,22.2,.641,.471,10.4,83.9,.231
3,2011-11-19,@,Northeastern,L,57,64,17,53,.321,2,13,.154,21,23,.913,9,24,9,9,4,11,20,22,43,.512,5,11,.455,15,18,.833,7,26,12,8,8,16,17,90.5,101.6,63.2,.434,.245,.446,48.0,52.9,14.3,12.5,.340,14.7,32.1,.396,.570,23.7,68.2,.349
4,2011-11-25,,Chicago State,W,73,57,26,55,.473,6,15,.400,15,27,.556,10,30,12,15,1,13,14,23,50,.460,3,8,.375,8,15,.533,6,27,11,12,0,20,22,102.8,80.3,71.0,.491,.273,.538,52.6,46.2,21.1,2.4,.527,16.1,32.3,.273,.490,25.9,76.9,.160
5,2011-12-07,,Western Kentucky,L,55,62,19,54,.352,2,11,.182,15,17,.882,7,29,12,10,2,18,25,21,48,.438,3,9,.333,17,30,.567,11,35,11,7,2,16,18,78.6,88.6,70.2,.315,.204,.443,45.3,63.2,14.3,5.1,.370,22.5,22.6,.278,.469,20.4,66.7,.354
6,2011-12-11,@,Western Michigan,L,43,54,17,59,.288,6,22,.273,3,5,.600,8,25,9,12,4,15,22,17,47,.362,3,16,.188,17,27,.630,15,44,12,8,7,20,12,64.2,80.6,66.6,.085,.373,.350,36.2,52.9,17.9,12.9,.339,19.6,21.6,.051,.394,25.1,53.1,.362
7,2011-12-17,@,Northern Illinois,W,62,49,19,45,.422,4,19,.211,20,29,.690,9,30,7,11,5,17,22,14,48,.292,3,18,.167,18,28,.643,16,33,6,8,2,22,23,92.5,73.1,67.0,.644,.422,.527,47.6,36.8,16.4,16.7,.467,22.4,34.6,.444,.323,26.4,56.8,.375
8,2011-12-19,,SIU-Edwardsville,W,80,57,30,60,.500,5,17,.294,15,20,.750,9,35,16,8,3,14,24,17,47,.362,4,11,.364,19,31,.613,4,27,5,9,3,18,20,106.7,76.0,75.1,.333,.283,.576,56.5,53.3,10.7,8.3,.542,16.8,28.1,.250,.404,22.6,86.7,.404
9,2011-12-22,N,Kansas State,L,58,83,18,61,.295,5,22,.227,17,29,.586,15,27,7,9,1,13,25,25,46,.543,9,14,.643,24,32,.750,8,40,14,6,4,19,25,80.6,115.3,72.5,.475,.361,.388,40.3,38.9,12.5,3.1,.336,14.8,31.9,.279,.641,23.7,60.0,.522
10,2011-12-23,N,Clemson,L (1 OT),75,83,28,66,.424,8,18,.444,11,15,.733,10,31,15,9,4,14,26,26,61,.426,5,15,.333,26,34,.765,13,40,11,6,1,14,17,96.2,106.4,69.0,.227,.273,.513,43.7,53.6,11.5,8.7,.485,16.1,27.0,.167,.467,15.4,61.8,.426
11,2011-12-25,N,Xavier,L,77,87,28,70,.400,5,20,.250,16,22,.727,13,33,15,3,5,11,28,24,51,.471,3,8,.375,36,48,.750,10,31,13,6,5,10,16,101.3,114.5,76.1,.314,.286,.479,51.6,53.6,3.9,11.6,.436,12.0,38.2,.229,.500,11.9,66.7,.706
12,2011-12-29,@,Evansville,L,60,78,23,56,.411,2,15,.133,12,18,.667,17,32,11,10,4,23,27,24,47,.511,4,9,.444,26,37,.703,10,25,10,9,2,18,17,83.3,108.3,71.6,.321,.268,.465,56.1,47.8,13.9,10.5,.429,26.3,53.1,.214,.553,21.8,60.0,.553
13,2012-01-01,,Illinois State,W,86,71,31,61,.508,8,17,.471,16,25,.640,15,39,13,4,3,8,16,24,53,.453,10,23,.435,13,16,.813,5,25,9,5,2,11,23,130.3,107.6,66.2,.410,.279,.590,60.9,41.9,6.1,10.0,.574,9.9,42.9,.262,.547,15.4,82.8,.245
14,2012-01-04,@,Bradley,W,74,65,31,54,.574,4,9,.444,8,16,.500,8,28,20,5,2,9,16,25,56,.446,4,12,.333,11,15,.733,11,30,16,5,2,13,13,115.6,101.6,63.9,.296,.167,.601,48.3,64.5,7.8,4.5,.611,12.7,29.6,.148,.482,17.1,64.5,.196
15,2012-01-07,,Wichita State,L,73,83,26,53,.491,6,19,.316,15,23,.652,6,28,14,7,4,12,19,29,58,.500,8,19,.421,17,25,.680,12,34,13,5,0,13,16,104.3,118.6,70.4,.434,.358,.571,45.2,53.8,10.0,10.3,.547,15.8,21.4,.283,.569,15.7,64.7,.293
16,2012-01-10,@,Missouri State,L,65,77,24,55,.436,6,17,.353,11,19,.579,9,23,15,14,4,21,24,24,49,.490,4,10,.400,25,27,.926,9,30,12,5,3,20,17,87.8,104.1,74.4,.345,.309,.508,43.4,62.5,18.9,10.3,.491,24.7,30.0,.200,.531,24.4,60.9,.510
17,2012-01-13,,Indiana State,W,73,67,26,51,.510,7,20,.350,14,20,.700,8,29,14,7,6,14,21,23,56,.411,5,20,.250,16,22,.727,11,32,8,9,0,14,22,107.4,98.5,68.0,.392,.392,.603,47.5,53.8,10.3,16.7,.578,18.8,27.6,.275,.455,17.4,65.6,.286
18,2012-01-15,@,Creighton,L,71,90,28,68,.412,4,14,.286,11,19,.579,8,26,17,7,3,5,23,27,49,.551,8,18,.444,28,34,.824,5,38,16,2,2,12,17,97.3,123.3,73.1,.279,.206,.461,40.6,60.7,9.6,9.7,.441,6.1,19.5,.162,.633,15.6,78.3,.571
19,2012-01-18,,Drake,L (1 OT),68,75,23,58,.397,4,17,.235,18,26,.692,18,37,10,4,4,19,20,24,51,.471,7,16,.438,20,27,.741,8,28,8,8,2,16,20,94.4,104.2,63.6,.448,.293,.483,56.9,43.5,5.6,11.4,.431,21.3,47.4,.310,.539,20.0,70.4,.392
