G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-12,@,Seton Hall,L (1 OT),71,75,27,67,.403,12,26,.462,5,11,.455,12,45,14,9,4,23,26,26,63,.413,1,13,.077,22,37,.595,11,39,7,10,6,14,18,85.5,90.4,74.1,.164,.388,.492,53.6,51.9,10.8,8.0,.493,24.2,30.0,.075,.421,14.8,75.0,.349
2,2011-11-16,@,Lafayette,L,73,79,25,67,.373,7,23,.304,16,26,.615,18,37,6,6,2,8,31,21,50,.420,7,19,.368,30,37,.811,9,32,7,2,3,12,21,104.3,112.9,70.0,.388,.343,.460,53.6,24.0,8.6,6.5,.425,9.2,43.9,.239,.490,15.1,67.9,.600
3,2011-11-19,@,Hofstra,L,59,63,21,53,.396,7,25,.280,10,13,.769,4,36,11,4,3,13,25,19,49,.388,2,6,.333,23,36,.639,5,31,6,5,2,7,13,86.8,92.6,68.1,.245,.472,.499,53.7,52.4,5.9,7.0,.462,18.0,13.3,.189,.408,9.6,86.5,.469
4,2011-11-22,@,St. John's (NY),L,48,63,19,53,.358,5,23,.217,5,14,.357,9,27,11,6,4,15,18,24,46,.522,6,10,.600,9,19,.474,9,34,11,10,4,16,18,75.0,98.4,63.8,.264,.434,.402,44.3,57.9,9.4,11.1,.406,20.1,26.5,.094,.587,22.5,66.7,.196
5,2011-11-26,@,NJIT,W,79,60,27,54,.500,7,17,.412,18,27,.667,12,38,13,8,2,18,18,21,52,.404,6,17,.353,12,17,.706,6,26,9,8,1,19,24,108.2,82.2,73.0,.500,.315,.591,59.4,48.1,11.0,5.7,.565,21.2,37.5,.333,.462,24.0,81.3,.231
6,2011-12-01,@,Mount St. Mary's,W,64,54,21,54,.389,10,28,.357,12,18,.667,11,34,12,8,3,11,17,23,55,.418,4,14,.286,4,15,.267,14,32,9,6,2,18,17,100.0,84.4,64.3,.333,.519,.512,51.5,57.1,12.5,7.3,.481,15.0,37.9,.222,.455,22.5,62.2,.073
7,2011-12-03,@,Wagner,L,50,90,14,45,.311,4,13,.308,18,34,.529,5,25,6,6,0,20,30,32,57,.561,5,14,.357,21,35,.600,9,37,15,6,2,12,27,65.8,118.4,76.4,.756,.289,.409,40.3,42.9,7.9,0.0,.356,24.6,15.2,.400,.605,14.0,69.0,.368
8,2011-12-10,@,Colgate,L,63,65,28,62,.452,3,20,.150,4,6,.667,7,24,11,6,3,19,19,25,48,.521,2,9,.222,13,17,.765,8,30,10,6,2,24,17,85.1,87.8,74.5,.097,.323,.486,44.4,39.3,8.1,7.7,.476,22.7,24.1,.065,.542,30.0,68.0,.271
9,2011-12-12,@,Howard,W,73,71,21,51,.412,10,20,.500,21,28,.750,6,27,13,3,2,22,20,22,53,.415,5,15,.333,22,29,.759,10,33,8,5,6,19,26,93.6,91.0,78.0,.549,.392,.568,45.0,61.9,3.8,5.3,.510,25.5,20.7,.412,.462,22.2,67.7,.415
10,2011-12-19,,Albany (NY),L,64,76,25,55,.455,14,29,.483,0,7,.000,10,30,17,5,1,18,23,25,52,.481,4,13,.308,22,28,.786,9,32,10,6,2,13,15,94.1,111.8,67.8,.127,.527,.549,48.4,68.0,7.4,2.6,.582,23.6,30.3,.000,.519,16.6,69.0,.423
11,2011-12-23,,Norfolk State,L,74,84,28,63,.444,8,30,.267,10,19,.526,14,30,12,8,2,17,26,27,49,.551,6,16,.375,24,33,.727,8,29,14,10,3,17,20,100.0,113.5,74.4,.302,.476,.514,50.8,42.9,10.8,6.1,.508,19.1,40.0,.159,.612,20.8,66.7,.490
