G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-14,@,Penn,W (1 OT),73,67,29,66,.439,6,17,.353,9,17,.529,13,31,14,7,3,13,15,27,58,.466,7,19,.368,6,9,.667,5,26,15,4,5,16,16,98.6,90.5,65.5,.258,.258,.493,54.4,48.3,9.5,7.7,.485,14.9,38.2,.136,.526,20.4,78.3,.103
2,2011-11-17,N,Western Michigan,W,69,55,26,66,.394,8,20,.400,9,13,.692,11,35,16,5,4,12,18,19,55,.345,3,14,.214,14,20,.700,12,39,10,3,2,17,13,97.2,77.5,71.3,.197,.303,.478,47.3,61.5,7.0,9.8,.455,14.3,28.9,.136,.373,20.9,66.7,.255
3,2011-11-18,N,Purdue,L,77,85,27,52,.519,3,12,.250,20,27,.741,8,29,14,6,6,11,26,26,55,.473,6,16,.375,27,33,.818,7,27,14,6,3,12,24,106.9,118.1,71.8,.519,.231,.594,51.8,51.9,8.3,15.4,.548,14.5,28.6,.385,.527,14.5,75.0,.491
4,2011-11-20,N,Wichita State,W (1 OT),78,74,28,62,.452,7,18,.389,15,25,.600,7,38,14,3,6,12,19,29,70,.414,4,20,.200,12,22,.545,13,39,15,5,7,10,21,100.0,94.9,69.5,.403,.290,.528,49.4,50.0,3.8,12.0,.508,14.0,21.2,.242,.443,11.1,70.5,.171
5,2011-11-27,@,Bowling Green State,L,64,67,24,52,.462,6,18,.333,10,14,.714,8,24,15,8,1,9,14,29,52,.558,3,9,.333,6,10,.600,9,28,13,3,8,11,15,108.5,113.6,59.2,.269,.346,.546,46.2,62.5,13.6,2.3,.519,13.3,29.6,.192,.587,16.2,64.0,.115
6,2011-12-03,,Central Michigan,W,86,74,28,54,.519,11,24,.458,19,26,.731,11,33,22,5,6,14,20,23,53,.434,5,17,.294,23,29,.793,8,26,12,5,4,12,20,122.9,105.7,70.1,.481,.444,.648,55.9,78.6,7.1,16.7,.620,17.4,37.9,.352,.481,15.2,73.3,.434
7,2011-12-07,@,Toledo,W,77,58,28,53,.528,11,24,.458,10,12,.833,8,36,22,6,4,22,16,23,58,.397,2,13,.154,10,17,.588,10,26,8,12,1,14,15,108.5,81.7,71.4,.226,.453,.656,58.1,78.6,8.5,8.9,.632,27.3,33.3,.189,.414,17.5,73.7,.172
8,2011-12-10,,Villanova,W,78,67,28,64,.438,4,17,.235,18,24,.750,15,36,11,4,2,10,19,24,59,.407,3,20,.150,16,24,.667,14,34,9,3,3,17,21,108.3,93.1,71.9,.375,.266,.517,51.4,39.3,5.6,5.1,.469,11.7,42.9,.281,.432,19.5,60.0,.271
9,2011-12-17,@,Texas,L,65,77,23,51,.451,9,18,.500,10,20,.500,3,20,14,9,3,11,26,26,56,.464,2,17,.118,23,35,.657,16,46,7,4,3,14,20,92.9,110.0,69.6,.392,.353,.537,30.3,60.9,12.9,7.7,.539,15.4,9.1,.196,.482,16.2,51.5,.411
10,2011-12-19,@,Rice,W,77,70,28,61,.459,8,19,.421,13,19,.684,5,33,15,4,4,10,23,25,60,.417,3,18,.167,17,26,.654,6,31,14,4,4,8,17,102.7,93.3,74.7,.311,.311,.550,51.6,53.6,5.3,9.5,.525,12.5,16.7,.213,.442,10.0,82.4,.283
11,2011-12-28,,Buffalo,W (1 OT),87,85,28,77,.364,11,28,.393,20,29,.690,16,40,18,11,1,10,21,32,58,.552,6,15,.400,15,27,.556,8,42,22,3,7,21,22,103.6,101.2,74.9,.377,.364,.479,48.8,64.3,13.1,2.3,.435,9.9,32.0,.260,.603,22.9,75.0,.259
12,2011-12-30,@,Delaware,W,66,63,25,64,.391,6,19,.316,10,14,.714,14,36,13,7,4,9,11,25,56,.446,6,17,.353,7,8,.875,6,30,9,1,3,13,15,100.0,95.5,66.2,.219,.297,.467,54.5,52.0,10.6,10.3,.438,11.3,36.8,.156,.500,17.9,78.6,.125
13,2012-01-04,N,Duke,W,78,73,31,55,.564,5,10,.500,11,18,.611,12,30,18,11,3,17,17,28,59,.475,6,14,.429,11,16,.688,13,29,13,8,5,16,19,113.0,105.8,69.1,.327,.182,.614,50.8,58.1,15.9,6.7,.609,21.1,42.9,.200,.525,19.4,58.1,.186
14,2012-01-07,,Dayton,L,77,87,29,62,.468,11,25,.440,8,12,.667,7,23,15,7,5,15,20,29,62,.468,10,21,.476,19,21,.905,11,37,16,5,2,16,10,101.3,114.5,76.3,.194,.403,.569,38.3,51.7,9.2,12.2,.556,18.1,21.2,.129,.548,18.2,59.3,.306
15,2012-01-11,@,Saint Louis,W,72,67,30,53,.566,5,7,.714,7,11,.636,3,24,11,6,6,13,13,26,62,.419,6,16,.375,9,14,.643,14,32,11,8,5,10,17,109.1,101.5,66.4,.208,.132,.618,42.9,36.7,9.1,13.0,.613,18.3,14.3,.132,.468,12.7,60.0,.145
16,2012-01-14,@,Richmond,L,65,76,22,60,.367,6,20,.300,15,20,.750,14,39,8,7,4,10,22,26,59,.441,8,18,.444,16,22,.727,13,38,13,5,6,12,17,97.0,113.4,67.0,.333,.333,.468,50.6,36.4,10.4,9.8,.417,12.6,35.9,.250,.508,14.7,65.8,.271
17,2012-01-18,,La Salle,W,76,70,27,52,.519,4,13,.308,18,22,.818,10,35,16,4,9,15,12,28,62,.452,5,15,.333,9,16,.563,8,26,11,8,3,8,16,110.1,101.4,68.5,.423,.250,.608,57.4,59.3,5.8,19.1,.558,19.4,35.7,.346,.492,10.3,75.8,.145
18,2012-01-21,N,Maryland,W,73,60,27,55,.491,9,22,.409,10,13,.769,7,27,20,8,1,10,16,22,48,.458,4,16,.250,12,21,.571,6,28,8,4,1,16,14,110.6,90.9,66.1,.236,.400,.597,49.1,74.1,12.1,3.1,.573,14.0,24.1,.182,.500,21.6,76.9,.250
19,2012-01-25,@,Charlotte,W,79,57,29,53,.547,10,24,.417,11,18,.611,5,28,20,10,4,13,17,18,55,.327,7,22,.318,14,17,.824,10,29,9,4,2,16,17,114.5,82.6,69.3,.340,.453,.642,49.1,69.0,14.5,12.1,.642,17.4,20.8,.208,.391,20.2,69.7,.255
20,2012-01-28,,St. Joseph's,W,78,60,30,50,.600,8,15,.533,10,16,.625,2,26,18,7,2,10,21,23,56,.411,3,14,.214,11,18,.611,14,30,10,3,2,12,15,121.9,93.8,64.1,.320,.300,.677,46.4,60.0,10.9,4.8,.680,14.8,11.1,.200,.438,15.7,63.2,.196
21,2012-02-01,,Fordham,W,78,60,29,56,.518,10,20,.500,10,14,.714,14,33,16,4,6,15,10,24,58,.414,5,16,.313,7,11,.636,12,26,10,5,4,11,16,123.8,95.2,62.9,.250,.357,.623,55.9,55.2,6.3,14.3,.607,19.3,50.0,.179,.457,14.8,61.3,.121
22,2012-02-04,@,Rhode Island,W,73,56,29,56,.518,9,25,.360,6,7,.857,4,29,16,8,3,7,20,18,50,.360,5,14,.357,15,24,.625,11,33,12,3,2,13,7,115.9,88.9,62.9,.125,.446,.615,46.8,55.2,12.7,8.3,.598,10.6,15.4,.107,.410,17.5,69.4,.300
23,2012-02-08,,George Washington,W,79,72,23,55,.418,6,16,.375,27,34,.794,13,35,13,8,6,10,13,28,59,.475,4,11,.364,12,14,.857,9,28,14,6,1,11,23,116.2,105.9,67.9,.618,.291,.555,55.6,56.5,11.8,12.5,.473,12.3,40.6,.491,.508,14.4,71.0,.203
24,2012-02-11,,Xavier,W,85,72,28,60,.467,9,20,.450,20,32,.625,15,38,11,7,6,10,20,26,59,.441,6,14,.429,14,17,.824,7,27,12,7,2,11,21,119.7,101.4,70.6,.533,.333,.565,58.5,39.3,9.9,13.3,.542,11.7,42.9,.333,.492,14.1,76.7,.237
25,2012-02-15,@,St. Bonaventure,W,76,70,23,53,.434,5,14,.357,25,29,.862,8,32,10,10,5,8,19,23,54,.426,7,16,.438,17,20,.850,7,27,13,4,5,15,21,110.1,101.4,69.1,.547,.264,.569,54.2,43.5,14.5,13.2,.481,10.7,28.6,.472,.491,19.1,77.4,.315
26,2012-02-18,,Duquesne,W,78,59,30,52,.577,10,19,.526,8,10,.800,3,31,20,6,4,11,14,23,63,.365,5,17,.294,8,14,.571,16,29,9,8,0,11,13,120.0,90.8,64.7,.192,.365,.687,51.7,66.7,9.2,8.7,.673,16.2,18.8,.154,.405,13.6,63.6,.127
27,2012-02-22,@,La Salle,W (1 OT),80,79,27,58,.466,6,12,.500,20,22,.909,12,40,19,5,8,19,17,27,70,.386,10,23,.435,15,17,.882,9,26,13,11,3,13,16,101.3,100.0,70.0,.379,.207,.584,60.6,70.4,6.3,17.0,.517,21.7,41.4,.345,.457,14.3,75.7,.214
28,2012-02-25,@,St. Joseph's,L,72,82,26,57,.456,4,15,.267,16,23,.696,9,31,13,8,1,8,26,24,51,.471,9,24,.375,25,34,.735,7,32,13,3,5,10,18,104.3,118.8,68.5,.404,.263,.530,49.2,50.0,11.6,3.7,.491,10.5,26.5,.281,.559,13.0,75.9,.490
29,2012-02-29,,UMass,W (1 OT),90,88,27,69,.391,6,21,.286,30,40,.750,12,42,17,11,6,15,14,35,78,.449,12,24,.500,6,10,.600,10,40,16,9,4,17,25,100.0,97.8,80.3,.580,.304,.511,51.2,63.0,12.2,11.1,.435,14.6,28.6,.435,.526,17.0,75.0,.077
30,2012-03-03,@,Fordham,W,80,60,31,59,.525,6,13,.462,12,15,.800,7,23,17,12,1,9,10,26,48,.542,2,9,.222,6,8,.750,3,24,13,5,3,16,15,121.2,90.9,66.5,.254,.220,.605,48.9,54.8,18.2,2.6,.576,12.0,25.0,.203,.563,23.6,84.2,.125
31,2012-03-09,N,UMass,L,71,77,26,57,.456,7,17,.412,12,15,.800,13,36,18,10,5,22,19,27,62,.435,9,16,.563,14,20,.700,12,27,14,14,4,13,15,97.3,105.5,72.8,.263,.298,.554,57.1,69.2,13.7,10.9,.518,25.5,46.4,.211,.508,15.4,65.7,.226
32,2012-03-16,N,South Florida,L,44,58,15,42,.357,2,12,.167,12,16,.750,6,26,9,6,5,12,19,17,50,.340,8,17,.471,16,21,.762,10,33,7,10,1,12,16,74.6,98.3,58.8,.381,.286,.444,44.1,60.0,10.2,15.2,.381,19.5,20.7,.286,.420,16.7,66.7,.320
