G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,@,Miami (FL),L,58,69,19,47,.404,8,17,.471,12,19,.632,5,24,7,5,5,15,22,21,54,.389,7,22,.318,20,25,.800,11,39,10,7,3,14,18,86.6,103.0,67.5,.404,.362,.518,38.1,36.8,7.5,15.6,.489,21.1,15.2,.255,.454,17.5,63.3,.370
2,2011-11-15,,Reinhardt,W,94,64,38,59,.644,4,12,.333,14,27,.519,8,30,21,15,3,15,15,25,55,.455,8,24,.333,6,8,.750,6,22,14,7,0,28,21,117.5,80.0,79.8,.458,.203,.654,57.7,55.3,18.8,9.7,.678,17.3,33.3,.237,.527,32.3,78.6,.109
3,2011-11-19,,Appalachian State,L,63,68,19,55,.345,3,12,.250,22,28,.786,15,32,7,4,1,12,16,22,43,.512,10,22,.455,14,19,.737,5,25,14,2,3,17,27,96.9,104.6,64.7,.509,.218,.461,56.1,36.8,6.2,4.8,.373,14.9,42.9,.400,.628,24.6,77.3,.326
4,2011-11-22,@,High Point,W (1 OT),62,57,24,59,.407,3,12,.250,11,15,.733,15,40,11,9,2,18,14,22,61,.361,7,23,.304,6,12,.500,12,31,17,7,6,15,16,89.9,82.6,61.7,.254,.203,.469,56.3,45.8,13.0,5.3,.432,21.4,44.1,.186,.418,18.4,67.6,.098
5,2011-11-25,,Lamar,L,65,85,23,50,.460,3,11,.273,16,21,.762,1,21,12,3,3,12,22,28,63,.444,6,12,.500,23,27,.852,11,35,15,7,7,7,18,91.5,119.7,71.4,.420,.220,.542,37.5,52.2,4.2,5.9,.490,16.7,4.0,.320,.492,8.5,64.5,.365
6,2011-11-27,,Wilberforce,W,84,83,32,62,.516,3,21,.143,17,24,.708,10,29,20,11,2,16,24,25,50,.500,10,18,.556,23,28,.821,3,17,13,6,2,21,23,105.0,103.8,80.4,.387,.339,.572,63.0,62.5,13.8,6.3,.540,17.9,41.7,.274,.600,24.9,86.4,.460
7,2011-12-03,@,Duquesne,L,67,77,24,60,.400,6,21,.286,13,15,.867,12,31,15,5,6,13,27,26,52,.500,5,12,.417,20,28,.714,9,32,16,4,3,15,14,95.7,110.0,69.7,.250,.350,.499,49.2,62.5,7.1,15.0,.450,16.2,34.3,.217,.548,18.7,67.9,.385
8,2011-12-07,,ETSU,W,83,74,27,49,.551,9,18,.500,20,27,.741,11,34,16,5,4,21,23,25,61,.410,4,14,.286,20,27,.741,11,24,9,15,0,13,16,112.2,100.0,73.8,.551,.367,.671,58.6,59.3,6.8,8.5,.643,25.4,45.8,.408,.443,15.0,67.6,.328
9,2011-12-10,,Lipscomb,W (1 OT),89,87,29,66,.439,8,22,.364,23,33,.697,11,33,13,8,2,11,19,33,68,.485,12,27,.444,9,15,.600,10,36,20,4,3,18,27,108.5,106.1,73.2,.500,.333,.545,47.8,44.8,9.8,4.9,.500,11.9,29.7,.348,.574,19.3,68.8,.132
10,2011-12-17,@,Evansville,W,72,70,26,52,.500,6,17,.353,14,21,.667,5,24,14,6,2,13,21,20,47,.426,3,15,.200,27,30,.900,10,31,10,3,4,16,20,104.3,101.4,68.6,.404,.327,.581,43.6,53.8,8.7,6.3,.558,17.3,19.2,.269,.457,20.7,65.5,.574
