G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2011-11-11,,Texas Lutheran,W,101,60,34,69,.493,8,26,.308,25,32,.781,16,50,18,15,6,23,27,21,61,.344,3,8,.375,15,29,.517,10,30,11,10,1,24,25,112.2,66.7,90.0,.464,.377,.600,62.5,52.9,16.7,11.3,.551,21.5,44.4,.362,.369,24.3,77.3,.246
2,2011-11-15,,Howard Payne,W,96,55,33,75,.440,8,21,.381,22,26,.846,21,51,21,13,3,13,20,16,49,.327,6,14,.429,17,23,.739,3,24,10,8,0,21,25,121.5,69.6,78.6,.347,.280,.550,68.0,63.6,16.5,8.6,.493,13.0,50.0,.293,.388,25.9,90.9,.347
3,2011-11-18,N,Toledo,W,94,91,33,66,.500,11,24,.458,17,29,.586,10,22,19,4,3,8,20,28,52,.538,9,16,.563,26,27,.963,8,32,18,5,5,20,27,122.1,118.2,77.3,.439,.364,.589,40.7,57.6,5.2,8.3,.583,9.1,29.4,.258,.625,23.6,60.0,.500
4,2011-11-19,@,Texas-Rio Grande Valley,L,77,79,27,62,.435,2,11,.182,21,23,.913,9,35,14,4,3,7,23,26,56,.464,9,22,.409,18,29,.621,7,30,19,3,2,11,17,106.9,109.7,72.4,.371,.177,.528,53.8,51.9,5.6,8.8,.452,8.8,28.1,.339,.545,13.6,78.8,.321
5,2011-11-20,N,USC Upstate,L,74,82,28,58,.483,11,19,.579,7,14,.500,7,24,15,8,1,17,17,31,54,.574,5,11,.455,15,27,.556,13,39,13,8,1,18,20,101.4,112.3,73.2,.241,.328,.572,38.1,53.6,11.0,2.3,.578,20.8,21.2,.121,.620,21.2,56.7,.278
6,2011-11-27,,Northwest Oklahoma State,W,74,72,21,53,.396,7,23,.304,25,37,.676,8,29,11,8,3,16,14,26,57,.456,8,21,.381,12,18,.667,10,36,14,10,1,22,30,94.9,92.3,78.1,.698,.434,.524,44.6,52.4,10.3,8.3,.462,18.5,23.5,.472,.526,25.1,67.7,.211
7,2011-12-03,,Houston Baptist,W,103,76,34,56,.607,10,16,.625,25,37,.676,12,43,17,14,1,24,24,29,63,.460,4,14,.286,14,32,.438,10,25,14,9,0,20,28,118.4,87.4,86.9,.661,.286,.700,63.2,50.0,16.1,2.0,.696,24.6,44.4,.446,.492,20.4,75.6,.222
8,2011-12-06,,Houston,W,81,78,30,73,.411,11,30,.367,10,21,.476,14,37,12,6,0,8,23,26,63,.413,4,14,.286,22,31,.710,16,49,8,1,4,17,19,103.8,100.0,77.9,.288,.411,.488,43.0,40.0,7.7,0.0,.486,8.8,29.8,.137,.444,17.9,59.0,.349
9,2011-12-10,@,Texas,L,52,86,15,58,.259,7,22,.318,15,24,.625,11,23,6,6,3,14,24,27,48,.563,9,18,.500,23,30,.767,6,37,17,5,5,15,21,72.2,119.4,71.8,.414,.379,.375,38.3,40.0,8.3,10.0,.319,16.8,26.2,.259,.656,19.4,66.7,.479
10,2011-12-20,@,LIU-Brooklyn,L,84,100,37,81,.457,2,17,.118,8,10,.800,17,33,16,11,0,14,22,36,57,.632,11,22,.500,17,22,.773,5,30,26,5,2,22,18,100.0,119.0,83.6,.123,.210,.490,52.4,43.2,13.1,0.0,.469,14.0,40.5,.099,.728,24.6,76.2,.298
11,2011-12-22,@,Fordham,L,70,81,22,67,.328,9,34,.265,17,22,.773,11,34,11,10,4,11,28,26,64,.406,2,15,.133,27,38,.711,18,48,13,4,7,12,18,90.9,105.2,76.8,.328,.507,.452,41.5,50.0,13.0,8.2,.396,12.4,26.8,.254,.422,12.8,56.1,.422
12,2011-12-28,,Huston-Tillotson,W,99,47,34,61,.557,10,26,.385,21,28,.750,10,48,18,4,7,16,20,15,64,.234,3,20,.150,14,23,.609,13,31,6,6,1,19,24,122.2,58.0,80.6,.459,.426,.666,60.8,52.9,4.9,15.9,.639,17.7,35.7,.344,.258,20.2,74.5,.219
13,2011-12-30,@,Houston,L,71,94,25,65,.385,6,17,.353,15,18,.833,9,20,13,11,4,11,22,35,65,.538,11,18,.611,13,22,.591,20,48,17,4,9,20,25,93.4,123.7,75.5,.277,.262,.483,29.4,52.0,14.5,8.5,.431,13.0,24.3,.231,.623,21.0,35.5,.200
14,2012-01-04,,Stephen F. Austin,L,65,66,26,50,.520,9,19,.474,4,6,.667,2,22,16,5,4,11,20,20,49,.408,5,12,.417,21,27,.778,7,28,11,7,4,10,12,103.2,104.8,63.3,.120,.380,.615,44.0,61.5,7.9,10.8,.610,17.2,8.7,.080,.459,13.9,74.1,.429
15,2012-01-07,@,Northwestern State,L,68,83,23,51,.451,4,11,.364,18,27,.667,10,30,13,8,2,23,21,31,65,.477,7,20,.350,14,26,.538,18,36,20,14,5,14,23,90.7,110.7,75.1,.529,.216,.533,45.5,56.5,10.7,4.4,.490,26.5,35.7,.353,.531,15.3,52.6,.215
16,2012-01-14,,McNeese State,W,82,73,29,60,.483,5,17,.294,19,22,.864,13,43,14,6,3,22,20,24,66,.364,4,19,.211,21,27,.778,15,34,9,10,2,18,20,101.2,90.1,80.6,.367,.283,.582,55.8,48.3,7.4,6.4,.525,23.8,40.6,.317,.394,18.6,66.7,.318
17,2012-01-18,@,Sam Houston State,L,68,71,24,51,.471,9,21,.429,11,17,.647,7,29,17,6,4,20,22,25,51,.490,4,10,.400,17,27,.630,12,35,17,9,5,18,20,95.8,100.0,71.0,.333,.412,.576,45.3,70.8,8.5,9.8,.559,25.3,23.3,.216,.529,22.0,64.7,.333
18,2012-01-21,,UTSA,L,75,80,26,68,.382,15,33,.455,8,13,.615,11,31,16,6,8,14,16,28,56,.500,7,17,.412,17,21,.810,7,38,16,8,3,16,14,98.7,105.3,76.1,.191,.485,.506,44.9,61.5,7.9,20.5,.493,15.9,26.2,.118,.563,19.5,74.1,.304
19,2012-01-25,@,Texas A&M-Corpus Christi,L,68,74,25,63,.397,4,22,.182,14,18,.778,11,34,11,13,2,20,24,23,57,.404,4,12,.333,24,33,.727,13,38,16,11,1,18,19,86.1,93.7,79.1,.286,.349,.475,47.2,44.0,16.5,4.4,.429,21.8,30.6,.222,.439,19.9,63.9,.421
20,2012-01-28,,Texas-Arlington,L,79,82,25,63,.397,10,30,.333,19,24,.792,10,32,15,14,7,16,29,26,59,.441,5,20,.250,25,38,.658,12,41,12,5,4,23,21,94.0,97.6,84.2,.381,.476,.531,43.8,60.0,16.7,17.9,.476,17.7,25.6,.302,.483,23.0,64.7,.424
21,2012-02-01,@,Stephen F. Austin,L,63,71,23,59,.390,8,27,.296,9,11,.818,2,11,10,11,2,15,20,26,43,.605,3,6,.500,16,25,.640,7,39,21,7,3,23,16,85.1,95.9,74.1,.186,.458,.490,22.0,43.5,14.9,5.4,.458,18.9,5.9,.153,.640,29.5,56.3,.372
22,2012-02-04,@,Nicholls State,L,75,96,25,55,.455,12,27,.444,13,23,.565,7,21,14,6,1,18,24,32,52,.615,9,22,.409,23,29,.793,7,29,20,6,3,16,21,98.7,126.3,75.9,.418,.491,.569,42.0,56.0,7.9,3.3,.564,21.4,24.1,.236,.702,19.6,66.7,.442
23,2012-02-08,,Central Arkansas,W,94,63,36,67,.537,9,19,.474,13,25,.520,15,47,16,7,5,14,19,25,69,.362,5,19,.263,8,19,.421,12,33,18,7,5,18,23,116.0,77.8,81.0,.373,.284,.596,58.8,44.4,8.6,10.0,.604,15.1,41.7,.194,.399,18.7,72.7,.116
24,2012-02-11,@,Texas-Arlington,L,53,73,17,58,.293,8,24,.333,11,15,.733,7,25,12,13,2,17,17,30,64,.469,6,24,.250,7,13,.538,16,48,13,11,4,23,15,69.7,96.1,76.2,.259,.414,.407,34.2,70.6,17.1,5.0,.362,20.7,17.9,.190,.516,24.7,52.9,.109
25,2012-02-15,,Texas A&M-Corpus Christi,W,79,61,23,49,.469,8,20,.400,25,35,.714,9,38,8,6,1,17,16,24,68,.353,0,13,.000,13,21,.619,14,35,9,8,2,15,28,103.9,80.3,76.3,.714,.408,.602,52.1,34.8,7.9,1.8,.551,20.6,30.0,.510,.353,16.1,67.4,.191
26,2012-02-18,@,South Dakota,W,93,92,30,71,.423,13,30,.433,20,25,.800,8,29,18,7,3,9,22,32,63,.508,10,23,.435,18,24,.750,11,35,20,7,3,18,20,112.0,110.8,82.6,.352,.423,.561,45.3,60.0,8.4,7.5,.514,9.8,25.0,.282,.587,19.5,65.6,.286
27,2012-02-22,@,Southeastern Louisiana,W,62,61,22,50,.440,3,12,.250,15,22,.682,7,29,5,3,2,11,20,23,54,.426,5,14,.357,10,18,.556,11,32,11,4,1,12,18,96.9,95.3,64.0,.440,.240,.513,47.5,22.7,4.7,5.0,.470,15.4,25.0,.300,.472,16.1,66.7,.185
28,2012-02-25,@,UTSA,W,66,52,25,62,.403,13,33,.394,3,5,.600,10,37,20,8,6,12,15,18,58,.310,7,27,.259,9,12,.750,9,34,10,8,6,13,10,98.5,77.6,67.0,.081,.532,.513,52.1,80.0,11.9,19.4,.508,15.7,28.6,.048,.371,16.9,75.0,.155
29,2012-02-29,,Lamar,L,65,81,24,66,.364,5,23,.217,12,14,.857,7,30,10,5,3,7,17,27,62,.435,5,12,.417,22,28,.786,10,43,14,5,5,8,16,89.0,111.0,73.0,.212,.348,.447,41.1,41.7,6.8,6.0,.402,8.8,17.5,.182,.476,9.6,69.7,.355
30,2012-03-03,,Sam Houston State,L,61,63,20,55,.364,8,25,.320,13,16,.813,10,25,13,9,2,13,22,20,50,.400,7,21,.333,16,31,.516,14,38,7,7,2,17,21,91.0,94.0,66.7,.291,.455,.487,39.7,65.0,13.4,6.9,.436,17.2,29.4,.236,.470,20.8,51.7,.320
