G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,,Central Arkansas,W,79,64,30,69,.435,6,22,.273,13,25,.520,20,47,16,11,11,16,12,26,70,.371,4,17,.235,8,14,.571,17,42,16,8,2,19,20,101.3,82.1,77.8,.362,.319,.488,52.8,53.3,14.1,20.8,.478,16.5,44.4,.188,.400,19.9,61.4,.114
2,2012-11-18,,Florida A&M,W,97,70,33,60,.550,9,18,.500,22,26,.846,6,39,21,8,11,15,19,22,66,.333,7,17,.412,19,24,.792,9,30,11,5,3,17,20,116.9,84.3,83.4,.433,.300,.670,56.5,63.6,9.6,22.4,.625,17.2,22.2,.367,.386,18.0,78.6,.288
3,2012-11-20,,Cornell,W,64,53,19,54,.352,8,27,.296,18,28,.643,6,33,12,14,11,14,15,19,54,.352,6,18,.333,9,11,.818,5,36,11,9,4,23,22,84.2,69.7,76.3,.519,.500,.475,47.8,63.2,18.4,30.6,.426,17.2,16.2,.333,.407,28.0,84.4,.167
4,2012-11-23,N,Arkansas,W,83,68,28,50,.560,7,20,.350,20,36,.556,6,40,14,4,5,12,18,25,63,.397,4,20,.200,14,21,.667,9,31,8,7,2,11,27,112.2,91.9,74.0,.720,.400,.618,56.3,50.0,5.4,11.6,.630,15.2,21.4,.400,.429,13.1,79.1,.222
5,2012-11-24,N,Creighton,L,73,87,23,53,.434,6,21,.286,21,28,.750,4,28,9,8,1,18,23,30,63,.476,8,23,.348,19,25,.760,9,35,12,10,0,15,24,90.1,107.4,80.6,.528,.396,.551,44.4,39.1,9.9,2.5,.491,21.4,13.3,.396,.540,16.7,72.7,.302
6,2012-11-28,,Arkansas-Pine Bluff,W,67,54,21,47,.447,9,24,.375,16,20,.800,5,34,17,5,9,18,14,19,64,.297,7,15,.467,9,14,.643,12,30,9,11,3,13,20,94.4,76.1,70.6,.426,.511,.593,53.1,81.0,7.0,18.4,.543,24.2,21.7,.340,.352,15.5,70.7,.141
7,2012-12-01,,Sacramento State,W,90,70,31,64,.484,11,29,.379,17,26,.654,13,45,21,5,7,11,19,24,60,.400,7,22,.318,15,23,.652,9,32,14,5,3,9,25,123.3,95.9,72.6,.406,.453,.589,58.4,67.7,6.8,18.4,.570,12.6,36.1,.266,.458,11.3,78.0,.250
8,2012-12-05,,Hartford,W,71,63,27,48,.563,6,16,.375,11,23,.478,8,32,18,6,6,10,10,22,57,.386,12,29,.414,7,7,1.000,8,24,16,7,2,11,19,114.5,101.6,62.1,.479,.333,.602,57.1,66.7,9.7,21.4,.625,14.5,33.3,.229,.491,15.4,75.0,.123
9,2012-12-08,,Cal State Northridge,W,87,76,26,51,.510,8,22,.364,27,42,.643,4,31,16,10,13,11,13,29,68,.426,8,19,.421,10,12,.833,10,39,17,4,2,18,30,108.8,95.0,79.8,.824,.431,.613,44.3,61.5,12.5,26.5,.588,13.4,12.1,.529,.485,19.6,73.0,.147
10,2012-12-12,,DePaul,L,61,78,25,58,.431,3,15,.200,8,19,.421,6,32,13,6,5,13,14,34,68,.500,5,14,.357,5,10,.500,8,39,16,6,5,14,22,80.3,102.6,76.4,.328,.259,.455,45.1,52.0,7.9,9.3,.457,16.2,16.2,.138,.537,16.1,76.5,.074
11,2012-12-15,,Dartmouth,W,61,42,26,57,.456,2,14,.143,7,13,.538,12,40,16,11,9,14,17,16,49,.327,5,16,.313,5,15,.333,7,31,9,5,2,16,18,93.8,64.6,65.2,.228,.246,.483,56.3,61.5,16.9,27.3,.474,18.1,33.3,.123,.378,22.2,80.0,.102
12,2012-12-22,@,Texas Tech,W,77,62,28,61,.459,14,27,.519,7,13,.538,11,32,19,6,5,11,16,25,58,.431,3,13,.231,9,12,.750,8,33,5,3,9,16,15,111.6,89.9,69.4,.213,.443,.573,49.2,67.9,8.7,11.1,.574,14.1,30.6,.115,.457,20.1,72.4,.155
13,2012-12-29,,Coppin State,W,68,52,25,53,.472,10,30,.333,8,10,.800,8,39,17,6,10,14,7,20,60,.333,10,31,.323,2,4,.500,8,26,8,9,2,10,15,106.3,81.3,63.8,.189,.566,.589,60.0,68.0,9.4,34.5,.566,19.5,30.8,.151,.417,13.9,79.5,.033
14,2013-01-02,,Utah,W (1 OT),55,54,23,62,.371,4,18,.222,5,10,.500,10,36,11,5,4,8,15,20,58,.345,3,11,.273,11,12,.917,8,40,10,5,5,10,13,84.6,83.1,58.0,.161,.290,.412,47.4,47.8,7.7,8.5,.403,10.7,23.8,.081,.371,13.6,76.5,.190
15,2013-01-06,,Colorado,W,65,56,20,47,.426,5,17,.294,20,33,.606,10,35,12,3,13,10,12,24,68,.353,2,19,.105,6,8,.750,15,36,10,7,1,10,25,100.0,86.2,64.7,.702,.362,.519,49.3,60.0,4.6,26.5,.479,13.8,32.3,.426,.368,12.2,62.5,.088
16,2013-01-10,@,Oregon State,W,72,62,29,66,.439,6,20,.300,8,18,.444,12,45,12,5,4,9,14,22,59,.373,5,22,.227,13,21,.619,6,30,17,4,3,8,18,101.4,87.3,71.3,.273,.303,.483,60.0,41.4,7.0,10.8,.485,10.8,33.3,.121,.415,10.4,84.6,.220
17,2013-01-13,@,Oregon,L,65,68,26,55,.473,8,19,.421,5,9,.556,6,29,8,6,4,12,17,24,59,.407,6,11,.545,14,15,.933,9,29,11,4,2,10,11,98.5,103.0,66.2,.164,.345,.548,50.0,30.8,9.1,8.3,.545,16.8,23.1,.091,.458,13.1,71.9,.237
18,2013-01-19,,Arizona,L,54,71,18,46,.391,5,20,.250,13,15,.867,5,24,9,5,5,17,17,25,54,.463,5,16,.313,16,19,.842,7,28,12,8,1,9,16,83.1,109.2,65.1,.326,.435,.508,46.2,50.0,7.7,13.2,.446,24.2,19.2,.283,.509,12.5,73.1,.296
19,2013-01-24,,USC,W (1 OT),98,93,32,63,.508,9,23,.391,25,36,.694,12,39,20,5,5,10,13,35,71,.493,15,28,.536,8,13,.615,10,33,19,8,7,12,25,124.1,117.7,69.9,.571,.365,.612,54.2,62.5,6.3,11.6,.579,11.1,34.3,.397,.599,13.5,73.0,.113
20,2013-01-26,,UCLA,W,78,60,30,64,.469,5,20,.250,13,19,.684,13,49,19,7,10,14,10,25,72,.347,5,24,.208,5,6,.833,6,29,16,7,2,10,18,102.6,78.9,76.4,.297,.313,.534,62.8,63.3,9.2,20.8,.508,16.1,36.1,.203,.382,11.8,85.7,.069
21,2013-01-31,@,Washington State,W,63,59,24,62,.387,11,31,.355,4,11,.364,6,29,13,4,6,4,14,19,48,.396,9,23,.391,12,19,.632,6,34,10,3,0,9,13,100.0,93.7,62.6,.177,.500,.469,46.0,54.2,6.3,24.0,.476,5.6,17.6,.065,.490,13.6,79.3,.250
22,2013-02-02,@,Washington,L,92,96,37,58,.638,12,19,.632,6,12,.500,1,17,15,5,1,11,19,36,68,.529,3,13,.231,21,22,.955,12,33,16,7,3,14,16,119.5,124.7,77.1,.207,.328,.722,34.0,40.5,6.5,1.8,.741,14.7,4.5,.103,.551,15.1,57.1,.309
23,2013-02-07,,California,W,66,62,25,54,.463,5,18,.278,11,16,.688,9,32,11,8,5,17,11,24,51,.471,6,17,.353,8,14,.571,6,29,13,13,4,18,17,94.3,88.6,69.6,.296,.333,.536,52.5,44.0,11.4,14.7,.509,21.6,28.1,.204,.529,23.8,79.3,.157
24,2013-02-09,,Stanford,L,59,62,22,64,.344,7,23,.304,8,16,.500,12,34,10,7,3,8,14,22,46,.478,10,18,.556,8,12,.667,3,32,13,6,6,14,16,90.8,95.4,65.2,.250,.359,.412,51.5,45.5,10.8,10.7,.398,10.1,29.3,.125,.587,21.3,88.0,.174
25,2013-02-13,@,Utah,L,55,60,22,55,.400,7,22,.318,4,10,.400,10,30,10,6,4,11,20,19,42,.452,5,15,.333,17,23,.739,4,27,12,8,3,10,12,91.7,100.0,59.8,.182,.400,.460,52.6,45.5,10.0,14.8,.464,15.5,30.3,.073,.512,15.9,83.3,.405
26,2013-02-16,@,Colorado,W (1 OT),63,62,23,50,.460,7,24,.292,10,17,.588,2,18,8,7,3,9,16,20,57,.351,6,20,.300,16,18,.889,18,40,11,7,2,15,19,98.4,96.9,56.7,.340,.480,.542,31.0,34.8,10.9,8.1,.530,13.4,8.3,.200,.404,18.6,47.1,.281
27,2013-02-20,,Washington State,W,69,57,23,46,.500,8,21,.381,15,18,.833,7,34,18,3,7,15,16,23,57,.404,6,23,.261,5,10,.500,5,20,13,5,3,6,19,109.5,90.5,62.7,.391,.457,.632,63.0,78.3,4.8,20.6,.587,21.6,31.8,.326,.456,8.9,84.4,.088
28,2013-02-23,,Washington,L,59,68,23,48,.479,5,15,.333,8,15,.533,5,19,13,3,3,8,14,26,54,.481,4,12,.333,12,16,.750,13,33,12,5,3,6,16,105.4,121.4,56.4,.313,.313,.535,36.5,56.5,5.4,7.1,.531,12.7,20.0,.167,.519,8.9,51.9,.222
29,2013-02-27,@,UCLA,L (1 OT),74,79,29,72,.403,7,25,.280,9,14,.643,16,44,14,11,6,14,17,28,66,.424,8,22,.364,15,18,.833,11,40,21,7,8,13,16,96.1,102.6,68.1,.194,.347,.470,52.4,48.3,14.3,13.6,.451,15.1,35.6,.125,.485,14.8,71.8,.227
30,2013-03-02,@,USC,L,56,57,24,56,.429,1,12,.083,7,11,.636,5,29,9,6,3,13,15,20,51,.392,5,12,.417,12,19,.632,9,33,9,9,5,13,13,83.6,85.1,66.6,.196,.214,.457,46.8,37.5,9.0,7.7,.438,17.5,17.2,.125,.441,17.8,72.7,.235
31,2013-03-09,@,Arizona,L,58,73,20,43,.465,6,15,.400,12,19,.632,3,22,12,5,6,16,22,24,54,.444,8,23,.348,17,21,.810,10,32,11,10,1,12,18,87.9,110.6,65.5,.442,.349,.557,40.7,60.0,7.6,19.4,.535,23.5,12.0,.279,.519,15.8,65.5,.315
32,2013-03-13,N,Stanford,W (1 OT),89,88,32,66,.485,11,22,.500,14,17,.824,11,32,15,6,3,11,13,36,78,.462,15,33,.455,1,1,1.000,12,33,17,3,8,12,17,117.1,115.8,67.8,.258,.333,.601,49.2,46.9,7.9,6.7,.568,12.9,34.4,.212,.558,13.3,63.6,.013
33,2013-03-14,N,UCLA,L,75,80,26,57,.456,6,17,.353,17,22,.773,7,28,15,4,5,8,17,29,68,.426,7,17,.412,15,17,.882,12,36,14,6,1,6,20,108.7,115.9,69.3,.386,.298,.556,43.8,57.7,5.8,9.8,.509,10.6,22.6,.298,.478,7.3,63.6,.221
34,2013-03-20,,Detroit,W,83,68,27,49,.551,5,12,.417,24,28,.857,15,39,16,5,4,24,22,20,58,.345,2,20,.100,26,27,.963,12,20,8,12,3,11,25,116.9,95.8,70.6,.571,.245,.666,66.1,59.3,7.0,10.5,.602,27.8,65.2,.490,.362,13.4,66.7,.448
35,2013-03-22,@,Baylor,L,86,89,25,56,.446,11,24,.458,25,31,.806,7,32,18,6,4,16,27,29,59,.492,6,20,.300,25,36,.694,9,31,22,8,6,12,26,108.9,112.7,79.4,.554,.429,.608,50.8,72.0,7.6,10.3,.545,18.4,24.1,.446,.542,13.6,73.5,.424
