G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,@,Dayton,L,61,74,22,56,.393,6,22,.273,11,16,.688,12,28,14,3,5,15,13,28,53,.528,8,16,.500,10,14,.714,9,29,20,5,3,14,18,92.4,112.1,65.6,.286,.393,.480,49.1,63.6,4.5,13.5,.446,19.1,37.5,.196,.604,19.0,64.0,.189
2,2012-11-13,,Arkansas-Monticello,W,76,47,29,53,.547,9,20,.450,9,17,.529,13,36,14,12,6,22,18,19,54,.352,3,20,.150,6,12,.500,10,22,7,13,1,20,13,108.6,67.1,69.9,.321,.377,.622,62.1,48.3,17.1,17.6,.632,26.5,52.0,.170,.380,25.1,69.7,.111
3,2012-11-16,@,UT-Martin,W (3 OT),77,73,25,69,.362,8,28,.286,19,29,.655,13,35,14,12,5,12,17,24,71,.338,7,28,.250,18,19,.947,19,54,15,8,7,18,19,96.3,91.3,58.5,.420,.406,.465,39.3,56.0,15.0,11.6,.420,12.7,27.1,.275,.387,18.4,53.7,.254
4,2012-11-21,@,Central Arkansas,W,73,72,27,59,.458,6,20,.300,13,19,.684,8,29,14,9,5,13,12,29,63,.460,8,15,.533,6,8,.750,8,34,16,8,0,15,16,100.0,98.6,73.4,.322,.339,.537,46.0,51.9,12.3,10.4,.508,16.0,23.5,.220,.524,18.3,72.4,.095
5,2012-11-25,,Lamar,W,93,53,34,73,.466,11,20,.550,14,21,.667,19,46,15,15,3,8,18,19,51,.373,1,6,.167,14,17,.824,3,21,9,5,2,17,18,127.4,72.6,72.5,.288,.274,.560,68.7,44.1,20.5,6.7,.541,8.8,51.4,.192,.382,22.3,90.0,.275
6,2012-11-29,@,Florida International,L,61,80,23,63,.365,8,22,.364,7,17,.412,16,30,10,9,4,14,13,32,53,.604,8,15,.533,8,11,.727,8,31,19,9,3,19,17,88.4,115.9,69.2,.270,.349,.429,49.2,43.5,13.0,10.5,.429,16.5,41.0,.111,.679,24.6,63.6,.151
7,2012-12-01,@,Florida Atlantic,L,65,72,21,56,.375,7,19,.368,16,24,.667,8,32,7,4,2,9,20,23,49,.469,8,18,.444,18,24,.750,5,32,14,5,5,13,20,95.6,105.9,68.4,.429,.339,.482,50.0,33.3,5.9,6.5,.438,11.8,22.9,.286,.551,17.7,82.8,.367
8,2012-12-08,,St. Bonaventure,W,73,70,24,52,.462,5,17,.294,20,25,.800,5,27,9,3,0,13,20,24,57,.421,6,24,.250,16,23,.696,9,27,11,6,0,10,23,104.3,100.0,70.4,.481,.327,.571,50.0,37.5,4.3,0.0,.510,16.9,21.7,.385,.474,12.8,71.0,.281
9,2012-12-16,,Austin Peay,W,69,57,25,65,.385,5,20,.250,14,25,.560,16,32,10,19,4,12,16,23,46,.500,7,12,.583,4,9,.444,9,30,13,5,6,28,20,97.2,80.3,71.1,.385,.308,.449,51.6,40.0,26.8,11.8,.423,13.5,43.2,.215,.576,35.8,64.0,.087
10,2012-12-19,,Murray State,L,54,61,21,58,.362,2,15,.133,10,18,.556,10,28,6,14,4,10,13,21,51,.412,6,21,.286,13,15,.867,8,32,6,8,2,18,16,80.6,91.0,67.3,.310,.259,.406,46.7,28.6,20.9,13.3,.379,13.1,29.4,.172,.471,23.6,69.2,.255
11,2012-12-22,@,Kent State,L,69,73,22,52,.423,7,18,.389,18,25,.720,9,28,11,8,0,19,21,25,49,.510,7,17,.412,16,22,.727,5,29,12,8,0,19,20,93.2,98.6,73.7,.481,.346,.540,49.1,50.0,10.8,0.0,.490,22.9,27.3,.346,.582,24.2,79.2,.327
12,2012-12-27,,Louisiana,W,87,70,26,56,.464,6,18,.333,29,37,.784,12,37,12,10,3,12,10,29,66,.439,6,20,.300,6,10,.600,8,27,10,7,2,14,24,116.0,93.3,75.2,.661,.321,.591,57.8,46.2,13.3,6.5,.518,14.0,38.7,.518,.485,16.5,75.8,.091
13,2012-12-29,@,South Alabama,W,63,54,21,55,.382,3,12,.250,18,27,.667,13,44,7,8,3,17,19,17,62,.274,4,27,.148,16,23,.696,18,46,6,8,5,17,23,87.5,75.0,71.9,.491,.218,.464,48.9,33.3,11.1,8.6,.409,20.0,31.7,.327,.306,18.9,63.3,.258
14,2013-01-03,,Middle Tennessee,W (1 OT),66,60,21,54,.389,3,16,.188,21,36,.583,13,35,9,9,3,16,22,19,59,.322,3,13,.231,19,27,.704,13,40,8,10,6,15,28,89.2,81.1,65.7,.667,.296,.464,46.7,42.9,12.2,6.5,.417,18.4,32.5,.389,.347,17.3,62.9,.322
15,2013-01-05,,Western Kentucky,W,75,61,27,57,.474,9,24,.375,12,18,.667,12,32,13,8,2,8,13,22,51,.431,11,27,.407,6,13,.462,9,25,12,5,0,17,18,119.0,96.8,63.4,.316,.421,.572,56.1,48.1,12.7,8.3,.553,10.9,42.9,.211,.539,22.9,69.0,.118
16,2013-01-10,,Florida International,L,64,66,20,58,.345,8,33,.242,16,23,.696,16,35,11,11,3,14,17,21,41,.512,8,16,.500,16,23,.696,3,24,9,8,1,17,22,97.0,100.0,66.4,.397,.569,.464,59.3,55.0,16.7,12.0,.414,16.9,43.2,.276,.610,24.7,86.4,.390
17,2013-01-12,@,Louisiana,L,56,61,18,52,.346,4,18,.222,16,29,.552,13,39,4,8,1,14,25,20,52,.385,6,15,.400,15,29,.517,11,36,12,3,0,15,23,82.4,89.7,68.3,.558,.346,.426,52.0,22.2,11.8,2.7,.385,17.5,34.2,.308,.442,18.6,70.3,.288
18,2013-01-19,,Louisiana-Monroe,W,63,39,23,55,.418,7,27,.259,10,16,.625,9,32,13,13,6,9,7,18,49,.367,1,10,.100,2,9,.222,8,32,8,5,0,19,12,100.0,61.9,63.4,.291,.491,.503,50.0,56.5,20.6,15.4,.482,12.6,27.3,.182,.378,26.3,74.2,.041
19,2013-01-24,@,Troy,L (1 OT),67,74,19,52,.365,9,22,.409,20,24,.833,14,32,9,9,2,18,17,27,56,.482,7,20,.350,13,18,.722,13,30,14,11,3,15,15,100.0,110.4,59.5,.462,.423,.528,51.6,47.4,13.4,5.6,.452,22.1,45.2,.385,.545,18.9,58.1,.232
20,2013-01-26,,Florida Atlantic,W,63,38,25,56,.446,4,20,.200,9,15,.600,10,25,12,9,0,8,21,13,41,.317,0,10,.000,12,21,.571,10,34,2,0,3,21,14,101.6,61.3,61.6,.268,.357,.499,42.4,48.0,14.5,0.0,.482,11.2,29.4,.161,.317,29.2,60.0,.293
21,2013-01-31,,South Alabama,W,74,62,20,55,.364,4,14,.286,30,43,.698,12,39,8,6,3,17,25,19,50,.380,2,10,.200,22,31,.710,6,30,5,8,8,15,26,96.1,80.5,77.1,.782,.255,.491,56.5,40.0,7.8,7.5,.400,18.4,33.3,.545,.400,18.8,81.8,.440
22,2013-02-02,,North Texas,W (1 OT),75,66,22,64,.344,8,28,.286,23,35,.657,13,36,11,7,4,7,16,23,63,.365,7,18,.389,13,23,.565,11,39,7,5,2,9,27,102.7,90.4,65.1,.547,.438,.465,48.0,50.0,9.6,8.9,.406,8.0,31.7,.359,.421,10.9,67.6,.206
23,2013-02-07,@,Middle Tennessee,L,60,73,19,52,.365,4,11,.364,18,25,.720,11,28,10,7,0,13,19,30,56,.536,5,14,.357,8,17,.471,10,35,17,6,5,12,23,90.9,110.6,66.0,.481,.212,.470,44.4,52.6,10.6,0.0,.404,16.9,30.6,.346,.580,15.8,63.0,.143
24,2013-02-09,@,Western Kentucky,W,67,49,22,52,.423,9,20,.450,14,20,.700,7,39,10,5,2,10,16,16,50,.320,5,21,.238,12,19,.632,6,29,6,3,3,11,20,104.7,76.6,64.3,.385,.385,.545,57.4,45.5,7.8,6.9,.510,14.0,23.3,.269,.370,15.7,84.2,.240
25,2013-02-14,,Little Rock,W,86,62,26,51,.510,8,17,.471,26,32,.813,6,29,14,11,5,10,15,20,53,.377,8,18,.444,14,20,.700,7,25,7,4,1,18,23,119.4,86.1,71.9,.627,.333,.650,53.7,53.8,15.3,14.3,.588,13.1,25.0,.510,.453,22.4,76.7,.264
26,2013-02-16,@,Louisiana-Monroe,W,87,54,27,45,.600,12,25,.480,21,24,.875,5,26,20,7,5,13,18,19,42,.452,4,12,.333,12,18,.667,3,15,14,5,1,17,20,135.9,84.4,64.5,.533,.556,.771,63.4,74.1,10.9,16.7,.733,18.7,29.4,.467,.500,25.2,87.5,.286
27,2013-02-23,,Troy,W,58,50,19,47,.404,5,19,.263,15,19,.789,4,33,10,5,4,11,15,19,65,.292,3,20,.150,9,13,.692,11,34,5,6,4,8,15,87.9,75.8,65.6,.404,.404,.518,49.3,52.6,7.6,8.9,.457,16.4,14.8,.319,.315,10.1,72.5,.138
28,2013-02-28,@,North Texas,L,50,74,17,68,.250,1,23,.043,15,17,.882,18,37,1,10,1,12,21,25,52,.481,4,13,.308,20,27,.741,9,41,9,9,6,17,13,70.4,104.2,71.5,.250,.338,.329,47.4,5.9,14.1,2.6,.257,13.6,36.0,.221,.519,20.8,67.9,.385
29,2013-03-02,@,Little Rock,L,71,78,21,49,.429,9,21,.429,20,31,.645,9,29,10,1,1,15,30,22,49,.449,5,14,.357,29,35,.829,5,22,12,2,2,10,29,101.4,111.4,70.2,.633,.429,.557,56.9,47.6,1.4,2.9,.520,19.1,34.6,.408,.500,13.2,80.0,.592
30,2013-03-09,N,Troy,W (1 OT),68,63,21,54,.389,4,22,.182,22,30,.733,12,44,10,3,4,11,16,23,60,.383,9,18,.500,8,13,.615,6,26,13,2,9,11,20,98.6,91.3,61.5,.556,.407,.498,62.9,47.6,4.3,9.5,.426,13.9,37.5,.407,.458,14.3,84.2,.133
31,2013-03-10,N,Western Kentucky,L,56,58,18,49,.367,6,22,.273,14,25,.560,7,35,6,1,5,18,20,18,52,.346,4,14,.286,18,24,.750,9,35,8,7,2,12,24,81.2,84.1,69.1,.510,.449,.460,50.0,33.3,1.4,13.2,.429,22.8,21.2,.286,.385,15.9,75.7,.346
