G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,,Nevada,W,78,64,26,66,.394,3,15,.200,23,36,.639,19,48,13,5,9,8,21,19,55,.345,2,16,.125,24,33,.727,9,34,6,4,4,11,23,108.3,88.9,72.4,.545,.227,.469,58.5,50.0,6.9,23.1,.417,8.8,43.2,.348,.364,13.5,76.3,.436
2,2012-11-13,@,UCLA,L (1 OT),79,80,29,73,.397,10,22,.455,11,21,.524,16,51,17,6,2,18,23,28,74,.378,2,12,.167,22,27,.815,8,39,14,11,3,9,17,91.9,93.0,76.8,.288,.301,.476,56.7,58.6,7.0,3.2,.466,17.8,34.0,.151,.392,9.4,81.4,.297
3,2012-11-15,,Pacifica,W,116,47,42,68,.618,12,21,.571,20,29,.690,15,62,30,2,11,12,17,14,65,.215,7,26,.269,12,21,.571,2,14,3,8,3,10,22,143.2,58.0,80.9,.426,.309,.709,81.6,71.4,2.5,28.2,.706,12.8,55.6,.294,.269,11.8,95.9,.185
4,2012-11-19,N,Liberty,W,64,46,23,53,.434,4,17,.235,14,19,.737,7,31,19,8,8,7,19,17,43,.395,6,11,.545,6,16,.375,5,26,15,6,2,20,21,100.0,71.9,63.8,.358,.321,.516,54.4,82.6,12.5,25.0,.472,10.1,25.0,.264,.465,28.3,82.8,.140
5,2012-11-20,N,Southern Miss,L,65,69,22,44,.500,9,21,.429,12,14,.857,6,18,20,3,3,10,16,23,52,.442,3,13,.231,20,23,.870,15,33,14,4,0,7,18,118.2,125.5,54.8,.318,.477,.642,35.3,90.9,5.5,7.7,.602,16.5,25.0,.273,.471,10.0,44.4,.385
6,2012-11-21,@,Sam Houston State,L (1 OT),63,65,24,56,.429,4,16,.250,11,25,.440,10,50,21,3,7,17,24,22,71,.310,8,21,.381,13,25,.520,14,43,18,8,3,7,25,84.0,86.7,67.0,.446,.286,.464,53.8,87.5,4.0,14.0,.464,20.0,25.6,.196,.366,7.8,74.1,.183
7,2012-11-24,@,Pepperdine,L,62,72,23,67,.343,9,28,.321,7,12,.583,9,31,15,9,1,12,23,21,48,.438,4,10,.400,26,36,.722,8,39,12,5,4,16,12,83.8,97.3,74.4,.179,.418,.426,44.3,65.2,12.2,2.6,.410,14.2,22.5,.104,.479,19.7,73.3,.542
8,2012-11-28,@,UNLV,L,57,85,19,55,.345,4,15,.267,15,23,.652,9,25,10,3,3,15,25,27,63,.429,7,21,.333,24,35,.686,19,39,22,10,4,7,22,81.4,121.4,69.8,.418,.273,.432,39.1,52.6,4.3,7.1,.382,18.5,31.0,.273,.484,8.1,45.7,.381
9,2012-12-04,,San Diego Christian,W,94,52,37,65,.569,5,17,.294,15,31,.484,13,49,26,5,12,11,15,20,67,.299,7,26,.269,5,12,.417,11,33,11,7,0,13,21,123.7,68.4,76.2,.477,.262,.590,59.8,70.3,6.6,29.3,.608,12.1,37.1,.231,.351,15.2,76.6,.075
10,2012-12-08,@,Weber State,L,51,65,18,52,.346,3,17,.176,12,23,.522,9,36,9,5,4,13,27,21,51,.412,2,12,.167,21,35,.600,9,39,4,4,5,8,19,76.1,97.0,66.8,.442,.327,.405,48.0,50.0,7.5,10.3,.375,17.1,23.1,.231,.431,10.6,75.0,.412
11,2012-12-15,@,Fresno State,W,58,51,19,55,.345,3,16,.188,17,20,.850,13,42,9,2,2,18,19,14,55,.255,3,16,.188,20,24,.833,10,28,7,9,7,9,19,86.6,76.1,67.5,.364,.291,.450,60.0,47.4,3.0,5.1,.373,21.8,41.9,.309,.282,11.9,74.4,.364
12,2012-12-18,,LSU,L,60,66,25,67,.373,5,15,.333,5,9,.556,13,44,17,5,4,17,15,26,70,.371,8,28,.286,6,12,.500,12,39,14,6,3,10,14,81.1,89.2,74.5,.134,.224,.421,53.0,68.0,6.8,9.5,.410,19.3,32.5,.075,.429,11.7,72.1,.086
13,2012-12-20,@,USC,W,61,54,24,57,.421,9,26,.346,4,6,.667,6,26,14,7,1,9,14,19,47,.404,5,15,.333,11,17,.647,9,29,14,4,4,16,13,98.4,87.1,62.5,.105,.456,.510,47.3,58.3,11.3,3.1,.500,13.1,23.1,.070,.457,22.5,69.0,.234
14,2012-12-29,,UC-Davis,W (1 OT),69,58,25,58,.431,6,17,.353,13,26,.500,10,38,15,5,3,6,12,26,65,.400,3,17,.176,3,4,.750,7,34,11,3,3,9,22,101.5,85.3,60.1,.448,.293,.490,52.8,60.0,7.4,6.3,.483,7.9,27.0,.224,.423,11.9,80.0,.046
15,2013-01-03,@,UCSB,L,71,74,26,58,.448,10,24,.417,9,11,.818,7,27,17,3,3,8,16,26,53,.491,13,26,.500,9,13,.692,5,27,19,2,9,9,12,110.9,115.6,63.7,.190,.414,.561,50.0,65.4,4.7,11.1,.534,11.2,24.1,.155,.613,13.2,80.0,.170
16,2013-01-05,@,Cal Poly,L,67,72,26,48,.542,6,16,.375,9,14,.643,4,22,20,4,2,14,16,22,45,.489,7,15,.467,21,25,.840,6,25,15,8,0,11,14,106.3,114.3,63.3,.292,.333,.613,46.8,76.9,6.3,6.7,.604,20.4,17.4,.188,.567,16.2,75.0,.467
17,2013-01-09,,Hawaii,W,68,64,23,59,.390,9,25,.360,13,19,.684,10,35,18,9,2,11,16,21,59,.356,7,20,.350,15,19,.789,14,42,10,5,2,16,19,97.1,91.4,69.5,.322,.424,.500,45.5,78.3,12.9,5.1,.466,13.9,26.3,.220,.415,19.0,64.1,.254
18,2013-01-12,,Cal State Northridge,W,79,69,30,47,.638,11,18,.611,8,10,.800,3,25,24,3,8,22,12,27,67,.403,5,15,.333,10,16,.625,14,28,12,11,2,10,12,111.3,97.2,70.7,.213,.383,.763,47.2,80.0,4.2,15.4,.755,29.8,17.6,.170,.440,11.8,61.1,.149
19,2013-01-17,@,Cal State Fullerton,W,92,65,35,62,.565,12,27,.444,10,14,.714,10,39,18,6,8,14,17,22,58,.379,6,19,.316,15,17,.882,5,23,15,6,2,12,18,126.0,89.0,72.9,.226,.435,.670,62.9,51.4,8.2,20.5,.661,16.9,35.7,.161,.431,15.4,85.3,.259
20,2013-01-19,@,UC-Riverside,L,58,68,19,60,.317,7,32,.219,13,20,.650,9,34,10,8,3,11,23,21,53,.396,6,16,.375,20,29,.690,7,41,13,6,5,11,18,81.7,95.8,71.1,.333,.533,.417,45.3,52.6,11.3,8.1,.375,13.7,20.9,.217,.453,14.1,78.1,.377
21,2013-01-26,@,Long Beach State,L,59,81,23,61,.377,7,20,.350,6,11,.545,11,26,12,4,3,9,15,29,51,.569,11,19,.579,12,20,.600,10,35,16,5,2,10,12,95.2,130.6,62.4,.180,.328,.445,42.6,52.2,6.5,9.4,.434,12.0,30.6,.098,.676,14.2,60.0,.235
22,2013-01-30,,Cal Poly,W,52,45,18,44,.409,2,14,.143,14,17,.824,6,28,10,3,2,10,16,15,43,.349,5,15,.333,10,19,.526,9,28,7,2,1,10,21,94.5,81.8,54.6,.386,.318,.499,50.0,55.6,5.5,7.1,.432,16.1,24.0,.318,.407,16.1,71.0,.233
23,2013-02-02,,UCSB,W,62,60,24,52,.462,4,15,.267,10,15,.667,9,28,12,9,3,14,15,23,54,.426,5,18,.278,9,12,.750,10,28,9,7,1,13,17,98.4,95.2,63.4,.288,.288,.524,50.0,50.0,14.3,8.3,.500,19.1,33.3,.192,.472,17.9,65.5,.167
24,2013-02-07,@,Cal State Northridge,L,61,70,20,50,.400,6,18,.333,15,22,.682,8,35,11,6,1,14,19,23,59,.390,8,21,.381,16,23,.696,14,38,17,9,2,11,21,91.0,104.5,66.7,.440,.360,.505,47.9,55.0,9.0,2.6,.460,18.8,25.0,.300,.458,13.6,65.9,.271
25,2013-02-09,@,Hawaii,L,72,78,29,67,.433,9,18,.500,5,7,.714,11,36,11,4,3,12,18,27,62,.435,3,16,.188,21,27,.778,9,33,8,5,5,7,12,100.0,108.3,72.1,.104,.269,.512,52.2,37.9,5.6,6.5,.500,14.6,31.4,.075,.460,8.6,73.5,.339
26,2013-02-13,,UC-Riverside,W,52,48,17,55,.309,6,26,.231,12,17,.706,8,34,10,6,5,11,12,17,57,.298,6,14,.429,8,12,.667,13,44,6,4,4,15,16,80.0,73.8,65.4,.309,.473,.412,43.6,58.8,9.2,11.6,.364,14.8,20.5,.218,.351,19.3,66.7,.140
27,2013-02-16,,Cal State Fullerton,W,86,66,34,66,.515,11,25,.440,7,12,.583,13,41,26,4,5,16,18,22,55,.400,7,21,.333,15,26,.577,8,28,12,12,2,13,17,116.2,89.2,73.5,.182,.379,.600,59.4,76.5,5.4,14.7,.598,18.2,39.4,.106,.464,16.2,77.8,.273
28,2013-02-20,,Pacific,W,68,59,25,55,.455,8,16,.500,10,17,.588,9,39,15,2,2,14,16,19,57,.333,4,17,.235,17,21,.810,10,33,8,4,0,11,23,100.0,86.8,68.0,.309,.291,.539,54.2,60.0,2.9,5.0,.527,18.2,28.1,.182,.368,14.1,75.0,.298
29,2013-02-23,@,Texas-Arlington,W,77,70,28,54,.519,8,21,.381,13,23,.565,5,33,21,2,6,16,13,26,73,.356,6,23,.261,12,16,.750,16,39,12,8,6,8,20,104.1,94.6,74.3,.426,.389,.593,45.8,75.0,2.7,12.0,.593,19.8,17.9,.241,.397,9.0,63.6,.164
30,2013-03-02,,Long Beach State,W,72,69,26,57,.456,5,15,.333,15,18,.833,12,35,15,2,8,15,14,28,63,.444,7,18,.389,6,12,.500,13,31,12,7,2,12,19,105.9,101.5,68.1,.316,.263,.549,53.0,57.7,2.9,17.8,.500,18.6,40.0,.263,.500,14.9,63.9,.095
31,2013-03-07,@,Pacific,L,62,70,23,60,.383,3,23,.130,13,15,.867,13,34,12,6,4,12,23,22,53,.415,5,11,.455,21,30,.700,11,35,15,10,2,11,14,92.5,104.5,66.7,.250,.383,.462,49.3,52.2,9.0,9.5,.408,15.2,35.1,.217,.462,14.1,65.6,.396
32,2013-03-09,@,UC-Davis,W,88,85,34,80,.425,9,28,.321,11,12,.917,19,46,18,4,3,5,21,27,59,.458,8,15,.533,23,30,.767,7,33,15,4,4,9,14,120.5,116.4,73.5,.150,.350,.513,58.2,52.9,5.5,6.8,.481,5.5,42.2,.138,.525,10.9,79.4,.390
33,2013-03-14,N,Hawaii,W,71,60,21,52,.404,6,19,.316,23,31,.742,8,35,10,7,6,12,14,22,63,.349,4,18,.222,12,16,.750,10,33,12,3,4,12,24,98.6,83.3,71.7,.596,.365,.532,51.5,47.6,9.7,13.3,.462,15.2,25.8,.442,.381,14.5,73.0,.190
34,2013-03-15,N,Long Beach State,W,67,60,24,56,.429,6,20,.300,13,15,.867,9,27,14,5,4,5,12,25,60,.417,5,17,.294,5,9,.556,14,36,9,2,1,12,17,109.8,98.4,60.7,.268,.357,.531,42.9,58.3,8.2,9.3,.482,7.3,29.0,.232,.458,15.7,56.3,.083
35,2013-03-16,N,Pacific,L,55,64,19,53,.358,6,25,.240,11,16,.688,11,30,8,2,3,9,18,21,53,.396,3,12,.250,19,25,.760,12,35,6,4,1,6,15,93.2,108.5,58.7,.302,.472,.454,46.2,42.1,3.4,7.3,.415,12.9,32.4,.208,.425,8.5,61.3,.358
36,2013-03-20,,High Point,W,80,71,28,58,.483,6,21,.286,18,25,.720,6,35,17,6,2,12,18,23,62,.371,4,15,.267,21,30,.700,13,38,12,6,0,11,19,106.7,94.7,75.1,.431,.362,.572,47.9,60.7,8.0,4.3,.534,14.7,19.4,.310,.403,12.6,69.0,.339
37,2013-03-25,@,Oral Roberts,L,62,76,24,60,.400,6,17,.353,8,14,.571,5,28,16,8,3,16,19,26,61,.426,1,12,.083,23,30,.767,9,38,11,10,5,10,17,80.5,98.7,77.0,.233,.283,.465,42.4,66.7,10.4,6.1,.450,19.4,14.7,.133,.434,11.7,71.9,.377
