G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,N,Fairfield,L (1 OT),63,64,22,59,.373,7,16,.438,12,14,.857,5,27,9,11,4,12,13,24,55,.436,7,18,.389,9,12,.750,7,38,16,4,5,19,16,86.3,87.7,64.6,.237,.271,.480,41.5,40.9,15.1,10.8,.432,15.5,13.9,.203,.500,23.8,75.9,.164
2,2012-11-12,@,St. Peter's,L,61,64,21,55,.382,4,18,.222,15,19,.789,7,26,12,7,6,17,19,27,56,.482,4,7,.571,6,15,.400,12,37,16,6,1,19,16,84.7,88.9,72.1,.345,.327,.476,41.3,57.1,9.7,12.2,.418,21.0,21.9,.273,.518,23.1,61.3,.107
3,2012-11-15,,Brown,W,86,71,31,50,.620,11,19,.579,13,13,1.000,4,24,18,9,5,14,12,25,56,.446,10,25,.400,11,13,.846,9,21,16,5,1,14,13,128.4,106.0,66.7,.260,.380,.765,53.3,58.1,13.4,16.1,.730,20.0,25.0,.260,.536,18.4,69.0,.196
4,2012-11-18,@,La Salle,W,81,74,30,62,.484,7,14,.500,14,16,.875,4,30,12,8,3,7,12,28,64,.438,9,28,.321,9,15,.600,11,33,17,2,4,10,13,114.1,104.2,71.4,.258,.226,.582,47.6,40.0,11.3,8.3,.540,9.1,15.4,.226,.508,12.3,70.3,.141
5,2012-11-20,@,UMBC,W (1 OT),83,82,35,76,.461,5,23,.217,8,12,.667,9,33,15,13,5,13,17,29,68,.426,10,22,.455,14,24,.583,13,44,19,4,3,19,15,96.5,95.3,76.0,.158,.303,.508,42.9,42.9,15.1,10.9,.493,13.7,22.5,.105,.500,19.3,64.9,.206
6,2012-11-24,@,Hartford,L,77,80,29,68,.426,5,15,.333,14,18,.778,13,35,6,8,3,7,19,29,53,.547,8,16,.500,14,23,.609,4,30,17,4,3,14,17,106.9,111.1,72.2,.265,.221,.503,53.8,20.7,11.1,8.1,.463,8.4,33.3,.206,.623,18.0,84.6,.264
7,2012-12-05,@,New Hampshire,W,87,84,32,64,.500,7,19,.368,16,18,.889,9,23,9,6,1,14,18,28,49,.571,12,25,.480,16,24,.667,6,26,19,5,2,18,20,116.0,112.0,75.0,.281,.297,.600,46.9,28.1,8.0,4.2,.555,16.2,31.0,.250,.694,23.0,70.0,.327
8,2012-12-08,@,Indiana,L,69,100,24,72,.333,8,28,.286,13,16,.813,12,25,11,7,1,16,18,39,72,.542,7,21,.333,15,20,.750,19,52,20,9,5,14,16,86.3,125.0,80.1,.222,.389,.433,32.5,45.8,8.8,2.0,.389,16.7,26.7,.181,.590,14.7,40.6,.208
9,2012-12-21,,Northeastern,L,63,82,25,64,.391,8,27,.296,5,9,.556,6,25,12,8,3,14,26,26,51,.510,5,14,.357,25,34,.735,10,44,17,8,3,15,12,85.1,110.8,74.2,.141,.422,.461,36.2,48.0,10.8,8.1,.453,17.0,15.0,.078,.559,18.3,65.5,.490
10,2012-12-29,,St. Peter's,L,69,71,25,57,.439,7,16,.438,12,17,.706,6,28,14,8,10,12,17,26,72,.361,7,19,.368,12,15,.800,22,49,16,5,2,15,17,95.8,98.6,71.6,.298,.281,.530,36.4,56.0,11.1,18.9,.500,15.6,18.2,.211,.410,15.9,50.0,.167
