G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Wofford,W,74,59,21,47,.447,4,12,.333,28,36,.778,7,35,10,5,6,10,12,22,61,.361,13,35,.371,2,2,1.000,7,29,13,3,2,13,24,108.8,86.8,67.5,.766,.255,.577,54.7,47.6,7.4,23.1,.489,13.5,24.1,.596,.467,17.3,80.0,.033
2,2012-11-15,N,Dayton,W,67,57,23,51,.451,7,15,.467,14,24,.583,4,34,13,9,7,14,15,21,64,.328,5,21,.238,10,14,.714,10,37,9,5,4,14,23,90.5,77.0,73.5,.471,.294,.537,47.9,56.5,12.2,16.3,.520,18.3,12.9,.275,.367,16.5,75.0,.156
3,2012-11-16,N,Baylor,W,60,58,25,56,.446,6,15,.400,4,18,.222,11,37,6,6,3,17,16,22,59,.373,3,16,.188,11,18,.611,10,35,7,9,3,11,19,85.7,82.9,69.6,.321,.268,.465,51.4,24.0,8.6,7.0,.500,20.8,30.6,.071,.398,14.0,72.2,.186
4,2012-11-18,N,Murray State,W,81,74,25,47,.532,4,11,.364,27,36,.750,8,30,6,8,1,17,17,28,62,.452,10,26,.385,8,15,.533,12,29,14,10,3,17,27,109.5,100.0,73.6,.766,.234,.632,50.8,24.0,10.8,2.8,.574,21.0,32.0,.574,.532,19.7,64.7,.129
5,2012-11-25,,Air Force,W,89,74,30,53,.566,7,13,.538,22,28,.786,14,45,11,4,3,15,14,27,60,.450,12,30,.400,8,14,.571,4,17,11,7,1,6,21,130.9,108.8,68.0,.528,.245,.671,72.6,36.7,5.9,10.0,.632,18.5,51.9,.415,.550,8.3,88.6,.133
6,2012-11-27,,Texas Southern,W (2 OT),85,80,23,59,.390,6,19,.316,33,44,.750,12,43,11,6,8,12,19,28,73,.384,12,37,.324,12,20,.600,12,38,7,8,7,13,30,103.7,97.6,65.4,.746,.322,.532,53.1,47.8,7.3,22.2,.441,13.1,31.6,.559,.466,13.6,72.1,.164
7,2012-12-01,@,Wyoming,L,69,76,24,58,.414,9,21,.429,12,15,.800,12,34,11,4,0,17,27,24,50,.480,7,25,.280,21,33,.636,8,31,13,7,5,9,13,101.5,111.8,68.4,.259,.362,.530,52.3,45.8,5.9,0.0,.491,20.7,34.3,.207,.550,12.1,73.3,.420
8,2012-12-05,,Colorado State,W,70,61,23,50,.460,6,13,.462,18,31,.581,7,27,8,7,5,7,13,21,59,.356,6,19,.316,13,16,.813,15,39,6,4,3,13,23,107.7,93.8,64.7,.620,.260,.541,40.9,34.8,10.8,12.5,.520,9.8,22.6,.360,.407,16.3,57.1,.220
9,2012-12-08,@,Kansas,L,54,90,20,54,.370,2,13,.154,12,21,.571,9,28,8,7,4,18,17,34,62,.548,8,20,.400,14,17,.824,10,37,23,12,8,13,17,74.0,123.3,73.0,.389,.241,.422,43.1,40.0,9.6,9.5,.389,22.0,25.0,.222,.613,15.6,65.5,.226
10,2012-12-12,@,Fresno State,W,50,43,18,43,.419,2,4,.500,12,21,.571,10,39,7,7,2,16,14,16,54,.296,4,18,.222,7,11,.636,6,26,7,8,4,14,18,79.4,68.3,63.1,.488,.093,.472,60.0,38.9,11.1,5.6,.442,23.2,33.3,.279,.333,19.1,82.9,.130
