G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-11,,UC-Riverside,W,59,52,19,49,.388,8,23,.348,13,15,.867,6,29,14,5,6,9,12,19,54,.352,4,17,.235,10,16,.625,12,34,12,2,0,11,12,98.3,86.7,59.9,.306,.469,.526,46.0,73.7,8.3,16.2,.469,13.8,21.4,.265,.389,15.2,65.7,.185
2,2012-11-16,N,New Mexico,L,59,66,21,58,.362,9,26,.346,8,14,.571,8,26,11,8,1,11,23,19,47,.404,5,16,.313,23,30,.767,7,34,10,6,4,17,20,85.5,95.7,69.5,.241,.448,.456,43.3,52.4,11.6,3.2,.440,14.5,22.9,.138,.457,21.7,72.0,.489
3,2012-11-17,N,Mercer,W,62,36,22,47,.468,8,15,.533,10,13,.769,5,29,9,9,0,11,18,14,43,.326,2,12,.167,6,11,.545,5,24,7,2,3,17,11,103.3,60.0,59.7,.277,.319,.583,54.7,40.9,15.0,0.0,.553,17.1,20.8,.213,.349,26.1,82.8,.140
4,2012-11-19,N,Iona,W,86,81,26,55,.473,12,23,.522,22,29,.759,6,30,17,4,1,13,14,32,69,.464,7,25,.280,10,11,.909,12,36,10,6,2,13,24,113.2,106.6,75.5,.527,.418,.625,45.5,65.4,5.3,2.3,.582,15.9,20.0,.400,.514,14.9,66.7,.145
5,2012-11-24,,Southeast Missouri State,W,56,45,19,66,.288,6,24,.250,12,18,.667,10,44,9,5,1,5,9,17,56,.304,5,20,.250,6,7,.857,3,36,8,1,5,10,17,82.4,66.2,67.9,.273,.364,.376,55.0,47.4,7.4,2.8,.333,6.3,23.3,.182,.348,14.4,91.9,.107
6,2012-11-27,@,Northern Illinois,W,58,46,19,48,.396,6,19,.316,14,20,.700,8,28,11,9,1,11,17,16,49,.327,4,16,.250,10,18,.556,9,29,9,6,1,15,20,93.5,74.2,62.0,.417,.396,.504,49.1,57.9,14.5,3.0,.458,16.1,28.6,.292,.367,20.7,69.0,.204
7,2012-12-01,@,Northwestern,W,50,44,17,55,.309,2,14,.143,14,15,.933,11,31,8,9,1,10,18,15,43,.349,4,16,.250,10,20,.500,7,28,11,2,5,16,16,82.0,72.1,61.3,.273,.255,.402,52.5,47.1,14.8,3.7,.327,13.9,34.4,.255,.395,23.4,74.1,.233
8,2012-12-05,,Roosevelt,W,81,43,29,64,.453,10,23,.435,13,17,.765,10,34,22,10,6,6,12,18,61,.295,3,18,.167,4,8,.500,9,29,8,3,4,16,15,115.7,61.4,69.9,.266,.359,.562,54.0,75.9,14.3,14.0,.531,7.7,33.3,.203,.320,19.8,72.7,.066
9,2012-12-08,,Colorado State,W,64,55,19,50,.380,7,21,.333,19,22,.864,8,22,12,8,7,10,17,19,57,.333,4,10,.400,13,20,.650,20,41,10,3,4,15,18,103.2,88.7,62.0,.440,.420,.529,34.9,63.2,12.9,14.9,.450,14.2,27.6,.380,.368,18.4,41.2,.228
10,2012-12-15,,Eastern Michigan,W,74,48,25,54,.463,12,29,.414,12,18,.667,8,30,22,11,3,14,15,20,59,.339,1,10,.100,7,10,.700,14,35,4,6,3,19,18,107.2,69.6,68.7,.333,.537,.592,46.2,88.0,15.9,6.1,.574,18.3,27.6,.222,.347,23.0,61.1,.119
11,2012-12-18,@,Western Illinois,L,54,70,17,47,.362,4,15,.267,16,22,.727,5,25,7,5,0,9,19,22,42,.524,5,14,.357,21,29,.724,3,28,13,3,4,8,12,88.5,114.8,61.1,.468,.319,.470,47.2,41.2,8.2,0.0,.404,13.5,16.7,.340,.583,12.5,87.0,.500
12,2012-12-22,@,Miami (OH),L,70,82,25,53,.472,7,19,.368,13,14,.929,9,28,15,6,3,19,16,30,53,.566,10,19,.526,12,19,.632,8,22,19,16,2,14,17,101.4,118.8,68.8,.264,.358,.587,56.0,60.0,8.7,8.8,.538,24.2,39.1,.245,.660,18.4,70.4,.226
13,2012-12-29,@,Toledo,L,55,74,21,63,.333,10,24,.417,3,9,.333,13,35,16,4,4,10,16,25,62,.403,7,20,.350,17,20,.850,13,43,18,6,7,7,10,84.6,113.8,64.9,.143,.381,.409,44.9,76.2,6.2,9.5,.413,12.9,30.2,.048,.460,8.9,62.9,.274
14,2013-01-02,,Youngstown State,W,65,60,23,57,.404,5,22,.227,14,18,.778,9,34,16,9,4,12,18,20,54,.370,7,21,.333,13,16,.813,5,29,12,8,4,14,18,92.9,85.7,69.6,.316,.386,.496,54.0,69.6,12.9,12.1,.447,15.5,27.3,.246,.435,18.5,83.3,.241
15,2013-01-07,@,Cleveland State,L,50,60,14,42,.333,5,19,.263,17,22,.773,8,27,8,6,3,18,18,19,45,.422,6,16,.375,16,23,.696,9,31,13,11,1,14,20,80.6,96.8,61.7,.524,.452,.477,46.6,57.1,9.7,10.3,.393,25.6,26.7,.405,.489,20.0,67.9,.356
