G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Belmont,L,60,89,21,54,.389,8,23,.348,10,19,.526,14,34,12,8,2,24,22,29,58,.500,11,27,.407,20,23,.870,8,31,14,16,6,15,19,81.1,120.3,74.5,.352,.426,.476,52.3,57.1,10.8,6.5,.463,27.6,37.8,.185,.595,17.9,71.4,.345
2,2012-11-12,,Maryville (MO),W,73,55,26,50,.520,9,21,.429,12,23,.522,12,38,12,7,0,18,16,20,49,.408,7,28,.250,8,13,.615,5,16,11,11,3,14,21,110.6,83.3,65.6,.460,.420,.599,70.4,46.2,10.6,0.0,.610,22.8,52.2,.240,.480,20.2,83.9,.163
3,2012-11-14,@,Gardner-Webb,W,66,62,25,51,.490,5,12,.417,11,20,.550,11,41,12,5,0,22,21,22,61,.361,2,17,.118,16,24,.667,11,28,12,10,5,11,21,91.7,86.1,72.0,.392,.235,.545,59.4,48.0,6.9,0.0,.539,26.7,39.3,.216,.377,13.2,73.2,.262
4,2012-11-23,@,Ole Miss,L,45,91,12,49,.245,2,17,.118,19,29,.655,3,27,8,3,2,26,26,30,69,.435,8,32,.250,23,33,.697,10,40,19,20,9,9,22,52.9,107.1,84.7,.592,.347,.358,40.3,66.7,3.5,5.4,.265,29.3,9.1,.388,.493,9.6,70.6,.333
5,2012-11-26,,Murray State,L,79,88,28,71,.394,6,22,.273,17,24,.708,13,34,15,7,0,7,23,28,58,.483,11,31,.355,21,30,.700,11,44,17,3,6,13,22,105.3,117.3,75.3,.338,.310,.479,43.6,53.6,9.3,0.0,.437,7.8,28.3,.239,.578,15.2,65.6,.362
6,2012-11-30,,Tennessee Tech,W,80,64,27,53,.509,6,19,.316,20,25,.800,8,39,16,8,1,13,18,26,67,.388,7,29,.241,5,12,.417,13,31,11,5,2,13,21,112.7,90.1,71.3,.472,.358,.617,55.7,59.3,11.3,2.6,.566,16.7,30.8,.377,.440,15.2,70.5,.075
7,2012-12-04,@,Belmont,L,66,100,22,56,.393,5,16,.313,17,32,.531,11,31,9,7,2,16,29,30,62,.484,15,35,.429,25,40,.625,16,44,18,5,7,7,24,89.2,135.1,74.1,.571,.286,.463,41.3,40.9,9.5,7.4,.438,18.3,28.2,.304,.605,8.0,55.6,.403
8,2012-12-08,,UT-Martin,W,86,62,28,59,.475,6,17,.353,24,34,.706,14,45,17,7,4,20,18,20,60,.333,5,17,.294,17,26,.654,9,28,9,12,1,15,25,107.5,77.5,79.8,.576,.288,.572,61.6,60.7,8.8,9.3,.525,21.0,42.4,.407,.375,17.2,77.5,.283
9,2012-12-15,@,Kentucky,L,50,88,17,48,.354,3,10,.300,13,24,.542,9,27,5,5,3,24,23,32,66,.485,8,22,.364,16,26,.615,17,41,18,12,10,14,20,66.7,117.3,74.9,.500,.208,.421,39.7,29.4,6.7,6.8,.385,28.8,27.3,.271,.545,15.2,51.4,.242
10,2012-12-18,@,Austin Peay,W,87,84,31,62,.500,4,11,.364,21,28,.750,13,40,15,3,1,16,29,27,61,.443,8,20,.400,22,35,.629,13,31,16,8,10,13,21,111.5,107.7,78.0,.452,.177,.578,56.3,48.4,3.8,2.4,.532,17.5,41.9,.339,.508,14.3,67.5,.361
11,2012-12-20,@,Memphis,L,56,62,20,49,.408,3,14,.214,13,24,.542,7,35,10,5,3,24,26,19,53,.358,3,19,.158,21,39,.538,9,32,12,18,5,16,20,71.8,79.5,78.0,.490,.286,.464,52.2,50.0,6.4,8.8,.439,28.4,23.3,.265,.387,18.3,75.7,.396
12,2012-12-31,@,North Florida,L,70,84,25,59,.424,4,12,.333,16,29,.552,14,36,7,6,2,15,19,31,62,.500,9,26,.346,13,22,.591,11,34,20,8,6,11,20,95.9,115.1,73.1,.492,.203,.481,51.4,28.0,8.2,5.6,.458,17.1,37.8,.271,.573,13.2,66.7,.210
13,2013-01-02,@,Jacksonville,L,71,85,24,59,.407,3,14,.214,20,28,.714,13,40,8,6,3,16,20,29,60,.483,8,17,.471,19,26,.731,7,32,21,9,7,10,24,94.7,113.3,75.3,.475,.237,.491,55.6,33.3,8.0,7.0,.432,18.1,34.2,.339,.550,12.1,79.4,.317
14,2013-01-05,,ETSU,W,60,56,19,46,.413,4,16,.250,18,25,.720,15,38,13,5,1,16,21,22,53,.415,6,22,.273,6,15,.400,12,27,13,6,2,12,20,100.0,93.3,59.5,.543,.348,.518,58.5,68.4,8.3,3.2,.457,21.7,50.0,.391,.472,16.6,65.7,.113
15,2013-01-07,,USC Upstate,L,61,98,19,52,.365,4,16,.250,19,23,.826,9,19,8,8,1,11,12,35,61,.574,15,27,.556,13,16,.813,13,31,24,5,3,11,15,92.4,148.5,65.8,.442,.308,.485,38.0,42.1,12.1,2.9,.404,14.9,33.3,.365,.697,13.8,43.5,.213
16,2013-01-11,@,Northern Kentucky,L,53,67,23,56,.411,3,16,.188,4,6,.667,9,30,8,7,0,11,14,23,50,.460,13,28,.464,8,13,.615,5,29,14,4,2,11,9,85.5,108.1,61.5,.107,.286,.450,50.8,34.8,11.3,0.0,.438,15.7,27.3,.071,.590,16.4,80.8,.160
17,2013-01-17,@,Florida Gulf Coast,W (1 OT),87,78,30,55,.545,9,18,.500,18,29,.621,4,29,18,10,1,15,17,30,69,.435,8,32,.250,10,16,.625,16,40,17,8,6,20,23,108.8,97.5,71.3,.527,.327,.632,42.0,60.0,12.5,2.7,.627,17.9,14.3,.327,.493,20.7,61.0,.145
18,2013-01-19,@,Stetson,L,69,85,26,60,.433,5,17,.294,12,20,.600,14,28,17,4,1,12,26,26,52,.500,10,26,.385,23,30,.767,11,31,16,5,3,13,21,101.5,125.0,67.9,.333,.283,.496,47.5,65.4,5.9,3.8,.475,14.7,41.2,.200,.596,16.4,56.0,.442
