G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,,North Alabama,W,75,65,27,60,.450,6,18,.333,15,26,.577,11,44,11,7,0,26,20,22,63,.349,8,29,.276,13,21,.619,12,34,12,15,1,23,24,87.2,75.6,85.7,.433,.300,.518,56.4,40.7,8.1,0.0,.500,26.4,33.3,.250,.413,24.0,73.3,.206
2,2012-11-13,@,USC,L,44,62,12,42,.286,7,20,.350,13,21,.619,6,29,5,7,0,15,16,25,56,.446,5,16,.313,7,12,.583,8,34,16,3,1,11,18,69.8,98.4,62.8,.500,.476,.423,46.0,41.7,11.1,0.0,.369,22.4,18.8,.310,.491,15.1,74.2,.125
3,2012-11-16,,UNC,L,63,78,25,69,.362,5,25,.200,8,12,.667,9,36,10,5,5,14,9,30,75,.400,10,26,.385,8,11,.727,18,47,17,10,7,13,12,81.8,101.3,77.5,.174,.362,.422,43.4,40.0,6.5,10.2,.399,15.8,23.7,.116,.467,13.9,60.0,.107
4,2012-11-19,@,Arizona,L,72,94,24,56,.429,14,32,.438,10,13,.769,4,20,13,4,1,16,25,30,56,.536,9,19,.474,25,35,.714,10,37,17,10,6,13,17,96.0,125.3,74.9,.232,.571,.579,35.1,54.2,5.3,2.7,.554,20.5,12.9,.179,.616,15.2,61.5,.446
5,2012-11-25,@,Fresno State,W,69,61,24,55,.436,7,17,.412,14,21,.667,10,31,11,2,6,14,18,22,57,.386,6,22,.273,11,19,.579,12,36,9,9,3,15,20,100.0,88.4,69.0,.382,.309,.531,46.3,45.8,2.9,17.1,.500,17.7,29.4,.255,.439,18.5,63.6,.193
6,2012-11-29,@,Loyola Marymount,W,73,70,25,60,.417,7,21,.333,16,27,.593,13,33,10,11,5,6,11,26,59,.441,13,25,.520,5,11,.455,10,36,17,2,0,14,20,109.0,104.5,67.0,.450,.350,.501,47.8,40.0,16.4,14.7,.475,7.6,33.3,.267,.551,17.9,66.7,.085
7,2012-12-03,,Fresno State,L,59,64,19,47,.404,3,14,.214,18,33,.545,15,35,9,4,7,15,16,22,56,.393,7,21,.333,13,18,.722,12,29,12,8,3,13,22,92.2,100.0,64.1,.702,.298,.471,54.7,47.4,6.3,20.0,.436,19.3,46.9,.383,.455,16.8,62.5,.232
8,2012-12-06,@,Syracuse,L,53,84,19,65,.292,5,24,.208,10,15,.667,10,34,15,6,9,18,13,29,71,.408,10,28,.357,16,21,.762,18,50,21,8,11,12,14,67.9,107.7,77.6,.231,.369,.367,40.5,78.9,7.7,20.9,.331,20.0,23.8,.154,.479,12.9,57.1,.225
9,2012-12-08,@,Ohio State,L,55,89,19,61,.311,5,20,.250,12,16,.750,10,31,8,3,0,13,19,31,66,.470,10,30,.333,17,23,.739,14,45,22,6,3,9,19,76.4,123.6,71.8,.262,.328,.401,40.8,42.1,4.2,0.0,.352,15.9,24.4,.197,.545,10.5,60.0,.258
10,2012-12-15,,Brigham Young-Hawaii,W,82,65,28,60,.467,8,23,.348,18,26,.692,17,47,12,11,7,22,17,23,61,.377,8,30,.267,11,16,.688,9,25,15,5,1,19,18,105.1,83.3,78.0,.433,.383,.567,65.3,42.9,14.1,22.6,.533,23.3,51.5,.300,.443,21.7,76.9,.180
11,2012-12-18,@,UCLA,L,70,89,28,58,.483,8,23,.348,6,8,.750,8,26,13,5,2,12,16,33,56,.589,8,16,.500,15,18,.833,7,30,21,10,2,7,7,107.7,136.9,65.2,.138,.397,.566,46.4,46.4,7.7,5.0,.552,16.3,25.8,.103,.661,9.8,72.0,.268
12,2012-12-29,,Pacific,W,67,63,20,42,.476,5,16,.313,22,37,.595,7,26,6,8,6,15,19,22,56,.393,8,24,.333,11,17,.647,13,37,12,4,1,15,30,100.0,94.0,66.8,.881,.381,.562,41.3,30.0,11.9,18.8,.536,20.1,22.6,.524,.464,19.0,59.4,.196
13,2013-01-03,@,Cal Poly,L,73,79,24,55,.436,7,20,.350,18,24,.750,13,30,13,2,8,13,19,26,60,.433,10,21,.476,17,22,.773,14,33,14,6,4,10,20,110.6,119.7,66.4,.436,.364,.550,47.6,54.2,3.0,20.5,.500,16.4,40.6,.327,.517,12.4,54.8,.283
14,2013-01-05,@,UCSB,W,77,70,32,59,.542,3,11,.273,10,13,.769,7,29,16,7,6,12,21,24,52,.462,9,21,.429,13,23,.565,10,30,17,4,3,18,15,108.5,98.6,70.6,.220,.186,.591,49.2,50.0,9.9,19.4,.568,15.5,25.9,.169,.548,22.2,68.8,.250
