G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-11,@,Seattle,L,72,87,24,66,.364,5,23,.217,19,34,.559,12,40,6,13,0,28,27,31,70,.443,8,25,.320,17,31,.548,15,48,19,17,2,25,27,75.0,90.6,96.4,.515,.348,.438,45.5,25.0,13.5,0.0,.402,25.4,26.7,.288,.500,22.8,65.1,.243
2,2012-11-18,,Portland,W,83,64,24,47,.511,8,16,.500,27,39,.692,9,32,14,9,2,14,22,23,47,.489,3,14,.214,15,21,.714,5,23,9,6,2,19,33,116.9,90.1,70.8,.830,.340,.633,58.2,58.3,12.7,6.1,.596,17.6,33.3,.574,.521,25.0,82.1,.319
3,2012-11-21,@,Air Force,L,72,86,27,62,.435,8,23,.348,10,17,.588,10,25,11,7,5,9,14,35,59,.593,10,22,.455,6,11,.545,9,39,25,5,5,12,18,105.9,126.5,68.2,.274,.371,.514,39.1,40.7,10.3,13.5,.500,11.4,25.0,.161,.678,15.7,62.5,.102
4,2012-11-25,@,Oregon State,L,65,78,21,70,.300,6,21,.286,17,22,.773,17,39,10,8,0,9,19,29,62,.468,5,23,.217,15,25,.600,17,45,16,6,11,14,16,90.3,108.3,71.7,.314,.300,.404,46.4,47.6,11.1,0.0,.343,10.1,37.8,.243,.508,15.9,56.4,.242
5,2012-11-29,,Pepperdine,L,66,76,25,63,.397,6,22,.273,10,12,.833,10,29,16,3,1,7,15,28,55,.509,6,17,.353,14,19,.737,10,38,15,4,0,12,14,100.0,115.2,65.9,.190,.349,.480,43.3,64.0,4.5,2.6,.444,9.2,26.3,.159,.564,15.8,65.5,.255
6,2012-12-01,,San Jose State,L,74,82,24,69,.348,7,22,.318,19,24,.792,14,31,12,14,1,9,20,27,51,.529,6,13,.462,22,26,.846,9,40,14,6,4,22,22,97.4,107.9,75.9,.348,.319,.460,43.7,50.0,18.4,2.6,.399,10.1,31.1,.275,.588,25.8,65.4,.431
7,2012-12-06,,Montana Tech,W,78,54,32,62,.516,4,14,.286,10,18,.556,10,30,10,18,2,14,18,20,50,.400,2,12,.167,12,13,.923,8,30,9,5,2,26,19,105.4,73.0,74.4,.290,.226,.553,50.0,31.3,24.3,5.3,.548,16.6,31.3,.161,.420,31.6,71.4,.240
8,2012-12-17,@,Northern Arizona,L,80,87,27,60,.450,9,26,.346,17,25,.680,10,25,13,9,5,17,25,30,54,.556,3,12,.250,24,35,.686,10,35,20,7,4,19,21,101.3,110.1,79.3,.417,.433,.557,41.7,48.1,11.4,11.9,.525,19.1,28.6,.283,.583,21.2,60.0,.444
9,2012-12-19,@,Sacramento State,L,57,62,20,62,.323,6,25,.240,11,15,.733,11,33,12,3,1,7,19,19,46,.413,7,18,.389,17,24,.708,7,40,14,3,3,12,15,89.1,96.9,63.8,.242,.403,.412,45.2,60.0,4.7,3.6,.371,9.2,25.0,.177,.489,17.3,75.9,.370
10,2012-12-29,,Northwest Indian College,W,101,70,39,72,.542,10,21,.476,13,17,.765,15,41,18,10,3,18,16,30,65,.462,2,14,.143,8,11,.727,8,25,7,11,0,23,18,120.2,83.3,84.2,.236,.292,.631,62.1,46.2,11.9,5.9,.611,18.4,46.9,.181,.477,24.7,76.5,.123
11,2013-01-03,,Portland State,W,62,59,22,48,.458,6,17,.353,12,17,.706,5,27,13,5,1,11,13,21,56,.375,7,28,.250,10,14,.714,12,29,7,3,1,11,16,100.0,95.2,61.9,.354,.354,.553,48.2,59.1,8.1,3.6,.521,16.4,22.7,.250,.438,14.9,64.7,.179
