G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,N,LIU-Brooklyn,W,77,74,31,67,.463,9,23,.391,6,8,.750,15,37,13,10,3,19,27,25,59,.424,2,16,.125,22,33,.667,14,35,14,11,4,16,11,101.3,97.4,75.7,.119,.343,.544,51.4,41.9,13.2,7.0,.530,21.2,41.7,.090,.441,17.6,61.1,.373
2,2012-11-12,@,Maryland,L,45,67,19,60,.317,1,14,.071,6,8,.750,11,25,4,7,5,18,26,23,47,.489,4,12,.333,17,29,.586,13,37,14,6,6,20,11,65.2,97.1,69.3,.133,.233,.353,40.3,21.1,10.1,14.3,.325,22.0,31.4,.100,.532,24.8,51.9,.362
3,2012-11-15,,Alice Lloyd,W,101,50,41,81,.506,12,28,.429,7,19,.368,18,53,28,16,5,11,20,17,55,.309,6,21,.286,10,15,.667,3,26,12,5,4,23,16,121.7,60.2,82.6,.235,.346,.561,67.1,68.3,19.3,14.7,.580,10.9,43.9,.086,.364,27.0,92.1,.182
4,2012-11-18,,Lafayette,W,88,74,34,63,.540,7,22,.318,13,21,.619,10,34,24,19,2,20,22,23,52,.442,15,33,.455,13,17,.765,5,28,22,10,3,28,20,106.0,89.2,83.0,.333,.349,.603,54.8,70.6,22.9,10.5,.595,21.5,30.3,.206,.587,31.8,82.8,.250
5,2012-11-21,@,Kentucky,L,70,81,25,68,.368,6,24,.250,14,16,.875,13,31,12,6,1,9,32,24,47,.511,2,10,.200,31,41,.756,8,37,11,3,11,13,12,97.2,112.5,71.5,.235,.353,.463,45.6,48.0,8.3,2.7,.412,10.6,31.0,.206,.532,16.4,69.2,.660
6,2012-11-26,,Norfolk State,W,73,67,25,58,.431,4,15,.267,19,29,.655,10,38,14,11,8,15,24,25,61,.410,2,15,.133,15,25,.600,12,38,19,10,4,17,22,94.8,87.0,77.3,.500,.259,.509,50.0,56.0,14.3,17.4,.466,17.3,27.8,.328,.426,18.9,70.0,.246
7,2012-11-28,@,Marshall,L,67,70,26,71,.366,7,16,.438,8,16,.500,18,41,13,7,3,15,32,20,60,.333,2,17,.118,28,44,.636,22,50,11,4,5,16,17,89.3,93.3,75.3,.225,.225,.426,45.1,50.0,9.3,7.0,.415,16.0,39.1,.113,.350,16.5,51.1,.467
8,2012-12-01,@,Wright State,L,57,66,21,42,.500,5,13,.385,10,17,.588,8,23,7,6,3,25,25,21,35,.600,6,12,.500,18,24,.750,2,16,16,7,1,20,14,86.4,100.0,65.7,.405,.310,.569,59.0,33.3,9.1,13.0,.560,33.3,36.4,.238,.686,30.1,88.2,.514
9,2012-12-05,,North Dakota State,L,57,69,18,60,.300,2,17,.118,19,29,.655,16,36,11,13,4,16,20,22,52,.423,7,19,.368,18,22,.818,13,40,13,9,9,21,22,79.2,95.8,72.1,.483,.283,.386,47.4,61.1,18.1,12.1,.317,17.8,37.2,.317,.490,25.2,60.6,.346
10,2012-12-08,,Indiana State,W,71,63,22,45,.489,9,17,.529,18,27,.667,6,27,15,10,0,18,31,17,46,.370,5,22,.227,24,33,.727,7,25,8,9,4,16,20,101.4,90.0,70.3,.600,.378,.614,51.9,68.2,14.3,0.0,.589,23.7,25.0,.400,.424,20.6,75.0,.522
