G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,@,Wichita State,L,57,71,21,56,.375,5,17,.294,10,16,.625,6,25,12,6,5,12,19,25,56,.446,6,19,.316,15,22,.682,15,43,18,3,7,12,14,85.1,106.0,66.5,.286,.304,.448,36.8,57.1,9.0,13.5,.420,15.9,17.6,.179,.500,15.3,55.9,.268
2,2012-11-12,,Johnson & Wales (NC),W,109,46,36,64,.563,8,21,.381,29,39,.744,10,36,26,23,3,11,22,16,47,.340,4,19,.211,10,24,.417,10,28,8,4,1,33,23,132.9,56.1,82.5,.609,.328,.660,56.3,72.2,28.0,10.7,.625,11.8,35.7,.453,.383,36.1,72.2,.213
3,2012-11-14,@,Wyoming,L,60,73,18,45,.400,6,15,.400,18,20,.900,6,22,9,6,0,13,18,26,52,.500,7,25,.280,14,19,.737,11,32,16,8,6,13,17,96.8,117.7,62.3,.444,.333,.550,40.7,50.0,9.7,0.0,.467,19.3,22.2,.400,.567,17.6,59.3,.269
4,2012-11-15,N,Southern,W,59,55,17,53,.321,0,4,.000,25,31,.806,12,36,7,9,1,16,18,18,46,.391,5,16,.313,14,20,.700,3,27,6,10,7,21,25,80.8,75.3,72.6,.585,.075,.436,57.1,41.2,12.3,3.3,.321,19.1,33.3,.472,.446,27.5,88.9,.304
5,2012-11-16,N,South Dakota,L,69,81,25,60,.417,4,21,.190,15,23,.652,12,29,14,4,1,11,14,28,55,.509,10,24,.417,15,19,.789,9,31,19,8,1,11,18,101.5,119.1,68.0,.383,.350,.486,48.3,56.0,5.9,3.2,.450,13.4,35.3,.250,.600,14.7,65.4,.273
6,2012-11-20,,Toccoa Falls,W,94,40,38,61,.623,6,17,.353,12,15,.800,11,34,27,19,2,15,18,13,42,.310,3,22,.136,11,15,.733,6,16,9,5,0,27,14,132.4,56.3,71.1,.246,.279,.690,68.0,71.1,26.8,10.0,.672,18.0,52.4,.197,.345,35.5,79.3,.262
7,2012-11-24,,Wagner,L,36,38,12,53,.226,4,15,.267,8,14,.571,12,32,7,9,3,18,18,11,38,.289,2,9,.222,14,22,.636,8,35,4,9,8,25,20,54.5,57.6,65.6,.264,.283,.302,47.8,58.3,13.6,10.3,.264,23.2,30.8,.151,.316,34.0,71.4,.368
8,2012-11-27,,Utah Valley,W,70,52,25,44,.568,6,17,.353,14,20,.700,5,26,16,6,6,14,19,20,52,.385,4,14,.286,8,15,.533,7,22,11,4,0,17,17,106.1,78.8,65.8,.455,.386,.654,54.2,64.0,9.1,15.8,.636,20.7,25.0,.318,.423,22.3,75.0,.154
9,2012-12-01,@,North Carolina A&T,W,66,62,20,48,.417,5,14,.357,21,25,.840,13,36,11,4,7,18,20,20,58,.345,9,26,.346,13,18,.722,11,26,12,10,5,11,19,100.0,93.9,65.7,.521,.292,.551,58.1,55.0,6.1,21.9,.469,23.1,46.4,.438,.422,14.2,67.6,.224
10,2012-12-04,,Eastern Kentucky,L,57,63,20,45,.444,1,7,.143,16,21,.762,12,36,9,6,3,22,20,22,48,.458,8,21,.381,11,16,.688,2,17,12,10,0,10,18,89.1,98.4,64.3,.467,.156,.518,67.9,45.0,9.4,11.1,.456,28.6,44.4,.356,.542,15.2,92.3,.229
