G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,UC-Davis,W,73,65,23,57,.404,8,22,.364,19,24,.792,8,28,14,10,6,9,18,23,55,.418,7,16,.438,12,19,.632,14,40,11,6,0,21,21,104.3,92.9,70.2,.421,.386,.534,41.2,60.9,14.3,15.4,.474,11.6,23.5,.333,.482,24.7,58.8,.218
2,2012-11-15,N,Akron,W (1 OT),69,65,21,56,.375,4,13,.308,23,28,.821,13,39,8,8,7,15,20,21,70,.300,8,26,.308,15,23,.652,18,39,10,4,6,12,21,94.5,89.0,65.0,.500,.232,.498,50.0,38.1,11.0,15.9,.411,17.8,38.2,.411,.357,12.9,59.1,.214
3,2012-11-16,N,Tennessee,W,62,45,18,43,.419,3,13,.231,23,31,.742,8,39,7,5,2,13,21,13,50,.260,5,23,.217,14,22,.636,8,29,5,2,1,11,25,98.4,71.4,63.1,.721,.302,.537,57.4,38.9,7.9,7.4,.453,18.4,27.6,.535,.310,15.4,79.5,.280
4,2012-11-18,N,NC State,W,76,56,24,57,.421,8,22,.364,20,24,.833,12,42,14,6,8,13,16,22,62,.355,4,14,.286,8,16,.500,10,27,7,9,1,12,21,107.0,78.9,70.5,.421,.386,.556,60.9,58.3,8.5,16.7,.491,16.0,41.4,.351,.387,14.7,75.0,.129
5,2012-11-25,,Portland State,W,81,58,32,56,.571,7,15,.467,10,13,.769,7,30,19,6,4,13,11,21,53,.396,7,21,.333,9,14,.643,8,26,6,4,0,16,12,119.1,85.3,67.9,.232,.268,.651,53.6,59.4,8.8,12.5,.634,17.3,28.0,.179,.462,21.2,74.2,.170
6,2012-12-01,@,Virginia Tech,L,71,81,28,66,.424,4,23,.174,11,15,.733,10,29,13,5,5,8,23,24,55,.436,6,16,.375,27,33,.818,10,37,8,5,6,12,16,98.6,112.5,71.9,.227,.348,.485,43.9,46.4,6.9,12.8,.455,9.9,27.0,.167,.491,14.5,65.5,.491
7,2012-12-05,,South Florida,W,61,49,22,55,.400,5,16,.313,12,14,.857,12,38,9,4,6,10,15,17,50,.340,5,20,.250,10,14,.714,6,23,9,8,3,9,16,101.7,81.7,59.7,.255,.291,.495,62.3,40.9,6.7,20.0,.445,14.0,41.4,.218,.390,13.7,81.3,.200
8,2012-12-08,,Missouri State,W,62,42,21,49,.429,4,23,.174,16,23,.696,14,45,8,6,3,17,13,18,54,.333,3,18,.167,3,7,.429,6,22,7,3,1,14,21,96.9,65.6,64.1,.469,.469,.517,67.2,38.1,9.4,8.3,.469,22.1,46.7,.327,.361,19.6,83.8,.056
9,2012-12-16,,Central Arkansas,W,91,63,32,66,.485,7,23,.304,20,27,.741,10,50,19,9,5,15,15,24,69,.348,6,26,.231,9,19,.474,10,34,12,8,1,13,23,111.0,76.8,82.4,.409,.348,.577,59.5,59.4,11.0,11.6,.538,16.0,29.4,.303,.391,14.3,80.0,.130
10,2012-12-19,,Texas-Arlington,W,69,44,25,58,.431,7,17,.412,12,14,.857,12,29,8,15,7,15,12,18,46,.391,7,15,.467,1,5,.200,8,29,6,10,2,30,15,100.0,63.8,69.0,.241,.293,.534,50.0,32.0,21.7,22.6,.491,18.8,36.4,.207,.467,38.3,68.0,.022
11,2012-12-22,,Tennessee Tech,W,78,42,29,59,.492,11,27,.407,9,15,.600,12,35,19,11,7,12,16,15,39,.385,4,15,.267,8,18,.444,6,25,3,6,3,20,14,121.9,65.6,63.8,.254,.458,.590,58.3,65.5,17.2,29.2,.585,15.4,38.7,.153,.436,29.6,79.3,.205
12,2012-12-31,,Gonzaga,L,68,69,26,55,.473,9,23,.391,7,11,.636,7,18,11,5,6,8,18,24,50,.480,6,16,.375,15,18,.833,12,33,11,5,1,15,16,111.5,113.1,61.4,.200,.418,.565,35.3,42.3,8.2,17.6,.555,11.7,25.0,.127,.540,20.4,47.8,.300
