G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Liberty,W,84,42,29,59,.492,10,28,.357,16,25,.640,13,45,13,10,6,13,18,13,50,.260,4,19,.211,12,18,.667,3,26,6,6,1,17,17,116.7,58.3,71.7,.424,.475,.593,63.4,44.8,13.9,19.4,.576,15.5,36.1,.271,.300,22.5,91.4,.240
2,2012-11-13,,UNC Wilmington,W,101,58,32,55,.582,14,28,.500,23,28,.821,8,30,26,12,2,8,17,18,56,.321,3,14,.214,19,19,1.000,16,34,11,4,2,18,23,148.5,85.3,67.7,.509,.509,.739,46.9,81.3,17.6,4.8,.709,10.5,30.8,.418,.348,21.7,57.9,.339
3,2012-11-15,,Hampton,W,68,58,21,51,.412,6,17,.353,20,27,.741,12,32,12,11,3,17,22,18,43,.419,4,15,.267,18,23,.783,9,30,8,7,3,23,23,100.0,85.3,68.4,.529,.333,.533,51.6,57.1,16.2,10.7,.471,21.0,36.4,.392,.465,29.9,69.0,.419
4,2012-11-18,@,Minnesota,L,57,72,22,66,.333,4,20,.200,9,13,.692,11,20,9,15,2,8,20,26,46,.565,5,10,.500,15,21,.714,9,37,17,5,9,19,13,83.8,105.9,67.6,.197,.303,.395,35.1,40.9,22.1,5.6,.364,10.0,28.2,.136,.620,25.3,50.0,.326
5,2012-11-20,,Wofford,W,64,58,19,48,.396,4,18,.222,22,28,.786,8,37,10,6,5,13,14,20,56,.357,8,22,.364,10,16,.625,10,32,11,9,3,10,20,98.5,89.2,65.0,.583,.375,.522,53.6,52.6,9.2,14.7,.438,17.5,26.7,.458,.429,13.6,74.4,.179
6,2012-11-24,@,Ohio,L,48,73,13,37,.351,6,16,.375,16,26,.615,6,22,10,5,5,19,11,27,58,.466,10,20,.500,9,10,.900,10,32,17,11,2,13,21,75.0,114.1,64.1,.703,.432,.486,40.7,76.9,7.8,13.2,.432,27.8,21.4,.432,.552,17.2,61.5,.155
7,2012-11-28,,William & Mary,W (2 OT),86,78,28,56,.500,11,25,.440,19,21,.905,4,28,19,6,5,19,22,29,60,.483,6,13,.462,14,20,.700,7,31,12,7,5,17,20,107.5,97.5,64.2,.375,.446,.652,47.5,67.9,7.5,10.6,.598,22.4,14.3,.339,.533,19.7,77.4,.233
8,2012-12-01,,Wake Forest,W,62,60,16,42,.381,6,20,.300,24,28,.857,8,29,12,6,3,14,22,18,42,.429,4,6,.667,20,26,.769,6,27,8,7,5,13,23,101.6,98.4,61.3,.667,.476,.561,51.8,75.0,9.8,8.3,.452,20.2,27.6,.571,.476,19.3,77.8,.476
9,2012-12-04,@,Old Dominion,W,80,53,31,54,.574,9,22,.409,9,12,.750,10,31,17,9,3,12,19,19,60,.317,3,10,.300,12,21,.571,20,34,11,9,3,15,17,127.0,84.1,63.3,.222,.407,.670,47.7,54.8,14.3,6.0,.657,16.7,41.7,.167,.342,17.7,51.2,.200
10,2012-12-08,@,James Madison,W (1 OT),83,82,26,45,.578,11,17,.647,20,26,.769,5,21,19,7,1,13,25,25,48,.521,8,13,.615,24,33,.727,9,23,12,9,5,15,21,122.1,120.6,60.0,.578,.378,.724,47.7,73.1,10.3,2.9,.700,18.5,26.3,.444,.604,19.1,64.0,.500
11,2012-12-15,,Stetson,W,76,57,24,47,.511,9,21,.429,19,23,.826,9,27,14,10,1,13,15,23,52,.442,2,19,.105,9,14,.643,10,27,14,5,1,16,21,120.6,90.5,63.3,.489,.447,.656,50.0,58.3,15.9,3.0,.606,18.3,34.6,.404,.462,21.4,64.3,.173
12,2012-12-18,@,Kansas,L,59,87,19,58,.328,9,32,.281,12,22,.545,10,24,9,6,6,8,17,36,61,.590,6,16,.375,9,13,.692,11,43,17,7,7,12,18,88.1,129.9,67.3,.379,.552,.431,35.8,47.4,9.0,13.3,.405,10.5,23.8,.207,.639,15.2,56.0,.148
13,2012-12-22,N,George Mason,L,64,67,20,44,.455,9,19,.474,15,26,.577,8,26,13,8,1,18,15,26,52,.500,8,13,.615,7,13,.538,10,29,14,12,3,17,20,97.0,101.5,65.8,.591,.432,.568,47.3,65.0,12.1,2.6,.557,24.2,29.6,.341,.577,22.6,64.3,.135
14,2012-12-29,,Davidson,L,64,70,23,50,.460,6,17,.353,12,15,.800,3,21,10,10,6,10,19,21,46,.457,5,15,.333,23,25,.920,6,31,15,4,4,18,18,95.5,104.5,67.0,.300,.340,.560,40.4,43.5,14.9,19.4,.520,14.9,10.7,.240,.511,23.7,75.0,.500
