G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Bethune-Cookman,W,65,55,21,47,.447,6,19,.316,17,25,.680,8,29,15,5,6,10,14,19,51,.373,6,21,.286,11,11,1.000,8,29,9,1,3,13,18,106.6,90.2,61.1,.532,.404,.552,50.0,71.4,8.2,20.0,.511,14.5,27.6,.362,.431,18.8,72.4,.216
2,2012-11-14,@,Cornell,W,72,68,22,53,.415,2,14,.143,26,42,.619,11,34,13,10,2,13,24,21,52,.404,5,14,.357,21,28,.750,9,35,9,6,3,14,30,98.6,93.2,72.6,.792,.264,.493,49.3,59.1,13.7,5.3,.434,15.1,29.7,.491,.452,17.7,71.9,.404
3,2012-11-17,@,Canisius,L,69,72,26,52,.500,9,22,.409,8,10,.800,7,27,15,3,3,19,20,23,54,.426,8,21,.381,18,21,.857,8,24,15,5,2,13,14,100.0,104.3,68.9,.192,.423,.608,52.9,57.7,4.3,9.1,.587,25.1,30.4,.154,.500,16.9,71.4,.333
4,2012-11-24,N,Niagara,W,80,75,26,64,.406,10,23,.435,18,21,.857,15,38,18,7,3,16,17,26,60,.433,7,20,.350,16,20,.800,6,28,16,9,2,16,19,103.9,97.4,77.2,.328,.359,.541,57.6,69.2,9.1,7.5,.484,17.8,40.5,.281,.492,18.7,79.3,.267
5,2012-11-28,@,Ohio,L,64,69,21,44,.477,8,14,.571,14,25,.560,9,29,11,4,1,20,21,23,50,.460,10,26,.385,13,20,.650,7,24,16,9,5,12,22,97.0,104.5,65.7,.568,.318,.573,54.7,52.4,6.1,4.2,.568,26.4,34.6,.318,.560,16.8,74.1,.260
6,2012-12-01,,Buffalo,W,82,79,26,56,.464,8,16,.500,22,38,.579,11,33,15,12,4,9,20,27,57,.474,13,24,.542,12,23,.522,14,38,20,4,3,18,29,113.9,109.7,72.0,.679,.286,.554,46.5,57.7,16.7,12.1,.536,10.8,31.4,.393,.588,20.9,61.1,.211
7,2012-12-04,,Siena,W,58,43,20,57,.351,2,20,.100,16,17,.941,15,33,8,8,5,5,12,17,52,.327,4,15,.267,5,10,.500,14,33,12,1,3,17,14,101.8,75.4,57.4,.298,.351,.446,50.0,40.0,14.0,13.5,.368,7.1,44.1,.281,.365,23.1,56.3,.096
8,2012-12-08,@,Arkansas State,L,70,73,24,57,.421,6,24,.250,16,23,.696,9,27,11,6,0,10,23,24,52,.462,5,17,.294,20,25,.800,5,27,9,3,0,13,20,100.0,104.3,70.4,.404,.421,.515,50.0,45.8,8.6,0.0,.474,12.8,29.0,.281,.510,16.9,78.3,.385
9,2012-12-15,,Cleveland State,W,87,53,30,56,.536,8,16,.500,19,22,.864,7,31,18,9,6,20,21,16,48,.333,2,10,.200,19,28,.679,11,28,3,9,4,20,22,116.0,70.7,75.3,.393,.286,.655,52.5,60.0,12.0,15.8,.607,23.1,29.2,.339,.354,24.6,68.6,.396
10,2012-12-19,,Citadel,W,97,57,35,62,.565,10,18,.556,17,21,.810,16,35,26,13,3,11,20,18,48,.375,5,12,.417,16,23,.696,13,26,14,6,3,20,22,147.0,86.4,66.5,.339,.290,.674,57.4,74.3,19.7,8.3,.645,13.3,55.2,.274,.427,25.3,59.4,.333
11,2012-12-22,@,NC State,L,73,92,26,64,.406,8,25,.320,13,21,.619,13,37,12,6,4,14,24,32,56,.571,6,14,.429,22,35,.629,7,34,21,8,8,12,19,96.1,121.1,76.3,.328,.391,.493,52.1,46.2,7.9,9.5,.469,15.9,32.5,.203,.625,14.2,77.4,.393
12,2012-12-31,,Iona,L,74,93,27,70,.386,7,21,.333,13,16,.813,13,30,15,4,4,12,17,31,59,.525,13,27,.481,18,19,.947,7,34,21,7,3,15,17,97.4,122.4,76.3,.229,.300,.477,46.9,55.6,5.3,12.5,.436,13.4,32.5,.186,.636,18.1,70.8,.305
13,2013-01-05,@,Colorado State,L,64,85,22,63,.349,9,26,.346,11,16,.688,7,23,11,9,2,7,24,29,55,.527,6,16,.375,21,29,.724,11,45,14,3,6,11,16,91.4,121.4,69.7,.254,.413,.453,33.8,50.0,12.9,5.1,.421,9.0,17.1,.175,.582,13.8,59.3,.382
14,2013-01-09,@,George Washington,L,59,78,23,59,.390,3,18,.167,10,11,.909,9,25,6,6,1,13,21,28,49,.571,6,12,.500,16,24,.667,8,32,16,5,7,15,16,86.8,114.7,67.8,.186,.305,.459,43.9,26.1,8.8,2.7,.415,16.8,27.3,.169,.633,19.9,66.7,.327
15,2013-01-12,,VCU,L,65,72,21,51,.412,11,25,.440,12,15,.800,7,25,17,4,1,16,21,26,50,.520,5,17,.294,15,27,.556,9,31,15,7,2,15,21,95.6,105.9,68.0,.294,.490,.559,44.6,81.0,5.9,3.0,.520,21.6,24.1,.235,.570,19.3,66.7,.300
16,2013-01-16,,Xavier,L,64,66,23,44,.523,6,16,.375,12,17,.706,5,21,16,3,2,8,16,26,57,.456,6,19,.316,8,13,.615,12,26,13,2,2,6,16,114.3,117.9,56.1,.386,.364,.614,44.7,69.6,5.4,5.3,.591,13.3,26.3,.273,.509,8.7,57.1,.140
17,2013-01-19,@,Temple,W,81,78,27,55,.491,11,18,.611,16,19,.842,7,26,21,3,3,10,11,28,61,.459,12,34,.353,10,10,1.000,10,28,17,7,4,11,18,120.9,116.4,66.9,.345,.327,.633,48.1,77.8,4.5,11.1,.591,13.5,28.0,.291,.557,14.3,65.5,.164
18,2013-01-23,@,St. Joseph's,W,73,64,28,52,.538,10,20,.500,7,8,.875,4,19,13,9,2,6,18,22,52,.423,2,22,.091,18,23,.783,11,28,13,3,3,10,12,121.7,106.7,59.9,.154,.385,.654,40.4,46.4,15.0,6.7,.635,9.7,19.0,.135,.442,13.7,57.7,.346
19,2013-01-26,,Saint Louis,L,57,67,17,47,.362,2,16,.125,21,28,.750,7,32,7,6,4,18,22,23,52,.442,4,10,.400,17,26,.654,5,30,10,14,3,13,23,79.2,93.1,71.8,.596,.340,.473,51.6,41.2,8.3,9.5,.383,23.0,21.9,.447,.481,16.8,83.3,.327
20,2013-02-02,,Duquesne,W,68,60,22,50,.440,12,22,.545,12,14,.857,9,26,14,4,2,15,19,20,46,.435,11,24,.458,9,15,.600,8,24,14,6,3,10,17,115.3,101.7,58.9,.280,.440,.600,52.0,63.6,6.8,9.1,.560,20.9,36.0,.240,.554,15.8,68.0,.196
21,2013-02-06,@,Butler,L,58,77,18,47,.383,4,9,.444,18,25,.720,6,19,8,4,3,12,18,26,52,.500,11,26,.423,14,20,.700,8,31,14,6,3,13,17,87.9,116.7,65.7,.532,.191,.493,38.0,44.4,6.1,11.5,.426,16.9,20.7,.383,.606,17.4,61.9,.269
22,2013-02-09,@,Rhode Island,W,67,61,21,49,.429,6,23,.261,19,22,.864,6,23,13,9,5,12,22,19,49,.388,5,16,.313,18,26,.692,14,34,10,4,4,18,20,103.1,93.8,65.4,.449,.469,.563,40.4,61.9,13.8,15.2,.490,16.8,23.1,.388,.439,22.7,54.8,.367
23,2013-02-13,,La Salle,L (1 OT),66,69,22,52,.423,2,13,.154,20,25,.800,7,30,12,11,6,16,19,19,53,.358,9,25,.360,22,27,.815,11,31,12,8,3,20,19,89.2,93.2,65.6,.481,.250,.517,49.2,54.5,14.9,21.4,.442,20.0,25.9,.385,.443,23.3,67.6,.415
24,2013-02-16,@,Richmond,L (1 OT),80,83,26,56,.464,10,22,.455,18,23,.783,4,32,13,9,1,19,28,23,51,.451,12,25,.480,25,35,.714,4,27,16,8,4,18,26,97.6,101.2,72.7,.411,.393,.598,54.2,50.0,11.0,3.8,.554,22.1,14.8,.321,.569,21.0,87.5,.490
