G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Kennesaw State,W,76,67,26,43,.605,7,12,.583,17,28,.607,6,26,17,7,6,13,22,24,52,.462,5,16,.313,14,25,.560,12,25,9,4,2,11,23,120.6,106.3,63.1,.651,.279,.675,51.0,65.4,11.1,16.7,.686,18.8,31.6,.395,.510,14.7,62.5,.269
2,2012-11-15,N,UNC Asheville,W,75,68,26,52,.500,4,8,.500,19,26,.731,11,35,7,3,2,14,21,23,46,.500,1,6,.167,21,29,.724,3,24,10,7,2,11,22,110.3,100.0,67.6,.500,.154,.583,59.3,26.9,4.4,5.0,.538,17.9,34.4,.365,.511,15.5,88.9,.457
3,2012-11-16,N,Oklahoma State,L,45,62,13,50,.260,5,23,.217,14,22,.636,8,29,5,2,1,11,25,18,43,.419,3,13,.231,23,31,.742,8,39,7,5,2,13,21,71.4,98.4,63.1,.440,.460,.372,42.6,38.5,3.2,3.3,.310,15.4,20.5,.280,.453,18.4,72.4,.535
4,2012-11-18,N,UMass,W,83,69,28,62,.452,7,16,.438,20,33,.606,12,43,15,6,3,16,16,24,69,.348,9,27,.333,12,14,.857,11,34,13,9,4,14,29,103.8,86.3,80.2,.532,.258,.534,55.8,53.6,7.5,7.1,.508,17.1,34.3,.323,.413,15.6,73.8,.174
5,2012-11-26,,Oakland,W,77,50,28,53,.528,6,22,.273,15,20,.750,11,41,17,2,5,9,20,16,56,.286,2,16,.125,16,20,.800,9,23,10,4,2,5,17,126.2,82.0,61.0,.377,.415,.616,64.1,60.7,3.3,12.5,.585,12.6,44.0,.283,.304,7.1,76.9,.286
6,2012-11-30,@,Georgetown,L,36,37,15,46,.326,3,16,.188,3,11,.273,9,35,6,2,3,12,16,16,44,.364,1,7,.143,4,9,.444,3,27,11,9,4,9,11,66.7,68.5,54.3,.239,.348,.351,56.5,40.0,3.7,8.1,.359,19.0,27.3,.065,.375,15.7,89.7,.091
7,2012-12-05,@,Virginia,L,38,46,15,52,.288,3,19,.158,5,8,.625,7,33,7,3,3,12,15,19,53,.358,1,8,.125,7,10,.700,6,31,10,2,8,8,15,63.3,76.7,60.3,.154,.365,.341,51.6,46.7,5.0,6.7,.317,17.7,21.9,.096,.368,12.2,81.3,.132
8,2012-12-13,,Wichita State,W,69,60,19,40,.475,2,10,.200,29,36,.806,6,28,8,6,3,17,20,21,55,.382,6,20,.300,12,20,.600,15,28,10,7,4,16,28,103.0,89.6,66.8,.900,.250,.604,50.0,42.1,9.0,8.6,.500,22.9,31.6,.725,.436,19.9,59.5,.218
9,2012-12-18,,Presbyterian,W,78,62,28,60,.467,9,22,.409,13,16,.813,11,40,14,3,1,6,10,24,54,.444,8,23,.348,6,7,.857,2,19,13,4,3,5,14,127.9,101.6,61.5,.267,.367,.577,67.8,50.0,4.9,3.2,.542,8.2,39.3,.217,.519,8.0,93.5,.111
10,2012-12-21,,Western Carolina,W,66,52,17,47,.362,2,14,.143,30,42,.714,13,41,10,4,5,12,13,21,56,.375,2,12,.167,8,11,.727,6,27,6,6,3,12,30,98.5,77.6,66.6,.894,.298,.493,60.3,58.8,6.0,11.4,.383,15.2,38.2,.638,.393,16.4,82.4,.143
11,2012-12-29,,Xavier,W,51,47,19,49,.388,3,20,.150,10,16,.625,7,28,8,6,9,13,15,18,55,.327,1,8,.125,10,13,.769,15,42,8,8,1,19,19,79.7,73.4,63.9,.327,.408,.451,40.0,42.1,9.4,19.1,.418,18.7,20.6,.204,.336,23.7,58.3,.182
12,2013-01-04,,Memphis,L,80,85,29,66,.439,8,21,.381,14,23,.609,12,35,11,5,6,13,19,31,55,.564,7,11,.636,16,21,.762,5,27,16,11,11,10,20,108.1,114.9,74.0,.348,.318,.520,56.5,37.9,6.8,13.6,.500,14.5,35.3,.212,.627,13.3,82.1,.291
13,2013-01-09,,Ole Miss,L,74,92,25,65,.385,7,26,.269,17,26,.654,8,31,11,6,2,8,27,25,58,.431,4,15,.267,38,44,.864,11,41,9,6,5,11,19,94.9,117.9,78.1,.400,.400,.478,43.1,44.0,7.7,4.7,.438,9.4,21.1,.262,.466,12.2,67.6,.655
14,2013-01-12,@,Alabama,L,65,68,26,55,.473,5,15,.333,8,16,.500,14,38,7,2,3,16,18,23,54,.426,6,14,.429,16,19,.842,6,22,12,10,5,7,14,101.6,106.3,64.3,.291,.273,.519,63.3,26.9,3.1,7.5,.518,20.4,46.7,.145,.481,10.0,80.0,.296
15,2013-01-15,@,Kentucky,L,65,75,25,54,.463,4,12,.333,11,17,.647,5,27,11,3,3,13,25,25,51,.490,6,15,.400,19,31,.613,8,32,13,6,8,11,17,94.2,108.7,69.4,.315,.222,.524,45.8,44.0,4.3,8.3,.500,17.3,17.2,.204,.549,14.3,73.3,.373
