G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,,Louisiana Tech,W,71,59,24,55,.436,5,15,.333,18,24,.750,11,34,12,7,2,12,18,20,56,.357,6,22,.273,13,18,.722,12,32,12,7,6,15,22,106.0,88.1,67.5,.436,.273,.535,51.5,50.0,10.4,5.9,.482,15.3,35.5,.327,.411,18.9,65.7,.232
2,2012-11-12,,Troy,W,83,65,29,55,.527,7,19,.368,18,20,.900,12,33,21,5,3,8,8,24,55,.436,13,32,.406,4,4,1.000,7,19,17,1,1,10,15,138.3,108.3,60.2,.364,.345,.643,63.5,72.4,8.3,13.0,.591,11.0,50.0,.327,.555,14.9,75.0,.073
3,2012-11-15,,Prairie View,W,81,59,24,54,.444,9,19,.474,24,29,.828,13,30,18,5,4,11,14,20,61,.328,6,19,.316,13,15,.867,21,36,9,9,2,14,21,128.6,93.7,63.5,.537,.352,.598,45.5,75.0,7.9,9.5,.528,14.0,46.4,.444,.377,17.0,44.7,.213
4,2012-11-19,N,Saint Louis,L,49,70,19,43,.442,3,7,.429,8,18,.444,5,22,13,6,1,19,22,25,49,.510,6,17,.353,14,21,.667,6,30,17,10,5,12,17,75.4,107.7,65.3,.419,.163,.475,42.3,68.4,9.2,3.1,.477,26.9,17.2,.186,.571,16.9,73.9,.286
5,2012-11-20,N,Washington State,W,55,54,19,52,.365,5,16,.313,12,18,.667,13,32,8,10,4,10,18,19,40,.475,7,14,.500,9,14,.643,2,19,11,3,5,13,16,94.8,93.1,57.6,.346,.308,.454,62.7,42.1,17.2,15.4,.413,14.2,43.3,.231,.563,21.8,90.5,.225
6,2012-11-26,,Northwestern State,W,78,65,32,57,.561,7,14,.500,7,13,.538,10,34,20,4,3,13,21,20,62,.323,7,25,.280,18,22,.818,12,27,12,6,9,13,21,111.4,92.9,69.8,.228,.246,.617,55.7,62.5,5.7,8.1,.623,17.1,40.0,.123,.379,15.2,66.7,.290
7,2012-12-01,@,Houston,W,70,58,29,60,.483,4,11,.364,8,13,.615,13,39,12,5,1,10,15,20,49,.408,7,21,.333,11,19,.579,7,24,9,4,3,13,15,109.4,90.6,63.6,.217,.183,.529,61.9,41.4,7.8,3.6,.517,13.1,43.3,.133,.480,18.3,78.8,.224
8,2012-12-05,,Stephen F. Austin,W,62,54,20,40,.500,1,7,.143,21,29,.724,6,28,9,8,7,14,11,23,58,.397,5,18,.278,3,6,.500,11,28,16,6,1,13,21,100.0,87.1,62.3,.725,.175,.576,50.0,45.0,12.9,17.5,.513,20.7,26.1,.525,.440,17.6,66.7,.052
9,2012-12-15,N,Oklahoma,L,54,64,20,50,.400,5,11,.455,9,12,.750,9,30,9,7,1,19,15,21,54,.389,4,16,.250,18,19,.947,9,27,11,10,4,11,11,83.1,98.5,65.4,.240,.220,.485,52.6,45.0,10.8,2.6,.450,25.4,33.3,.180,.426,14.9,70.0,.333
10,2012-12-18,,Texas A&M-Corpus Christi,W,66,54,27,51,.529,7,13,.538,5,9,.556,9,33,15,5,5,15,17,19,58,.328,2,18,.111,14,21,.667,13,29,8,6,2,10,15,104.8,85.7,63.1,.176,.255,.597,53.2,55.6,7.9,12.5,.598,21.3,36.0,.098,.345,12.8,64.9,.241
11,2012-12-22,,Southern,L,51,53,22,46,.478,4,13,.308,3,6,.500,3,25,7,3,4,13,11,20,53,.377,5,15,.333,8,8,1.000,7,27,14,6,5,12,12,85.0,88.3,60.3,.130,.283,.522,48.1,31.8,5.0,10.5,.522,21.0,13.0,.065,.425,17.4,75.9,.151
12,2012-12-29,,Army,W,61,55,19,56,.339,8,20,.400,15,27,.556,17,38,12,7,4,12,13,22,55,.400,6,20,.300,5,7,.714,8,32,14,6,3,16,22,93.8,84.6,65.1,.482,.357,.443,54.3,63.2,10.8,11.4,.411,14.8,41.5,.268,.455,21.5,72.4,.091
13,2013-01-03,,Houston Baptist,W,67,59,24,50,.480,2,8,.250,17,22,.773,3,19,12,11,3,9,14,23,47,.489,7,17,.412,6,12,.500,7,30,17,3,2,23,20,98.5,86.8,67.6,.440,.160,.554,38.8,50.0,16.2,10.0,.500,13.0,11.5,.340,.564,30.4,69.6,.128
14,2013-01-09,,Arkansas,W,69,51,21,58,.362,5,16,.313,22,27,.815,16,47,11,2,3,9,18,22,52,.423,3,15,.200,4,15,.267,6,25,10,3,6,12,24,107.8,79.7,64.5,.466,.276,.487,65.3,52.4,3.1,8.1,.405,11.3,45.7,.379,.452,16.9,83.8,.077
