G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-09,@,Loyola (IL),L,50,62,20,57,.351,4,17,.235,6,10,.600,7,25,5,6,1,11,16,21,54,.389,6,20,.300,14,15,.933,10,38,13,5,2,15,13,75.8,93.9,65.9,.175,.298,.405,39.7,25.0,9.1,2.9,.386,15.1,20.0,.105,.444,19.7,64.3,.259
2,2012-11-12,@,Minnesota,L,56,82,19,61,.311,3,19,.158,15,23,.652,8,20,13,10,4,13,22,28,57,.491,5,14,.357,21,30,.700,16,43,18,12,9,19,24,73.7,107.9,75.6,.377,.311,.389,31.7,68.4,13.2,9.3,.336,15.3,22.9,.246,.535,21.1,42.9,.368
3,2012-11-14,@,Northern Iowa,L (1 OT),81,84,31,69,.449,9,26,.346,10,14,.714,7,29,10,9,1,12,27,23,53,.434,6,20,.300,32,39,.821,9,34,11,6,3,15,12,102.5,106.3,70.3,.203,.377,.535,46.0,32.3,11.4,3.0,.514,13.7,21.9,.145,.491,17.3,71.0,.604
4,2012-11-21,N,Samford,W,82,69,22,49,.449,7,16,.438,31,40,.775,13,40,12,10,5,15,19,24,61,.393,11,27,.407,10,17,.588,9,25,9,9,4,13,28,113.9,95.8,71.5,.816,.327,.603,61.5,54.5,13.9,14.7,.520,18.1,44.8,.633,.484,15.8,75.0,.164
5,2012-11-22,@,Florida Gulf Coast,L,66,72,26,59,.441,5,20,.250,9,10,.900,5,24,12,10,0,19,23,26,52,.500,4,18,.222,16,28,.571,10,34,15,11,4,18,15,86.8,94.7,75.5,.169,.339,.518,41.4,46.2,13.2,0.0,.483,23.0,17.2,.153,.538,21.6,65.5,.308
6,2012-11-28,,Texas A&M-Corpus Christi,W,80,68,20,48,.417,5,14,.357,35,46,.761,10,31,10,6,2,12,25,20,52,.385,4,21,.190,24,32,.750,12,34,8,7,3,16,34,111.1,94.4,71.5,.958,.292,.573,47.7,50.0,8.3,6.5,.469,14.7,31.3,.729,.423,19.2,63.6,.462
7,2012-12-01,@,Cleveland State,L,73,78,25,48,.521,5,10,.500,18,22,.818,8,21,14,8,3,15,13,27,51,.529,12,24,.500,12,15,.800,10,22,14,7,4,16,21,112.3,120.0,64.8,.458,.208,.624,48.8,56.0,12.3,11.1,.573,20.4,40.0,.375,.647,21.6,56.5,.235
8,2012-12-05,@,Detroit,L,73,79,26,57,.456,8,19,.421,13,16,.813,7,33,11,5,6,17,12,29,68,.426,12,28,.429,9,13,.692,11,32,19,15,8,12,17,97.3,105.3,74.9,.281,.333,.565,50.8,42.3,6.7,15.0,.526,20.8,25.0,.228,.515,13.9,70.3,.132
9,2012-12-08,@,Eastern Illinois,W,67,59,26,44,.591,6,14,.429,9,18,.500,5,28,12,4,4,12,14,18,50,.360,10,28,.357,13,17,.765,7,26,12,7,1,10,18,111.7,98.3,60.3,.409,.318,.637,51.9,46.2,6.7,18.2,.659,18.6,20.8,.205,.460,14.7,76.7,.260
10,2012-12-29,,UIC,W,74,55,25,62,.403,7,20,.350,17,20,.850,13,43,18,6,7,7,10,21,63,.333,10,24,.417,3,9,.333,13,35,16,4,4,10,16,113.8,84.6,64.9,.323,.323,.517,55.1,72.0,9.2,17.9,.460,8.9,37.1,.274,.413,12.9,69.8,.048
