G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2012-11-10,,Western State,W,62,42,19,54,.352,9,26,.346,15,21,.714,14,35,9,6,5,7,14,13,42,.310,5,19,.263,11,16,.688,8,27,4,3,1,17,21,106.9,72.4,57.8,.389,.481,.485,56.5,47.4,10.3,21.7,.435,9.9,42.4,.278,.369,25.5,72.4,.262
2,2012-11-14,,North Carolina Central,W,73,60,26,52,.500,7,25,.280,14,19,.737,11,32,16,8,6,13,17,18,45,.400,6,15,.400,18,20,.900,6,22,9,6,0,13,18,117.7,96.8,62.3,.365,.481,.598,59.3,61.5,12.9,20.0,.567,17.6,40.7,.269,.467,19.3,77.8,.400
3,2012-11-15,,South Dakota,W,71,51,26,57,.456,12,25,.480,7,11,.636,10,32,18,6,2,12,18,16,53,.302,5,16,.313,14,19,.737,12,32,7,10,3,14,16,110.9,79.7,64.1,.193,.439,.571,50.0,69.2,9.4,5.4,.561,16.2,33.3,.123,.349,18.4,64.7,.264
4,2012-11-16,,Southern,W,67,60,20,50,.400,7,26,.269,20,22,.909,6,26,9,6,3,8,16,22,47,.468,10,21,.476,6,11,.545,3,24,11,4,4,12,20,108.1,96.8,61.8,.440,.520,.554,52.0,45.0,9.7,11.5,.470,11.7,22.2,.400,.574,18.7,87.0,.128
5,2012-11-21,@,Northern Colorado,W,69,60,22,52,.423,6,21,.286,19,23,.826,6,25,17,6,3,13,9,23,53,.434,10,27,.370,4,5,.800,7,28,11,8,5,20,22,100.0,87.0,69.2,.442,.404,.548,47.2,77.3,8.7,11.5,.481,17.1,22.2,.365,.528,26.5,73.1,.075
6,2012-11-24,,Cal State Bakersfield,W,63,49,17,37,.459,5,14,.357,24,35,.686,10,29,10,6,8,16,23,11,40,.275,5,12,.417,22,27,.815,6,19,6,4,1,16,30,103.3,80.3,61.2,.946,.378,.587,60.4,58.8,9.8,28.6,.527,23.0,43.5,.649,.338,23.2,76.0,.550
7,2012-11-28,@,UCSB,W,68,40,19,39,.487,7,17,.412,23,27,.852,5,31,10,9,2,16,9,16,56,.286,6,24,.250,2,3,.667,10,28,10,6,1,18,24,106.3,62.5,64.1,.692,.436,.656,52.5,52.6,14.1,6.3,.577,23.6,21.7,.590,.339,23.9,72.2,.036
8,2012-12-01,,Colorado,W,76,69,24,50,.480,7,25,.280,21,33,.636,8,31,13,7,5,9,13,24,58,.414,9,21,.429,12,15,.800,12,34,11,4,0,17,27,111.8,101.5,68.4,.660,.500,.579,47.7,54.2,10.3,13.5,.550,12.1,26.7,.420,.491,20.7,65.7,.207
9,2012-12-04,@,Illinois State,W,81,67,27,50,.540,5,16,.313,22,24,.917,3,22,12,12,2,11,13,25,50,.500,11,25,.440,6,14,.429,9,28,16,5,3,20,23,117.4,97.1,68.5,.480,.320,.660,44.0,44.4,17.4,8.0,.590,15.2,13.6,.440,.610,26.1,67.9,.120
10,2012-12-08,,Panhandle State,W,74,55,28,59,.475,9,21,.429,9,12,.750,10,31,14,7,4,13,13,21,54,.389,6,17,.353,7,12,.583,9,29,7,7,1,14,14,112.1,83.3,66.2,.203,.356,.572,51.7,50.0,10.6,10.8,.551,16.7,33.3,.153,.444,19.0,70.0,.130
