G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,,Hawaii Pacific,W,76,50,24,57,.421,5,20,.250,23,36,.639,16,43,21,6,6,8,22,16,48,.333,8,16,.500,10,22,.455,10,29,11,3,2,19,28,113.4,74.6,66.8,.632,.351,.513,59.7,87.5,9.0,18.8,.465,9.7,45.7,.404,.417,24.5,73.0,.208
2,2013-11-12,@,UNLV,W,86,65,29,52,.558,9,14,.643,19,26,.731,5,37,14,3,4,9,20,23,63,.365,8,24,.333,11,20,.550,11,30,14,3,3,9,20,124.6,94.2,69.4,.500,.269,.668,55.2,48.3,4.3,10.3,.644,12.3,20.8,.365,.429,11.0,74.4,.175
3,2013-11-16,,Utah State,L,64,71,24,50,.480,6,18,.333,10,18,.556,4,23,17,6,3,10,21,22,52,.423,10,21,.476,17,19,.895,11,35,15,1,0,13,18,100.0,110.9,63.8,.360,.360,.547,39.7,70.8,9.4,9.7,.540,14.6,14.3,.200,.519,17.6,63.3,.327
4,2013-11-21,@,Colorado,L,68,76,26,52,.500,11,28,.393,5,8,.625,5,23,17,9,1,17,26,22,50,.440,4,18,.222,28,36,.778,10,34,12,12,1,13,12,98.6,110.1,69.0,.154,.538,.609,40.4,65.4,13.0,3.1,.606,23.4,17.2,.096,.480,16.2,64.3,.560
5,2013-11-29,,South Dakota State,W,83,64,32,58,.552,6,14,.429,13,17,.765,7,27,24,6,11,7,20,22,51,.431,8,21,.381,12,19,.632,6,26,12,0,1,15,14,122.1,94.1,67.6,.293,.241,.628,50.9,75.0,8.8,36.7,.603,9.6,25.9,.224,.510,20.0,76.9,.235
6,2013-12-03,@,UCLA,L,76,89,28,53,.528,13,26,.500,7,12,.583,8,28,19,4,1,16,23,28,53,.528,6,17,.353,27,36,.750,9,28,19,13,3,7,12,113.4,132.8,67.4,.226,.491,.647,50.0,67.9,6.0,2.8,.651,21.4,29.6,.132,.585,9.1,69.0,.509
7,2013-12-06,,California,W,72,65,27,53,.509,5,14,.357,13,16,.813,12,33,16,5,7,12,16,22,61,.361,7,23,.304,14,17,.824,17,31,16,2,4,10,18,118.0,106.6,61.3,.302,.264,.594,51.6,59.3,8.2,18.4,.557,16.5,46.2,.245,.418,12.6,55.3,.230
8,2013-12-15,@,San Diego,W,72,61,23,43,.535,9,20,.450,17,25,.680,2,25,14,7,5,13,14,24,60,.400,8,26,.308,5,12,.417,13,32,11,4,2,14,20,109.1,92.4,66.3,.581,.465,.656,43.9,60.9,10.6,14.7,.640,19.2,9.5,.395,.467,17.6,63.9,.083
9,2013-12-19,N,Troy,W,57,54,22,48,.458,6,15,.400,7,11,.636,8,33,15,2,9,8,18,15,48,.313,12,28,.429,12,22,.545,9,25,13,4,3,6,14,105.6,100.0,54.3,.229,.313,.535,56.9,68.2,3.7,45.0,.521,13.1,33.3,.146,.438,9.3,73.5,.250
10,2013-12-20,@,Utah State,L (1 OT),71,77,24,61,.393,9,21,.429,14,17,.824,7,25,18,6,2,5,23,23,50,.460,8,20,.400,23,29,.793,11,40,17,3,5,10,16,109.2,118.5,57.7,.279,.344,.514,38.5,75.0,9.2,6.7,.467,6.7,19.4,.230,.540,13.6,62.1,.460
11,2013-12-21,N,Western Illinois,W,61,55,19,53,.358,3,17,.176,20,28,.714,10,34,10,9,8,8,19,20,48,.417,7,17,.412,8,19,.421,10,37,13,2,3,16,19,95.3,85.9,63.7,.528,.321,.460,47.9,52.6,14.1,25.8,.387,10.8,27.0,.377,.490,21.9,70.6,.167
12,2013-12-30,@,Seattle,W,86,70,23,49,.469,6,16,.375,34,39,.872,5,32,16,6,3,12,20,21,63,.333,13,37,.351,15,27,.556,14,36,14,8,2,13,29,114.7,93.3,74.7,.796,.327,.637,47.1,69.6,8.0,11.5,.531,15.1,18.5,.694,.437,14.6,65.9,.238
13,2014-01-04,,Master's,W,81,52,31,62,.500,12,27,.444,7,11,.636,18,45,21,5,4,11,13,19,55,.345,4,19,.211,10,16,.625,10,24,9,5,0,10,15,132.8,85.2,61.4,.177,.435,.602,65.2,67.7,8.2,11.1,.597,14.1,56.3,.113,.382,13.8,73.0,.182
14,2014-01-11,,Cal Poly,L,64,72,22,54,.407,2,17,.118,18,21,.857,14,33,14,2,4,6,15,24,53,.453,11,18,.611,13,17,.765,6,23,14,3,2,3,19,112.3,126.3,57.0,.389,.315,.500,58.9,63.6,3.5,11.4,.426,8.6,45.2,.333,.557,4.7,76.0,.245
15,2014-01-16,,Long Beach State,W,64,51,28,55,.509,6,15,.400,2,6,.333,13,45,16,6,7,18,14,20,67,.299,5,27,.185,6,10,.600,13,28,8,8,0,7,11,100.0,79.7,64.3,.109,.273,.553,61.6,57.1,9.4,17.5,.564,23.7,46.4,.036,.336,8.9,71.1,.090
16,2014-01-18,@,Cal State Northridge,W,79,69,28,54,.519,7,19,.368,16,21,.762,5,30,15,2,5,9,22,20,54,.370,4,12,.333,25,32,.781,9,32,14,4,1,9,20,114.5,100.0,68.6,.389,.352,.617,48.4,53.6,2.9,11.9,.583,12.3,17.9,.296,.407,11.5,73.5,.463
17,2014-01-23,@,UC-Riverside,W (1 OT),68,65,21,52,.404,9,20,.450,17,25,.680,4,30,13,8,2,8,15,23,51,.451,3,21,.143,16,24,.667,6,34,13,6,4,12,17,100.0,95.6,60.6,.481,.385,.532,46.9,61.9,11.8,6.7,.490,11.1,12.5,.327,.480,16.1,81.3,.314
18,2014-01-25,@,Cal State Fullerton,L,72,74,25,54,.463,7,21,.333,15,18,.833,5,28,17,7,4,9,17,27,54,.500,9,20,.450,11,16,.688,3,27,19,5,2,13,17,104.3,107.2,69.1,.333,.389,.576,50.9,68.0,10.1,11.8,.528,12.6,17.2,.278,.583,17.4,88.5,.204
19,2014-01-30,,UC-Irvine,W,80,60,24,49,.490,8,17,.471,24,33,.727,7,36,17,6,3,10,21,20,56,.357,9,29,.310,11,18,.611,10,30,13,4,0,13,22,117.6,88.2,67.6,.673,.347,.618,54.5,70.8,8.8,11.1,.571,13.4,25.9,.490,.438,16.8,74.4,.196
20,2014-02-01,,UC-Davis,W,82,67,29,54,.537,7,18,.389,17,24,.708,12,38,21,2,6,13,20,23,55,.418,8,24,.333,13,25,.520,6,23,14,4,2,9,24,120.6,98.5,68.1,.444,.333,.627,62.3,72.4,2.9,19.4,.602,16.6,41.4,.315,.491,11.9,81.3,.236
21,2014-02-06,@,Hawaii,W,75,64,25,57,.439,8,22,.364,17,26,.654,15,40,10,4,9,12,16,25,68,.368,3,19,.158,11,16,.688,16,35,7,6,2,10,18,110.3,94.1,68.0,.456,.386,.541,53.3,40.0,5.9,18.4,.509,14.8,44.1,.298,.390,11.7,61.0,.162
22,2014-02-13,@,Long Beach State,W,65,64,20,44,.455,4,15,.267,21,31,.677,7,28,11,7,2,14,18,22,51,.431,7,18,.389,13,21,.619,8,27,14,6,0,15,20,97.0,95.5,66.9,.705,.341,.553,50.9,55.0,10.4,6.1,.500,19.3,26.9,.477,.500,19.7,72.4,.255
23,2014-02-15,,Cal State Northridge,L (1 OT),78,80,24,65,.369,7,26,.269,23,31,.742,17,44,16,6,9,17,22,27,63,.429,9,17,.529,17,27,.630,8,32,19,9,1,10,24,98.7,101.3,70.0,.477,.400,.489,57.9,66.7,7.6,19.6,.423,17.6,41.5,.354,.500,11.7,77.1,.270
24,2014-02-20,,UC-Riverside,W,55,54,16,51,.314,4,13,.308,19,23,.826,14,35,10,4,4,9,16,20,48,.417,4,17,.235,10,18,.556,8,29,11,5,7,11,21,94.8,93.1,58.2,.451,.255,.444,54.7,62.5,6.9,12.9,.353,12.7,40.0,.373,.458,16.3,72.4,.208
25,2014-02-22,,Cal State Fullerton,W,80,65,26,46,.565,4,8,.500,24,32,.750,4,33,21,3,4,6,17,21,55,.382,9,23,.391,14,19,.737,5,24,12,0,1,7,18,123.1,100.0,64.6,.696,.174,.654,57.9,80.8,4.6,12.5,.609,8.9,17.4,.522,.464,9.9,85.3,.255
26,2014-02-27,@,UC-Irvine,L,60,71,23,52,.442,8,20,.400,6,14,.429,11,23,11,4,3,10,24,21,47,.447,5,12,.417,24,30,.800,14,35,12,5,6,10,16,105.3,124.6,57.5,.269,.385,.512,39.7,47.8,7.0,8.6,.519,14.6,34.4,.115,.500,14.0,46.2,.511
27,2014-03-01,@,UC-Davis,W,67,54,23,52,.442,4,14,.286,17,24,.708,14,36,15,5,2,12,24,17,44,.386,4,19,.211,16,27,.593,6,17,9,4,2,10,22,109.8,88.5,61.1,.462,.269,.528,67.9,65.2,8.2,8.0,.481,15.9,56.0,.327,.432,15.0,78.6,.364
28,2014-03-06,,Hawaii,W,86,77,24,50,.480,10,16,.625,28,41,.683,8,30,18,5,3,13,14,32,69,.464,6,14,.429,7,14,.500,12,34,18,7,3,10,25,116.2,104.1,74.1,.820,.320,.619,46.9,75.0,6.8,5.5,.580,15.8,26.7,.560,.507,11.7,64.7,.101
29,2014-03-08,@,Cal Poly,W,71,55,25,45,.556,9,16,.563,12,19,.632,3,32,20,3,9,9,17,17,57,.298,8,17,.471,13,16,.813,11,27,12,5,2,6,18,118.3,91.7,59.8,.422,.356,.657,54.2,80.0,5.0,22.5,.656,14.3,15.8,.267,.368,8.5,72.5,.228
30,2014-03-13,N,Cal Poly,L,38,69,16,49,.327,6,19,.316,0,4,.000,9,24,11,1,5,12,17,22,51,.431,8,18,.444,17,20,.850,11,29,14,3,3,4,12,70.4,127.8,53.7,.082,.388,.373,45.3,68.8,1.9,15.2,.388,19.1,33.3,.000,.510,6.2,57.7,.333
