G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,,Johnson University,W,130,51,50,72,.694,13,31,.419,17,19,.895,15,49,25,11,6,11,17,18,56,.321,5,18,.278,10,17,.588,3,12,6,6,0,19,16,164.6,64.6,78.6,.264,.431,.802,80.3,50.0,13.9,15.8,.785,12.0,62.5,.236,.366,22.9,91.9,.179
2,2013-11-10,@,Delaware,W,95,93,34,68,.500,12,24,.500,15,24,.625,14,37,14,9,2,10,17,34,73,.466,12,35,.343,13,15,.867,16,39,14,7,6,12,20,125.0,122.4,75.8,.353,.353,.598,48.7,41.2,11.8,5.3,.588,11.2,37.8,.221,.548,13.0,59.0,.178
3,2013-11-13,,UNC Wilmington,L (1 OT),78,80,25,61,.410,13,33,.394,15,25,.600,13,42,14,4,1,19,18,30,75,.400,6,18,.333,14,18,.778,17,39,12,7,7,9,19,101.3,103.9,68.3,.410,.541,.535,51.9,56.0,5.2,1.8,.516,20.7,37.1,.246,.440,9.7,63.0,.187
4,2013-11-17,@,New Mexico,L,93,109,28,59,.475,15,34,.441,22,24,.917,2,18,19,7,3,12,28,34,57,.596,9,18,.500,32,43,.744,10,36,25,8,6,12,20,116.3,136.3,79.9,.407,.576,.661,33.3,67.9,8.8,7.7,.602,14.6,7.1,.373,.675,13.4,61.5,.561
5,2013-11-20,@,Baylor,L,64,69,22,63,.349,12,26,.462,8,11,.727,9,25,14,1,3,9,20,21,51,.412,7,15,.467,20,26,.769,9,37,15,4,11,13,12,94.1,101.5,67.8,.175,.413,.469,40.3,63.6,1.5,8.3,.444,11.7,24.3,.127,.480,17.0,64.0,.392
6,2013-11-26,,Trinity (FL),W,105,58,32,62,.516,9,19,.474,32,45,.711,19,48,17,9,3,10,12,19,52,.365,8,27,.296,12,17,.706,3,18,8,5,3,18,27,140.0,77.3,75.1,.726,.306,.630,72.7,53.1,12.0,12.0,.589,10.7,55.9,.516,.442,23.1,90.6,.231
7,2013-12-03,,Delaware,L,80,85,27,66,.409,6,25,.240,20,25,.800,7,28,14,7,2,9,20,27,60,.450,11,22,.500,20,26,.769,7,34,10,2,6,15,20,100.0,106.3,80.5,.379,.379,.514,45.2,51.9,8.8,5.3,.455,10.4,20.6,.303,.542,17.2,75.0,.333
8,2013-12-14,@,Alabama,L,45,59,14,43,.326,4,17,.235,13,17,.765,6,28,4,3,2,12,25,15,43,.349,6,20,.300,23,32,.719,8,30,8,10,6,9,15,77.6,101.7,58.7,.395,.395,.441,48.3,28.6,5.2,8.7,.372,19.0,21.4,.302,.419,13.4,73.3,.535
9,2013-12-18,@,Western Carolina,L,84,92,27,63,.429,11,31,.355,19,26,.731,9,32,15,7,3,9,17,29,61,.475,20,35,.571,14,18,.778,9,38,21,3,3,14,20,112.0,122.7,75.0,.413,.492,.557,45.7,55.6,9.3,11.5,.516,10.7,23.7,.302,.639,16.8,71.9,.230
10,2013-12-21,@,Central Arkansas,W (2 OT),97,90,30,72,.417,14,33,.424,23,33,.697,11,44,17,8,2,10,27,33,73,.452,10,17,.588,14,30,.467,13,51,16,4,3,15,26,110.2,102.3,69.5,.458,.458,.553,46.3,56.7,9.1,3.6,.514,10.2,22.4,.319,.521,14.7,71.7,.192
