G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Charlotte,L,75,80,26,61,.426,7,19,.368,16,24,.667,9,31,9,4,2,19,29,25,63,.397,2,17,.118,28,35,.800,14,41,13,12,4,15,21,91.5,97.6,81.5,.393,.311,.518,43.1,34.6,4.9,4.3,.484,20.8,25.0,.262,.413,15.9,61.1,.444
2,2013-11-12,,Morehead State,L,63,71,20,48,.417,4,19,.211,19,28,.679,5,28,14,6,4,13,20,22,60,.367,9,25,.360,18,26,.692,16,39,10,10,1,15,24,90.0,101.4,70.3,.583,.396,.514,41.8,70.0,8.6,11.4,.458,17.5,17.9,.396,.442,17.2,59.0,.300
3,2013-11-16,@,Western Kentucky,L,50,57,13,53,.245,6,18,.333,18,22,.818,9,32,8,9,4,19,30,18,50,.360,4,20,.200,17,32,.531,10,37,6,4,3,23,24,65.8,75.0,75.8,.415,.340,.394,46.4,61.5,11.8,13.3,.302,23.0,25.0,.340,.400,26.1,69.7,.340
4,2013-11-19,,Winthrop,L,66,76,21,46,.457,6,14,.429,18,29,.621,8,30,15,7,3,17,18,29,59,.492,8,17,.471,10,17,.588,9,31,14,7,3,14,23,94.3,108.6,70.4,.630,.304,.552,49.2,71.4,10.0,7.1,.522,22.1,26.7,.391,.559,17.3,71.0,.169
5,2013-11-21,,Samford,W,89,75,28,56,.500,7,19,.368,26,38,.684,13,41,13,4,2,9,24,25,54,.463,6,14,.429,19,29,.655,6,26,8,2,2,8,29,127.1,107.1,69.9,.679,.339,.601,61.2,46.4,5.7,5.0,.563,10.8,39.4,.464,.519,10.6,82.4,.352
6,2013-11-23,,Stephen F. Austin,W,66,58,21,42,.500,4,9,.444,20,27,.741,5,30,5,4,2,17,17,23,59,.390,4,23,.174,8,15,.533,15,32,12,5,2,13,21,101.5,89.2,65.5,.643,.214,.602,48.4,23.8,6.2,5.6,.548,23.7,22.7,.476,.424,16.4,62.5,.136
7,2013-11-27,@,Tennessee Tech,L,83,98,26,51,.510,5,16,.313,26,39,.667,5,23,6,5,2,10,26,30,63,.476,6,21,.286,32,40,.800,16,42,16,8,2,7,28,112.2,132.4,73.8,.765,.314,.597,35.4,23.1,6.8,4.8,.559,12.6,16.1,.510,.524,7.9,52.9,.508
8,2013-11-30,,Marshall,W,88,78,30,56,.536,7,23,.304,21,30,.700,6,36,15,3,3,11,28,27,63,.429,6,30,.200,18,35,.514,13,38,8,2,0,14,27,112.8,100.0,77.9,.536,.411,.626,48.6,50.0,3.8,9.1,.598,13.5,19.4,.375,.476,15.0,69.8,.286
9,2013-12-04,@,Austin Peay,W,80,74,30,64,.469,7,22,.318,13,25,.520,13,38,17,9,4,16,19,25,54,.463,6,18,.333,18,25,.720,7,28,17,6,6,20,18,101.3,93.7,78.5,.391,.344,.527,57.6,56.7,11.4,11.1,.523,17.4,38.2,.203,.519,23.3,78.1,.333
10,2013-12-07,@,Georgia Tech,L,57,87,21,67,.313,4,22,.182,11,15,.733,12,31,13,13,1,15,15,33,65,.508,10,23,.435,11,14,.786,13,46,26,10,7,17,16,75.0,114.5,76.4,.224,.328,.384,40.3,61.9,17.1,2.4,.343,16.8,26.7,.164,.585,19.2,59.4,.169
11,2013-12-16,,Tusculum,W,108,87,35,65,.538,12,29,.414,26,30,.867,15,39,18,6,4,12,20,30,66,.455,11,29,.379,16,23,.696,12,29,17,3,1,13,24,140.3,113.0,77.1,.462,.446,.681,57.4,51.4,7.8,10.8,.631,13.2,46.9,.400,.538,14.5,66.7,.242
12,2013-12-21,,Austin Peay,W,84,79,30,64,.469,7,23,.304,17,20,.850,8,29,12,13,5,12,12,30,61,.492,10,23,.435,9,15,.600,10,37,17,5,1,19,17,109.1,102.6,77.3,.313,.359,.571,43.9,40.0,16.9,13.2,.523,14.0,22.9,.266,.574,21.8,67.7,.148
13,2013-12-29,,Valparaiso,W,73,62,22,57,.386,10,21,.476,19,25,.760,6,25,11,14,7,9,19,23,56,.411,4,19,.211,12,16,.750,15,44,10,5,6,22,23,102.8,87.3,71.2,.439,.368,.530,36.2,50.0,19.7,18.9,.474,11.6,17.1,.333,.446,25.7,55.9,.214
14,2014-01-04,@,Kennesaw State,W,71,55,26,47,.553,7,14,.500,12,19,.632,6,21,10,13,1,16,11,20,50,.400,3,15,.200,12,14,.857,10,27,13,9,2,19,18,107.6,83.3,65.8,.404,.298,.634,43.8,38.5,19.7,2.9,.628,22.2,26.1,.255,.430,25.1,60.0,.240
15,2014-01-06,@,Mercer,L,63,73,23,58,.397,4,17,.235,13,21,.619,11,31,13,6,3,10,24,20,46,.435,8,21,.381,25,31,.806,8,33,12,4,6,13,17,95.5,110.6,66.4,.362,.293,.463,48.4,56.5,9.1,12.0,.431,12.8,30.6,.224,.522,17.6,71.4,.543
