G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,,Albion,W,77,45,30,59,.508,7,15,.467,10,18,.556,11,37,17,6,10,8,19,13,52,.250,3,16,.188,16,19,.842,12,31,6,4,4,14,18,120.3,70.3,63.8,.305,.254,.570,54.4,56.7,9.4,27.8,.568,10.6,36.7,.169,.279,18.7,68.4,.308
2,2013-11-12,,Concordia (MI),W,95,50,31,56,.554,7,11,.636,26,41,.634,11,35,18,14,9,12,20,14,49,.286,8,25,.320,14,18,.778,10,33,8,6,4,28,32,125.0,65.8,76.0,.732,.196,.629,51.5,58.1,18.4,37.5,.616,13.7,32.4,.464,.367,32.7,70.6,.286
3,2013-11-14,,Robert Morris,W,69,64,20,48,.417,1,10,.100,28,42,.667,12,41,10,8,13,16,17,24,64,.375,7,25,.280,9,14,.643,9,32,14,7,3,11,26,95.8,88.9,72.3,.875,.208,.508,56.2,50.0,11.1,33.3,.427,19.1,34.3,.583,.430,13.5,76.3,.141
4,2013-11-18,,Cleveland State,W,81,69,26,48,.542,5,8,.625,24,39,.615,4,31,17,8,13,12,24,20,67,.299,5,27,.185,24,31,.774,20,44,8,6,2,16,34,106.6,90.8,76.1,.813,.167,.609,41.3,65.4,10.5,32.5,.594,15.3,14.3,.500,.336,16.4,57.4,.358
5,2013-11-23,,Texas-Arlington,W,74,69,22,53,.415,8,18,.444,22,28,.786,7,25,13,4,5,6,18,21,44,.477,8,19,.421,19,26,.731,6,30,16,3,5,15,25,113.8,106.2,65.3,.528,.340,.558,45.5,59.1,6.2,20.0,.491,8.3,22.6,.415,.568,21.0,75.0,.432
6,2013-11-27,@,Kentucky,L,63,81,24,66,.364,4,19,.211,11,17,.647,8,26,9,9,4,13,31,25,58,.431,3,16,.188,28,40,.700,17,48,11,3,9,20,17,78.8,101.3,79.5,.258,.288,.425,35.1,37.5,11.3,9.5,.394,14.9,20.5,.167,.457,20.6,51.4,.483
7,2013-12-03,,UMass,L,57,69,23,58,.397,4,14,.286,7,19,.368,10,32,14,9,11,12,14,25,58,.431,5,17,.294,14,19,.737,12,40,16,6,9,14,21,82.6,100.0,69.0,.328,.241,.425,44.4,60.9,13.0,26.8,.431,15.2,26.3,.121,.474,17.3,64.7,.241
8,2013-12-07,@,Purdue,L,64,69,21,50,.420,7,21,.333,15,21,.714,10,33,9,8,1,19,25,20,50,.400,6,21,.286,23,38,.605,13,28,13,10,5,14,21,92.8,100.0,69.0,.420,.420,.534,54.1,42.9,11.6,3.4,.490,24.1,40.0,.300,.460,17.1,63.9,.460
9,2013-12-10,,Green Bay,W,67,58,18,41,.439,3,7,.429,28,39,.718,8,29,9,12,5,11,18,18,51,.353,5,14,.357,17,24,.708,13,33,9,7,4,18,28,103.1,89.2,65.0,.951,.171,.563,46.8,50.0,18.5,13.5,.476,15.6,28.6,.683,.402,22.4,61.8,.333
10,2013-12-21,@,Oakland,W (1 OT),81,79,31,67,.463,8,28,.286,11,17,.647,10,28,18,6,5,5,14,25,66,.379,14,31,.452,15,17,.882,19,40,19,4,3,11,19,119.1,116.2,60.5,.254,.418,.539,41.2,58.1,8.8,14.3,.522,6.2,32.3,.164,.485,12.9,48.6,.227
11,2013-12-28,@,Duke,L,59,82,21,56,.375,4,18,.222,13,23,.565,10,27,9,11,5,15,20,24,60,.400,10,29,.345,24,32,.750,18,44,19,9,5,13,15,83.1,115.5,71.1,.411,.321,.441,38.0,42.9,15.5,16.1,.411,18.3,27.8,.232,.483,14.7,48.6,.400
12,2013-12-31,@,Syracuse,L,48,70,17,54,.315,7,28,.250,7,11,.636,7,25,14,6,1,18,19,26,51,.510,3,14,.214,15,25,.600,7,36,20,10,7,13,12,68.6,100.0,69.6,.204,.519,.405,41.0,82.4,8.6,2.7,.380,23.3,19.4,.130,.539,17.1,72.0,.294
13,2014-01-04,,Rochester (MI),W,92,54,34,57,.596,3,13,.231,21,29,.724,10,40,12,10,2,14,11,20,59,.339,9,39,.231,5,5,1.000,7,24,14,7,2,18,22,124.3,73.0,73.6,.509,.228,.650,62.5,35.3,13.5,10.0,.623,16.5,37.0,.368,.415,22.7,81.1,.085
14,2014-01-08,@,Bowling Green State,W,56,51,17,49,.347,1,7,.143,21,30,.700,5,34,7,12,4,12,23,16,52,.308,3,16,.188,16,28,.571,8,35,6,5,6,16,24,77.8,70.8,71.8,.612,.143,.443,49.3,41.2,16.7,11.1,.357,15.9,15.6,.429,.337,19.7,78.4,.308
15,2014-01-11,@,Buffalo,L,66,76,24,59,.407,3,17,.176,15,18,.833,14,41,10,5,4,17,18,27,68,.397,8,25,.320,14,20,.700,13,35,22,10,4,8,17,91.7,105.6,71.5,.305,.288,.489,53.9,41.7,6.9,9.3,.432,20.1,38.9,.254,.456,9.4,67.5,.206
16,2014-01-14,,Western Michigan,W,56,37,17,47,.362,6,18,.333,16,23,.696,9,27,8,18,6,14,16,12,42,.286,5,20,.250,8,16,.500,11,34,8,8,3,26,20,87.5,57.8,63.8,.489,.383,.483,44.3,47.1,28.1,27.3,.426,19.5,28.1,.340,.345,34.4,62.1,.190
17,2014-01-18,@,Central Michigan,W,72,59,21,48,.438,1,13,.077,29,35,.829,9,35,7,9,2,12,22,19,54,.352,6,26,.231,15,26,.577,11,30,10,7,0,12,25,107.5,88.1,67.5,.729,.271,.557,53.8,33.3,13.4,7.1,.448,15.7,32.1,.604,.407,15.3,70.3,.278
18,2014-01-22,,Akron,L,66,78,26,72,.361,5,21,.238,9,15,.600,15,33,8,5,9,9,21,27,58,.466,10,19,.526,14,22,.636,14,37,19,7,14,13,16,94.3,111.4,70.3,.208,.292,.417,47.1,30.8,7.1,23.1,.396,10.2,39.5,.125,.552,16.0,56.3,.241
19,2014-01-25,,Ohio,L,56,58,19,55,.345,2,10,.200,16,25,.640,12,41,9,5,5,9,17,20,60,.333,10,28,.357,8,16,.500,11,39,14,8,2,9,21,86.2,89.2,64.7,.455,.182,.419,51.3,47.4,7.7,15.6,.364,11.9,30.0,.291,.417,11.7,72.5,.133
20,2014-01-29,,Bowling Green State,W,69,57,24,60,.400,4,14,.286,17,28,.607,14,40,14,10,7,9,16,20,56,.357,8,23,.348,9,14,.643,10,33,13,6,5,17,20,100.0,82.6,69.0,.467,.233,.471,54.8,58.3,14.5,21.2,.433,10.9,37.8,.283,.429,21.3,72.2,.161
21,2014-02-01,@,Miami (OH),L,61,65,21,55,.382,10,24,.417,9,13,.692,5,26,12,9,5,11,19,22,51,.431,8,16,.500,13,16,.813,8,36,15,5,1,18,16,89.7,95.6,67.9,.236,.436,.499,41.9,57.1,13.2,14.3,.473,15.2,15.2,.164,.510,23.5,72.4,.255
22,2014-02-05,@,Akron,L,48,52,18,45,.400,2,11,.182,10,15,.667,9,34,5,8,1,15,18,17,53,.321,3,23,.130,15,20,.750,11,31,11,7,3,11,12,80.0,86.7,60.3,.333,.244,.460,52.3,27.8,13.3,3.3,.422,22.3,31.0,.222,.349,15.0,69.4,.283
23,2014-02-08,,Kent State,W,70,53,21,47,.447,5,12,.417,23,33,.697,5,29,9,5,8,11,16,18,52,.346,4,26,.154,13,18,.722,8,31,8,5,4,15,27,102.9,77.9,68.1,.702,.255,.558,48.3,42.9,7.4,30.8,.500,14.9,17.9,.489,.385,19.9,75.0,.250
24,2014-02-12,@,Ball State,W,73,62,22,48,.458,4,12,.333,25,32,.781,10,26,10,7,8,12,14,22,55,.400,10,22,.455,8,10,.800,15,33,16,5,2,19,21,114.1,96.9,64.5,.667,.250,.578,44.1,45.5,10.9,24.2,.500,16.0,35.7,.521,.491,24.1,51.6,.145
25,2014-02-15,,Toledo,W,65,44,23,50,.460,4,11,.364,15,20,.750,8,37,9,8,9,12,15,14,54,.259,7,25,.280,9,14,.643,10,24,9,5,2,15,18,100.0,67.7,64.6,.400,.220,.546,60.7,39.1,12.3,31.0,.500,16.8,36.4,.300,.324,19.8,74.4,.167
