G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Kansas,L,63,80,21,49,.429,3,10,.300,18,29,.621,4,24,13,4,0,13,31,23,43,.535,7,18,.389,27,43,.628,8,35,17,9,5,15,27,88.7,112.7,71.1,.592,.204,.502,40.7,61.9,5.6,0.0,.459,17.2,12.9,.367,.616,19.1,71.4,.628
2,2013-11-18,,Samford,W,86,52,34,67,.507,6,19,.316,12,18,.667,12,40,19,11,5,10,16,22,57,.386,1,15,.067,7,12,.583,7,29,9,6,2,15,18,119.4,72.2,72.1,.269,.284,.569,58.0,55.9,15.3,11.9,.552,11.7,35.3,.179,.395,19.3,80.0,.123
3,2013-11-21,@,Northwestern State,W (1 OT),84,80,29,54,.537,4,11,.364,22,35,.629,7,44,17,8,3,29,23,30,80,.375,4,17,.235,16,29,.552,18,39,12,15,8,15,25,91.3,87.0,81.5,.648,.204,.595,53.0,58.6,8.7,4.8,.574,29.1,25.0,.407,.400,13.8,67.3,.200
4,2013-12-09,,Thomas University,W,84,61,28,47,.596,5,11,.455,23,31,.742,10,39,17,8,6,20,12,26,67,.388,3,20,.150,6,9,.667,11,21,8,8,0,11,23,116.7,84.7,71.5,.660,.234,.680,65.0,60.7,11.1,12.8,.649,24.5,50.0,.489,.410,13.4,72.5,.090
5,2013-12-14,@,LSU,L,54,61,20,56,.357,2,12,.167,12,15,.800,9,32,12,10,3,12,16,23,53,.434,5,18,.278,10,19,.526,10,36,12,8,8,14,14,81.8,92.4,66.1,.268,.214,.428,47.1,60.0,15.2,8.6,.375,16.0,25.7,.214,.481,18.4,69.7,.189
6,2013-12-18,@,Ole Miss,L,62,75,25,66,.379,7,17,.412,5,10,.500,17,40,15,8,3,17,21,22,54,.407,10,25,.400,21,27,.778,3,26,15,13,7,12,11,84.9,102.7,73.3,.152,.258,.438,60.6,60.0,11.0,10.3,.432,19.4,42.5,.076,.500,15.2,88.5,.389
7,2013-12-22,,Louisiana Tech,L,61,83,24,62,.387,5,14,.357,8,14,.571,11,32,11,9,2,16,14,32,56,.571,9,18,.500,10,14,.714,5,32,20,9,9,14,11,83.6,113.7,72.7,.226,.226,.444,50.0,45.8,12.3,5.3,.427,18.9,28.9,.129,.652,18.3,80.8,.179
8,2013-12-27,@,Ohio State,L,31,71,10,54,.185,3,18,.167,8,9,.889,15,33,4,1,1,14,21,23,52,.442,8,23,.348,17,20,.850,11,38,14,5,6,9,14,53.4,122.4,58.4,.167,.333,.266,46.5,40.0,1.7,3.4,.213,19.4,35.7,.148,.519,12.8,62.1,.327
9,2014-01-04,,Louisiana,W (2 OT),103,98,37,79,.468,5,20,.250,24,43,.558,20,50,14,7,11,13,24,32,75,.427,9,24,.375,25,35,.714,9,37,21,10,6,13,31,109.6,104.3,75.2,.544,.253,.518,57.5,37.8,7.4,21.6,.500,11.6,41.7,.304,.487,12.4,76.9,.333
10,2014-01-09,@,Texas-Arlington,L (1 OT),79,83,33,64,.516,10,23,.435,3,9,.333,10,36,19,7,4,14,19,29,65,.446,13,29,.448,12,24,.500,15,38,16,6,6,11,12,109.7,115.3,64.3,.141,.359,.579,48.6,57.6,9.7,11.1,.594,17.0,30.3,.047,.546,12.6,63.4,.185
11,2014-01-11,,Texas State,L,36,61,14,53,.264,4,20,.200,4,14,.286,12,25,7,6,0,10,11,24,42,.571,6,11,.545,7,7,1.000,3,32,11,3,3,11,12,65.5,110.9,55.5,.264,.377,.302,43.9,50.0,10.9,0.0,.302,14.4,29.3,.075,.643,19.5,81.3,.167
12,2014-01-16,@,Troy,W,75,64,26,50,.520,9,14,.643,14,17,.824,8,23,14,3,2,8,18,22,47,.468,6,21,.286,14,22,.636,12,27,8,4,1,11,16,131.6,112.3,57.3,.340,.280,.646,46.0,53.8,5.3,7.7,.610,12.1,34.8,.280,.532,16.1,55.6,.298
13,2014-01-18,@,South Alabama,W,64,58,21,50,.420,5,16,.313,17,25,.680,7,29,12,5,3,6,20,19,59,.322,4,27,.148,16,23,.696,22,43,5,3,4,10,23,108.5,98.3,59.4,.500,.320,.517,40.3,57.1,8.5,9.4,.470,8.8,25.0,.340,.356,12.5,50.0,.271
14,2014-01-23,,Western Kentucky,L,51,69,17,44,.386,3,16,.188,14,26,.538,7,24,10,7,2,10,13,25,49,.510,8,12,.667,11,15,.733,8,32,14,6,3,12,21,85.0,115.0,59.7,.591,.364,.453,42.9,58.8,11.7,5.4,.420,15.1,22.6,.318,.592,17.6,68.0,.224
