G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Rhode Island,L,77,97,28,67,.418,4,22,.182,17,24,.708,4,23,8,8,0,13,31,30,64,.469,4,21,.190,33,49,.673,19,54,15,7,3,14,22,90.6,114.1,84.8,.358,.328,.491,29.9,28.6,9.4,0.0,.448,14.2,10.3,.254,.500,13.8,50.0,.516
2,2013-11-10,,Fisher College,W,111,64,44,74,.595,10,20,.500,13,21,.619,13,44,29,13,6,16,13,21,69,.304,9,31,.290,13,14,.929,12,25,14,9,1,21,18,129.1,74.4,86.7,.284,.270,.661,63.8,65.9,15.1,15.8,.662,16.0,50.0,.176,.370,21.7,72.1,.188
3,2013-11-12,@,George Washington,L,81,108,32,74,.432,5,19,.263,12,24,.500,15,36,14,11,2,11,24,38,70,.543,11,28,.393,21,28,.750,16,47,21,3,9,13,19,100.0,133.3,80.9,.324,.257,.474,43.4,43.8,13.6,4.8,.466,11.4,32.6,.162,.621,13.5,56.8,.300
4,2013-11-19,,NJIT,L,82,88,29,68,.426,13,34,.382,11,20,.550,6,33,19,6,3,10,21,29,60,.483,8,14,.571,22,28,.786,4,36,15,5,4,9,16,102.5,110.0,79.9,.294,.500,.529,47.8,65.5,7.5,6.5,.522,11.4,15.8,.162,.550,10.9,87.1,.367
5,2013-11-25,,Quinnipiac,L,61,102,19,53,.358,3,16,.188,20,35,.571,3,24,9,6,3,15,27,37,80,.463,5,18,.278,23,28,.821,22,55,11,7,3,11,22,74.4,124.4,82.0,.660,.302,.438,30.4,47.4,7.3,4.8,.387,17.7,8.3,.377,.494,10.5,48.8,.288
6,2013-12-01,,Dartmouth,L,56,81,20,49,.408,4,13,.308,12,19,.632,7,26,14,4,0,13,21,30,62,.484,4,14,.286,17,23,.739,13,36,15,8,2,7,17,86.2,124.6,65.5,.388,.265,.483,41.9,70.0,6.2,0.0,.449,18.3,23.3,.245,.516,8.8,59.4,.274
7,2013-12-04,@,NJIT,L,72,81,24,66,.364,8,26,.308,16,23,.696,11,31,14,13,4,13,22,27,57,.474,8,19,.421,19,28,.679,12,45,17,7,4,23,19,90.0,101.3,80.1,.348,.394,.468,40.8,58.3,16.3,10.5,.424,14.5,25.0,.242,.544,24.7,62.5,.333
8,2013-12-06,@,UConn,L,68,95,22,54,.407,6,17,.353,18,26,.692,6,24,12,7,0,14,19,32,60,.533,14,25,.560,17,28,.607,9,38,23,9,6,12,21,90.7,126.7,75.3,.481,.315,.512,38.7,54.5,9.3,0.0,.463,17.4,17.1,.333,.650,14.1,66.7,.283
9,2013-12-13,,Army,L,80,90,30,58,.517,6,12,.500,14,20,.700,8,29,14,6,5,18,23,29,64,.453,10,21,.476,22,30,.733,13,35,19,8,3,12,16,103.9,116.9,77.4,.345,.207,.593,45.3,46.7,7.8,11.6,.569,21.1,26.7,.241,.531,13.3,61.8,.344
10,2013-12-21,@,Providence,L,70,94,29,57,.509,5,14,.357,7,10,.700,3,20,11,6,5,14,13,37,77,.481,11,29,.379,9,10,.900,21,43,21,8,4,12,13,95.9,128.8,72.8,.175,.246,.567,31.7,37.9,8.2,10.4,.553,18.5,12.0,.123,.552,12.8,44.7,.117
11,2013-12-29,N,Middle Tennessee,W (1 OT),89,85,32,66,.485,14,22,.636,11,18,.611,7,32,17,9,1,14,23,32,75,.427,5,25,.200,16,29,.552,19,49,19,5,11,13,22,108.5,103.7,73.0,.273,.333,.597,39.5,53.1,11.0,2.0,.591,15.8,18.9,.167,.460,12.8,56.8,.213
12,2013-12-30,N,Chattanooga,L,80,86,31,66,.470,9,22,.409,9,13,.692,9,33,19,9,2,14,22,31,60,.517,11,25,.440,13,27,.481,11,40,20,8,3,14,13,103.9,111.7,76.5,.197,.333,.554,45.2,61.3,11.7,5.7,.538,16.2,23.7,.136,.608,16.1,68.6,.217
13,2014-01-05,,Binghamton,W,82,66,30,68,.441,8,24,.333,14,22,.636,10,45,22,14,5,16,20,25,67,.373,4,24,.167,12,22,.545,8,36,13,7,1,19,22,95.3,76.7,86.5,.324,.353,.523,55.6,73.3,16.3,11.6,.500,16.9,26.3,.206,.403,19.7,81.4,.179
14,2014-01-09,@,Hartford,L,65,80,25,54,.463,6,16,.375,9,17,.529,7,34,7,7,2,16,21,32,66,.485,6,22,.273,10,20,.500,10,34,21,5,1,9,14,89.0,109.6,72.8,.315,.296,.524,50.0,28.0,9.6,4.5,.519,20.5,22.6,.167,.530,10.7,73.0,.152
15,2014-01-11,@,UMBC,L,76,79,28,51,.549,7,15,.467,13,22,.591,5,32,15,3,1,20,22,29,76,.382,4,26,.154,17,26,.654,16,37,11,12,0,4,20,100.0,103.9,76.4,.431,.294,.618,46.4,53.6,3.9,2.0,.618,24.6,19.2,.255,.408,4.3,62.8,.224
16,2014-01-16,,Vermont,L,46,83,16,45,.356,3,15,.200,11,15,.733,5,15,8,7,1,20,19,33,57,.579,7,17,.412,10,14,.714,12,38,20,9,5,19,15,66.7,120.3,68.9,.333,.333,.441,28.3,50.0,10.1,2.5,.389,27.7,16.1,.244,.640,23.0,45.5,.175
17,2014-01-18,,Albany (NY),L,78,85,29,55,.527,5,16,.313,15,19,.789,7,30,17,3,3,15,23,28,53,.528,4,11,.364,25,32,.781,4,17,14,9,4,11,17,105.4,114.9,73.6,.345,.291,.609,63.8,58.6,4.1,7.1,.573,19.0,35.0,.273,.566,13.9,85.2,.472
18,2014-01-23,,UMass-Lowell,L,62,74,22,53,.415,4,21,.190,14,19,.737,7,26,13,7,3,16,20,26,57,.456,4,17,.235,18,20,.900,12,39,15,4,3,16,20,87.3,104.2,70.8,.358,.396,.500,40.0,59.1,9.9,7.5,.453,20.5,20.6,.264,.491,19.4,61.3,.316
19,2014-01-26,@,Stony Brook,L,61,79,23,56,.411,6,19,.316,9,15,.600,3,21,16,10,0,18,21,31,60,.517,5,15,.333,12,19,.632,8,38,15,10,4,14,13,79.2,102.6,76.6,.268,.339,.483,35.6,69.6,13.0,0.0,.464,22.2,9.1,.161,.558,16.9,69.2,.200
20,2014-01-29,@,New Hampshire,W,68,60,25,61,.410,3,17,.176,15,21,.714,8,34,12,11,0,12,12,25,62,.403,6,16,.375,4,7,.571,9,33,8,7,5,16,19,91.9,81.1,73.7,.344,.279,.479,50.7,48.0,14.9,0.0,.434,14.5,25.0,.246,.452,19.7,74.3,.065
21,2014-02-01,,UMBC,W,83,80,27,57,.474,9,18,.500,20,30,.667,9,39,19,6,7,14,29,26,61,.426,7,19,.368,21,40,.525,10,35,11,7,7,11,23,105.1,101.3,78.6,.526,.316,.582,52.7,70.4,7.6,16.7,.553,16.4,26.5,.351,.484,12.1,75.0,.344
22,2014-02-04,@,Vermont,L,65,93,24,57,.421,10,21,.476,7,11,.636,6,22,10,5,2,13,15,38,63,.603,8,18,.444,9,11,.818,11,37,17,9,10,8,11,97.0,138.8,67.2,.193,.368,.522,37.3,41.7,7.5,4.4,.509,17.3,18.8,.123,.667,10.5,59.3,.143
23,2014-02-08,@,Binghamton,L,58,73,23,64,.359,6,20,.300,6,9,.667,9,29,12,4,1,11,22,25,58,.431,6,16,.375,17,25,.680,13,45,9,8,3,11,13,84.1,105.8,69.1,.141,.313,.425,39.2,52.2,5.8,2.4,.406,13.9,22.0,.094,.483,13.6,60.6,.293
24,2014-02-12,,Hartford,L,79,91,28,53,.528,7,18,.389,16,23,.696,6,28,15,6,1,18,24,31,53,.585,13,24,.542,16,24,.667,5,23,21,7,0,13,21,106.8,123.0,74.2,.434,.340,.618,54.9,53.6,8.1,3.4,.594,22.0,25.0,.302,.708,16.8,81.5,.302
25,2014-02-15,@,Albany (NY),L,63,74,23,58,.397,5,17,.294,12,13,.923,10,28,12,5,2,17,17,27,60,.450,9,14,.643,11,13,.846,10,33,15,4,2,14,16,88.7,104.2,70.7,.224,.293,.491,45.9,52.2,7.0,4.3,.440,20.9,30.3,.207,.525,17.5,64.3,.183
26,2014-02-23,,Stony Brook,L,79,83,28,53,.528,5,14,.357,18,23,.783,4,27,17,4,0,15,20,30,66,.455,4,15,.267,19,23,.826,11,31,13,8,0,8,22,106.8,112.2,74.4,.434,.264,.618,46.6,60.7,5.4,0.0,.575,19.0,16.7,.340,.485,9.4,67.6,.288
27,2014-02-27,@,UMass-Lowell,L,72,84,31,66,.470,4,17,.235,6,10,.600,11,30,20,11,1,15,22,28,52,.538,8,23,.348,20,29,.690,8,33,21,7,4,14,13,98.6,115.1,73.3,.152,.258,.509,47.6,64.5,15.1,3.4,.500,17.5,30.6,.091,.615,17.5,70.4,.385
28,2014-03-02,,New Hampshire,W,73,69,20,54,.370,4,19,.211,29,36,.806,10,30,15,9,4,12,18,22,52,.423,9,20,.450,16,29,.552,9,33,14,5,1,18,25,98.6,93.2,73.9,.667,.352,.513,47.6,75.0,12.2,12.5,.407,14.4,29.4,.537,.510,21.5,69.0,.308
29,2014-03-08,N,Stony Brook,L,54,80,17,55,.309,3,19,.158,17,19,.895,7,27,8,10,2,23,22,27,63,.429,4,16,.250,22,29,.759,12,39,13,12,7,16,17,67.5,100.0,80.0,.345,.345,.422,40.9,47.1,12.5,4.3,.336,26.4,20.6,.309,.460,17.2,62.5,.349
