G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-10,N,Boston College,W,86,73,32,66,.485,6,11,.545,16,24,.667,17,37,9,10,3,13,21,24,55,.436,8,20,.400,17,22,.773,8,25,14,5,4,16,23,117.8,100.0,73.4,.364,.167,.556,59.7,28.1,13.7,8.6,.530,14.4,50.0,.242,.509,19.6,71.4,.309
2,2013-11-12,,LSU,W,92,90,29,61,.475,6,13,.462,28,40,.700,10,38,17,5,5,13,25,34,76,.447,7,22,.318,15,25,.600,14,40,19,7,8,13,29,108.2,105.9,84.9,.656,.213,.575,48.7,58.6,5.9,9.3,.525,14.0,27.8,.459,.493,12.9,66.7,.197
3,2013-11-17,,Youngstown State,W,85,69,32,58,.552,4,14,.286,17,25,.680,6,43,23,6,7,19,18,28,76,.368,5,26,.192,8,12,.667,10,28,14,9,3,10,22,103.7,84.1,82.3,.431,.241,.608,60.6,71.9,7.3,14.0,.586,21.4,25.0,.293,.401,10.9,78.7,.105
4,2013-11-21,N,Nebraska,W,96,90,30,60,.500,3,11,.273,33,43,.767,15,38,10,5,4,16,27,28,66,.424,5,16,.313,29,39,.744,16,32,6,10,5,13,34,118.5,111.1,81.5,.717,.183,.597,54.3,33.3,6.2,8.0,.525,16.6,48.4,.550,.462,13.3,59.0,.439
5,2013-11-22,N,New Mexico,W,81,65,32,74,.432,7,17,.412,10,14,.714,15,39,13,8,8,13,15,25,64,.391,5,18,.278,10,14,.714,13,33,13,6,12,18,16,105.2,84.4,77.2,.189,.230,.502,54.2,40.6,10.4,17.4,.480,13.9,42.9,.135,.430,20.3,64.9,.156
6,2013-11-24,N,Clemson,W,62,56,25,63,.397,4,13,.308,8,13,.615,15,39,9,5,6,14,13,21,59,.356,4,12,.333,10,17,.588,11,36,8,6,8,14,14,89.9,81.2,69.1,.206,.206,.448,52.0,36.0,7.2,12.8,.429,16.8,37.5,.127,.390,17.3,68.6,.169
7,2013-12-03,@,Eastern Michigan,W,69,57,25,58,.431,5,17,.294,14,19,.737,12,40,16,6,9,14,21,23,58,.397,4,14,.286,7,19,.368,10,32,14,9,11,12,14,100.0,82.6,69.0,.328,.293,.515,55.6,64.0,8.7,20.5,.474,17.3,35.3,.241,.431,15.2,73.7,.121
8,2013-12-07,N,BYU,W,105,96,35,63,.556,9,23,.391,26,31,.839,2,24,29,4,6,14,24,33,68,.485,4,13,.308,26,33,.788,9,31,15,3,1,11,24,119.3,109.1,87.7,.492,.365,.675,43.6,82.9,4.5,10.9,.627,15.3,8.3,.413,.515,11.6,71.0,.382
9,2013-12-14,,Northern Illinois,W,80,54,29,58,.500,9,19,.474,13,21,.619,11,35,22,7,3,12,16,20,54,.370,5,14,.357,9,17,.529,8,27,11,6,7,10,18,119.4,80.6,66.5,.362,.328,.588,56.5,75.9,10.4,7.5,.578,15.0,36.7,.224,.417,13.9,75.0,.167
10,2013-12-18,@,Ohio,W,83,71,32,52,.615,9,14,.643,10,19,.526,7,34,20,5,6,15,16,28,67,.418,5,21,.238,10,17,.588,11,32,17,9,3,8,18,116.9,100.0,70.6,.365,.269,.680,51.5,62.5,7.0,13.0,.702,19.7,25.0,.192,.455,9.6,71.1,.149
11,2013-12-21,N,Florida State,L,55,60,20,60,.333,1,15,.067,14,24,.583,8,36,8,8,6,17,20,24,65,.369,1,7,.143,11,18,.611,14,42,11,4,12,17,19,70.5,76.9,78.5,.400,.250,.385,46.2,40.0,10.3,10.3,.342,19.2,22.2,.233,.377,18.8,66.7,.169
12,2013-12-28,,Providence,W (1 OT),69,67,27,69,.391,6,19,.316,9,18,.500,14,42,17,4,4,14,19,24,61,.393,2,13,.154,17,22,.773,7,32,18,6,11,11,16,89.6,87.0,68.0,.261,.275,.445,56.8,63.0,5.2,8.3,.435,15.3,35.9,.130,.410,13.3,80.0,.279
13,2014-01-04,,Miami (OH),W,73,65,25,49,.510,7,16,.438,16,23,.696,5,26,21,9,7,15,10,30,62,.484,1,14,.071,4,6,.667,12,28,21,10,1,15,18,105.8,94.2,68.9,.469,.327,.609,48.1,84.0,13.0,14.6,.582,20.0,23.8,.327,.492,18.8,63.6,.065
14,2014-01-08,,St. Joseph's,W,66,62,24,55,.436,5,15,.333,13,21,.619,5,24,14,5,4,8,15,23,47,.489,6,18,.333,10,17,.588,7,33,15,3,5,17,15,98.5,92.5,66.5,.382,.273,.508,42.1,58.3,7.5,13.8,.482,11.0,16.1,.236,.553,23.6,73.1,.213
15,2014-01-11,,St. Bonaventure,W,73,68,23,51,.451,3,13,.231,24,32,.750,9,25,19,9,4,17,20,27,54,.500,2,9,.222,12,16,.750,10,27,16,6,8,19,25,101.4,94.4,72.4,.627,.255,.551,48.1,82.6,12.5,8.9,.480,20.4,34.6,.471,.519,23.6,61.5,.222
