G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Texas,L,73,76,25,63,.397,10,30,.333,13,21,.619,12,32,17,7,4,13,22,26,59,.441,7,15,.467,17,28,.607,11,38,14,4,7,13,18,98.6,102.7,74.1,.333,.476,.500,45.7,68.0,9.5,9.1,.476,15.1,30.8,.206,.500,15.2,64.5,.288
2,2013-11-13,,Reinhardt,W,95,53,39,74,.527,6,19,.316,11,18,.611,23,53,20,3,6,11,14,18,68,.265,8,35,.229,9,13,.692,10,28,9,7,2,12,19,130.1,72.6,73.4,.243,.257,.575,65.4,51.3,4.1,18.2,.568,11.8,56.1,.149,.324,13.9,75.0,.132
3,2013-11-16,,Seton Hall,W (2 OT),77,74,28,61,.459,8,22,.364,13,18,.722,7,31,13,6,6,21,20,26,59,.441,5,20,.250,17,30,.567,10,34,11,15,1,23,22,90.6,87.1,67.9,.295,.361,.554,47.7,46.4,7.1,15.4,.525,23.2,22.6,.213,.483,23.9,70.6,.288
4,2013-11-18,@,Evansville,L,76,89,25,58,.431,7,21,.333,19,25,.760,10,27,14,6,1,12,28,27,50,.540,4,10,.400,31,38,.816,7,32,17,3,3,11,23,105.6,123.6,72.0,.431,.362,.544,45.8,56.0,8.3,2.5,.491,14.7,28.6,.328,.580,13.9,70.8,.620
5,2013-11-20,,Johnson & Wales (NC),W,109,56,35,59,.593,7,21,.333,32,43,.744,15,53,24,4,6,10,12,18,64,.281,11,37,.297,9,13,.692,6,18,9,5,1,5,26,151.4,77.8,71.8,.729,.356,.686,74.6,68.6,5.6,22.2,.653,11.2,55.6,.542,.367,6.7,86.4,.141
6,2013-11-23,,Yale,W,81,54,29,53,.547,12,23,.522,11,15,.733,5,33,18,5,7,14,19,20,52,.385,2,12,.167,12,21,.571,7,24,7,12,1,11,17,119.1,79.4,67.6,.283,.434,.674,57.9,62.1,7.4,17.5,.660,18.9,22.7,.208,.404,15.1,80.0,.231
7,2013-11-26,@,Ohio,L,67,76,22,51,.431,5,16,.313,18,24,.750,5,24,11,5,2,14,23,22,58,.379,5,20,.250,27,32,.844,16,38,12,4,3,9,20,97.1,110.1,68.8,.471,.314,.537,38.7,50.0,7.2,5.3,.480,18.3,18.5,.353,.422,10.9,54.3,.466
8,2013-11-29,@,Valparaiso,W (3 OT),117,108,36,78,.462,10,21,.476,35,41,.854,12,37,28,9,4,14,28,35,74,.473,9,29,.310,29,32,.906,10,40,19,6,0,20,29,118.2,109.1,72.2,.526,.269,.600,48.1,77.8,9.1,8.9,.526,12.6,28.6,.449,.534,18.3,71.4,.392
9,2013-12-02,@,Oklahoma,L,82,96,27,62,.435,8,28,.286,20,23,.870,13,34,17,2,1,12,21,30,59,.508,10,22,.455,26,30,.867,8,31,17,8,1,8,21,112.3,131.5,72.6,.371,.452,.562,52.3,63.0,2.7,2.7,.500,14.1,36.1,.323,.593,9.8,72.4,.441
10,2013-12-07,,Denver,W (1 OT),64,63,25,52,.481,4,15,.267,10,17,.588,9,40,15,3,6,14,20,22,56,.393,7,23,.304,12,23,.522,7,24,14,7,5,5,18,98.5,96.9,57.8,.327,.288,.533,62.5,60.0,4.6,18.2,.519,18.9,34.6,.192,.455,7.0,81.6,.214
11,2013-12-16,,Alcorn State,W,70,44,23,44,.523,5,12,.417,19,24,.792,4,38,18,4,7,13,12,15,62,.242,3,20,.150,11,18,.611,13,29,2,6,8,11,20,106.1,66.7,66.5,.545,.273,.632,56.7,78.3,6.1,16.7,.580,19.0,20.0,.432,.266,13.5,72.3,.177
12,2013-12-22,@,Ole Miss,W,79,76,26,60,.433,6,20,.300,21,26,.808,10,31,12,4,3,13,20,27,61,.443,7,24,.292,15,23,.652,15,35,14,4,9,13,19,108.2,104.1,72.6,.433,.333,.546,47.0,46.2,5.5,8.1,.483,15.2,33.3,.350,.500,15.3,58.3,.246
13,2013-12-27,,St. Andrews,W,98,56,33,59,.559,8,22,.364,24,33,.727,16,44,24,6,1,7,11,23,54,.426,5,23,.217,5,7,.714,2,15,11,1,2,9,19,150.8,86.2,65.0,.559,.373,.656,74.6,72.7,9.2,3.2,.627,8.6,55.2,.407,.472,13.6,93.3,.093
14,2013-12-30,@,Jacksonville,W,86,49,31,45,.689,10,16,.625,14,21,.667,4,36,21,6,4,17,19,16,59,.271,1,17,.059,16,20,.800,10,25,9,7,3,10,18,126.5,72.1,68.2,.467,.356,.782,59.0,67.7,8.8,9.5,.800,23.6,21.1,.311,.280,12.7,76.2,.271
15,2014-01-01,@,North Florida,L,83,89,29,64,.453,8,18,.444,17,27,.630,11,33,10,5,3,11,29,27,50,.540,10,19,.526,25,42,.595,11,38,17,5,2,16,25,109.2,117.1,75.9,.422,.281,.540,46.5,34.5,6.6,9.7,.516,12.5,28.9,.266,.640,18.6,66.7,.500
16,2014-01-04,,USC Upstate,W (1 OT),62,60,23,57,.404,6,20,.300,10,17,.588,7,28,15,4,3,11,15,21,54,.389,7,20,.350,11,17,.647,15,40,13,6,4,16,20,93.9,90.9,58.7,.298,.351,.476,41.2,65.2,6.1,8.8,.456,14.5,21.9,.175,.454,20.5,58.3,.204
