G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,,Emporia State,L,76,81,19,53,.358,3,14,.214,35,53,.660,14,37,8,14,2,20,21,29,63,.460,5,13,.385,18,23,.783,10,34,14,6,8,20,30,90.5,96.4,84.1,1.000,.264,.486,52.1,42.1,16.7,4.0,.387,20.4,36.8,.660,.500,21.3,69.7,.286
2,2013-11-11,@,Creighton,L,70,96,29,77,.377,7,24,.292,5,9,.556,9,32,13,10,2,8,23,35,68,.515,13,28,.464,13,21,.619,13,48,27,3,5,14,9,87.5,120.0,79.6,.117,.312,.431,40.0,44.8,12.5,5.0,.422,9.0,20.5,.065,.610,15.2,63.9,.191
3,2013-11-13,@,Omaha,L,71,101,27,66,.409,1,11,.091,16,23,.696,11,34,10,15,3,20,26,32,60,.533,8,20,.400,29,35,.829,6,35,23,11,6,16,18,82.6,117.4,86.3,.348,.167,.461,49.3,37.0,17.4,7.5,.417,20.6,27.5,.242,.600,17.3,79.3,.483
4,2013-11-20,@,UT-Martin,W,79,67,29,50,.580,7,15,.467,14,22,.636,4,32,22,8,3,21,22,21,65,.323,7,24,.292,18,23,.783,15,34,13,6,2,17,22,101.3,85.9,77.7,.440,.300,.653,48.5,75.9,10.3,7.3,.650,25.8,17.4,.280,.377,18.3,65.1,.277
5,2013-11-25,@,Iowa State,L,51,110,18,61,.295,3,22,.136,12,24,.500,6,29,10,6,1,16,28,36,70,.514,12,32,.375,26,39,.667,14,56,24,9,6,11,16,60.7,131.0,84.0,.393,.361,.352,34.1,55.6,7.1,2.6,.320,18.1,12.5,.197,.600,11.1,62.2,.371
6,2013-11-30,,Milwaukee,L,79,84,31,55,.564,1,10,.100,16,27,.593,7,20,9,12,1,13,30,26,40,.650,8,15,.533,24,34,.706,4,23,15,6,1,19,23,109.7,116.7,72.5,.491,.182,.582,46.5,29.0,16.7,4.0,.573,16.1,26.9,.291,.750,25.3,76.5,.600
7,2013-12-04,@,Louisville,L,62,90,23,50,.460,5,17,.294,11,17,.647,4,29,8,5,0,20,16,33,77,.429,10,31,.323,14,20,.700,22,48,19,14,3,9,16,83.8,121.6,73.8,.340,.340,.534,37.7,34.8,6.8,0.0,.510,25.6,13.3,.220,.494,9.4,53.2,.182
8,2013-12-07,,Youngstown State,W,88,80,30,54,.556,6,11,.545,22,35,.629,9,33,15,6,1,16,14,30,56,.536,7,20,.350,13,19,.684,5,21,13,8,5,12,23,117.3,106.7,74.8,.648,.204,.623,61.1,50.0,8.0,2.8,.611,18.5,36.0,.407,.598,15.6,82.8,.232
9,2013-12-14,,Indiana State,L,63,74,20,57,.351,3,19,.158,20,33,.606,9,29,7,7,4,11,21,25,53,.472,4,10,.400,20,29,.690,8,37,11,4,6,15,24,85.1,100.0,74.2,.579,.333,.433,43.9,35.0,9.5,9.3,.377,13.1,23.7,.351,.509,18.3,71.4,.377
10,2013-12-18,,Miami (OH),W,69,55,26,57,.456,8,27,.296,9,13,.692,4,30,17,8,3,15,18,20,49,.408,3,13,.231,12,18,.667,9,34,9,5,5,24,16,94.5,75.3,73.4,.228,.474,.546,46.9,65.4,11.0,8.3,.526,19.2,13.8,.158,.439,29.4,74.3,.245
