G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-09,@,Texas Southern,L,83,95,32,72,.444,8,19,.421,11,15,.733,18,36,19,3,6,10,25,33,56,.589,8,17,.471,21,32,.656,8,29,21,2,7,6,14,118.6,135.7,70.2,.208,.264,.524,55.4,59.4,4.3,15.4,.500,11.2,46.2,.153,.661,7.8,69.2,.375
2,2013-11-13,,Newberry,W,115,95,41,68,.603,7,17,.412,26,35,.743,14,41,22,7,4,16,24,30,73,.411,16,40,.400,19,23,.826,12,26,18,7,3,15,29,132.2,109.2,86.8,.515,.250,.679,61.2,53.7,8.0,12.1,.654,15.9,50.0,.382,.521,15.2,69.2,.260
3,2013-11-15,,Virginia Union,W,92,84,30,57,.526,9,21,.429,23,31,.742,8,33,13,4,9,15,26,30,64,.469,3,15,.200,21,34,.618,14,34,10,8,4,13,21,116.5,106.3,78.9,.544,.368,.641,49.3,43.3,5.1,18.4,.605,17.3,28.6,.404,.492,14.0,64.1,.328
4,2013-11-18,N,East Carolina,L,74,76,31,67,.463,2,14,.143,10,20,.500,14,39,12,11,4,14,25,21,47,.447,10,25,.400,24,38,.632,5,31,12,10,4,17,20,96.1,98.7,76.8,.299,.209,.484,55.7,38.7,14.3,18.2,.478,15.5,35.0,.149,.553,20.7,83.3,.511
5,2013-11-19,N,UNC Asheville,W,80,78,31,54,.574,7,16,.438,11,16,.688,8,21,19,4,1,4,21,26,58,.448,8,22,.364,18,24,.750,19,39,14,1,1,9,16,135.6,132.2,58.5,.296,.296,.649,35.0,61.3,6.8,2.8,.639,6.1,28.6,.204,.517,11.5,40.6,.310
6,2013-11-25,N,Fairleigh Dickinson,W,70,62,24,54,.444,3,12,.250,19,26,.731,13,38,11,7,7,13,19,21,59,.356,4,21,.190,16,21,.762,12,28,8,10,3,13,20,102.9,91.2,68.2,.481,.222,.528,57.6,45.8,10.3,18.4,.472,16.4,44.8,.352,.390,15.9,67.6,.271
7,2013-11-26,N,Stillman,W,105,83,41,66,.621,3,6,.500,20,26,.769,11,44,25,5,6,15,19,27,71,.380,12,30,.400,17,22,.773,10,24,10,5,4,8,19,129.6,102.5,80.9,.394,.091,.670,64.7,61.0,6.2,14.6,.644,16.1,44.0,.303,.465,8.9,76.7,.239
8,2013-12-01,@,LIU-Brooklyn,L,72,74,29,62,.468,7,19,.368,7,9,.778,12,33,18,6,4,9,15,26,55,.473,12,25,.480,10,16,.625,9,28,22,3,2,9,11,114.3,117.5,62.9,.145,.306,.543,54.1,62.1,9.5,13.3,.524,12.0,38.7,.113,.582,12.6,70.0,.182
9,2013-12-05,,Florida A&M,W,91,87,22,46,.478,6,15,.400,41,62,.661,10,39,11,7,5,14,30,27,72,.375,7,25,.280,26,38,.684,17,41,7,1,1,16,43,108.3,103.6,84.3,1.348,.326,.603,48.8,50.0,8.3,10.6,.543,15.7,29.4,.891,.424,15.1,63.0,.361
10,2013-12-07,,Bethune-Cookman,W,59,45,22,52,.423,2,12,.167,13,16,.813,7,33,12,4,7,10,15,16,53,.302,4,18,.222,9,15,.600,8,31,3,2,4,11,15,93.7,71.4,62.9,.308,.231,.495,51.6,54.5,6.3,20.0,.442,14.4,23.3,.250,.340,15.5,76.5,.170
