G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,,Albany (NY),L,62,74,23,62,.371,4,24,.167,12,23,.522,17,37,12,2,6,15,26,21,52,.404,4,10,.400,28,36,.778,13,35,8,11,4,14,22,87.3,104.2,70.9,.371,.387,.425,51.4,52.2,2.8,14.3,.403,17.1,43.6,.194,.442,16.8,60.6,.538
2,2013-11-12,@,Vermont,L,66,77,20,60,.333,2,10,.200,24,29,.828,15,31,9,12,4,16,36,19,44,.432,6,14,.429,33,42,.786,11,33,12,5,4,21,25,89.2,104.1,74.4,.483,.167,.447,48.4,45.0,16.2,13.3,.350,17.8,40.5,.400,.500,24.7,59.3,.750
3,2013-11-16,@,La Salle,L,74,78,31,64,.484,7,12,.583,5,8,.625,8,34,18,5,4,11,24,24,64,.375,6,23,.261,24,32,.750,15,35,10,5,4,8,10,102.8,108.3,71.5,.125,.188,.546,49.3,58.1,6.9,9.8,.539,14.0,28.6,.078,.422,9.2,63.4,.375
4,2013-11-19,,St. Bonaventure,W,72,70,25,60,.417,6,19,.316,16,21,.762,13,33,15,9,8,12,22,24,54,.444,3,10,.300,19,31,.613,14,36,14,4,4,13,21,105.9,102.9,68.4,.350,.317,.514,47.8,60.0,13.2,18.2,.467,14.6,37.1,.267,.472,15.9,58.8,.352
5,2013-11-22,@,Cornell,W,71,70,21,45,.467,5,16,.313,24,39,.615,11,32,12,2,1,8,24,24,47,.511,10,23,.435,12,24,.500,7,28,12,3,0,7,29,120.3,118.6,59.5,.867,.356,.559,53.3,57.1,3.4,4.2,.522,11.2,34.4,.533,.617,10.7,75.0,.255
6,2013-11-24,@,Purdue,L,73,81,28,71,.394,1,10,.100,16,25,.640,13,40,15,10,7,14,25,27,63,.429,5,16,.313,22,37,.595,13,42,11,6,12,15,19,88.0,97.6,83.2,.352,.141,.440,48.8,53.6,12.0,14.9,.401,14.5,31.0,.225,.468,15.7,67.5,.349
7,2013-11-28,N,Memphis,L,60,87,25,74,.338,5,19,.263,5,10,.500,21,37,12,4,2,19,23,33,63,.524,5,13,.385,16,27,.593,15,36,13,12,11,10,13,81.1,117.6,73.8,.135,.257,.381,50.7,48.0,5.4,4.0,.372,19.4,50.0,.068,.563,11.7,51.6,.254
8,2013-11-29,N,St. Joseph's,L,66,78,23,57,.404,6,12,.500,14,20,.700,17,37,12,10,1,17,24,25,48,.521,8,15,.533,20,31,.645,8,27,13,12,5,13,16,98.5,116.4,67.1,.351,.211,.496,57.8,52.2,14.9,3.0,.456,20.4,47.2,.246,.604,17.2,71.4,.417
9,2013-12-01,N,Purdue,L,63,68,22,53,.415,6,13,.462,13,19,.684,9,31,8,7,2,15,23,22,53,.415,3,13,.231,21,26,.808,7,29,6,7,9,11,18,91.3,98.6,68.7,.358,.245,.508,51.7,36.4,10.1,5.0,.472,19.5,29.0,.245,.443,14.4,75.9,.396
10,2013-12-06,@,Niagara,W,84,71,28,52,.538,5,10,.500,23,36,.639,8,31,17,5,5,15,29,24,59,.407,0,13,.000,23,36,.639,14,32,10,5,7,11,26,112.0,94.7,74.6,.692,.192,.608,49.2,60.7,6.7,10.9,.587,17.8,30.8,.442,.407,12.6,62.2,.390
11,2013-12-08,@,Canisius,L,78,93,32,57,.561,1,9,.111,13,19,.684,12,31,21,4,3,16,16,31,63,.492,15,26,.577,16,24,.667,10,23,24,9,7,9,17,108.3,129.2,71.7,.333,.158,.591,57.4,65.6,5.6,8.1,.570,19.5,48.0,.228,.611,10.8,65.5,.254
12,2013-12-23,,Hofstra,W,67,59,25,57,.439,2,9,.222,15,22,.682,12,33,13,8,7,12,17,22,63,.349,5,24,.208,10,15,.667,16,35,9,5,3,13,19,100.0,88.1,67.3,.386,.158,.497,48.5,52.0,11.9,17.9,.456,15.1,38.7,.263,.389,15.6,56.8,.159
13,2013-12-30,,Fordham,W,79,69,24,57,.421,4,10,.400,27,34,.794,10,36,15,8,2,13,20,24,59,.407,3,19,.158,18,25,.720,12,34,8,10,5,16,27,103.9,90.8,75.5,.596,.175,.540,51.4,62.5,10.5,5.0,.456,15.1,31.3,.474,.432,18.4,68.4,.305
