G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-09,@,Virginia Tech,W,64,63,24,64,.375,5,16,.313,11,16,.688,9,33,14,4,9,9,16,23,59,.390,8,22,.364,9,18,.500,7,33,11,3,6,9,12,90.1,88.7,70.6,.250,.250,.447,50.0,58.3,5.6,24.3,.414,11.2,25.7,.172,.458,11.8,77.4,.153
2,2013-11-13,@,Winthrop,L,74,82,27,56,.482,8,19,.421,12,15,.800,4,26,15,4,5,13,22,26,55,.473,8,18,.444,22,28,.786,8,31,15,5,4,11,17,102.8,113.9,71.7,.268,.339,.586,45.6,55.6,5.6,13.5,.554,17.1,14.8,.214,.545,13.9,73.3,.400
3,2013-11-16,@,Tennessee,L,65,74,25,55,.455,4,14,.286,11,16,.688,7,30,11,2,6,10,23,20,57,.351,5,13,.385,29,36,.806,14,38,10,6,1,4,13,100.0,113.8,64.9,.291,.255,.519,44.1,44.0,3.1,13.6,.491,13.8,22.6,.200,.395,5.1,62.2,.509
4,2013-11-21,N,Niagara,W,83,74,26,54,.481,8,19,.421,23,35,.657,8,42,15,4,3,19,23,23,66,.348,6,27,.222,22,34,.647,10,30,12,9,1,11,28,101.2,90.2,82.4,.648,.352,.588,58.3,57.7,4.9,7.7,.556,21.2,28.6,.426,.394,11.8,77.3,.333
5,2013-11-22,@,Kent State,L,78,79,31,57,.544,11,20,.550,5,5,1.000,5,29,26,4,1,11,14,24,55,.436,18,34,.529,13,17,.765,5,20,16,5,0,6,13,120.0,121.5,64.7,.088,.351,.657,59.2,83.9,6.2,4.8,.640,15.6,25.0,.088,.600,8.7,82.8,.236
6,2013-11-23,N,Western Carolina,W,72,58,25,53,.472,3,16,.188,19,24,.792,9,34,18,5,5,9,15,23,67,.343,5,26,.192,7,11,.636,12,29,10,5,2,10,20,107.5,86.6,67.3,.453,.302,.559,54.0,72.0,7.5,12.2,.500,12.3,34.6,.358,.381,12.2,67.6,.104
7,2013-11-25,,Bob Jones University,W,94,67,35,78,.449,5,21,.238,19,28,.679,23,52,15,8,2,8,11,26,59,.441,9,29,.310,6,8,.750,4,23,15,5,1,14,22,125.3,89.3,74.6,.359,.269,.515,69.3,42.9,10.7,6.7,.481,8.1,54.8,.244,.517,18.2,87.9,.102
8,2013-11-30,,Tennessee State,W,73,64,22,55,.400,2,18,.111,27,42,.643,11,36,12,4,0,8,17,21,52,.404,5,24,.208,17,23,.739,8,34,8,5,1,14,23,104.3,91.4,70.4,.764,.327,.487,51.4,54.5,5.7,0.0,.418,9.6,29.7,.491,.452,18.2,75.8,.327
9,2013-12-03,@,Cincinnati,L,50,86,18,47,.383,3,16,.188,11,20,.550,10,32,11,2,2,22,24,23,51,.451,13,26,.500,27,34,.794,7,27,19,9,3,7,21,73.5,126.5,67.8,.426,.340,.442,54.2,61.1,2.9,8.0,.415,28.0,33.3,.234,.578,9.4,75.9,.529
10,2013-12-15,,UNC Asheville,L,63,73,19,55,.345,5,18,.278,20,27,.741,15,28,8,9,4,11,19,22,51,.431,8,17,.471,21,24,.875,11,32,9,7,3,14,20,96.9,112.3,64.6,.491,.327,.464,46.7,42.1,13.8,11.8,.391,14.0,41.7,.364,.510,18.3,54.2,.412
11,2013-12-19,@,South Carolina,W,74,68,24,56,.429,6,21,.286,20,35,.571,12,42,17,8,5,14,17,23,69,.333,8,29,.276,14,20,.700,13,39,15,9,5,12,24,97.4,89.5,76.1,.625,.375,.509,51.9,70.8,10.5,12.5,.482,16.2,31.6,.357,.391,13.3,69.8,.203
12,2013-12-21,@,Charlotte,L,76,81,28,61,.459,11,25,.440,9,11,.818,11,28,22,7,2,11,18,27,52,.519,10,21,.476,17,23,.739,9,30,20,4,3,16,13,111.8,119.1,68.1,.180,.410,.574,48.3,78.6,10.3,6.5,.549,14.2,34.4,.148,.615,20.3,65.4,.327
13,2013-12-31,,North Greenville,W,94,61,39,76,.513,6,20,.300,10,12,.833,10,42,21,16,7,9,14,23,67,.343,10,28,.357,5,8,.625,7,33,10,3,4,22,14,113.3,73.5,83.3,.158,.263,.575,56.0,53.8,19.3,17.9,.553,9.9,27.8,.132,.418,23.7,82.1,.075
14,2014-01-04,@,Mercer,L (1 OT),60,62,21,54,.389,7,20,.350,11,17,.647,15,40,13,6,4,16,20,23,57,.404,6,20,.300,10,17,.588,7,28,15,4,3,11,15,90.9,93.9,58.7,.315,.370,.483,58.8,61.9,9.1,10.8,.454,20.5,41.7,.204,.456,14.5,78.1,.175
15,2014-01-06,@,Kennesaw State,L,58,68,22,56,.393,6,23,.261,8,17,.471,13,31,10,9,4,12,20,19,44,.432,9,21,.429,21,25,.840,7,27,14,7,4,14,19,92.1,107.9,63.0,.304,.411,.453,53.4,45.5,14.3,17.4,.446,15.8,39.4,.143,.534,20.0,72.0,.477
16,2014-01-09,,Northern Kentucky,W,73,64,26,49,.531,2,11,.182,19,28,.679,10,35,14,6,5,11,14,21,54,.389,7,25,.280,15,19,.789,6,22,10,7,2,9,23,112.3,98.5,64.7,.571,.224,.586,61.4,53.8,9.2,17.2,.551,15.0,38.5,.388,.454,12.5,80.6,.278
17,2014-01-11,,Lipscomb,W,84,70,31,51,.608,13,24,.542,9,20,.450,9,36,21,4,3,15,18,25,57,.439,9,28,.321,11,15,.733,2,16,15,5,0,10,22,121.7,101.4,69.3,.392,.471,.694,69.2,67.7,5.8,10.3,.735,19.9,39.1,.176,.518,13.5,93.1,.193
18,2014-01-16,@,Florida Gulf Coast,L,60,63,23,53,.434,6,17,.353,8,9,.889,7,29,11,9,2,13,16,22,56,.393,5,19,.263,14,16,.875,13,32,9,9,7,13,10,95.2,100.0,63.4,.170,.321,.524,47.5,47.8,14.3,5.4,.491,18.5,26.9,.151,.438,17.0,62.9,.250
19,2014-01-18,@,Stetson,L (1 OT),73,77,27,68,.397,10,29,.345,9,15,.600,14,35,18,5,4,11,24,26,60,.433,7,22,.318,18,26,.692,13,39,22,6,2,12,14,101.4,106.9,63.8,.221,.426,.486,47.3,66.7,6.9,10.5,.471,12.8,35.0,.132,.492,14.2,61.8,.300
20,2014-01-23,,Jacksonville,W,79,69,25,51,.490,8,21,.381,21,29,.724,13,45,16,5,4,17,22,25,64,.391,4,19,.211,15,25,.600,12,26,13,8,0,6,21,114.5,100.0,69.3,.569,.412,.610,63.4,64.0,7.2,8.9,.569,20.8,48.1,.412,.422,7.3,72.7,.234
21,2014-01-25,,North Florida,W,71,60,27,59,.458,4,12,.333,13,20,.650,14,34,14,13,3,10,21,16,48,.333,9,20,.450,19,24,.792,12,32,4,9,2,18,17,109.2,92.3,65.0,.339,.203,.518,51.5,51.9,20.0,10.7,.492,12.7,41.2,.220,.427,23.3,62.5,.396
22,2014-01-31,,Kennesaw State,W,65,48,23,61,.377,4,21,.190,15,22,.682,13,39,14,6,4,7,18,17,55,.309,1,14,.071,13,21,.619,13,36,9,3,2,12,21,100.0,73.8,64.7,.361,.344,.455,52.0,60.9,9.2,9.8,.410,8.9,36.1,.246,.318,15.6,66.7,.236
23,2014-02-02,,Mercer,W,80,61,22,50,.440,6,23,.261,30,40,.750,12,39,12,8,7,17,19,21,60,.350,5,23,.217,14,20,.700,13,33,10,12,3,16,25,109.6,83.6,73.3,.800,.460,.580,54.2,54.5,11.0,18.9,.500,19.8,37.5,.600,.392,18.7,67.5,.233
24,2014-02-06,@,Lipscomb,L,75,77,25,53,.472,8,24,.333,17,25,.680,12,34,19,3,0,15,17,23,47,.489,12,29,.414,19,24,.792,4,22,14,8,1,11,20,111.9,114.9,66.6,.472,.453,.578,60.7,76.0,4.5,0.0,.547,18.8,40.0,.321,.617,15.9,84.6,.404
25,2014-02-08,@,Northern Kentucky,W,76,59,27,55,.491,9,23,.391,13,17,.765,12,34,14,8,1,5,15,21,49,.429,9,28,.321,8,14,.571,8,25,13,2,3,11,18,133.3,103.5,57.4,.309,.418,.602,57.6,51.9,14.0,4.8,.573,7.3,41.4,.236,.520,16.5,73.3,.163
