G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Ole Miss,L,54,69,17,49,.347,4,17,.235,16,25,.640,8,31,9,3,1,14,21,25,72,.347,6,28,.214,13,23,.565,21,47,11,8,5,12,23,77.1,98.6,70.4,.510,.347,.444,39.7,52.9,4.3,2.3,.388,18.7,23.5,.327,.389,12.6,52.3,.181
2,2013-11-11,,LaGrange,W,102,69,39,71,.549,8,20,.400,16,25,.640,12,50,18,9,5,14,24,24,77,.312,6,26,.231,15,31,.484,18,42,9,10,0,14,24,118.6,80.2,86.3,.352,.282,.615,54.3,46.2,10.5,9.8,.606,14.5,33.3,.225,.351,13.2,67.9,.195
3,2013-11-14,@,Alabama-Birmingham,L,69,81,29,72,.403,7,23,.304,4,10,.400,7,22,15,11,2,7,14,30,60,.500,5,13,.385,16,17,.941,14,48,18,3,4,20,15,92.0,108.0,75.4,.139,.319,.450,31.4,51.7,14.7,4.3,.451,8.4,17.1,.056,.542,22.7,51.7,.267
4,2013-11-19,,Nicholls State,W,77,62,21,45,.467,4,14,.286,31,36,.861,10,29,11,8,3,13,13,24,57,.421,3,14,.214,11,15,.733,13,28,11,7,3,14,27,118.5,95.4,65.1,.800,.311,.620,50.9,52.4,12.3,7.0,.511,17.3,40.0,.689,.447,17.9,59.4,.193
5,2013-11-26,@,Central Arkansas,L,53,60,17,45,.378,5,17,.294,14,19,.737,5,28,10,4,3,17,13,22,54,.407,8,19,.421,8,13,.615,7,31,14,8,5,12,18,80.3,90.9,65.6,.422,.378,.491,47.5,58.8,6.1,8.6,.433,23.9,17.2,.311,.481,16.6,76.7,.148
6,2013-12-02,,Alcorn State,W (2 OT),73,70,22,65,.338,3,23,.130,26,32,.813,19,49,9,6,4,14,11,29,72,.403,6,21,.286,6,12,.500,13,39,16,8,4,9,27,98.6,94.6,59.6,.492,.354,.455,55.7,40.9,8.1,7.8,.362,14.9,42.2,.400,.444,10.4,69.8,.083
7,2013-12-07,,Alabama State,W,85,69,31,57,.544,5,17,.294,18,25,.720,9,33,14,9,1,14,16,26,62,.419,3,18,.167,14,20,.700,12,27,10,3,3,12,19,116.4,94.5,72.7,.439,.298,.617,55.0,45.2,12.3,2.3,.588,16.9,37.5,.316,.444,14.4,66.7,.226
8,2013-12-15,@,Kansas State,L,43,72,17,47,.362,3,19,.158,6,11,.545,5,26,8,6,3,16,11,28,65,.431,8,24,.333,8,12,.667,16,41,24,6,2,9,16,68.3,114.3,63.5,.234,.404,.412,38.8,47.1,9.5,7.3,.394,23.5,16.7,.128,.492,11.3,56.8,.123
9,2013-12-19,N,UCSB,L,54,57,15,48,.313,12,28,.429,12,22,.545,9,25,13,4,3,6,14,22,48,.458,6,15,.400,7,11,.636,8,33,15,2,9,8,18,100.0,105.6,54.3,.458,.583,.462,43.1,86.7,7.4,9.1,.438,9.3,26.5,.250,.521,13.1,66.7,.146
10,2013-12-20,N,Western Illinois,L,58,61,20,42,.476,7,16,.438,11,25,.440,5,28,14,6,5,14,19,19,49,.388,3,12,.250,20,27,.741,9,31,11,6,1,10,22,92.1,96.8,62.9,.595,.381,.538,47.5,70.0,9.5,13.5,.560,20.6,18.5,.262,.418,13.9,71.9,.408
11,2013-12-21,@,Utah State,L,50,71,14,48,.292,2,19,.105,20,24,.833,12,30,7,5,2,12,13,27,49,.551,8,13,.615,9,12,.750,5,29,20,4,5,9,20,84.7,120.3,59.1,.500,.396,.421,50.8,50.0,8.5,5.6,.313,16.8,33.3,.417,.633,14.1,78.3,.184
12,2013-12-28,,Belhaven (MS),W,74,62,23,49,.469,3,11,.273,25,36,.694,14,39,13,10,3,15,13,24,56,.429,6,17,.353,8,14,.571,9,25,13,7,2,14,31,110.4,92.5,67.4,.735,.224,.560,60.9,56.5,14.9,7.7,.500,18.5,46.7,.510,.482,18.3,73.5,.143
13,2014-01-02,@,Georgia State,L,72,81,22,47,.468,9,18,.500,19,24,.792,12,35,8,1,1,22,13,30,58,.517,5,14,.357,16,18,.889,4,21,16,13,4,10,19,102.9,115.7,70.5,.511,.383,.616,62.5,36.4,1.4,2.3,.564,27.4,41.4,.404,.560,13.1,85.2,.276
14,2014-01-04,,Western Kentucky,L,51,60,17,60,.283,6,17,.353,11,16,.688,16,40,11,6,3,11,16,25,53,.472,2,13,.154,8,17,.471,8,38,12,4,2,11,16,81.0,95.2,63.3,.267,.283,.377,51.3,64.7,9.5,7.5,.333,14.0,34.8,.183,.491,15.3,75.0,.151
15,2014-01-09,@,Arkansas State,W,98,84,32,58,.552,14,27,.519,20,26,.769,10,36,14,7,1,16,19,28,57,.491,8,24,.333,20,23,.870,4,21,12,10,2,13,18,127.3,109.1,76.6,.448,.466,.697,63.2,43.8,9.1,3.0,.672,18.5,37.0,.345,.561,16.1,86.7,.351
16,2014-01-11,@,Little Rock,W,75,62,20,53,.377,10,23,.435,25,33,.758,13,42,13,1,1,9,13,25,63,.397,4,23,.174,8,13,.615,9,29,10,2,6,6,24,115.4,95.4,65.4,.623,.434,.546,59.2,65.0,1.5,2.5,.472,11.6,39.4,.472,.429,8.0,76.3,.127
17,2014-01-16,,Louisiana-Monroe,L,64,75,22,47,.468,6,21,.286,14,22,.636,12,27,8,4,1,11,16,26,50,.520,9,14,.643,14,17,.824,8,23,14,3,2,8,18,112.3,131.6,57.3,.468,.447,.557,54.0,36.4,7.0,2.8,.532,16.1,44.4,.298,.610,12.1,65.2,.280
18,2014-01-18,,Louisiana,L,59,72,23,56,.411,5,17,.294,8,18,.444,14,31,11,10,3,14,14,26,48,.542,6,15,.400,14,17,.824,4,30,15,8,4,16,18,89.4,109.1,66.3,.321,.304,.457,50.8,47.8,15.2,9.1,.455,17.8,35.0,.143,.604,22.2,81.0,.292
19,2014-01-23,@,Texas-Arlington,L,56,59,18,53,.340,8,23,.348,12,20,.600,13,36,8,8,2,13,11,23,61,.377,8,31,.258,5,8,.625,11,34,6,2,4,12,20,87.5,92.2,64.2,.377,.434,.448,51.4,44.4,12.5,6.7,.415,17.2,36.1,.226,.443,15.6,67.6,.082
20,2014-01-25,@,Texas State,L,65,73,19,50,.380,9,21,.429,18,26,.692,7,24,11,6,1,12,17,28,54,.519,5,16,.313,12,17,.706,8,28,17,7,0,14,21,95.6,107.4,67.7,.520,.420,.521,46.2,57.9,8.8,2.6,.470,16.1,25.9,.360,.565,18.4,68.0,.222
21,2014-02-01,,Arkansas State,L,73,83,27,58,.466,7,27,.259,12,21,.571,11,33,11,2,4,15,23,24,55,.436,11,25,.440,24,29,.828,8,27,15,11,3,9,21,102.8,116.9,70.9,.362,.466,.537,55.0,40.7,2.8,13.3,.526,18.1,36.7,.207,.536,11.6,73.3,.436
22,2014-02-06,,South Alabama,W,79,74,25,54,.463,9,20,.450,20,33,.606,11,35,11,3,1,10,13,28,58,.483,10,27,.370,8,13,.615,8,29,16,5,0,12,27,116.2,108.8,68.4,.611,.370,.567,54.7,44.0,4.4,3.2,.546,12.6,34.4,.370,.569,15.8,75.0,.138
23,2014-02-13,@,Western Kentucky,L,76,81,25,60,.417,9,23,.391,17,24,.708,10,29,10,7,2,13,23,24,54,.444,5,17,.294,28,32,.875,11,35,9,5,2,16,21,102.7,109.5,74.3,.400,.383,.532,45.3,40.0,9.5,5.4,.492,15.4,29.4,.283,.491,18.8,63.3,.519
24,2014-02-15,,Georgia State,W,85,81,25,51,.490,12,27,.444,23,36,.639,10,35,13,1,3,9,20,27,57,.474,9,20,.450,18,26,.692,8,29,11,8,2,4,22,128.8,122.7,66.2,.706,.529,.624,54.7,52.0,1.5,8.1,.608,11.7,32.3,.451,.553,5.5,75.8,.316
25,2014-02-20,@,Louisiana,L,63,78,21,54,.389,7,24,.292,14,26,.538,15,32,7,6,0,13,18,31,57,.544,5,14,.357,11,17,.647,12,33,14,5,4,13,19,96.9,120.0,65.2,.481,.444,.475,49.2,33.3,9.2,0.0,.454,16.4,41.7,.259,.588,16.7,58.6,.193
26,2014-02-22,@,South Alabama,L,78,86,27,59,.458,10,21,.476,14,19,.737,7,30,12,4,1,10,17,33,64,.516,7,23,.304,13,19,.684,7,32,17,4,4,8,20,106.8,117.8,72.5,.322,.356,.573,48.4,44.4,5.5,2.4,.542,12.8,21.9,.237,.570,9.9,76.7,.203
27,2014-02-27,,Little Rock,L,55,62,17,44,.386,6,18,.333,15,25,.600,7,28,8,9,3,20,18,20,49,.408,5,17,.294,17,22,.773,7,28,18,7,2,18,21,78.6,88.6,69.7,.568,.409,.492,50.0,47.1,12.9,9.4,.455,26.4,25.0,.341,.459,23.2,75.0,.347
28,2014-03-01,@,Louisiana-Monroe,W,61,46,21,54,.389,9,25,.360,10,22,.455,13,34,13,8,4,8,14,17,50,.340,5,19,.263,7,13,.538,11,33,10,3,2,16,19,101.7,76.7,60.3,.407,.463,.473,50.7,61.9,13.3,12.9,.472,11.0,37.1,.185,.390,22.2,65.6,.140
29,2014-03-06,,Texas-Arlington,L (2 OT),86,87,30,71,.423,8,29,.276,18,28,.643,14,38,13,9,3,7,15,35,72,.486,9,29,.310,8,15,.533,12,41,22,4,4,15,19,107.5,108.8,65.1,.394,.408,.510,48.1,43.3,11.3,7.0,.479,7.7,32.6,.254,.549,15.9,66.7,.111
30,2014-03-08,,Texas State,W,72,50,28,58,.483,6,18,.333,10,13,.769,13,38,11,4,4,8,15,17,48,.354,5,18,.278,11,16,.688,9,25,10,4,4,13,18,122.0,84.7,59.4,.224,.310,.561,60.3,39.3,6.8,13.3,.534,11.1,44.8,.172,.406,19.0,73.5,.229
31,2014-03-13,N,Little Rock,L,61,74,19,63,.302,6,22,.273,17,28,.607,14,37,9,5,5,6,16,29,62,.468,6,17,.353,10,13,.769,9,40,16,1,2,8,22,89.7,108.8,67.7,.444,.349,.400,48.1,47.4,7.4,11.1,.349,7.3,31.1,.270,.516,10.5,71.9,.161
