G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,BYU,L,72,81,26,66,.394,6,18,.333,14,21,.667,9,35,9,3,7,10,17,32,72,.444,3,9,.333,14,20,.700,13,45,18,4,5,7,20,94.7,106.6,76.2,.318,.273,.474,43.8,34.6,3.9,11.1,.439,11.6,22.0,.212,.465,7.9,66.7,.194
2,2013-11-16,@,Colorado State,L,67,88,20,46,.435,3,13,.231,24,30,.800,4,24,10,3,2,13,27,30,56,.536,5,17,.294,23,33,.697,5,29,19,5,3,4,22,95.7,125.7,70.0,.652,.283,.556,45.3,50.0,4.3,5.1,.467,17.7,14.3,.522,.580,5.3,80.0,.411
3,2013-11-26,,Utah State,L,71,77,27,54,.500,4,12,.333,13,21,.619,7,28,9,3,6,10,19,29,57,.509,2,7,.286,17,22,.773,10,32,14,3,2,7,21,107.6,116.7,65.7,.389,.222,.555,46.7,33.3,4.5,12.0,.537,13.5,24.1,.241,.526,9.4,67.7,.298
4,2013-11-30,,San Jose State,W,72,55,23,48,.479,7,19,.368,19,33,.576,9,34,15,4,3,6,16,20,62,.323,8,27,.296,7,10,.700,16,40,11,2,1,11,22,118.0,90.2,61.2,.688,.396,.565,45.9,65.2,6.6,8.6,.552,8.6,27.3,.396,.387,14.1,61.0,.113
5,2013-12-11,@,Utah Valley,L,59,62,19,50,.380,7,20,.350,14,18,.778,8,29,12,5,4,12,15,23,62,.371,5,14,.357,11,15,.733,15,38,12,7,2,11,16,92.2,96.9,63.8,.360,.400,.504,43.3,63.2,7.8,8.3,.450,17.0,25.8,.280,.411,13.7,58.3,.177
6,2013-12-17,,St. Katherine,W,107,36,38,67,.567,8,26,.308,23,30,.767,15,58,23,8,4,8,13,13,64,.203,4,21,.190,6,11,.545,8,27,5,1,0,16,24,140.8,47.4,75.7,.448,.388,.658,68.2,60.5,10.5,9.3,.627,9.0,44.1,.343,.234,18.8,84.3,.094
7,2013-12-22,@,UCLA,L,60,83,22,56,.393,4,22,.182,12,20,.600,8,28,11,6,2,13,16,31,63,.492,3,9,.333,18,22,.818,11,40,20,7,2,10,16,84.5,116.9,71.5,.357,.393,.458,41.2,50.0,8.5,3.7,.429,16.6,21.6,.214,.516,12.0,64.5,.286
8,2013-12-28,,Northern New Mexico,W,75,49,26,46,.565,5,10,.500,18,27,.667,7,40,16,10,8,17,13,18,58,.310,5,11,.455,8,12,.667,8,26,7,9,0,15,25,107.1,70.0,69.8,.587,.217,.637,60.6,61.5,14.3,17.0,.620,22.4,28.0,.391,.353,19.1,80.5,.138
9,2014-01-02,,Eastern Washington,W,74,67,26,54,.481,6,20,.300,16,25,.640,9,34,16,2,3,9,16,25,57,.439,4,13,.308,13,16,.813,4,25,8,2,1,9,20,108.8,98.5,67.7,.463,.370,.562,57.6,61.5,2.9,6.8,.537,12.0,30.0,.296,.474,12.2,86.2,.228
10,2014-01-04,,Portland State,W,79,62,24,47,.511,9,20,.450,22,25,.880,5,37,18,2,1,13,18,23,56,.411,6,17,.353,10,17,.588,4,24,13,3,2,8,18,117.9,92.5,67.5,.532,.426,.671,60.7,75.0,3.0,2.6,.606,18.1,20.0,.468,.464,11.1,88.9,.179
11,2014-01-09,@,Northern Colorado,L,51,70,17,45,.378,4,13,.308,13,19,.684,11,28,7,2,6,12,16,29,58,.500,7,15,.467,5,7,.714,13,34,11,6,4,8,15,91.1,125.0,55.7,.422,.289,.472,45.2,41.2,3.6,14.0,.422,18.2,34.4,.289,.560,11.5,56.7,.086
12,2014-01-11,@,North Dakota,W,72,60,24,49,.490,9,17,.529,15,23,.652,10,29,11,7,3,17,24,18,45,.400,2,9,.222,22,32,.688,10,26,8,11,3,17,19,107.5,89.6,67.1,.469,.347,.601,52.7,45.8,10.4,8.3,.582,22.1,38.5,.306,.422,22.0,65.5,.489
13,2014-01-18,,Southern Utah,W,65,59,14,35,.400,6,14,.429,31,43,.721,7,35,9,2,2,13,18,23,52,.442,6,12,.500,7,12,.583,3,20,13,3,2,5,27,106.6,96.7,60.6,1.229,.400,.586,63.6,64.3,3.3,5.0,.486,19.0,29.2,.886,.500,8.0,90.3,.135
14,2014-01-20,,Idaho State,W,65,59,20,49,.408,12,25,.480,13,17,.765,14,38,14,5,4,15,14,21,52,.404,6,15,.400,11,16,.688,8,25,10,6,0,8,16,110.2,100.0,58.8,.347,.510,.569,60.3,70.0,8.5,10.8,.531,20.8,45.2,.265,.462,11.8,75.0,.212
15,2014-01-23,,Montana State,W,86,57,28,45,.622,10,22,.455,20,24,.833,5,33,23,5,5,16,20,21,57,.368,3,12,.250,12,18,.667,10,25,7,7,1,10,19,130.3,86.4,66.5,.533,.489,.762,56.9,82.1,7.6,11.1,.733,22.1,25.0,.444,.395,13.2,73.7,.211
16,2014-01-25,,Montana,W,68,63,23,49,.469,7,22,.318,15,22,.682,10,35,15,7,3,13,17,22,52,.423,9,18,.500,10,15,.667,7,26,13,7,0,12,21,107.9,100.0,63.3,.449,.449,.572,57.4,65.2,11.1,8.8,.541,17.9,34.5,.306,.510,16.9,78.1,.192
17,2014-01-30,@,Northern Arizona,W,76,67,21,39,.538,6,12,.500,28,40,.700,2,37,8,3,6,15,22,24,58,.414,1,11,.091,18,29,.621,3,27,5,6,3,5,25,105.6,93.1,72.0,1.026,.308,.655,57.8,38.1,4.2,12.8,.615,20.5,7.7,.718,.422,6.5,92.1,.310
18,2014-02-01,@,Sacramento State,L (1 OT),75,78,21,51,.412,8,25,.320,25,34,.735,10,32,11,2,7,12,24,25,60,.417,3,9,.333,25,29,.862,12,35,12,3,2,11,25,105.6,109.9,63.1,.667,.490,.558,47.8,52.4,2.8,13.7,.490,15.2,30.3,.490,.442,13.0,64.7,.417
19,2014-02-06,,North Dakota,W,84,72,28,58,.483,4,13,.308,24,27,.889,6,34,17,4,6,10,19,28,62,.452,4,11,.364,12,21,.571,9,34,13,5,0,13,22,112.0,96.0,75.4,.466,.224,.593,50.0,60.7,5.3,11.8,.517,12.4,19.4,.414,.484,15.3,75.7,.194
20,2014-02-08,,Northern Colorado,W,79,65,24,45,.533,12,20,.600,19,24,.792,3,31,19,3,6,10,17,23,60,.383,4,13,.308,15,26,.577,14,34,9,5,2,7,19,123.4,101.6,64.4,.533,.444,.700,47.7,79.2,4.7,12.8,.667,15.1,13.0,.422,.417,8.8,66.7,.250
21,2014-02-13,@,Southern Utah,W,75,55,26,43,.605,10,17,.588,13,19,.684,1,25,12,3,3,15,21,18,47,.383,5,12,.417,14,22,.636,3,17,11,6,2,10,19,115.4,84.6,65.6,.442,.395,.721,59.5,46.2,4.6,8.6,.721,22.4,6.7,.302,.436,14.8,88.9,.298
22,2014-02-17,@,Idaho State,L (1 OT),75,78,24,58,.414,7,25,.280,20,22,.909,11,29,9,3,4,10,17,29,55,.527,8,13,.615,12,18,.667,8,29,16,6,3,12,19,110.3,114.7,60.0,.379,.431,.548,50.0,37.5,4.4,9.5,.474,12.7,34.4,.345,.600,15.9,69.2,.218
23,2014-02-20,@,Montana,L,57,68,22,42,.524,5,12,.417,8,12,.667,7,22,7,0,1,8,14,27,47,.574,3,11,.273,11,15,.733,4,19,10,2,1,3,15,111.8,133.3,50.9,.286,.286,.597,53.7,31.8,0.0,2.8,.583,14.4,31.8,.190,.606,5.3,78.9,.234
24,2014-02-22,@,Montana State,W,86,68,25,43,.581,10,17,.588,26,32,.813,5,32,10,5,3,15,22,23,62,.371,2,8,.250,20,26,.769,13,27,8,7,0,9,22,124.6,98.6,69.3,.744,.395,.739,54.2,40.0,7.2,5.6,.698,20.5,26.3,.605,.387,10.8,67.5,.323
25,2014-02-27,,Sacramento State,W,79,67,26,47,.553,7,16,.438,20,28,.714,9,36,19,4,4,14,15,27,59,.458,4,12,.333,9,13,.692,7,23,12,3,0,8,22,119.7,101.5,65.7,.596,.340,.655,61.0,73.1,6.1,8.5,.628,18.8,36.0,.426,.492,10.9,79.4,.153
26,2014-03-01,,Northern Arizona,L (1 OT),71,73,23,49,.469,7,20,.350,18,29,.621,9,31,11,7,5,12,17,29,59,.492,6,12,.500,9,14,.643,9,29,14,7,2,11,25,106.0,109.0,59.3,.592,.408,.566,51.7,47.8,10.4,10.6,.541,16.0,31.0,.367,.542,14.4,71.0,.153
27,2014-03-06,@,Portland State,L,59,66,18,47,.383,4,16,.250,19,24,.792,5,29,10,6,2,18,20,21,48,.438,2,13,.154,22,25,.880,3,22,11,9,3,11,19,84.3,94.3,69.6,.511,.340,.505,56.9,55.6,8.6,5.7,.426,23.6,20.8,.404,.458,15.5,88.9,.458
28,2014-03-08,@,Eastern Washington,W,82,78,25,51,.490,10,21,.476,22,26,.846,9,33,18,4,7,16,25,23,59,.390,3,15,.200,29,34,.853,7,26,7,7,5,6,21,113.9,108.3,72.3,.510,.412,.647,55.9,72.0,5.6,15.9,.588,20.2,32.1,.431,.415,7.4,77.4,.492
29,2014-03-14,,Northern Colorado,W (1 OT),66,63,26,56,.464,8,20,.400,6,8,.750,10,31,14,4,1,11,12,28,56,.500,3,11,.273,4,8,.500,9,31,16,5,0,10,14,108.2,103.3,54.0,.143,.357,.552,50.0,53.8,6.6,2.2,.536,15.5,31.3,.107,.527,14.3,70.0,.071
30,2014-03-15,N,North Dakota,W,88,67,30,53,.566,10,22,.455,18,21,.857,4,32,17,1,2,7,17,24,61,.393,1,12,.083,18,25,.720,15,33,7,4,0,5,15,137.5,104.7,64.4,.396,.415,.699,49.2,56.7,1.6,4.1,.660,10.0,18.2,.340,.402,6.4,65.1,.295
31,2014-03-21,N,Arizona,L,59,68,16,53,.302,7,17,.412,20,23,.870,9,26,7,8,3,10,17,26,47,.553,7,14,.500,9,16,.563,5,28,15,4,12,12,20,93.7,107.9,63.3,.434,.321,.461,48.1,43.8,12.7,9.1,.368,13.5,28.1,.377,.628,18.0,77.3,.191
