G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2013-11-08,@,Kennesaw State,W,73,57,24,60,.400,6,18,.333,19,21,.905,11,37,10,8,4,11,21,18,52,.346,4,16,.250,17,25,.680,7,29,9,5,2,19,19,100.0,78.1,72.9,.350,.300,.522,56.1,41.7,11.0,11.1,.450,13.6,33.3,.317,.385,22.9,78.8,.327
2,2013-11-09,N,Florida International,W (1 OT),74,72,27,58,.466,11,29,.379,9,13,.692,7,27,17,6,4,11,20,25,64,.391,8,21,.381,14,20,.700,15,39,13,6,1,11,16,107.2,104.3,61.2,.224,.500,.577,40.9,63.0,8.7,9.3,.560,14.6,22.6,.155,.453,13.0,57.1,.219
3,2013-11-10,N,Eastern Kentucky,W,75,67,22,54,.407,9,26,.346,22,29,.759,11,39,16,4,1,13,24,19,54,.352,8,30,.267,21,29,.724,6,27,8,7,0,11,24,105.6,94.4,71.3,.537,.481,.553,59.1,72.7,5.6,4.2,.491,16.1,34.4,.407,.426,14.0,82.4,.389
4,2013-11-14,,Warren Wilson,W,104,58,37,68,.544,10,26,.385,20,31,.645,14,40,25,9,3,5,20,21,49,.429,4,13,.308,12,22,.545,6,25,6,2,3,17,23,144.4,80.6,72.1,.456,.382,.629,61.5,67.6,12.5,8.3,.618,5.7,42.4,.294,.469,22.2,81.3,.245
5,2013-11-17,@,UMass,L,69,85,28,76,.368,5,26,.192,8,12,.667,10,28,14,9,3,10,22,32,58,.552,4,14,.286,17,25,.680,6,43,23,6,7,19,18,84.1,103.7,82.3,.158,.342,.422,39.4,50.0,11.0,6.8,.401,10.9,21.3,.105,.586,21.4,75.0,.293
6,2013-11-20,,Thiel,W,82,58,29,59,.492,6,19,.316,18,26,.692,9,36,16,10,1,13,21,18,50,.360,4,13,.308,18,31,.581,6,28,7,9,2,15,20,109.3,77.3,74.5,.441,.322,.575,56.3,55.2,13.3,2.7,.542,15.4,29.0,.305,.400,18.8,81.8,.360
7,2013-11-23,,Westminster (PA),W,108,57,34,74,.459,13,33,.394,27,31,.871,25,61,23,9,10,12,14,20,65,.308,10,28,.357,7,8,.875,5,19,9,3,1,14,19,140.3,74.0,76.8,.419,.446,.609,76.3,67.6,11.7,27.0,.547,11.9,64.1,.365,.385,16.9,87.8,.108
8,2013-11-27,@,Kent State,L,79,83,24,54,.444,8,24,.333,23,26,.885,7,25,14,10,3,13,21,26,60,.433,9,22,.409,22,28,.786,10,31,13,8,1,12,20,106.8,112.2,73.8,.481,.444,.595,44.6,58.3,13.5,7.9,.519,16.4,25.0,.426,.508,14.1,64.3,.367
9,2013-11-30,,Austin Peay,L,86,88,27,59,.458,8,26,.308,24,30,.800,7,26,19,11,1,12,19,35,60,.583,4,10,.400,14,20,.700,7,28,20,5,5,16,20,110.3,112.8,78.4,.508,.441,.587,48.1,70.4,14.1,2.0,.525,14.1,25.0,.407,.617,18.7,73.1,.233
10,2013-12-04,,Robert Morris,W,84,76,31,59,.525,9,25,.360,13,20,.650,5,24,23,2,6,3,14,27,54,.500,6,17,.353,16,20,.800,6,34,13,3,2,12,23,123.5,111.8,68.0,.339,.424,.613,41.4,74.2,2.9,16.2,.602,4.2,15.2,.220,.556,15.9,76.0,.296
11,2013-12-07,@,UMKC,L,80,88,30,56,.536,7,20,.350,13,19,.684,5,21,13,8,5,12,23,30,54,.556,6,11,.545,22,35,.629,9,33,15,6,1,16,14,106.7,117.3,74.8,.339,.357,.615,38.9,43.3,10.7,11.6,.598,15.6,17.2,.232,.611,18.5,64.0,.407
12,2013-12-14,@,Pitt,L,73,91,26,56,.464,6,20,.300,15,21,.714,6,19,14,8,3,9,18,35,68,.515,5,16,.313,16,20,.800,19,45,22,7,2,13,18,104.3,130.0,70.2,.375,.357,.553,29.7,53.8,11.4,5.8,.518,12.0,18.8,.268,.551,14.4,40.6,.235
13,2013-12-17,,Bethune-Cookman,W,71,59,22,50,.440,11,28,.393,16,26,.615,9,24,14,6,2,7,15,21,48,.438,8,21,.381,9,17,.529,10,30,10,4,0,14,21,118.3,98.3,60.2,.520,.560,.569,44.4,63.6,10.0,7.4,.550,10.1,31.0,.320,.521,20.0,60.0,.188
14,2013-12-21,@,St. John's (NY),L,87,96,30,66,.455,9,24,.375,18,26,.692,13,36,12,9,0,16,25,30,59,.508,8,12,.667,28,37,.757,9,32,14,9,8,13,20,107.4,118.5,81.0,.394,.364,.555,52.9,40.0,11.1,0.0,.523,17.0,36.1,.273,.576,14.5,71.9,.475
15,2013-12-29,,South Dakota,W,85,59,30,63,.476,10,24,.417,15,23,.652,9,34,17,12,7,13,18,20,57,.351,6,20,.300,13,23,.565,11,36,11,10,4,19,17,110.4,76.6,76.9,.365,.381,.575,48.6,56.7,15.6,18.9,.556,15.0,26.5,.238,.404,21.9,69.4,.228
16,2014-01-02,@,Milwaukee,L,76,82,27,63,.429,8,26,.308,14,20,.700,10,27,10,11,5,10,22,24,52,.462,9,21,.429,25,31,.806,10,36,11,6,2,16,18,104.1,112.3,72.6,.317,.413,.524,42.9,37.0,15.1,16.1,.492,12.1,27.8,.222,.548,19.3,63.0,.481
17,2014-01-04,@,Green Bay,L,69,85,21,52,.404,7,20,.350,20,29,.690,8,30,15,5,2,15,17,38,69,.551,0,9,.000,9,11,.818,10,36,18,10,4,10,20,93.2,114.9,73.5,.558,.385,.525,45.5,71.4,6.8,3.3,.471,18.6,23.5,.385,.551,11.9,68.8,.130
18,2014-01-07,@,UIC,W,75,62,28,48,.583,7,15,.467,12,16,.750,1,22,19,8,2,14,22,21,55,.382,2,12,.167,18,26,.692,14,32,10,8,1,16,20,108.7,89.9,69.0,.333,.313,.674,40.7,67.9,11.6,4.7,.656,20.1,5.3,.250,.400,19.2,60.0,.327
19,2014-01-13,,Cleveland State,W,67,66,23,50,.460,5,16,.313,16,19,.842,5,18,14,6,1,13,12,23,45,.511,9,17,.529,11,15,.733,7,27,12,6,4,19,19,101.5,100.0,65.6,.380,.320,.568,40.0,60.9,9.1,3.6,.510,18.0,20.0,.320,.611,26.7,65.0,.244
20,2014-01-18,,Detroit,W,77,63,24,44,.545,9,20,.450,20,28,.714,3,23,20,3,2,10,17,23,54,.426,2,18,.111,15,21,.714,7,27,6,6,1,9,19,118.5,96.9,65.1,.636,.455,.672,46.0,83.3,4.6,5.6,.648,14.9,13.0,.455,.444,12.3,74.1,.278
21,2014-01-23,,Valparaiso,L,71,74,20,46,.435,6,18,.333,25,32,.781,4,18,13,6,1,9,20,24,52,.462,4,13,.308,22,25,.880,12,35,7,6,2,14,25,107.6,112.1,66.0,.696,.391,.580,34.0,65.0,9.1,2.6,.500,12.8,14.8,.543,.500,18.0,53.8,.423
22,2014-01-25,,Wright State,W,68,67,23,46,.500,5,16,.313,17,22,.773,3,23,14,7,1,9,17,24,46,.522,8,18,.444,11,16,.688,2,24,18,6,0,14,20,106.3,104.7,64.0,.478,.348,.602,48.9,60.9,10.9,3.6,.554,13.8,12.0,.370,.609,20.7,90.9,.239
23,2014-01-31,@,Oakland,L,85,86,28,58,.483,12,30,.400,17,22,.773,7,35,19,4,2,15,18,30,63,.476,10,27,.370,16,21,.762,6,31,18,10,1,12,19,109.0,110.3,77.3,.379,.517,.621,53.0,67.9,5.1,5.6,.586,18.0,21.9,.293,.556,14.1,82.4,.254
24,2014-02-05,@,Wright State,L,67,77,23,50,.460,4,19,.211,17,18,.944,6,23,12,7,1,14,27,22,43,.512,6,12,.500,27,35,.771,6,25,15,2,4,12,17,101.5,116.7,66.1,.360,.380,.572,47.9,52.2,10.6,3.2,.500,19.3,24.0,.340,.581,16.8,73.9,.628
25,2014-02-09,@,Detroit,L (1 OT),81,83,25,58,.431,8,23,.348,23,30,.767,7,34,17,7,1,10,19,28,64,.438,8,23,.348,19,28,.679,13,40,15,6,3,11,24,108.0,110.7,66.9,.517,.397,.561,45.9,68.0,9.3,2.4,.500,12.2,20.6,.397,.500,12.5,67.5,.297
26,2014-02-13,,Green Bay,L,40,71,15,47,.319,3,16,.188,7,12,.583,4,22,9,5,3,13,13,30,55,.545,1,7,.143,10,15,.667,9,34,16,4,7,10,17,64.5,114.5,62.4,.255,.340,.380,39.3,60.0,8.1,6.3,.351,19.8,13.8,.149,.555,13.9,66.7,.182
27,2014-02-15,,UIC,W,59,56,18,50,.360,3,14,.214,20,30,.667,10,38,4,5,1,6,8,23,58,.397,7,25,.280,3,4,.750,8,37,11,1,1,7,23,98.3,93.3,59.6,.600,.280,.459,50.7,22.2,8.3,3.0,.390,8.5,25.6,.400,.457,10.5,77.8,.052
28,2014-02-20,,Milwaukee,W (1 OT),88,83,32,60,.533,8,25,.320,16,25,.640,8,34,20,6,4,14,19,27,58,.466,11,26,.423,18,24,.750,6,25,21,9,1,14,19,112.8,106.4,69.0,.417,.417,.612,57.6,62.5,7.7,12.5,.600,16.3,29.6,.267,.560,16.8,81.3,.310
29,2014-02-22,@,Valparaiso,L,66,68,23,47,.489,9,19,.474,11,13,.846,4,27,18,1,1,12,15,24,52,.462,10,28,.357,10,12,.833,5,25,18,8,2,9,13,108.2,111.5,61.4,.277,.404,.621,51.9,78.3,1.6,4.2,.585,18.4,16.7,.234,.558,13.5,82.1,.192
