G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Mount St. Mary's,W,78,55,31,54,.574,4,16,.250,12,25,.480,7,35,17,11,5,8,11,20,52,.385,7,21,.333,8,12,.667,3,24,8,2,0,16,17,113.0,79.7,68.8,.463,.296,.592,59.3,54.8,15.9,16.1,.611,10.8,25.0,.222,.452,21.7,90.3,.154
2,2014-11-16,,Cal State Northridge,W,86,68,28,52,.538,8,18,.444,22,35,.629,10,32,17,11,2,18,21,22,52,.423,2,10,.200,22,28,.786,4,22,16,10,1,16,25,111.7,88.3,77.0,.673,.346,.627,59.3,60.7,14.3,4.8,.615,20.8,35.7,.423,.442,19.7,84.6,.423
3,2014-11-19,,UC-Irvine,W,71,54,19,48,.396,4,14,.286,29,34,.853,13,39,11,11,5,13,14,20,54,.370,5,15,.333,9,13,.692,7,24,12,4,1,15,24,107.6,81.8,66.2,.708,.292,.553,61.9,57.9,16.7,12.8,.438,16.9,43.3,.604,.417,20.0,78.8,.167
4,2014-11-24,N,Missouri,W,72,53,24,53,.453,5,16,.313,19,25,.760,7,31,14,10,1,6,25,16,44,.364,3,13,.231,18,26,.692,7,33,7,2,2,17,20,110.8,81.5,65.1,.472,.302,.555,48.4,58.3,15.4,3.2,.500,8.5,21.2,.358,.398,23.2,77.4,.409
5,2014-11-25,N,Kansas State,W,72,68,24,45,.533,4,10,.400,20,28,.714,8,30,12,4,4,11,18,22,49,.449,7,12,.583,17,24,.708,5,19,8,5,1,11,23,112.5,106.3,63.9,.622,.222,.617,61.2,50.0,6.3,10.8,.578,15.9,36.4,.444,.520,15.4,81.5,.347
6,2014-11-26,N,San Diego State,W,61,59,19,52,.365,3,8,.375,20,24,.833,11,32,10,7,7,11,19,21,48,.438,4,9,.444,13,24,.542,7,28,7,5,4,14,19,93.8,90.8,64.9,.462,.154,.481,53.3,52.6,10.8,17.9,.394,14.8,34.4,.385,.479,19.1,75.0,.271
7,2014-12-02,,Gardner-Webb,W,91,65,36,64,.563,10,17,.588,9,18,.500,12,41,23,8,2,8,16,22,58,.379,10,29,.345,11,19,.579,4,24,17,0,0,11,18,128.2,91.5,71.3,.281,.266,.627,63.1,63.9,11.3,6.9,.641,9.9,37.5,.141,.466,14.1,87.9,.190
8,2014-12-06,,Gonzaga,W (1 OT),66,63,23,52,.442,6,17,.353,14,22,.636,7,30,13,7,1,13,17,23,58,.397,4,17,.235,13,19,.684,11,34,11,5,1,13,22,95.7,91.3,61.1,.423,.327,.528,46.9,56.5,10.1,2.4,.500,17.2,23.3,.269,.431,16.2,67.6,.224
9,2014-12-09,,Utah Valley,W,87,56,31,52,.596,6,20,.300,19,32,.594,9,39,16,9,8,15,18,17,47,.362,6,13,.462,16,24,.667,4,19,11,1,2,18,29,119.2,76.7,72.8,.615,.385,.647,67.2,51.6,12.3,23.5,.654,18.2,37.5,.365,.426,23.6,88.2,.340
10,2014-12-13,,Michigan,W,80,53,32,55,.582,6,17,.353,10,20,.500,8,38,19,5,3,11,15,19,54,.352,7,26,.269,8,13,.615,4,22,12,7,1,11,18,119.4,79.1,67.3,.364,.309,.620,63.3,59.4,7.5,10.7,.636,14.6,30.8,.182,.417,15.5,88.2,.148
