G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Milwaukee,W,83,73,24,52,.462,7,14,.500,28,39,.718,6,29,9,6,1,12,17,30,59,.508,7,21,.333,6,14,.429,7,30,13,7,5,12,28,112.2,98.6,73.6,.750,.269,.588,49.2,37.5,8.1,2.6,.529,14.5,20.7,.538,.568,15.5,76.7,.102
2,2014-11-18,@,Colorado,L,59,90,20,69,.290,5,27,.185,14,20,.700,11,27,7,6,1,9,23,31,53,.585,5,14,.357,23,29,.793,8,44,15,6,6,12,20,79.7,121.6,73.6,.290,.391,.376,38.0,35.0,8.1,2.6,.326,10.3,23.4,.203,.632,15.2,66.7,.434
3,2014-11-21,,Louisiana,W,105,80,36,66,.545,11,26,.423,22,29,.759,9,27,19,10,2,10,24,28,55,.509,3,15,.200,21,30,.700,10,30,13,5,1,20,22,131.3,100.0,80.0,.439,.394,.658,47.4,52.8,12.5,5.0,.629,11.1,31.0,.333,.536,22.4,64.3,.382
4,2014-11-24,N,Tulsa,L,35,53,15,48,.313,2,22,.091,3,6,.500,9,28,6,5,1,23,18,19,40,.475,9,17,.529,6,11,.545,4,27,12,10,3,20,17,55.6,84.1,63.0,.125,.458,.344,50.9,40.0,7.9,4.3,.333,31.1,28.1,.063,.588,30.7,82.6,.150
5,2014-11-26,N,Oregon State,W,71,69,21,40,.525,7,17,.412,22,32,.688,4,23,5,8,1,16,20,26,52,.500,6,19,.316,11,17,.647,9,29,14,7,4,15,25,106.0,103.0,66.6,.800,.425,.643,44.2,23.8,11.9,3.0,.613,22.5,16.7,.550,.558,20.0,67.9,.212
6,2014-12-03,@,Texas Tech,L,44,46,17,47,.362,6,19,.316,4,11,.364,9,28,8,6,1,14,26,14,34,.412,1,9,.111,17,31,.548,6,28,4,7,6,15,14,77.2,80.7,57.5,.234,.404,.421,50.0,47.1,10.5,4.0,.426,21.1,29.0,.085,.426,23.5,76.0,.500
7,2014-12-05,,Coastal Carolina,L,54,58,17,50,.340,11,28,.393,9,19,.474,9,26,13,3,3,15,18,21,61,.344,7,25,.280,9,16,.563,14,37,9,10,2,13,19,81.8,87.9,66.3,.380,.560,.457,41.3,76.5,4.5,8.3,.450,20.3,28.1,.180,.402,15.9,54.8,.148
8,2014-12-14,@,Clemson,L,61,72,21,54,.389,7,24,.292,12,19,.632,7,27,10,12,2,18,28,22,49,.449,2,14,.143,26,35,.743,8,33,7,7,7,17,19,82.4,97.3,74.3,.352,.444,.484,45.0,47.6,16.2,5.7,.454,22.2,21.9,.222,.469,20.6,71.4,.531
9,2014-12-17,,Winthrop,W,80,62,27,61,.443,7,19,.368,19,34,.559,13,46,16,4,4,11,21,24,70,.343,4,27,.148,10,23,.435,19,44,9,7,5,11,23,108.1,83.8,74.0,.557,.311,.518,51.1,59.3,5.4,9.3,.500,12.5,34.2,.311,.371,12.0,63.5,.143
10,2014-12-20,,Xavier,W (2 OT),89,88,33,67,.493,5,22,.227,18,29,.621,8,34,11,11,7,16,22,28,66,.424,8,20,.400,24,27,.889,10,36,15,12,1,16,24,102.3,101.1,69.4,.433,.328,.551,48.6,33.3,12.6,15.2,.530,16.5,23.5,.269,.485,16.9,72.2,.364
