G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Saint Francis (PA),W,52,37,21,46,.457,2,14,.143,8,11,.727,7,32,12,11,4,17,18,12,40,.300,4,16,.250,9,18,.500,5,22,7,7,0,21,14,82.5,58.7,62.9,.239,.304,.508,59.3,57.1,17.5,16.7,.478,24.9,29.2,.174,.350,30.2,83.3,.225
2,2014-11-19,,Morehead State,W,69,61,19,51,.373,9,22,.409,22,34,.647,10,32,14,4,5,10,20,21,56,.375,7,18,.389,12,16,.750,9,34,10,4,4,11,26,104.5,92.4,66.4,.667,.431,.514,48.5,73.7,6.1,13.2,.461,13.0,28.6,.431,.438,14.7,71.0,.214
3,2014-11-23,,Eastern Illinois,W,54,49,21,51,.412,2,13,.154,10,15,.667,12,43,10,6,8,19,11,18,61,.295,3,17,.176,10,13,.769,8,24,7,10,5,8,16,81.8,74.2,66.2,.294,.255,.465,64.2,47.6,9.1,18.2,.431,24.6,42.9,.196,.320,10.6,79.5,.164
4,2014-11-25,,North Carolina Central,W,59,50,19,43,.442,7,19,.368,14,19,.737,14,32,11,2,6,11,10,20,46,.435,6,15,.400,4,5,.800,3,13,11,3,1,8,19,115.7,98.0,51.2,.442,.442,.567,71.1,57.9,3.9,19.4,.523,17.5,58.3,.326,.500,14.2,85.7,.087
5,2014-11-28,N,Middle Tennessee,W,69,51,25,44,.568,7,15,.467,12,18,.667,10,33,11,6,8,10,17,17,49,.347,9,20,.450,8,17,.471,9,21,11,7,2,8,19,127.8,94.4,54.3,.409,.341,.657,61.1,44.0,11.1,27.6,.648,16.0,45.5,.273,.439,12.3,71.9,.163
6,2014-11-29,N,Ole Miss,L,54,66,17,56,.304,2,19,.105,18,26,.692,17,35,5,1,4,10,18,25,51,.490,5,10,.500,11,18,.611,7,27,8,5,3,6,22,90.0,110.0,60.0,.464,.339,.395,56.5,29.4,1.7,9.8,.321,12.8,45.9,.321,.539,9.2,72.0,.216
7,2014-12-02,,Stony Brook,W,78,52,29,55,.527,7,11,.636,13,20,.650,8,30,17,7,8,8,12,23,57,.404,2,13,.154,4,10,.400,12,27,15,4,1,13,16,121.9,81.3,63.6,.364,.200,.605,52.6,58.6,10.9,18.2,.591,11.0,34.8,.236,.421,17.4,64.7,.070
8,2014-12-13,@,Nebraska,L (2 OT),55,56,20,63,.317,3,17,.176,12,24,.500,13,39,11,9,3,15,21,16,49,.327,4,17,.235,20,23,.870,8,42,3,5,4,22,21,73.3,74.7,60.1,.381,.270,.370,48.1,55.0,12.0,9.4,.341,16.8,27.7,.190,.367,26.9,76.5,.408
9,2014-12-17,,San Diego State,W (1 OT),71,62,25,53,.472,4,11,.364,17,21,.810,8,29,10,6,6,15,16,24,61,.393,5,25,.200,9,13,.692,14,29,11,8,4,17,19,101.4,88.6,62.3,.396,.208,.564,50.0,40.0,8.6,16.7,.509,19.2,34.8,.321,.434,20.2,60.0,.148
10,2014-12-20,,VCU,L,47,68,18,54,.333,3,15,.200,8,11,.727,13,38,9,6,5,15,5,26,61,.426,15,31,.484,1,1,1.000,5,27,16,7,2,8,14,74.6,107.9,62.9,.204,.278,.397,58.5,50.0,9.5,16.7,.361,20.2,37.1,.148,.549,11.5,83.3,.016
11,2014-12-23,,Wagner,W,72,48,24,45,.533,2,11,.182,22,31,.710,6,27,12,9,12,14,17,17,57,.298,5,16,.313,9,12,.750,12,28,9,6,2,16,24,107.5,71.6,67.2,.689,.244,.603,49.1,50.0,13.4,29.3,.556,19.0,27.3,.489,.342,20.3,63.6,.158
12,2014-12-30,@,NC State,W,76,60,28,52,.538,3,12,.250,17,25,.680,10,27,12,9,1,9,21,22,48,.458,0,5,.000,16,23,.696,11,25,7,4,2,12,15,124.6,98.4,61.4,.481,.231,.595,51.9,42.9,14.8,2.3,.567,12.3,41.7,.327,.458,16.9,60.7,.333
13,2015-01-03,,SMU,W,56,50,19,41,.463,6,19,.316,12,15,.800,8,27,9,10,6,16,11,21,49,.429,3,11,.273,5,9,.556,8,22,13,8,1,17,16,94.9,84.7,59.2,.366,.463,.582,55.1,47.4,16.9,15.8,.537,25.0,36.4,.293,.459,24.2,70.4,.102
14,2015-01-06,,East Carolina,W,69,48,26,55,.473,4,11,.364,13,23,.565,10,41,12,8,7,12,14,17,63,.270,5,22,.227,9,13,.692,11,30,8,5,0,10,20,101.5,70.6,68.1,.418,.200,.523,57.7,46.2,11.8,17.1,.509,15.4,34.5,.236,.310,12.6,73.8,.143
15,2015-01-10,@,UConn,L,56,62,21,53,.396,6,18,.333,8,11,.727,10,29,9,11,10,13,16,23,50,.460,5,15,.333,11,18,.611,10,29,12,7,6,15,14,90.3,100.0,62.4,.208,.340,.481,50.0,42.9,17.7,28.6,.453,18.3,34.5,.151,.510,20.4,65.5,.220
