G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-14,,Florida A&M,W,86,41,32,66,.485,7,25,.280,15,26,.577,13,39,21,8,6,5,16,16,48,.333,0,7,.000,9,20,.450,9,33,6,3,1,23,26,121.1,57.7,70.9,.394,.379,.549,54.2,65.6,11.3,14.6,.538,6.0,35.1,.227,.333,28.6,74.3,.188
2,2014-11-17,,Winthrop,L,74,77,24,50,.480,3,13,.231,23,39,.590,11,41,8,2,8,16,23,24,62,.387,9,23,.391,20,25,.800,4,25,12,9,3,6,31,98.7,102.7,74.7,.780,.260,.540,62.1,33.3,2.7,20.5,.510,18.9,34.4,.460,.460,7.5,88.2,.323
3,2014-11-21,N,Gardner-Webb,L,70,72,28,57,.491,4,13,.308,10,14,.714,9,32,10,2,7,7,11,25,67,.373,11,31,.355,11,16,.688,11,31,18,4,0,7,16,106.1,109.1,66.1,.246,.228,.550,50.8,35.7,3.0,19.4,.526,9.9,31.0,.175,.455,8.6,67.6,.164
4,2014-11-22,N,Nevada,W,59,50,19,42,.452,5,15,.333,16,26,.615,9,27,7,6,3,14,11,21,52,.404,4,9,.444,4,6,.667,9,24,5,7,2,15,21,98.3,83.3,60.1,.619,.357,.543,52.9,36.8,10.0,7.0,.512,20.5,37.5,.381,.442,21.5,66.7,.077
5,2014-11-24,N,LSU,W,64,61,24,57,.421,6,17,.353,10,15,.667,11,30,9,3,3,15,14,23,61,.377,1,13,.077,14,20,.700,17,37,13,7,2,13,13,95.5,91.0,67.3,.263,.298,.499,44.8,37.5,4.5,6.3,.474,19.0,35.5,.175,.385,15.6,52.8,.230
6,2014-11-28,,High Point,W,62,59,21,59,.356,6,22,.273,14,16,.875,14,39,12,5,5,14,14,24,57,.421,6,14,.429,5,8,.625,6,29,17,9,1,11,17,93.9,89.4,66.2,.271,.373,.465,57.4,57.1,7.6,11.6,.407,17.4,37.8,.237,.474,15.3,80.6,.088
7,2014-12-01,,Rutgers,L,64,69,24,56,.429,8,22,.364,8,11,.727,12,38,13,2,6,13,18,25,58,.431,7,19,.368,12,16,.750,9,26,16,8,4,3,10,104.9,113.1,60.9,.196,.393,.523,59.4,54.2,3.3,15.4,.500,17.5,41.4,.143,.491,4.4,74.3,.207
8,2014-12-07,,Arkansas,W (1 OT),68,65,26,56,.464,6,21,.286,10,14,.714,11,29,12,7,2,14,13,25,57,.439,6,21,.286,9,12,.750,8,22,11,7,2,13,17,101.5,97.0,59.3,.250,.375,.543,56.9,46.2,10.4,5.6,.518,18.3,44.0,.179,.491,17.2,69.2,.158
9,2014-12-14,,Auburn,W,72,61,22,49,.449,2,14,.143,26,35,.743,8,33,7,7,7,17,19,21,54,.389,7,24,.292,12,19,.632,7,27,10,12,2,18,28,97.3,82.4,74.3,.714,.286,.549,55.0,31.8,9.5,23.3,.469,20.6,28.6,.531,.454,22.2,78.1,.222
10,2014-12-19,@,South Carolina,L,45,68,17,57,.298,4,18,.222,7,12,.583,10,27,7,9,5,13,20,23,50,.460,7,22,.318,15,20,.750,7,35,17,7,7,12,14,69.2,104.6,65.1,.211,.316,.359,43.5,41.2,13.8,17.9,.333,17.2,26.3,.123,.530,16.8,70.8,.300
