G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-15,@,Penn,W (1 OT),77,75,24,56,.429,6,16,.375,23,30,.767,10,31,12,12,7,10,21,25,60,.417,8,28,.286,17,27,.630,17,35,12,7,3,15,23,108.5,105.6,62.7,.536,.286,.548,47.0,50.0,16.9,21.9,.482,12.5,35.7,.411,.483,17.1,55.3,.283
2,2014-11-17,,Baptist Bible (PA),W,104,63,39,75,.520,10,27,.370,16,21,.762,12,47,17,6,6,10,17,24,67,.358,8,30,.267,7,12,.583,7,27,10,6,0,17,18,125.3,75.9,82.8,.280,.360,.612,63.5,43.6,7.2,16.2,.587,10.5,37.5,.213,.418,19.0,83.3,.104
3,2014-11-19,@,North Texas,L,55,62,21,51,.412,8,21,.381,5,11,.455,4,31,10,5,6,18,17,22,54,.407,6,21,.286,12,18,.667,6,33,11,10,1,15,12,77.5,87.3,70.9,.216,.412,.489,48.4,47.6,7.0,18.2,.490,24.3,12.9,.098,.463,19.3,81.8,.222
4,2014-11-21,@,Arkansas,L,71,99,25,59,.424,9,22,.409,12,15,.800,7,28,8,5,7,23,21,35,72,.486,10,19,.526,19,27,.704,15,39,26,9,5,14,17,85.5,119.3,83.0,.254,.373,.537,41.8,32.0,6.0,13.2,.500,25.8,22.6,.203,.556,14.2,58.3,.264
5,2014-11-26,@,Iona,L,76,126,27,73,.370,11,36,.306,11,16,.688,11,34,19,6,2,18,16,41,71,.577,24,39,.615,20,22,.909,6,38,35,13,3,13,16,86.4,143.2,88.0,.219,.493,.471,47.2,70.4,6.8,6.3,.445,18.3,25.6,.151,.746,13.8,79.3,.282
6,2014-11-28,@,Wake Forest,W,72,65,27,55,.491,8,21,.381,10,15,.667,5,34,11,6,8,18,21,21,59,.356,4,15,.267,19,27,.704,10,30,14,13,6,8,16,100.0,90.3,72.5,.273,.382,.579,53.1,40.7,8.3,18.2,.564,22.5,20.0,.182,.390,10.0,74.4,.322
7,2014-12-02,@,Hawaii,L,60,75,20,53,.377,2,18,.111,18,22,.818,10,32,6,5,4,18,12,31,67,.463,6,16,.375,7,11,.636,12,37,14,9,3,11,19,84.5,105.6,71.3,.415,.340,.473,46.4,30.0,7.0,7.8,.396,22.1,28.6,.340,.507,13.2,64.7,.104
8,2014-12-07,@,Delaware,W,66,53,23,54,.426,4,18,.222,16,23,.696,10,42,14,5,7,11,23,17,56,.304,6,27,.222,13,22,.591,8,28,10,7,5,7,19,100.0,80.3,65.7,.426,.333,.508,60.0,60.9,7.6,24.1,.463,14.5,33.3,.296,.357,9.5,80.0,.232
9,2014-12-10,,Campbell,L,55,70,18,43,.419,2,18,.111,17,22,.773,3,23,8,6,6,12,14,24,49,.490,9,17,.529,13,17,.765,4,27,14,8,2,11,19,87.3,111.1,63.3,.512,.419,.514,46.0,44.4,9.5,18.8,.442,18.3,11.5,.395,.582,16.2,83.3,.265
10,2014-12-13,@,Rhode Island,L,44,83,16,63,.254,4,19,.211,8,15,.533,9,30,9,7,6,17,23,31,53,.585,3,9,.333,18,33,.545,5,41,16,10,9,11,21,57.9,109.2,76.4,.238,.302,.314,42.3,56.3,9.2,13.6,.286,19.5,20.0,.127,.613,13.8,80.8,.340
