G,Date,Location,Opp,W/L,h_points,a_points,hFG,hFGA,hFG%,h3P,h3PA,h3P%,hFT,hFTA,hFT%,hORB,hTRB,hAST,hSTL,hBLK,hTOV,hPF,aFG,aFGA,aFG%,a3P,a3PA,a3P%,aFT,aFTA,aFT%,aORB,aTRB,aAST,aSTL,aBLK,aTOV,aPF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,OeFG%,OTOV%,OORB%,OFT/FGA,DeFG%,DTOV%,DDRB%,DFT/FGA
1,2014-11-17,@,Liberty,L,55,61,20,67,.299,3,24,.125,12,18,.667,19,39,9,4,2,11,22,20,53,.377,6,18,.333,15,17,.882,10,35,15,1,5,12,19,84.6,93.8,65.3,.269,.358,.364,52.7,45.0,6.2,5.7,.321,12.7,43.2,.179,.434,16.4,66.7,.283
2,2014-11-21,@,Cal Poly,L,60,78,16,51,.314,10,21,.476,18,21,.857,7,28,11,0,0,11,11,27,68,.397,12,35,.343,12,15,.800,14,38,16,5,3,3,17,92.3,120.0,64.6,.412,.412,.492,42.4,68.8,0.0,0.0,.412,15.3,22.6,.353,.485,3.8,60.0,.176
3,2014-11-23,@,Cal State Bakersfield,L,52,70,12,45,.267,7,22,.318,21,32,.656,9,34,7,1,4,8,16,29,65,.446,7,21,.333,5,11,.455,13,43,17,5,5,7,21,83.9,112.9,61.7,.711,.489,.432,44.2,58.3,1.6,9.1,.344,11.7,23.1,.467,.500,9.1,65.8,.077
4,2014-11-25,@,Stanford,L,47,84,18,62,.290,6,21,.286,5,8,.625,9,31,9,2,5,11,20,30,68,.441,9,25,.360,15,20,.750,9,44,22,6,3,6,13,66.2,118.3,71.2,.129,.339,.357,41.3,50.0,2.8,11.6,.339,14.3,20.5,.081,.507,7.2,71.0,.221
5,2014-11-30,N,Villanova,L,47,78,18,58,.310,7,25,.280,4,7,.571,8,26,9,7,2,17,11,28,58,.483,13,32,.406,9,12,.750,10,38,21,7,6,13,11,68.1,113.0,68.5,.121,.431,.383,40.6,50.0,10.1,7.7,.371,21.7,22.2,.069,.595,16.9,64.3,.155
6,2014-12-03,,Army,L,69,73,23,49,.469,5,8,.625,18,29,.621,11,31,10,6,3,10,20,22,46,.478,9,22,.409,20,31,.645,7,23,12,5,5,8,20,111.3,117.7,61.8,.592,.163,.550,57.4,43.5,9.7,12.5,.520,13.7,40.7,.367,.576,11.6,74.1,.435
7,2014-12-07,,Delaware State,L,53,66,17,56,.304,6,27,.222,13,22,.591,8,28,10,7,5,7,19,23,54,.426,4,18,.222,16,23,.696,10,42,14,5,7,11,23,80.3,100.0,65.7,.393,.482,.399,40.0,58.8,10.6,13.9,.357,9.5,20.0,.232,.463,14.5,66.7,.296
8,2014-12-18,,Temple,L,62,82,21,52,.404,6,20,.300,14,20,.700,7,32,12,4,5,14,12,30,71,.423,16,33,.485,6,8,.750,13,42,19,10,1,7,20,89.9,118.8,68.7,.385,.385,.504,43.2,57.1,5.8,13.2,.462,18.5,19.4,.269,.535,8.6,65.8,.085
9,2014-12-20,@,Fairleigh Dickinson,L,74,76,27,57,.474,8,19,.421,12,22,.545,10,35,19,6,8,22,22,24,63,.381,11,23,.478,17,26,.654,15,34,16,11,2,18,20,93.7,96.2,78.9,.386,.333,.549,50.7,70.4,7.6,20.0,.544,24.6,34.5,.211,.468,19.3,62.5,.270
10,2014-12-22,@,Robert Morris,L,81,84,24,62,.387,11,31,.355,22,29,.759,10,30,17,4,3,16,26,25,45,.556,6,13,.462,28,40,.700,4,31,10,11,4,17,24,102.5,106.3,79.4,.468,.500,.534,49.2,70.8,5.1,9.4,.476,17.4,27.0,.355,.622,21.0,83.3,.622
11,2014-12-30,,St. Bonaventure,W,82,77,29,54,.537,10,17,.588,14,19,.737,6,34,18,2,11,18,11,32,80,.400,5,15,.333,8,10,.800,16,36,17,14,5,8,19,107.9,101.3,75.9,.352,.315,.651,48.6,62.1,2.6,16.9,.630,22.2,23.1,.259,.431,8.6,63.6,.100
12,2015-01-03,,Northeastern,L,53,72,19,60,.317,4,14,.286,11,20,.550,11,29,10,5,4,6,14,26,53,.491,8,18,.444,12,13,.923,9,41,13,3,3,15,18,81.5,110.8,64.8,.333,.233,.381,41.4,52.6,7.7,11.4,.350,7.9,25.6,.183,.566,20.2,66.7,.226
13,2015-01-05,@,Hofstra,L,58,71,22,58,.379,5,18,.278,9,16,.563,5,28,14,3,2,16,12,29,71,.408,5,23,.217,8,11,.727,14,44,17,7,6,13,14,76.3,93.4,75.9,.276,.310,.442,38.9,63.6,3.9,4.2,.422,19.6,14.3,.155,.444,14.6,62.2,.113
14,2015-01-08,@,UNC Wilmington,L (1 OT),73,74,23,62,.371,8,20,.400,19,24,.792,13,40,12,4,3,19,18,28,70,.400,6,22,.273,12,21,.571,17,42,15,11,11,11,20,94.8,96.1,68.2,.387,.323,.497,48.8,52.2,5.2,6.3,.435,20.6,34.2,.306,.443,12.1,61.4,.171
15,2015-01-10,@,College of Charleston,W,64,58,21,52,.404,8,21,.381,14,21,.667,10,30,9,1,5,3,14,23,47,.489,7,15,.467,5,11,.455,5,29,10,1,0,9,19,114.3,103.6,55.6,.404,.404,.516,50.8,42.9,1.8,15.6,.481,4.6,29.4,.269,.564,14.7,80.0,.106
